语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：意
2022/7/10 23:09:53

序号	语句	书名	朝代
1	其反复丁宁示人之 [意] ，至深切矣，学者其可不尽心乎！		《大学中庸》__春秋战国
2	三千之徒，盖莫不闻其说，而曾氏之传独得其宗，于是作为传义，以发其 [意] 。		《大学中庸》__春秋战国
3	顾其为书犹颇放失，是以忘其固陋，采而辑之，闲亦窃附己 [意] ，补其阙略，以俟后之君子。		《大学中庸》__春秋战国
4	极知僭踰，无所逃罪，然于国家化民成俗之 [意] 、学者修己治人之方，则未必无小补云。		《大学中庸》__春秋战国
5	止者，必至于是而不迁之 [意] 。		《大学中庸》__春秋战国
6	此结上文两节之 [意] 。		《大学中庸》__春秋战国
7	古之欲明明德于天下者，先治其国；欲治其国者，先齐其家；欲齐其家者，先修其身；欲修其身者，先正其心；欲正其心者，先诚其 [意] ；欲诚其 [意] 者，先致其知；致知在格物。		《大学中庸》__春秋战国
8	 [意] 者，心之所发也。		《大学中庸》__春秋战国
9	物格而后知至，知至而后 [意] 诚， [意] 诚而后心正，心正而后身修，身修而后家齐，家齐而后国治，国治而后天下平。		《大学中庸》__春秋战国
10	知既尽，则 [意] 可得而实矣， [意] 既实，则心可得而正矣。		《大学中庸》__春秋战国
11	 [意] 诚以下，则皆得所止之序也。		《大学中庸》__春秋战国
12	 [意] ，叶音臆。		《周易》__周
13	此两节结上文两节之 [意] 。		《大学中庸》__春秋战国
14	其传十章，则曾子之 [意] 而门人记之也。		《大学中庸》__春秋战国
15	结所引书，皆言自明己德之 [意] 。		《大学中庸》__春秋战国
16	穆穆，深远之 [意] 。		《大学中庸》__春秋战国
17	遂齐侯之 [意] 也。		《榖梁传》__春秋战国
18	闲尝窃取程子之 [意] 以补之曰：“所谓致知在格物者，言欲致吾之知，在即物而穷其理也。		《大学中庸》__春秋战国
19	所谓诚其 [意] 者：毋自欺也，如恶恶臭，如好好色，此之谓自谦，故君子必慎其独也！		《大学中庸》__春秋战国
20	诚其 [意] 者，自修之首也。		《大学中庸》__春秋战国
21	引此以明上文之 [意] 。		《大学中庸》__春秋战国
22	富润屋，德润身，心广体胖，故君子必诚其 [意] 。		《大学中庸》__春秋战国
23	经曰：“欲诚其 [意] ，先致其知。”		《大学中庸》__春秋战国
24	又曰：“知至而后 [意] 诚。”		《大学中庸》__春秋战国
25	盖 [意] 诚则真无恶而实有善矣，所以能存是心以检其身。		《大学中庸》__春秋战国
26	 [意] 者未至然乎！”		《吕氏春秋》__春秋战国
27	纪言以叙之，述 [意] 以导之，明曜以昭之。		《国语》__春秋战国
28	 [意] 我先从事乎恶之亲。		《墨子》__春秋战国
29	 [意] 不忠亲之利而害为孝乎。		《墨子》__春秋战国
30	志 [意] 颜色使令言语之请。		《墨子》__春秋战国
31	此爻取象之 [意] 未详。		《周易》__周
32	问而不诏，知而不为，和而不矜，成而不处，止者不行，行者不止，因刑而任之，不制於物，无肯为使，清静以公，神通乎六合，德耀乎海外， [意] 观乎无穷，誉流乎无止。		《吕氏春秋》__春秋战国
33	故章内之 [意] ，皆自此而推之。		《大学中庸》__春秋战国
34	终勿废也 [意] 亦使法其言。		《墨子》__春秋战国
35	引诗而言此，以结上文两节之 [意] 。		《大学中庸》__春秋战国
36	因上文引文王诗之 [意] 而申言之，其丁宁反复之 [意] 益深切矣。		《大学中庸》__春秋战国
37	此两节又明不外本而内末之 [意] 。		《大学中庸》__春秋战国
38	 [意] 以天下之孝子为遇。		《墨子》__春秋战国
39	 [意] 以为难而不可为邪。		《墨子》__春秋战国
40	 [意] 亡非为其上中天之利。		《墨子》__春秋战国
41	自秦誓至此，又皆以申言好恶公私之极，以明上文所引南山有台、节南山之 [意] 。		《大学中庸》__春秋战国
42	此因上所引文王、康诰之 [意] 而言。		《大学中庸》__春秋战国
43	自此以至终篇，皆一 [意] 也。		《大学中庸》__春秋战国
44	四曰：人之 [意] 苟善，虽不知，可以为长。		《吕氏春秋》__春秋战国
45	此一节，深明以利为利之害，而重言以结之，其丁宁之 [意] 切矣。		《大学中庸》__春秋战国
46	此章之义，务在与民同好恶而不专其利，皆推广絜矩之 [意] 也。		《大学中庸》__春秋战国
47	是故圣王之德，融乎若日之始出，极烛六合，而无所穷屈；昭乎若日之光，变化万物，而无所不行；神合乎太一，生无所屈，而 [意] 不可障；精通乎鬼神，深微玄妙。		《吕氏春秋》__春秋战国
48	其宗，于是作为传义，以发其 [意] 。		《大学中庸》__春秋战国
49	以忘其固陋，采而辑之，闲亦窃附己 [意] ，补其阙略，以俟后之君子。		《大学中庸》__春秋战国
50	然于国家化民成俗之 [意] 、学者修己治人之方，则未必无小补云。		《大学中庸》__春秋战国
51	故有道之主，因而不为，责而不诏，去想去 [意] ，静虚以待，不伐之言，不夺之事，督名审实，官使自司，以不知为道，以柰何为实。		《吕氏春秋》__春秋战国
52	欲修其身者，先正其心；欲正其心者，先诚其 [意] ；欲诚其 [意] 者，先致其知；致知在格物。		《大学中庸》__春秋战国
53	格而后知至，知至而后 [意] 诚， [意] 诚而后心正，心正而后身修，身修而后家齐，家齐而后国		《大学中庸》__春秋战国
54	相国曰：“ [意] 者君耳而未之目邪！		《吕氏春秋》__春秋战国
55	其传十章，则曾子之 [意] 而门人记之也。		《大学中庸》__春秋战国
56	施禄及下，溃决之 [意] 也。		《周易》__周
57	闲尝窃取程子之 [意] 以补之曰：“所谓致		《大学中庸》__春秋战国
58	所谓诚其 [意] 者：毋自欺也，如恶恶臭，如好好色，此之谓自谦，故君子必慎其独也！		《大学中庸》__春秋战国
59	其 [意] 。		《大学中庸》__春秋战国
60	夫人心正 [意] 诚，乃能极中正之道，而充实光辉。		《周易》__周
61	人之 [意] 深矣。		《周易》__周
62	如其 [意] 也。		《公羊传》__春秋战国
63	季平子曰：“然则 [意] 如乎！		《国语》__春秋战国
64	公孙龙对曰：“偃兵之 [意] ，兼爱天下之心也。		《吕氏春秋》__春秋战国
65	 [意] 者恭节而人犹战，任不在贵者矣。		《吕氏春秋》__春秋战国
66	王射之，曰：“有鸟止於南方之阜，其三年不动，将以定志 [意] 也；其不飞，将以长羽翼也；其不鸣，将以览民则也。		《吕氏春秋》__春秋战国
67	循所闻而得其 [意] 心之察也。		《墨子》__春秋战国
68	日之役者，有执蹠■而上视者， [意] 者其是邪！”		《吕氏春秋》__春秋战国
69	臣窃 [意] 之也。”		《吕氏春秋》__春秋战国
70	管仲曰：“我不言伐莒，子何以 [意] 之？”		《吕氏春秋》__春秋战国
71	执所言而 [意] 得见心之辩也。		《墨子》__春秋战国
72	“慎”， [意] 尤明白，盖古字通用也。		《周易》__周
73	通 [意] 后对说在不知其谁谓也。		《墨子》__春秋战国
74	 [意] 亡昔三代之暴不肖人与。		《墨子》__春秋战国
75	 [意] 亡昔三代之暴不肖人也。		《墨子》__春秋战国
76	恼之 [意] 。		《周易》__周
77	四曰：言者以谕 [意] 也。		《吕氏春秋》__春秋战国
78	言 [意] 相离，凶也。		《吕氏春秋》__春秋战国
79	夫辞者， [意] 之表也。		《吕氏春秋》__春秋战国
80	鉴其表而弃其 [意] ，悖。		《吕氏春秋》__春秋战国
81	故古之人，得其 [意] 则舍其言矣。		《吕氏春秋》__春秋战国
