语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：慕
2022/7/10 23:08:37

序号	语句	书名	朝代
1	夫齐侯好示，务施与力而不务德，故轻致诸侯而重遣之，使至者劝而叛者 [慕] 。		《国语》__春秋战国
2	弗率训典，殊厥井疆，俾克畏 [慕] 。		《尚书》__周
3	诸门户皆令鉴而 [慕] 孔。		《墨子》__春秋战国
4	礼之以和为贵， 忠信之美，优游之法， [慕] 贤而容众，毁方而瓦合。		《礼记》__春秋战国
5	不为人主之孝，而 [慕] 瓜 夫之孝，不顾社稷之利，而听主母之令，女子用国，刑馀用事者，可亡也。		《韩非子》__春秋战国
6	彼學者，行之，曰士也；敦 [慕] 焉，君子也；知之，聖人也。		《荀子》__春秋战国
7	既反周室， [慕] 其国，忄敞然自失。		《列子》__春秋战国
8	道真自有常度，人不能明之，必复企暮（ [慕] ）世间常为伎，因出教授，指形名道，令有处所服色，长短有分数，而思想之。		《老子想尔注》__春秋战国
9	旁人虽知其都交，见得官禄，便复 [慕] 之，诈为仁义，终不相及也。		《老子想尔注》__春秋战国
10	吏民怀 [慕] ，则易治矣，悉如信道，皆仙寿矣，不可攵兵彊也。		《老子想尔注》__春秋战国
11	故近者親其善，遠方 [慕] 其德，兵不血刃，遠邇來服，德盛於此，施及四極。		《荀子》__春秋战国
12	故君子敬其在己者，而不 [慕] 其在天者；小人錯其在己者，而 [慕] 其在天者。		《荀子》__春秋战国
13	君子敬其在己者，而不 [慕] 其在天者，是以日進也；小人錯其在己者，而 [慕] 其天者，是以日退也。		《荀子》__春秋战国
14	祭者、志意思 [慕] 之情也。		《荀子》__春秋战国
15	故曰∶祭者、志意思 [慕] 之情也。		《荀子》__春秋战国
16	不 [慕] 往，不閔來，無邑憐之心，當時則動，物至而應，事起而辨，治亂可否，昭然明矣。		《荀子》__春秋战国
17	孔子曰：‘舜其至孝矣，五十而 [慕] 。		《孟子》__春秋战国
18	巨室之所 [慕] ，一国 [慕] 之；一国之所 [慕] ，天下 [慕] 之；故沛然德教溢乎四海。”		《孟子》__春秋战国
19	故其往送也如 [慕] ，其反也如疑。		《礼记》__春秋战国
20	去郢东迁余谁 [慕] 兮，		《楚辞》__春秋战国
21	孟子曰：“怨 [慕] 也。”		《孟子》__春秋战国
22	人少，则 [慕] 父母；知好色，则 [慕] 少艾；有妻子，则 [慕] 妻子；仕则 [慕] 君，不得于君则热中。		《孟子》__春秋战国
23	大孝终身 [慕] 父母。		《孟子》__春秋战国
24	五十而 [慕] 者，予于大舜见之矣。”		《孟子》__春秋战国
25	既含睇兮又宜笑，子 [慕] 予兮善窈窕。		《楚辞》__春秋战国
26	汤、禹久远兮，邈而不可 [慕] 。		《楚辞》__春秋战国
27	羊肉不 [慕] 蚁，蚁 [慕] 羊肉，羊肉囗（“膻”字以“羊”代“月”		《庄子》__春秋战国
28	独耿介而不随兮，原 [慕] 先圣之遗教。		《楚辞》__春秋战国
29	窃 [慕] 诗人之遗风兮，原讬志乎素餐。		《楚辞》__春秋战国
30	贤俊 [慕] 而自附兮，日浸淫而合同。		《楚辞》__春秋战国
31	曰：“两美其必合兮，孰信修而 [慕] 之？		《楚辞》__春秋战国
