语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：或
2022/11/6 16:07:41

序号	语句	书名	朝代
1	河清三年，薨于晋阳， [或] 云鸩终。		《北齐书》__隋唐五代
2	世宗车服过度，诛戮变常，言谈进止， [或] 有亏失，暹每厉色极言，世宗亦为之止。		《北齐书》__隋唐五代
3	常山王私谓暹曰：“至尊 [或] 多醉，太后尚不能致言，吾兄弟杜口，仆射独能犯颜，内外深相感愧。”		《北齐书》__隋唐五代
4	每朝会卤簿，不肯为先后，必分道而趋，左右 [或] 争道而斗，至有死者。		《陈书》__隋唐五代
5	容貌蕞陋，性严酷，数岁，左右有不如意，辄剟刺其面， [或] 加烧爇。		《陈书》__隋唐五代
6	羡以北虏屡犯边，须备不虞，自库堆戍东拒于海，随山屈曲二千余里，其间二百里中凡有险要， [或] 斩山筑城， [或] 断谷起障，并置立戍逻五十余所。		《北齐书》__隋唐五代
7	光所获 [或] 少，必丽龟达腋。		《北齐书》__隋唐五代
8	光常蒙赏，羡 [或] 被捶挞。		《北齐书》__隋唐五代
9	若有萑蒲之盗， [或] 犯戎商，山谷之酋，擅强幽险，皆从肆赦，咸使知闻。		《陈书》__隋唐五代
10	如 [或] 迷途，俾在无贷。		《陈书》__隋唐五代
11	博施之仁，何其 [或] 爽？		《陈书》__隋唐五代
12	若乃奉生尽养，送终尽哀， [或] 泣血三年，绝浆七日，思《蓼莪》之慕切，追顾复之恩深， [或] 德感乾坤，诚贯幽显，在于历代，盖有人矣。		《陈书》__隋唐五代
13	但得三年五年 [或] 十年，须得个入头处，自然会去。		《传心法要》__隋唐五代
14	武帝 [或] 纡銮驾，临幸庠序，释奠先师，躬亲试胄，申之宴语，劳之束帛，济济焉斯盖一代之盛矣。		《陈书》__隋唐五代
15	 [或] 逾月即尊， [或] 崩日称诏，此皆有为而为之，非无心于礼制也。		《陈书》__隋唐五代
16	孝轨既在异域，虽已迎丧，还期无指，诸弟若遂不除，永绝婚嫁，此于人情， [或] 为未允。		《陈书》__隋唐五代
17	晋氏丧乱， [或] 死于虏庭，无由迎殡，江左故复申明其制。		《陈书》__隋唐五代
18	中舍如火烛在傍， [或] 明 [或] 暗。		《传心法要》__隋唐五代
19	但不了自心，於声教上起解， [或] 因神通， [或] 因瑞相言语运动，闻有菩提涅盘，三僧☆劫，修成佛道，皆属声闻道，谓之声闻佛。		《传心法要》__隋唐五代
20	华皎之构逆也，越在东阳， [或] 谮之于高宗，言其有异志，诏下狱，因坐免。		《陈书》__隋唐五代
21	停船暂借问， [或] 恐是同乡。		《崔颢诗》__隋唐五代
22	如 [或] 贪污是肆，征赋无厌，天网虽疏，兹焉弗漏。		《陈书》__隋唐五代
23	僧辩叹曰：“此生要鞬汗马， [或] 非所长，若使抚众守城，必有奇绩。”		《陈书》__隋唐五代
24	喜答曰：“山陵始毕，边寇尚多，而子高受委前朝，名为杖顺，然甚轻狷，恐不时授首，脱其稽诛， [或] 愆王度。		《陈书》__隋唐五代
25	虽小说， [或] 有可观览之，而喁而笑焉。		《大唐传载》__隋唐五代
26	中令清简无事， [或] 云徵有怨言，事闻后主，后主大怒，收夺人马，将诛之，有固谏者获免。		《陈书》__隋唐五代
27	 [或] 言爱图画及博奕， 怕妄与佞。		《大唐传载》__隋唐五代
28	颜太师鲁公，刻名于石， [或] 置之高山之上， [或] 沉之大洲之底而云：“安知不 陵谷之变耶！”		《大唐传载》__隋唐五代
29	若必走北，即恐变故随起，不如分兵守河桥，回军向京，出其不意， [或] 可离溃。		《北齐书》__隋唐五代
30	王河南维， [或] 有人报云：“公除右辖。”		《大唐传载》__隋唐五代
31	 [或] 弥纶而不穷。		《陈书》__隋唐五代
32	 [或] 消散而无所。		《陈书》__隋唐五代
33	 [或] 同赋一篇，共坐庭石，霜积襟 袖，课成乃已。		《大唐传载》__隋唐五代
34	人面不同，其心亦异， [或] 有辞意相反， [或] 有心口相符。		《陈书》__隋唐五代
35	 [或] 问曰：“起于何处，当可避乎？”		《北齐书》__隋唐五代
36	王藻、王素，贞元初应举，名皆第十四，每诣通家，通王十四郎， [或] 问曰： “藻也？		《大唐传载》__隋唐五代
37	吾患势危笃，恐 [或] 不虞，欲委孝先以邺下之事，何如？”		《北齐书》__隋唐五代
38	他人者实难测， [或] 可是凡夫真尔，亦可是圣人俯同，时俗所宜见，果报所应睹。		《陈书》__隋唐五代
39	颠 [或] 可扶，纠合而 奔，官守恶不可救，废放而安宗社。		《大唐创业起居注》__隋唐五代
40	典作日，别置酒高会，诸人膝行跪伏，称觞上寿， [或] 自陈屈滞，更请转官，孝言意色扬扬，以为己任，皆随事报答，许有另授。		《北齐书》__隋唐五代
41	韶光辅七君，克隆门业，每出当阃外， [或] 任以留台，以猜忌之朝，终其眉寿。		《北齐书》__隋唐五代
42	自是以后，记室奉命宣旨称教，部 伍间事，给付一物，军书羽檄，赏罚科条，接抚初附，慰悦远近，帝 [或] 口陈事绪， 手疏意谓，发言折中，下笔当理，非奉进旨，所司莫能裁答。		《大唐创业起居注》__隋唐五代
43	少慷慨，志立功名，虚心爱士，宾客 [或] 自远而至。		《陈书》__隋唐五代
44	时 [或] 恚挞，辄曰：“勿使元康知之。”		《北齐书》__隋唐五代
45	我向已启王，受朝命，置官僚，元康叨忝 [或] 得黄门郎，但时事未可耳。”		《北齐书》__隋唐五代
46	人 [或] 以授官太 高谏帝者，帝曰：“不吝爵赏，汉氏以兴。		《大唐创业起居注》__隋唐五代
47	是日晓，鼓山西北有大浮云，色 [或] 紫 [或] 赤，似华盖楼阙 之形。		《大唐创业起居注》__隋唐五代
48	 [或] 有造次不及书教，直付空纸，即令宣读。		《北齐书》__隋唐五代
49	子炎之罪，理 [或] 可恕。”		《北齐书》__隋唐五代
50	于是自大丞相已下太宰、三师、大司马、大将军、三公等官并增员而授， [或] 三 [或] 四，不可胜数。		《北齐书》__隋唐五代
