语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：戚
2022/7/10 23:08:41

序号	语句	书名	朝代
1	卫孙林父入于 [戚] 以叛。		《榖梁传》__春秋战国
2	周公曰：“未可以 [戚] 我先王？”		《尚书》__周
3	伯父叔父弟兄庶子其 [戚] 族人五月。		《墨子》__春秋战国
4	如此而民不西者，秦士 [戚] 而民苦也。		《商君书》__春秋战国
5	秋，公孙敖会晋侯于 [戚] 。		《榖梁传》__春秋战国
6	升歌清庙，下管象，朱干玉 [戚] ，冕而舞 大武，皮弁素积，裼而舞大夏。		《礼记》__春秋战国
7	子产日夜以为 [戚] ，密造邓析而谋之，曰：“侨 闻治身以及家，治家以及国，此言自于近至于远也。		《列子》__春秋战国
8	若此而民不西者，秦士 [戚] 而民苦也。”		《商君书》__春秋战国
9	商钧不才，禅位于禹， [戚]   [戚] 然以至于死：此天人之穷毒者也。		《列子》__春秋战国
10	且师友也者，公可也； [戚] 爱也者，私安也。		《吕氏春秋》__春秋战国
11	宁 [戚] 欲干齐桓公，穷困无以自进，於是为商旅将任车以至齐，暮宿於郭门之外。		《吕氏春秋》__春秋战国
12	宁 [戚] 饭牛居车下，望桓公而悲，击牛角疾歌。		《吕氏春秋》__春秋战国
13	宁 [戚] 见，说桓公以治境内。		《吕氏春秋》__春秋战国
14	管夷吾、鲍叔牙二人相友甚 [戚] ，同处于齐。		《列子》__春秋战国
15	行其少頃之怒， 而喪終身之軀，然且為之，是忘其身也；室家立殘，親 [戚] 不免乎刑戮，然且為之，是忘其親也；君上之所惡也，刑法之所大禁也，然且為之，是忘其君也。		《荀子》__春秋战国
16	当死不惧，在穷不 [戚] ，知命安时也。		《列子》__春秋战国
17	君固愁身伤生以忧之， [戚] 不得也。”		《吕氏春秋》__春秋战国
18	立以為仲父，而貴 [戚] 莫之敢妒也；與之高國之位，而本朝之臣莫之敢惡也；與之書社三百，而富人莫之敢距也；貴賤長少，秩秩焉，莫不從桓公而貴敬之，是天下之大節也。		《荀子》__春秋战国
19	遂選馬而進，朝食於 [戚] ，暮宿於百泉，旦厭於牧之野。		《荀子》__春秋战国
20	癸丑，公会晋侯、卫侯、郑伯、曹伯、宋世子成、齐国佐、邾人，同盟于 [戚] 。		《榖梁传》__春秋战国
21	杨子 [戚]  然变容，不言者移时，不笑者竟日。		《列子》__春秋战国
22	故贤主之於贤者也，物莫之妨， [戚] 爱习故不以害之，故贤者聚焉。		《吕氏春秋》__春秋战国
23	狐援说齐湣王曰：“殷之鼎陈於周之廷，其社盖於周之屏，其干 [戚] 之音在人之游。		《吕氏春秋》__春秋战国
24	晋赵鞅帅师纳卫世子蒯聩于 [戚] 。		《榖梁传》__春秋战国
25	三年春，齐国夏、卫石曼姑帅师围 [戚] 。		《榖梁传》__春秋战国
26	不系 [戚] 于卫者，子不有父也。		《榖梁传》__春秋战国
27	齐桓公、管仲、鲍叔、甯 [戚] 相与饮。		《吕氏春秋》__春秋战国
28	鲍叔奉杯而进曰：“使公毋忘出奔在於莒也，使管仲毋忘束缚而在於鲁也，使甯 [戚] 毋忘其饭牛而居於车下。”		《吕氏春秋》__春秋战国
29	墨子大有天下，小有一國，將蹙然衣粗食惡，憂 [戚] 而非樂。		《荀子》__春秋战国
30	故墨術誠行，則天下尚儉而彌貧，非鬭而日爭，勞苦頓萃，而愈無功，愀然憂 [戚] 非樂，而日不和。		《荀子》__春秋战国
31	疏 [戚] 而好外企以仁而谋泄贱寡而好大此所以危，		《管子》__春秋战国
32	使公毋忘出而在于莒也使管子毋忘束缚在鲁也使宁 [戚] 毋忘饭牛车下也。		《管子》__春秋战国
33	桓公管仲鲍叔牙宁 [戚] 四人饮，		《管子》__春秋战国
34	夫文王非無貴 [戚] 也，非無子弟也，非無便嬖也，倜然乃舉太公於州人而用之，豈私之也哉！		《荀子》__春秋战国
35	故王者敬日，霸者敬時，僅存之國危而後 [戚] 之。		《荀子》__春秋战国
36	及入舞，君执干 [戚] 就舞位，君为东上，冕而总干，率其群臣，以乐皇尸。		《礼记》__春秋战国
37	故文飾、粗惡、聲樂、哭泣，恬愉、憂 [戚] ；是反也；然而禮兼而用之，時舉而代御。		《荀子》__春秋战国
38	所以持平奉吉也；粗惡、哭泣、憂 [戚] ，所以持險奉兇也。		《荀子》__春秋战国
39	故說豫、娩澤，憂 [戚] 、萃惡，是吉兇憂愉之情發於顏色者也。		《荀子》__春秋战国
40	夫大尝，升 歌《清庙》，下而管《象》，朱干玉 [戚] ，以舞《大武》八佾，以舞《大夏》，此 天子之乐也。		《礼记》__春秋战国
41	故聽其雅頌之聲，而志意得廣焉；執其干 [戚] ，習其俯仰屈伸， 而容貌得莊焉；行其綴兆，要其節奏，而行列得正焉，進退得齊焉。		《荀子》__春秋战国
42	心之忧矣，自诒伊 [戚] 。		《诗经》__周
43	君子以鐘鼓道志，以琴瑟樂心；動以干 [戚] ，飾以羽旄，從以磬管。		《荀子》__春秋战国
44	鮑叔、甯 [戚] 、隰朋仁知且不蔽，故能持管仲而名利福祿與管仲齊。		《荀子》__春秋战国
45	祖者以功祭也非以 [戚] 祭也，		《管子》__春秋战国
46	為之無益於成也，求之無益於得也，憂 [戚] 之無益於幾也， 則廣焉能棄之矣，不以自妨也，不少頃干之胸中。		《荀子》__春秋战国
47	桓公因与癸乙管子宁 [戚] 相与四坐，		《管子》__春秋战国
48	宁 [戚] 鲍叔牙隰朋宾胥无皆差肓而立，		《管子》__春秋战国
49	礼，与其奢也，宁俭；丧，与其易也，甯 [戚] 。”		《论语》__春秋战国
50	论人者，又必以六 [戚] 四隐。		《吕氏春秋》__春秋战国
51	何谓六 [戚] ？		《吕氏春秋》__春秋战国
52	内则用六 [戚] 四隐，外则用八观六验，人之情伪、贪鄙、美恶无所失矣。		《吕氏春秋》__春秋战国
53	佞言者，谄而干忠；谀言者，博而干智；平言者，决而干勇； [戚] 言者，权而干信；静言者，反而干胜。		《鬼谷子》__春秋战国
54	比音而乐之，及干 [戚] 羽旄，谓之乐。		《礼记》__春秋战国
55	是故先王之制礼乐，人为之节，衰麻哭泣，所以节丧纪也；钟鼓干 [戚] ，所以 和安乐也；昏姻冠笄，所以别男女也；射乡食飨，所以正交接也。		《礼记》__春秋战国
56	故钟鼓管磬，羽干 [戚] ，乐之器也。		《礼记》__春秋战国
57	是月也，命乐师修鞀鞞鼓，均琴瑟管箫，执干 [戚] 戈羽，调竽笙埙篪，饬锺磬柷敔。		《吕氏春秋》__春秋战国
58	干 [戚] 之舞非 备乐也，孰亨而祀非达礼也。		《礼记》__春秋战国
59	然后发以声音，而文以琴瑟，动以干 [戚] ，饰以羽旄，从以箫管。		《礼记》__春秋战国
60	对曰：“官师之所材也， [戚] 施直  ?		《国语》__春秋战国
61	然后钟磬琴瑟以和之，干 [戚] 旄狄以舞之。		《礼记》__春秋战国
62	故听其雅颂之声，志意得广焉；执其干 [戚] ，习其俯仰诎伸，容貌 得庄焉；行其缀兆，要其节奏，行列是正焉，进退得齐焉。		《礼记》__春秋战国
63	蘧☆不可使俯， [戚] 施不可使仰，僬侥不可使举，侏儒不可使援，☆瞍不可使视，嚣☆不可使言，聋聩不可使听，童昏不可使谋。		《国语》__春秋战国
64	其庶姓别于上，而 [戚] 单于下，昏姻可通乎？		《礼记》__春秋战国
65	其交友也，论身义行，不为苟 [戚] ，不同则疏而不悱；不毁进于君，不以刻民尊于国。		《晏子春秋》__春秋战国
66	其兄关弓而射之，则己垂涕泣而道之；无他， [戚] 之也。		《孟子》__春秋战国
67	昔郑有景、栎，卫有蒲、 [戚] ，宋有萧、蒙，鲁有弁、费，齐有渠丘，晋有曲沃，秦有征、衙。		《国语》__春秋战国
68	为蒲、 [戚] 实出献公，宋萧、蒙实弑昭公，鲁弁、费实弱襄公，齐渠丘实杀无知，晋曲沃实纳齐师，秦征、衙实难桓、景，皆志于诸侯，此其不利者也。		《国语》__春秋战国
69	六五，出涕沱若， [戚] 嗟若，吉。		《周易》__周
70	 [戚] 容称其服。”		《礼记》__春秋战国
71	吊死而问疾，颜色 [戚] 容必有以异于人也，如此，而后可以服 三年之丧。		《礼记》__春秋战国
72	若召而下之，将 [戚] 而惧；为之上者，将怒而怨。		《国语》__春秋战国
73	光，弓矢斯张；干戈 [戚] 扬，爰方启行。		《诗经》__周
74	“夫虢石父谗谄巧从之人也，而立以为卿士，与☆同也；弃聘后而立内妾，好穷固也；侏儒 [戚] 施，实御在侧，近顽童也；周法不昭，而妇言是行，用谗慝也；不建立卿士，而姚试幸措，行暗昧也。		《国语》__春秋战国
75	是月也，命乐师修鞀鞞鼓，均琴瑟管箫，执干 [戚] 戈羽，调竽笙埙篪，饬锺磬柷敔，命有司为民气祀山川百原，大雩。		《逸周书》__春秋战国
76	善人不能 [戚] ，恶人不能疏者危。		《晏子春秋》__春秋战国
77	弓矢斯张，干戈 [戚] 场，爰方启行。		《孟子》__春秋战国
