语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：报
2022/7/10 22:53:51

序号	语句	书名	朝代
1	连门门尺 [报] 以绳连之。		《墨子》__春秋战国
2	国人诵之曰：“贞之无 [报] 也。		《国语》__春秋战国
3	然后人 [报] 我以爱利吾亲乎。		《墨子》__春秋战国
4	然后人 [报] 我爱利吾亲乎。		《墨子》__春秋战国
5	然后人 [报] 我以爱利吾亲也。		《墨子》__春秋战国
6	不遍不 [报] ，卒于怨雠。		《国语》__春秋战国
7	吾闻之，惠难遍也，施难 [报] 也。		《国语》__春秋战国
8	毋拔来，毋 [报] 往。		《礼记》__春秋战国
9	凡☆、郊、祖宗、 [报] ，此五者国之典祀也。		《国语》__春秋战国
10	 [报] 葬者 [报] 虞，三月而后卒哭。		《礼记》__春秋战国
11	下殇小功，带，澡麻不绝本，诎而反以 [报] 之。		《礼记》__春秋战国
12	既葬而不 [报] 虞，则虽主人皆冠，		《礼记》__春秋战国
13	及其葬也，反服其服， [报] 虞卒哭则免。		《礼记》__春秋战国
14	如不 [报] 虞		《礼记》__春秋战国
15	子而思 [报] 父母之仇，臣而思 [报] 君之雠，其有敢不尽力者乎？		《国语》__春秋战国
16	国之父兄请曰：“昔者夫差耻吾君于诸侯之国，今越国亦节矣，请 [报] 之。”		《国语》__春秋战国
17	今将反此义以 [报] 此祸，吾王敢无听天之命，而听君王之命乎？”		《国语》__春秋战国
18	范蠡不 [报] 于王，击鼓兴师以随使者，至于姑苏之宫，不伤越民，遂灭吴。		《国语》__春秋战国
19	数故战胜而不 [报] ，取地而不反，兵胜于外，福生于内，用力甚少而名声章明，种亦不如蠡也。”		《国语》__春秋战国
20	劳，力 [报] 反。		《周易》__周
21	吾修令宽刑，施民所欲，去民所恶，称其善，掩其恶，求以 [报] 吴。		《国语》__春秋战国
22	王曰：“越国南则楚，西则晋，北则齐，春秋皮币、玉帛、子女以宾服焉，未尝敢绝，求以 [报] 吴。		《国语》__春秋战国
23	王曰：“越国之中，疾者吾问之，死者吾葬之，老其老，慈其幼，长其孤，问其病，求以 [报] 吴。		《国语》__春秋战国
24	饮食不致味，听乐不尽声，求以 [报] 吴，愿以此战。”		《国语》__春秋战国
25	王曰：“越国之中，富者吾安之，贫者吾与之，救其不足，裁其有余，使贫富皆利之，求以 [报] 吴。		《国语》__春秋战国
26	古者被甲婴胄，非以兴国也，则以征无道也，岂曰以 [报] 其耻哉？		《榖梁传》__春秋战国
27	二吏归 [报] 於君，曰：“宓子不得为书。”		《吕氏春秋》__春秋战国
28	程功积事，推贤而进达之，不望其 [报] 。		《礼记》__春秋战国
29	夫韩虽臣于秦，未尝不为秦病，今若有卒 [报] 之事，韩不可信也。		《韩非子》__春秋战国
30	杜仓相秦，起兵发将以 [报] 天下之怨而先攻荆。		《韩非子》__春秋战国
31	臣斯不得见，请归 [报] ，秦、韩之交必绝矣。		《韩非子》__春秋战国
32	今使臣不通，则韩之信未可知也，夫秦必释赵之患而移兵于韩，愿陛下幸复察图之，而赐臣 [报] 决。		《韩非子》__春秋战国
33	王若曰：“庶邦侯、甸、男、卫，惟予一人钊 [报] 诰。		《尚书》__周
34	若夫豫让为智伯臣也，上不能说人主使之明法术度数之理以避祸难之患，下不能领御其众以安其国；及襄子之杀智伯也，豫让乃自黔劓，败其形容，以为智伯 [报] 襄子之仇。		《韩非子》__春秋战国
35	荀息牵马操璧而 [报] 献公，献公说曰：“璧则犹是也。		《韩非子》__春秋战国
36	他人问左右，尽 [报] 弗闻。		《韩非子》__春秋战国
37	乃召师涓而告之，曰：“有鼓新声者，使人问左右，尽 [报] 弗闻。		《韩非子》__春秋战国
38	夜遣孟谈入晋阳，以 [报] 二君之反。		《韩非子》__春秋战国
39	豫让笑而应之曰：“是先知 [报] 後知也，为故君贼新君矣，大乱君臣之义者无此，失吾所为为之矣。		《吕氏春秋》__春秋战国
40	'”韩使人之楚，楚王因发车骑，陈之下路，谓韩使者曰：“ [报] 韩君，言弊邑之兵今将入境矣。”		《韩非子》__春秋战国
41	皇帝哀矜庶戮之不辜， [报] 虐以威，遏绝苗民，无世在下。		《尚书》__周
42	狱货非宝，惟府辜功， [报] 以庶尤。		《尚书》__周
43	列子追之而不及，反以 [报] 壶子，曰：“已灭矣，已失矣，吾不及也。”		《列子》__春秋战国
44	’”使者行至齐，齐王方大饮，左右官实御者甚众，因令使者进 [报] 。		《吕氏春秋》__春秋战国
45	使者 [报] ，言燕王之甚恐惧而请罪也。		《吕氏春秋》__春秋战国
46	 [报] 以介福，万寿无疆。		《诗经》__周
47	尽杀崔杼之妻子及枝属，烧其室屋， [报] 崔杼曰：“吾已诛之矣。”		《吕氏春秋》__春秋战国
48	三月而反，  [报] 曰：“已得之矣，在沙丘。”		《列子》__春秋战国
49	此而不 [报] ，无以立慬于天下。		《列子》__春秋战国
50	居数年，越 [报] 吴，残其国，绝其世，灭其社稷，夷其宗庙。		《吕氏春秋》__春秋战国
51	又使人往视齐寇，使者 [报] 如前，宋王又怒诎杀之。		《吕氏春秋》__春秋战国
52	今又私患，乡之先视齐寇者，皆以寇之近也 [报] 而死；今也 [报] 其情，死，不 [报] 其情，又恐死。		《吕氏春秋》__春秋战国
53	其兄曰：“如 [报] 其情，有且先夫死者死，先夫亡者亡。”		《吕氏春秋》__春秋战国
54	於是 [报] 於王曰：“殊不知齐寇之所在，国人甚安。”		《吕氏春秋》__春秋战国
55	冒，莫 [报] 反。		《周易》__周
56	鬼神不明囊橐之食无 [报] 明厚德也，		《管子》__春秋战国
57	苦极无福 [报] ，此虚诈耳。		《老子想尔注》__春秋战国
58	投我以木瓜， [报] 之以琼琚。		《诗经》__周
59	匪 [报] 也，永以为好也！		《诗经》__周
60	投我以木桃， [报] 之以琼瑶。		《诗经》__周
61	匪 [报] 也，永以为好也！		《诗经》__周
62	欲蒙天 [报] ，设君父知之，必赏以高官， [报] 以意气，如此功尽，天福不至。		《老子想尔注》__春秋战国
63	丘邴章之子来丹谋 [报] 父之仇。		《列子》__春秋战国
64	虽怒，不能称兵以 [报] 之。		《列子》__春秋战国
65	因贰以济民行，以明失得之 [报] 。		《周易》__周
66	 [报] 之。		《诗经》__周
67	审用财力慎施 [报] 察称量，		《管子》__春秋战国
68	郊之祭，大 [报] 天而主日，配以月，夏后氏祭其暗，殷人祭其阳，周人祭日， 以朝及暗。		《礼记》__春秋战国
69	诸候以缦帛皮四介以为币齐以文锦虎貌皮 [报] ，		《管子》__春秋战国
70	二端既立， [报] 以二礼。		《礼记》__春秋战国
71	建设朝事，燔燎膻 芗，见以萧光，以 [报] 气也。		《礼记》__春秋战国
72	荐黍稷，羞肝肺首心，见间以侠С， 加以郁鬯，以 [报] 魄也。		《礼记》__春秋战国
73	君子反古复始，不忘其 所由生也，是以致其敬，发其情，竭力从事，以 [报] 其亲，不敢弗尽也。		《礼记》__春秋战国
74	礼得其 [报] 则乐，乐得其反则安。		《礼记》__春秋战国
75	礼之 [报] ，乐之反，其义一也。”		《礼记》__春秋战国
76	欲 [报] 之德。		《诗经》__周
