语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：拔
2022/7/10 22:49:49

序号	语句	书名	朝代
1	毋 [拔] 来，毋报往。		《礼记》__春秋战国
2	秋，大熟，未获，天大雷电以风，禾尽偃，大木斯 [拔] ，邦人大恐。		《尚书》__周
3	围梁数旬， 则梁可 [拔] ； [拔] 梁，则魏可举；举魏，则荆、赵之意绝；荆、赵之意绝，则赵危； 赵危而荆狐疑；东以弱齐、燕，中以凌三晋。		《韩非子》__春秋战国
4	自魏襄以来，野战不胜，守城必 [拔] ，小大之战，三晋之所亡于秦者，不可胜数也。		《商君书》__春秋战国
5	大王以诏破之， [拔] 武安。		《韩非子》__春秋战国
6	 [拔] 邯郸，筦山东河间，引军而去，西攻修武，逾是 羊肠，降上党。		《韩非子》__春秋战国
7	然则是赵举，赵举则韩亡，韩亡则荆，魏不能独立，荆、魏不 能独立，则是一举而坏韩蠹魏 [拔] 荆，东以弱齐弱燕，决白马之口以沃魏氏，是一 举而三晋亡，从者败也。		《韩非子》__春秋战国
8	乃复悉士卒以攻邯郸，不能 [拔] 也，弃甲兵弩，战竦而 却，天下固已量秦力二矣。		《韩非子》__春秋战国
9	知伯率三国之众以攻赵襄主于晋阳，决水而灌之三月， 城且 [拔] 矣，襄主钻龟筮占兆，以视利害，何国可降。		《韩非子》__春秋战国
10	今伐韩，未可一年而灭， [拔] 一城而退，则权轻于天下，天下摧我兵矣。		《韩非子》__春秋战国
11	夫进而击赵不能取，退而攻韩弗能 [拔] ，则陷锐文卒勤于野战，负任之旅罢于内攻；则合群苦弱以敌而共二万乘，非所以亡赵之心也。		《韩非子》__春秋战国
12	其城 [拔] 者，死人之力也，客不尽夷城，客无从入，此谓以死人之力与客生力战。		《商君书》__春秋战国
13	三月弗能 [拔] 。		《韩非子》__春秋战国
14	兵之著于晋阳三年，今旦暮将 [拔] 之而飨其利，何乃将有他心？		《韩非子》__春秋战国
15	宜阳果 [拔] ，为诸候笑。		《韩非子》__春秋战国
16	次非攘臂袪衣， [拔] 宝剑曰：“此江中之腐肉朽骨也！		《吕氏春秋》__春秋战国
17	魏安釐王攻燕救赵，取地河东；攻尽陶、魏之地；加兵于齐，私平陆之都；攻韩 [拔] 管，胜于淇下；睢阳之事，荆军老而走；蔡、召陵之事，荆军破；兵四布于天下，威行于冠带之国；安釐王死而魏以亡。		《韩非子》__春秋战国
18	冬，仲孙何忌及邾子盟于 [拔] 。		《榖梁传》__春秋战国
19	 [拔] 矢而走，伏尸插矢而疾言曰：“群臣乱王！”		《吕氏春秋》__春秋战国
20	54.善建者不 [拔] 。		《老子》__春秋战国
21	荆灵王闻之，率诸侯以攻吴，围朱方， [拔] 之。		《吕氏春秋》__春秋战国
22	公曰左之，舍 [拔] 则获。		《诗经》__周
23	文公即位二年，厎之以勇，故三年而士尽果敢；城濮之战，五败荆人，围卫取曹， [拔] 石社，定天子之位，成尊名於天下，用此士也。		《吕氏春秋》__春秋战国
24	堂上不糞，則郊草不瞻曠蕓；白刃捍乎胸，則目不見流矢； [拔] 戟加乎首，則十指不辭斷；非不以此為務也，疾養緩急之有相先者也。		《荀子》__春秋战国
25	攻国 [拔] 邑不恃权与之国。		《管子》__春秋战国
26	乐则行之，忧则违之，确乎其不可 [拔] ，潜龙也。”		《周易》__周
27	奋疾而不 [拔] ，极幽而不隐。		《礼记》__春秋战国
28	初九， [拔] 茅茹以其汇。		《周易》__周
29	《象》曰：“ [拔] 茅征吉”，志在外也。		《周易》__周
30	初六， [拔] 茅茹以其汇。		《周易》__周
31	《象》曰：“ [拔] 茅贞吉”，志在君也。		《周易》__周
32	譬之犹秋蓬也，孤其根而美枝叶，秋风一至，根且 [拔] 矣。”		《晏子春秋》__春秋战国
33	出于其类， [拔] 乎其萃，自生民以来，未有盛于孔子也。		《孟子》__春秋战国
34	孔子 [拔] 树削迹，不自以为辱；穷陈蔡，不自以为约；非人不得其故，是犹泽人之非斤斧，山人之非网罟也。		《晏子春秋》__春秋战国
35	孟子曰：“杨子取为我， [拔] 一毛而利天下，不为也。		《孟子》__春秋战国
36	柞棫 [拔] 矣，行道兑矣。		《诗经》__周
37	帝省其山，柞棫斯 [拔] ，松柏斯兑。		《诗经》__周
38	是而无闷，乐则行之，忧则违之，确乎其不可 [拔] ，潜龙也。”		《周易》__周
39	，为君攻之，虏其人民，系其牛马，使其君内热发于背，然后 [拔] 其国		《庄子》__春秋战国
40	初九， [拔] 茅茹以其汇，征吉。		《周易》__周
41	!三阳在下，相连而进， [拔] 		《周易》__周
42	《象》曰： [拔] 茅征吉，志在外也。		《周易》__周
43	 [拔] 搴玄芝兮，列树芋荷。		《楚辞》__春秋战国
44	初六， [拔] 茅茹以其汇，贞吉亨。		《周易》__周
45	《象》曰： [拔] 茅贞吉，志在君也。		《周易》__周
46	冬，仲孙何忌及邾子盟于 [拔] 。		《左传》__春秋战国
47	一夫九首， [拔] 木九千些。		《楚辞》__春秋战国
48	公孙阏与颍考叔争车，颍考叔挟辀以走，子都 [拔] 棘以逐之，及大逵，弗及，子都怒。		《左传》__春秋战国
49	浸浸日多，道路张弓 [拔] 刃，然后敢行，其乱如此。		《汉书》__汉
50	狄虒弥建大车之轮而蒙之以甲以为橹，左执之，右 [拔] 戟，以成一队。		《左传》__春秋战国
51	之慝；不择善否，两容颊适，偷 [拔] 其所欲，谓之险。		《庄子》__春秋战国
52	吾谓鲁君曰：‘必服恭俭， [拔] 出公忠之属而无阿私，民孰敢不		《庄子》__春秋战国
53	官施而不失其宜， [拔] 举而不失		《庄子》__春秋战国
54	晋人或以广队不能进，楚人惎之脱扃，少进，马还，又惎之 [拔] 旆投衡，乃出。		《左传》__春秋战国
55	七事：一滕咎信志，二援 [拔] 渎谋，三聚疑沮事，四滕属威众，五处宽身降，六陵塞胜备，七录兵免戎。		《逸周书》__春秋战国
56	其后汉兵击 [拔] 朝鲜，以为乐浪、玄菟郡。		《汉书》__汉
57	 [拔] ，茏葛。		《尔雅》__汉
58	卷施草， [拔] 心不死。		《尔雅》__汉
59	曰：“余体民，无小不敬，若毛在躬， [拔] 之痛，无不省。		《逸周书》__春秋战国
60	田开之曰：“开之操 [拔] 囗（上“竹”下“彗”音ｈｕｉ４）		《庄子》__春秋战国
61	余小臣不得上，乃悉持龙髯，龙髯 [拔] ，堕，堕黄帝之弓。		《汉书》__汉
62	曰之美也，解其柯；柯之美也，离其枝；枝之美也， [拔] 其本。		《逸周书》__春秋战国
63	其后，义渠之戎筑城郭以自守，而秦稍蚕食之，至于惠王，遂 [拔] 义渠二十五城。		《汉书》__汉
64	其法， [拔] 刃尺者死，坐盗者没入其家；有罪，小者轧，大者死。		《汉书》__汉
65	又初罢甘泉泰畤作南郊日，大风坏甘泉竹宫，折 [拔] 畤中树木十围以上百余。		《汉书》__汉
66	是时，汉东 [拔] 濊貉、朝鲜以为郡，而西置酒泉郡以隔绝胡与羌通之路。		《汉书》__汉
67	于是匈奴数使奇兵侵犯汉边，汉乃拜郭昌为 [拔] 胡将军，乃E4B7野侯屯朔方以东，备胡。		《汉书》__汉
68	若秦 [拔] 鄢陵而不能东攻单父，欲攻粱（梁），此粱（梁）楚齐之大福已。		《纵横家书》__春秋战国
69	秦 [拔] 鄢陵，必归休兵。		《纵横家书》__春秋战国
70	若粱（梁）王不出粱（梁），秦 [拔] 鄢陵，必攻粱（梁），必急。		《纵横家书》__春秋战国
71	三月癸未，大风自西摇祖宗寝庙，扬裂帷席，折 [拔] 树木，顿僵车辇，毁坏槛屋，灾及宗庙，足为寒心！		《汉书》__汉
72	为秦据赵而攻燕， [拔] 二城。		《纵横家书》__春秋战国
73	若秦 [拔] 焉陵，必不能掊（背）粱（梁）、黄、济阳、陶、睢阳而攻单父，是计二得也。		《纵横家书》__春秋战国
74	见田☆于粱（梁）南，曰：“秦攻鄢陵几 [拔] 用处。		《纵横家书》__春秋战国
75	从林军以至于今，秦七攻魏，五入囿中，边城尽 [拔] ，支台随（堕），垂都然（燃），林木伐，麋鹿尽，而国续以围。		《纵横家书》__春秋战国
76	齐人攻燕， [拔] 故国，杀子之，燕人不割而故国复反。		《纵横家书》__春秋战国
77	须贾说穰侯曰：“臣闻魏王长吏胃（谓）魏王曰：‘初时者，惠王伐赵，战胜三粱（梁）， [拔] 邯郸，赵氏不割而邯郸复归。		《纵横家书》__春秋战国
78	攻而弗 [拔] ，秦兵必罢（疲），陶愁亡，则前功有必弃矣。		《纵横家书》__春秋战国
79	觳、悉、卒、泯、忽、灭、罄、空、毕、{毄缶}、歼、 [拔] 、殄，尽也。		《尔雅》__汉
80	陈平起于亡命而为谋主，韩信 [拔] 于行陈而建上将。		《汉书》__汉
81	在秦者错，与张仪争论，于是惠王使错将兵伐蜀，遂 [拔] ，因而守之。		《汉书》__汉
82	乌戈地暑热莽平，其草木、畜产、五谷、果菜、食饮、宫室、市列、钱货、兵器、金珠之属皆与E47B宾同，而有桃 [拔] 、师子、犀子。		《汉书》__汉
83	 [拔] 而傅尸鸠，其累矣夫！		《法言》__汉
84	皆破折瓦坏，发屋 [拔] 木，予甚惊焉。		《汉书》__汉
85	颜回释菜於户外，子路、子贡相与言曰“夫子逐於鲁，削迹於卫， [拔] 树於宋，今复见厄於此。		《风俗通义》__汉
86	上惊起，左右 [拔] 刃欲格之，上恐并中日磾，止勿格。		《汉书》__汉
87	七月，大风 [拔] 树，飞北阙直城门屋瓦。		《汉书》__汉
88	廉丹、王匡攻 [拔] 之，斩首万余级。		《汉书》__汉
89	赤眉别校董宪等众数万人在梁郡，王匡欲进击之，廉丹以为新 [拔] 城罢劳，当且休士养威。		《汉书》__汉
90	待见未发，会世祖与兄齐武王伯升、宛人李通等帅舂陵子弟数千人，招致新市平林硃鲔、陈牧等合攻 [拔] 棘阳。		《汉书》__汉
91	前后所言皆合指施行，硃博果见 [拔] 用。		《汉书》__汉
92	中黄门各 [拔] 刃将忠等送庐，忠 [拔] 剑欲自刎，侍中王望传言大司马反，黄门持剑共格杀之。		《汉书》__汉
93	省中相惊传，勒兵至郎署，皆 [拔] 刃张弩。		《汉书》__汉
94	晔自称辅汉左将军，匡右将军， [拔] 析、丹水，攻武关，都尉硃萌降。		《汉书》__汉
95	进攻右队大夫宋纲，杀之，西 [拔] 湖。		《汉书》__汉
96	晋大夫反首 [拔] 舍従之。		《左传》__春秋战国
97	秋七月，大风 [拔] 木。		《汉书》__汉
98	戎马、车徒、干戈素具，春振旅以搜，夏 [拔] 舍以苗，秋治兵以狝，冬大阅以狩，皆于农隙以讲事焉。		《汉书》__汉
99	匈奴寇边，遣 [拔] 胡将军郭昌屯朔方。		《汉书》__汉
