语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：持
2023/1/20 15:57:09

序号	语句	书名	朝代
1	众智众能之所 [持] 也，不可以一物一方安车也。		《吕氏春秋》__春秋战国
2	故射者，进退周还必中礼，内志正，外体直，然后 [持] 弓矢审固， [持] 弓矢审固， 然后可以言中，此可以观德行矣。		《礼记》__春秋战国
3	故心平体正， [持] 弓矢审 固， [持] 弓矢审固，则射中矣。		《礼记》__春秋战国
4	 [持] 社稷立功名之道，不得不然也。		《吕氏春秋》__春秋战国
5	 [持] 盈者与天，定倾者与人，节事者与地。”		《国语》__春秋战国
6	对曰：“ [持] 盈者与天，定倾者与人，节事者与地。		《国语》__春秋战国
7	越王句践即位三年而欲伐吴，范蠡建谏曰：“夫国家之事，有 [持] 盈，有 [持] 倾，有节事。”		《国语》__春秋战国
8	致命，犹言授命，言 [持] 以与		《周易》__周
9	故兴王有道，而 [持] 之异理。		《商君书》__春秋战国
10	武王逆取而贵顺；争天下而上让；其取之以力， [持] 之以义。		《商君书》__春秋战国
11	政久 [持] 胜术者，必强至王。		《商君书》__春秋战国
12	讬於犀车良马之上，则可以陆犯阪阻之患；乘舟之安， [持] 楫之利，则可以水绝江河之难；操法术之数，行重罚严诛，则可以致霸王之功。		《韩非子》__春秋战国
13	夫妻 [持] 政，子无适从。		《韩非子》__春秋战国
14	君子知夫不全不粹之不足以為美也，故誦數以貫之， 思索以通之，為其人以處之，除其害者以 [持] 養之。		《荀子》__春秋战国
15	山淵平」，「天地比」，「齊秦襲」，「入乎耳，出乎口」，「鉤有須」，「卵有毛」，是說之難 [持] 者也，而惠施鄧析能之。		《荀子》__春秋战国
16	9. [持] 而盈之不如其己；揣而锐之不可长保；金玉满堂莫之能守；富贵而骄，自遗		《老子》__春秋战国
17	夫知保抱携 [持] 厥妇子，以哀吁天，徂厥亡，出执。		《尚书》__周
18	子胥父诛于楚也，挟弓 [持] 矢而干阖庐。		《榖梁传》__春秋战国
19	義之所在，不傾於權，不顧其利，舉國而與之不為改視，重死 [持] 義而不橈，是士君子之勇也。		《荀子》__春秋战国
