语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：按
2022/7/10 22:35:59

序号	语句	书名	朝代
1	故 [按] 其实而审其名，以求其情；听其言而察其类，无使方悖。		《吕氏春秋》__春秋战国
2	愚 [按] ：此因有土有财而言，以明足国之道在乎务本而节b，非必外本内末而后财可聚也。		《大学中庸》__春秋战国
3	今 [按] 他书引此，亦多作		《周易》__周
4	兵出，必取；取，必能有之； [按] 兵而不攻，必富。		《商君书》__春秋战国
5	曹翙 [按] 剑当两陛之间曰：“且二君将改图，毋或进者！”		《吕氏春秋》__春秋战国
6	国去此十者，敌不敢至，虽至必却；兴兵而伐，必取； [按] 兵不伐，必富。		《商君书》__春秋战国
7	不用八者治，敌不敢至；虽至，必却；兴兵而伐，必取；取，必能有之； [按] 兵而不攻，必富。		《商君书》__春秋战国
8	 [按] 兵而农，粟爵粟任，则国富。		《商君书》__春秋战国
9	兵起而胜敌， [按] 兵而国富者王。		《商君书》__春秋战国
10	赵简子 [按] 兵而不动。		《吕氏春秋》__春秋战国
11	故简子之时，卫以十人者 [按] 赵之兵，殁简子之身。		《吕氏春秋》__春秋战国
12	秦君以为然，乃 [按] 兵，辍不敢攻之。		《吕氏春秋》__春秋战国
13	衍”之后，今 [按] 宜在此。		《周易》__周
14	 [按] 《荀子》云：“窥敌制变，欲		《周易》__周
15	人皆亂，我獨治；人皆危，我獨安；人皆喪失之，我 [按] 起而制之。		《荀子》__春秋战国
16	是月也，工师效功，陈祭器， [按] 度程，无或作为淫巧，以荡上心，必功致为上。		《吕氏春秋》__春秋战国
17	王赫斯怒，爰整其旅，以 [按] 徂旅。		《诗经》__周
18	“故曰事阻者不夷，时□者不回，面誉者不忠，饰貌者不静，假节者不平，多私者不义，扬言者卦 [按] 信，此之谓揆德。”		《逸周书》__春秋战国
19	! [按] ，《魏志》作		《周易》__周
20	古字“顺”、“慎”通用， [按] 此当		《周易》__周
21	弗省察而 [按] 实兮，听谗人之虚辞。		《楚辞》__春秋战国
22	然中路而迷惑兮，自厌 [按] 而学诵。		《楚辞》__春秋战国
23	’”今 [按] 四德虽非本义，然其下云云，深得占法之意。		《周易》__周
24	陈锺 [按] 鼓，造新歌些。		《楚辞》__春秋战国
25	宾奠币如初，举币、受马如 [按] 。		《仪礼》__春秋战国
26	以捕 [按] 太后外孙脩成子中，上以为能，迁为河内都尉。		《汉书》__汉
27	至郡，遂 [按] 甯氏，破碎其家。		《汉书》__汉
28	延年 [按] 剑，廷叱群臣，即日议决，语在《光传》。		《汉书》__汉
29	延年至，遣掾蠡吾赵绣 [按] 高氏得其死罪。		《汉书》__汉
30	夜入，晨将至市论杀之，先所 [按] 者死，吏皆股弁。		《汉书》__汉
31	 [按] 其狱，皆文致不可得反。		《汉书》__汉
32	事下御史丞 [按] 验，有此数事，以结延年，坐怨望非谤政治不道弃市。		《汉书》__汉
33	 [按] 《春秋》鲁定公、哀公时，季氏之恶已孰，而孔子之圣方盛。		《汉书》__汉
34	汉 [按] 诛梁大臣，斧戊用。		《汉书》__汉
35	窦太后不好儒术，使人微伺赵绾等奸利事， [按] 绾、臧，绾、臧自杀，诸所兴为皆废。		《汉书》__汉
36	已而 [按] 其刻，果齐桓公器。		《汉书》__汉
37	 [按] 道攻巷，无袭门户。		《逸周书》__春秋战国
38	今臣窃为将军私计，不如少案（ [按] ）之，毋庸出兵，秦未得志于楚，必重粱（梁），粱（梁）未得志于楚，必重秦，是将军两重。		《纵横家书》__春秋战国
39	商部属 [按] 问，凤以晓商曰：“灾异天事，非人力所为。		《汉书》__汉
40	讫、徽、妥、怀、安、 [按] 、替、戾、底、废、尼、定、曷、遏，止也。		《尔雅》__汉
41	’臣谨 [按] 军法曰：‘正亡属将军，将军有罪以闻，二千石以下行法焉。		《汉书》__汉
42	莽遂 [按] 通父子、遵、茂兄弟及南郡太守辛伯等，皆诛杀之。		《汉书》__汉
43	光欲夺之，郎 [按] 剑曰：“臣头可得，玺不可得也！”		《汉书》__汉
44	又 [按] 金匮，辅臣皆封拜。		《汉书》__汉
45	莽 [按] 符命求得此姓名十余人，两人容貌应卜相，径从布衣登用，以视神焉。		《汉书》__汉
46	田延年前，离席 [按] 剑，曰：“先帝属将军以幼孤，寄将军以天下，以将军忠贤能安刘氏也。		《汉书》__汉
47	又宗舅吕宽家前徙合浦，私与宗通，发觉 [按] 验，宗自杀。		《汉书》__汉
48	凉君明贤批把谨 [按] 此近世乐家所作，不知谁也。		《风俗通义》__汉
49	谨 [按] 礼乐记：武帝时丘仲之所作也。		《风俗通义》__汉
50	谨 [按] 礼乐记：“管，三十六簧也，长四尺二寸。”		《风俗通义》__汉
51	谨 [按] 易称：“日＋之离，不鼓缶而歌。”		《风俗通义》__汉
52	＋   谨 [按] 汉书注：“＋，＋也。”		《风俗通义》__汉
53	＋   谨 [按] 汉书旧注：“＋，吹＋也。”		《风俗通义》__汉
54	籁  谨 [按] 礼乐记：“三孔＋也。		《风俗通义》__汉
55	谨 [按] 世本：“苏成公作＋。”		《风俗通义》__汉
56	谨 [按] 周礼：“＋  师氏掌教国子吹＋  。”		《风俗通义》__汉
57	谨 [按] 世本：“女娲作簧。”		《风俗通义》__汉
58	谨 [按] <<尚书>>曰：“人惟求旧。”		《风俗通义》__汉
59	是岁，大司马士 [按] 章豫州，为贼所获，贼送付县。		《汉书》__汉
60	臣诚惧史官畏忌，不敢极言，惟陛下深留圣思， [按] 图书之文，鉴古今之戒，召见方直，极言而靡讳，亲贤纳忠，推诚应人，犹影响也。		《风俗通义》__汉
61	谨 [按] 论语：“能以礼让为国乎？		《风俗通义》__汉
62	谨 [按] 论语：“澹台灭明非公事，未尝至於偃之室也。		《风俗通义》__汉
63	谨 [按] 周礼：保氏掌六艺之教，其一曰御。		《风俗通义》__汉
64	谨 [按] 春秋尊公曰宰		《风俗通义》__汉
65	谨 [按] <<周礼>>：“十里为成，成间广八尺，深八尺，故谓之洫。”		《风俗通义》__汉
66	谨 [按] 易称：“君子之道，或出或隐，或默或语。”		《风俗通义》__汉
67	谨 [按] 世本“神农作琴。”		《风俗通义》__汉
68	’钟谨 [按] 世本：“垂作钟。”		《风俗通义》__汉
69	会世祖悉发郾、定陵兵数千人来救昆阳，寻、邑易之，自将万余人行陈，敕诸营皆 [按] 部毋得动，独迎，与汉兵战，不利。		《汉书》__汉
70	谨 [按] 世本：“毋句作磬。”		《风俗通义》__汉
71	谨 [按] 太史公记：燕太子丹遣荆轲欲西刺秦王，与客送之易水而设祖道。		《风俗通义》__汉
72	谨 [按] 礼乐记：“筝，五弦筑身也。”		《风俗通义》__汉
73	谨 [按] 汉书：孝武皇帝赛南越，祷祠太乙、後土，始用乐人侯调依琴作坎坎之乐，言其坎坎应节奏也，侯以姓冠章耳。		《风俗通义》__汉
74	谨 [按] 刘歆律书：“羽者，宇也，物聚藏宇覆之也。		《风俗通义》__汉
75	谨 [按] 刘歆钟律书：“徵者，祉也，物盛大而繁祉也。		《风俗通义》__汉
76	宫谨 [按] 刘歆钟律书：“宫者，中也，居中央，畅四方，倡始施生，为四声纲也。		《风俗通义》__汉
77	谨 [按] 刘歆律书：“角者，触也，物触地而出，戴芒角也。		《风俗通义》__汉
78	谨 [按] 刘歆钟律书“商者，章也，物成熟可章度也。		《风俗通义》__汉
79	谨 [按] 世本：“宓义作。”		《风俗通义》__汉
80	管谨 [按] 诗云：“＋＋管声，萧管备举。”		《风俗通义》__汉
81	谨 [按] 易称：“鼓之以雷霆”，圣人则之。		《风俗通义》__汉
82	史熊、王况诣阙归死，莽使使责死者 [按] 在，皆自杀；其四虎亡。		《汉书》__汉
83	谨 [按] 世本：“随作笙。”		《风俗通义》__汉
84	谨 [按] 世本：“暴辛公作＋。”		《风俗通义》__汉
85	谨 [按] 北部督邮西平郅伯夷年三十所，大有才决，长沙太守郅君章孙也。		《风俗通义》__汉
86	世间人家多有见赤白光为变怪者谨 [按] 太尉梁国桥玄公祖为司徒长史，五月末所，于中门外卧，夜半後，见东壁正白，如开门明，呼问左右，左右莫见。		《风俗通义》__汉
87	世间多有蛇作怪者谨 [按] 车骑将军巴郡冯a鸿卿为议郎，发绶笥，有二赤蛇，可长二尺，分南北走，大用忧怖。		《风俗通义》__汉
88	谨 [按] 桂阳太守江夏张辽叔高去鄢令家居，买田，田中有大树十余围，扶疏盖数亩地，播不生谷，遣客伐之，木中血出。		《风俗通义》__汉
89	世间多有精物妖怪百端   谨 [按] 鲁相右扶凤臧仲英为侍御史，家人作食设桉，倏有不清尘土投污之。		《风俗通义》__汉
90	世间多有亡人魄持其家语声气，所说良是   谨 [按] 陈国张汉直到南阳从京兆尹延叔坚读<<左氏傅>>，行後数月，鬼物持其女弟，言：“我痛死，丧在陌上，常苦饥寒。		《风俗通义》__汉
91	谨 [按] 汝南汝阳彭氏墓路头立一石人，在石兽後。		《风俗通义》__汉
92	谨 [按] 桂阳太守汝南李叔坚，少时为从事，在家，狗如人立行，家言当杀之。		《风俗通义》__汉
93	谨 [按] 司空南阳来季德停丧在殡，忽然坐祭床上，颜色服饰声气熟是也。		《风俗通义》__汉
94	谨 [按] <<春秋左氏傅>>：“培☆无松柏。”		《风俗通义》__汉
95	谨 [按] <<诗>>云：“如山如阜。”		《风俗通义》__汉
96	谨 [按] <<尚书>>：“舜生姚墟。”		《风俗通义》__汉
97	谨 [按] <<尚书>>：“民乃降丘度土。”		《风俗通义》__汉
98	谨 [按] <<诗>>云：“如山如陵。”		《风俗通义》__汉
99	谨 [按] <<尔雅>>：“丘之绝高大者为京。”		《风俗通义》__汉
100	谨 [按] <<周礼>>：“沟者，沟也，广四尺，深四尺。”		《风俗通义》__汉
101	谨 [按] 傅曰：“渠者，水所居也。”		《风俗通义》__汉
102	谨 [按] <<尔雅>>：“薮者，泽也。		《风俗通义》__汉
103	谨 [按] 传曰：“陂者，繁也，言因下钟水以繁利万物也。”		《风俗通义》__汉
104	湖  谨 [按] <<春秋国语>>：“伍子胥谏吴王：‘与我争五湖之利，非越乎？		《风俗通义》__汉
105	谨 [按] <<尚书>>，<<春秋公羊传>>：“齐景公循海而东，师大陷沛泽之中。”		《风俗通义》__汉
106	沆   谨 [按] 传曰：“沆者，莽也，言其平望莽莽无涯际也。		《风俗通义》__汉
107	泽   谨 [按] <<尚书>:“雷夏既泽”。		《风俗通义》__汉
108	谨 [按] <<诗>>云：“殷商之旅，其会如林。”		《风俗通义》__汉
109	谨 [按] <<尚书大傅>>、<<礼三正记>>，江、河、淮、济为四渎。		《风俗通义》__汉
110	谨 [按] <<尚书>>：“岁二月，东巡狩，至于岱宗，柴。”		《风俗通义》__汉
111	谨 [按] <<尚书>>：尧禅舜，“纳于大麓。”		《风俗通义》__汉
112	谨 [按] <<黄帝书>>“上古之时，有神荼与郁垒昆弟二人，性能执鬼。		《风俗通义》__汉
113	谨 [按] <<周礼>>：“以☆燎祀雨师。”		《风俗通义》__汉
114	腊  谨 [按] <<礼传>>：“夏曰嘉平，殷曰清祀，周曰大蜡，汉改为腊。”		《风俗通义》__汉
115	谨 [按] <<韩子书>>：“山居谷汲者，a腊而遗水。”		《风俗通义》__汉
116	谨 [按] <<月令>>：“九门磔禳，以毕春气。”		《风俗通义》__汉
117	谨 [按] <<春秋左氏传>>：“周大夫宾孟适郊，见雄鸡自断其尾，归以告景王曰：‘惮其为牺也。		《风俗通义》__汉
118	谨 [按] <<春秋左氏传>>曰：“夏四月，三卜郊不从，乃免牲。		《风俗通义》__汉
119	谨 [按] <<周礼>>：“以a 燎祀风师。”		《风俗通义》__汉
120	谨 [按] <<明堂月令>>：“孟冬之月，其祀灶也。”		《风俗通义》__汉
121	谨 [按] 祀典既以立稷，又有先农，无为灵星复祀後稷也。		《风俗通义》__汉
