语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：振
2022/7/10 23:10:47

序号	语句	书名	朝代
1	鼓之舞之之谓作，言 [振] 起其自新之民也。		《大学中庸》__春秋战国
2	春以☆ [振] 旅，秋以☆治兵。		《国语》__春秋战国
3	班师 [振] 旅。		《尚书》__周
4	对曰：“童谣有之曰：‘丙之晨，龙尾伏辰，均服 [振]  [振] ，取虢之☆。		《国语》__春秋战国
5	若以邪临民，陷而不 [振] ，用善不肯专，则不能使，至于殄灭而莫之恤也，将安用之？		《国语》__春秋战国
6	困者，穷而不能自 [振] 之义。		《周易》__周
7	无姬姓之 [振] 也，徒遽来告。		《国语》__春秋战国
8	昧明，王乃秉☆，亲就鸣钟鼓、丁宁、☆于 [振] 铎，勇怯尽应，三军皆哗☆以 [振] 旅，其声动天地。		《国语》__春秋战国
9	饰棺，君龙帷三池， [振] 容。		《礼记》__春秋战国
10	大夫画帷二池，不 [振] 容。		《礼记》__春秋战国
11	秦师至，鄢、郢举，若 [振] 槁；唐蔑死于垂涉，庄☆发于内，楚分为五。		《商君书》__春秋战国
12	 [振] 木铎于朝，天子之 政也。		《礼记》__春秋战国
13	故诸侯挠其弱，乘其衰，土地侵削而不 [振] ，则无及已。		《商君书》__春秋战国
14	今以吾言为宰虏，而可以听用而 [振] 世，此非能仕之所耻也。		《韩非子》__春秋战国
15	故新浴者 [振] 其衣，新沐者彈其冠，人之情也。		《荀子》__春秋战国
16	為事利，爭貨財，無辭讓，果敢而 [振] ，猛貪而戾，■■然惟利之見，是賈盜之勇也。		《荀子》__春秋战国
17	三曰：今夫龠蝉者，务在乎明其火、 [振] 其树而已。		《吕氏春秋》__春秋战国
18	火不明，虽 [振] 其树，何益？		《吕氏春秋》__春秋战国
19	王者之人∶飾動以禮義，聽斷以類，明 [振] 毫末， 舉措應變而不窮，夫是之謂有原。		《荀子》__春秋战国
20	全道德，致隆高，綦文理，一天下， [振] 毫末，使天下莫不順比從服，天王之事也。		《荀子》__春秋战国
21	此百姓之怠生百 [振] 而食非独自为也，		《管子》__春秋战国
22	蒲且子之弋也， 弱弓纤缴，乘风 [振] 之，连双仓于青云之际。		《列子》__春秋战国
23	及以燕趙起而攻之，若 [振] 槁然，而身死國亡，為天下大戮，後世言惡，則必稽焉。		《荀子》__春秋战国
24	文公施舍， [振] 废滞，匡乏困，救灾患，禁淫慝，薄赋敛，宥罪戾，节器用，用民以时，败荆人于城濮，定襄王，释宋，出谷戍，外内皆服，而後晋乱止。		《吕氏春秋》__春秋战国
25	饯于郊衢， 抚节悲歌，声 [振] 林木，响遏行云。		《列子》__春秋战国
26	是故将与之惠厚不能供将杀之严威不能 [振] 严威不能 [振] 惠厚不能供，		《管子》__春秋战国
27	火浣之布，浣之必投于火；布则火色，垢则布色；出火而 [振]  之，皓然疑乎雪。		《列子》__春秋战国
28	高田抚间田不被谷十倍山田以君寄币 [振] 其不赡未淫失也，		《管子》__春秋战国
29	谷贾去上岁之分以币 [振] 之，		《管子》__春秋战国
30	夫耀蟬者，務在明其火， [振] 其樹而已；火不明，雖 [振] 其樹，無益也。		《荀子》__春秋战国
31	 [振]  [振] 君子，归哉归哉！		《诗经》__周
32	 [振]  [振] 君子，归哉归哉！		《诗经》__周
33	 [振]  [振] 君子，归哉归哉！		《诗经》__周
34	汝潁以為險，江漢以為池，限之以鄧林，緣之以方城；然而秦師至，而鄢郢舉，若 [振] 槁然，是豈無固塞隘阻也哉！		《荀子》__春秋战国
35	顺天者有其功逆天者怀其凶不可复 [振] 也，		《管子》__春秋战国
36	宜尔子孙， [振]  [振] 兮。		《诗经》__周
37	麟之趾， [振]  [振] 公子，于嗟麟兮。		《诗经》__周
38	聖不在後子而在三公，則天下如歸，猶復而 [振] 之矣。		《荀子》__春秋战国
39	南面而聽天下，生民之屬莫不 [振] 動從服以化順之。		《荀子》__春秋战国
40	贤者死忠以 [振] 疑百姓寓焉，		《管子》__春秋战国
41	东风解冻，蛰虫始 [振] ，鱼上冰，獭祭鱼，候雁北。		《吕氏春秋》__春秋战国
