语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：捉
2023/1/20 16:00:02

序号	语句	书名	朝代
1	五曰：昔者禹一沐而三 [捉] 发，一食而三起，以礼有道之士，通乎己之不足也。		《吕氏春秋》__春秋战国
2	外囗（“鹱”字以“革”代“鸟”音ｈｕ４）者不可繁而 [捉] ，将内囗		《庄子》__春秋战国
3	 [捉] ，将外ｊｉａｎ４；外内ｈｕ４者，道德不能持，而况放道而行者		《庄子》__春秋战国
4	正冠而缨绝， [捉] 襟		《庄子》__春秋战国
5	叔孙将沐，闻君至，喜， [捉] 发走出，前驱射而杀之。		《左传》__春秋战国
6	昔周公躬吐 [捉] 之劳，故有圉空之隆；齐桓设庭燎之礼，故有匡合之功。		《汉书》__汉
7	当此之时，一馈而十起，一沐而三 [捉] 发，以劳天下之民。		《淮南子》__汉
8	然我一沐三 [捉] 发，一饭三吐哺，起以待士，犹恐失天下之贤人。		《史记》__汉
9	作是念已，便 [捉] ☆牛母子，各系异处。		《百喻经》__魏晋六朝
10	尔时诸人得一父驴，欲☆其乳，争共 [捉] 之。		《百喻经》__魏晋六朝
11	其中有 [捉] 头者，有 [捉] 耳者，有 [捉] 尾者，有 [捉] 脚者，复有 [捉] 器者，各欲先得，於前饮之。		《百喻经》__魏晋六朝
12	中 [捉] 驴根，谓呼是乳，即便☆之，望得其乳。		《百喻经》__魏晋六朝
13	敕一臣言：“汝 [捉] 一机		《百喻经》__魏晋六朝
14	时彼使人羞不肯 [捉] ，而白王言：“我不能 [捉] ，我愿担之。”		《百喻经》__魏晋六朝
15	若见女人一发在地，自言持戒，不肯 [捉] 之。		《百喻经》__魏晋六朝
16	後为烦恼所惑，三十六物一时都 [捉] ，不生惭愧，至死不舍。		《百喻经》__魏晋六朝
17	王闻是语，即大☆恚，竟不究悉谁作此语，信傍佞人， [捉] 一贤臣，仰使剥脊，取百两肉。		《百喻经》__魏晋六朝
18	伯夷怀小刀，因 [捉] 一人而刺之。		《抱朴子》__魏晋六朝
19	神武曰：“尔何放而复言 [捉] 邪？”		《北史》__魏晋六朝
20	乃多作劲木白棒，选异力精卒五千人为先登，尽 [捉] 掊彼山贼。		《抱朴子》__魏晋六朝
21	叔母贺拔及兒元宝、汝叔母纥干及兒菩提并吾与汝六人，同被禽 [捉] 入定州城。		《北史》__魏晋六朝
22	吾共汝叔母闻知，各 [捉] 其兒打之。		《北史》__魏晋六朝
23	行山中，见小人乘车马，长七八寸者，肉芝也， [捉] 取服之即仙矣。		《抱朴子》__魏晋六朝
24	然则刑之为物，国之神器，君所自执，不可假人，犹长剑不可倒 [捉] ，巨鱼不可脱渊也。		《抱朴子》__魏晋六朝
25	尔时梵志 [捉] 持力捷疾臂将至佛所。		《北凉译经》__魏晋六朝
26	浑大臣也，家世隆盛，身 [捉] 禁兵，不宜然。”		《北史》__魏晋六朝
27	命 [捉] 来，骂云：“我好欲放你，敢如此不逊！”		《北史》__魏晋六朝
28	此人即时抱箧 [捉] 杖蹑屐而飞。		《百喻经》__魏晋六朝
29	一弟子行，其一弟子 [捉] 其所当按摩之脚，以石打折。		《百喻经》__魏晋六朝
30	彼既来已，忿其如是，复 [捉] 其人所按之脚，寻复打折。		《百喻经》__魏晋六朝
31	守者 [捉] 得，将诣王所，而於中道复更和声作鸳鸯鸣。		《百喻经》__魏晋六朝
32	见善获利，内无真心，但为利养，来附於法，命终之後，堕於恶处，如 [捉] 毒蛇被螫而死。		《百喻经》__魏晋六朝
33	熊欲来搏，尔时老母绕树走避，熊寻後逐，一手抱树，欲 [捉] 老母。		《百喻经》__魏晋六朝
34	更有异人来至其所，老母语言：“汝共我 [捉] ，杀分其肉。”		《百喻经》__魏晋六朝
35	时彼人者，信老母语，即时共 [捉] 。		《百喻经》__魏晋六朝
36	既 [捉] 之已，老母即便舍熊而走。		《百喻经》__魏晋六朝
37	作诸异论，既不善好，文辞繁重，多有诸病，竟不成迄，便舍终亡，後人 [捉] 之，欲为解释，不达其意，反为其困。		《百喻经》__魏晋六朝
38	如彼愚人代他 [捉] 熊，反自被害。		《百喻经》__魏晋六朝
39	此长者子善诵入海 [捉] 船方法，若入海水漩☆洄流矶激之处，当如是 [捉] ，如是正，如是住。		《百喻经》__魏晋六朝
40	至洄☆驶流之中，唱言当如是 [捉] ，如是正。		《百喻经》__魏晋六朝
41	有婆罗门空 [捉] 澡罐，诈言洗净。		《百喻经》__魏晋六朝
42	外似沙门，内实虚欺，如 [捉] 空瓶，但有外相		《百喻经》__魏晋六朝
43	恆饲马千匹，云径往 [捉] 城门，自然饿死。”		《北史》__魏晋六朝
44	复欲于蒲州起事，略取河北， [捉] 黎阳关，塞河阳路，劫调布为牟甲，募盗贼为战士。		《北史》__魏晋六朝
