语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：握
2023/1/20 15:57:27

序号	语句	书名	朝代
1	衣躬之偏，而 [握] 金  ，令不偷矣。		《国语》__春秋战国
2	先友曰：“衣躬之偏， [握] 兵之要，在此行也，勉之而已矣。		《国语》__春秋战国
3	初六，有孚不终，乃乱乃萃，若号，一 [握] 为笑，勿恤，往无咎。		《周易》__周
4	牛夜鸣则<广酉>，羊泠毛而毳膻，狗赤股而躁躁，鸟キ色而沙鸣郁，豕望 视而交睫腥，马黑脊而般臂漏，雏尾不盈 [握] ，弗食，舒雁翠，鹄胖，舒凫翠， 鸡肝，雁肾，鸨奥，鹿胃。		《礼记》__春秋战国
5	保吾所以往而稽同之，谨执其柄而固 [握] 之。		《韩非子》__春秋战国
6	骨弱筋柔而 [握] 固。		《老子》__春秋战国
7	大王治国诚能若此，则天下可运于一 [握] ，将亦奚事哉？”		《列子》__春秋战国
8	 [握] 路家五十室其人不知也，		《管子》__春秋战国
9	 [握] 以下者为柴楂把以上者为室奉，		《管子》__春秋战国
10	视尔如荍，贻我 [握] 椒。		《诗经》__周
11	 [握] 粟出卜，自何能穀？		《诗经》__周
12	初六，有孚不终，乃乱乃萃，若号，一 [握] 为笑，勿恤，往无咎。		《周易》__周
13	 [握] 申椒与杜若兮，冠浮云之峨峨。		《楚辞》__春秋战国
14	左右手各 [握] 五，左右足各履五，曰四枝，元首曰末。		《逸周书》__春秋战国
15	世既卓兮远眇眇， [握] 佩玖兮中路躇。		《楚辞》__春秋战国
16	 [握] 神精兮雍容，与神人兮相胥。		《楚辞》__春秋战国
17	王后之五路：重翟，锡面朱緫；厌翟，勒面缋緫；安车，雕面，鹥緫皆有容盖；翟车，贝面，组緫；有 [握] ；辇车，组挽，有翣，羽盖。		《周礼》__春秋战国
18	怀瑾 [握] 瑜兮，穷不知所示。		《楚辞》__春秋战国
19	而嗌不嗄，和之至也；终日 [握] 而手不囗（“倪”字以“扌”代“亻”		《庄子》__春秋战国
20	 [握] 剞劂而不用兮，操规矩而无所施。		《楚辞》__春秋战国
21	鲍人之事，望而眡之，欲其荼白也；进而 [握] 之，欲其柔而滑也；卷而抟之，欲其无迆也；眡其著，欲其浅也；察其线，欲其藏也。		《周礼》__春秋战国
22	大夫之矢，则兼束之以茅，上 [握] 焉。		《仪礼》__春秋战国
23	长尺有 [握] ， [握] 素。		《仪礼》__春秋战国
24	设决，丽于腕，自饭持之，设 [握] ，乃连腕。		《仪礼》__春秋战国
25	设 [握] ，里亲肤，系钩中指，结于腕。		《仪礼》__春秋战国
26	其算法用竹，径一分，长六寸，二百七十一枚而成六觚，为一 [握] 。		《汉书》__汉
27	郝宿王刑未央使人召诸王，未至，颛渠阏氏与其弟左大且渠都隆奇谋，立右贤王屠耆堂为 [握] 衍朐E96F单于。		《汉书》__汉
28	 [握] 衍朐E96F单于者，代父为右贤王，乌维单于耳孙也。		《汉书》__汉
29	 [握] 衍朐E96F单于立，复修和亲，遣弟伊酋若王胜之入汉献见。		《汉书》__汉
