语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：故
2022/11/6 8:35:36

序号	语句	书名	朝代
1	何 [故] 如此、未忘法耳、如有法执、 [故] 自为断续。		《禅林僧宝传卷第二十七》__宋
2	特以声律不协、 [故] 耳。		《禅林僧宝传卷第二十七》__宋
3	夫难信之法、 [故] 现此瑞。		《禅林僧宝传卷第二十三》__宋
4	 [故] 北塔以克文名之。		《禅林僧宝传卷第二十三》__宋
5	以此 [故] 难答。		《禅林僧宝传卷第二十四》__宋
6	永嘉曰、昼夜精勤、恐缘差 [故] 。		《禅林僧宝传卷第二十四》__宋
7	不惜身命、以知恩 [故] 。		《禅林僧宝传卷第二十四》__宋
8	庐於衡岳马祖 [故] 基。		《禅林僧宝传卷第二十五》__宋
9	人问其 [故] 。		《禅林僧宝传卷第二十五》__宋
10	愍世狭劣 [故] 、聊示其小者。		《禅林僧宝传卷第二十五》__宋
11	闻叱诟曰、谁 [故] 出我烟。		《禅林僧宝传卷第二十五》__宋
12	智问其 [故] 。		《禅林僧宝传卷第二十五》__宋
13	详闻黄蘖翠岩 [故] 时事。		《禅林僧宝传卷第二十五》__宋
14	 [故] 公依止。		《禅林僧宝传卷第二十一》__宋
15	守问其 [故] 。		《禅林僧宝传卷第二十一》__宋
16	真曰、大事未透脱 [故] 耳。		《禅林僧宝传卷第二十一》__宋
17	以手整之、如 [故] 、曰。		《禅林僧宝传卷第二十一》__宋
18	 [故]  云菩提道自然。		《禅林僧宝传卷第九》__宋
19	譬如风 性本不动、以缘起 [故] 动。		《禅林僧宝传卷第九》__宋
20	而汝犹 [故] 不信。		《禅林僧宝传卷第九》__宋
21	 [故] 维 摩曰、直心是道场、无虚假 [故] 。		《禅林僧宝传卷第九》__宋
22	非佛天人 修罗作、性自尔 [故] 。		《禅林僧宝传卷第九》__宋
23	以六尘钝 [故] 。		《禅林僧宝传卷第九》__宋
24	 [故] 曰、万法 本闲而人自闹。		《禅林僧宝传卷第九》__宋
25	则空不自 空、因心 [故] 空。		《禅林僧宝传卷第九》__宋
26	有自不有、因心 [故] 有。		《禅林僧宝传卷第九》__宋
27	 [故] 先 德曰、如大根人。		《禅林僧宝传卷第九》__宋
28	 [故] 每曰、大凡言句、应须绝渗漏 乃可。		《禅林僧宝传卷第七》__宋
29	何以 [故] 、以自知其影、从自 身出 [故] 。		《禅林僧宝传卷第七》__宋
30	毕竟空 [故] 、但诳凡夫耳。		《禅林僧宝传卷第七》__宋
31	 [故] 并录之。		《禅林僧宝传卷第七》__宋
32	不能自知无性、 [故] 为无性之性。		《禅林僧宝传卷第三十》__宋
33	不能自知无性、 [故] 名曰无明。		《禅林僧宝传卷第三十》__宋
34	 [故] 号曰无明。		《禅林僧宝传卷第三十》__宋
35	将知真智慧本无性、 [故] 不能自了。		《禅林僧宝传卷第三十》__宋
36	人问其 [故] 。		《禅林僧宝传卷第三十》__宋
37	闻老僧虚名、 [故] 来决 择耳。		《禅林僧宝传卷第十》__宋
38	 [故] 能於死生之际、明验昭著。		《禅林僧宝传卷第十》__宋
39	 [故]  其小字泗州。		《禅林僧宝传卷第十八》__宋
40	 [故] 三王之教密而严秋也。		《禅林僧宝传卷第十八》__宋
41	 [故] 其子孙、皆光明照人、克世其家。		《补禅林僧宝传舟峰庵沙门庆老撰》__宋
42	 [故] 火化之日。		《禅林僧宝传卷第十八》__宋
43	人问其 [故] 。		《补禅林僧宝传舟峰庵沙门庆老撰》__宋
44	 [故] 当时公卿贵人、莫能亲疏之。		《补禅林僧宝传舟峰庵沙门庆老撰》__宋
45	何以 [故] 、为未悟道 [故] 。		《禅林僧宝传卷第十二》__宋
46	谓“春”字上不应用“怕”字，今却用之， [故] 为奇耳。		《藏海诗话》__宋
47	遇”与“花”皆拗 [故] 也。		《藏海诗话》__宋
48	 [故] 曰我眼本 正、因师 [故] 邪。		《禅林僧宝传卷第十二》__宋
49	 [故] 云、无不从此法 界流。		《禅林僧宝传卷第十二》__宋
50	 [故] 曰、万法本无、揽真成立。		《禅林僧宝传卷第十二》__宋
51	装点者外腴而中枯 [故] 也，或曰“秀而不实”。		《藏海诗话》__宋
52	 [故] 祖道 门中。		《禅林僧宝传卷第十二》__宋
53	 [故] 曰我常不开演、立言之难也。		《禅林僧宝传卷第十二》__宋
54	虑於一法中、生二解 [故] 。		《禅林僧宝传卷第十二》__宋
55	其师问 [故] 。		《禅林僧宝传卷第十九》__宋
56	穆父吏速客、见之问 [故] 。		《禅林僧宝传卷第十九》__宋
57	是诗之作，以时考之，乃夏日 [故] 也。		《藏海诗话》__宋
58	矧又  [故] 安公大师、每垂诱导。		《禅林僧宝传卷第十六》__宋
59	以真寔际离文字 [故] 。		《禅林僧宝传》__宋
60	弦 断 [故] 射的不中。		《禅林僧宝传卷第十六》__宋
61	翼折 [故] 空不可飞。		《禅林僧宝传卷第十六》__宋
62	僧则能续佛寿命 [故] 也。		《禅林僧宝传卷第十七》__宋
63	尽 十方世界、更无他 [故] 。		《禅林僧宝传第四》__宋
64	何以 [故] 、但是以言、遣言以理逐理。		《禅林僧宝传第四》__宋
65	何以 [故] 、为及时节。		《禅林僧宝传第四》__宋
66	德曰、公有杀心 [故] 尔。		《禅林僧宝传卷第八》__宋
67	注曰、以不明声色、 [故] 随处堕。		《禅林僧宝传卷第十三》__宋
68	答曰、声不自声、色不自色、 [故] 云不断。		《禅林僧宝传卷第十三》__宋
69	 [故] 初公语分生死、所以发其机。		《禅林僧宝传卷第八》__宋
70	对曰、惟心 [故] 根境不相到。		《禅林僧宝传卷第十四》__宋
71	惟识 [故] 声色摐然。		《禅林僧宝传卷第十四》__宋
72	何以 [故] 、此 人是个汉。		《禅林僧宝传卷第十四》__宋
73	无二无二分、无别无断 [故] 。		《禅林僧宝传卷第二》__宋
74	乃为说法、复置 [故] 处。		《禅林僧宝传卷第十四》__宋
75	 [故] 江西八十馀人、而本则倍之。		《禅林僧宝传卷第十四》__宋
76	相传言、诵法华经、 [故] 以为名。		《禅林僧宝传卷第二十》__宋
77	 [故] 泉有以矫 之耳、其号泉大道。		《禅林僧宝传卷第十五》__宋
78	后主既为樊若水所卖，举国与人， [故] 当恸哭于九庙之外，谢其民而后行，顾乃挥泪宫娥，听教坊离曲！		《东坡文集》__宋
79	子容言：“独以无心， [故] 尔。”		《东坡文集》__宋
80	此叟盖自知其头方命薄，必不久在相位， [故] 汲汲及其未去发之。		《东坡文集》__宋
81	 [故] 慈明 参扣馀论、尚获见之。		《禅林僧宝传卷第十一》__宋
82	曰：“情由忆生，不忆 [故] 无情。”		《东坡文集》__宋
83	以护惜常住 [故] 、每自莅之。		《禅林僧宝传卷第二十八》__宋
84	岩西 [故] 有院亦曰“佛迹”。		《东坡文集》__宋
85	先朝值边庭怀服，兵革寝息，而又体质恭俭，在位四十有二年，宫室苑囿无所益， [故] 民无暴赋横徭而生齿岁登，垦田日广。		《东坡文集》__宋
86	 [故] 能道迎休祥，年谷登衍，其裕民之德，固已浃肌肤而沦骨髓矣。		《东坡文集》__宋
87	 [故] 将换砚岂无意，恐君琱琢伤天和。		《东坡文集》__宋
88	为内外护、皆本愿力 [故] 。		《禅林僧宝传卷第十一》__宋
89	 [故] 衣尚悬架，涨乳已流床。		《东坡文集》__宋
90	侯公曰：“臣以区区之身，备汉之使，而有谒于大王， [故] 大王以臣为汉游说而忘忠楚也。		《东坡文集》__宋
91	 [故] 自轻千户，何曾羡一囊。		《东坡文集》__宋
92	 [故] 敬严临众、以公灭私。		《禅林僧宝传卷第二十八》__宋
93	寄谢西湖旧风月， [故] 应时许梦中游。		《东坡文集》__宋
94	若得与君连北巷， [故] 应终老忘西川。		《东坡文集》__宋
95	大王今不归之，以收其实，将久留之，以执其名， [故] 曰似不恤楚也。”		《东坡文集》__宋
96	且汉王亲以其身投吾掌握者，数矣，我常易而释之，今乃曰东向必欲亡楚而后已， [故] 吾深仇之，欲菹醢其父，聊快于一时，况与之归耶？”		《东坡文集》__宋
97	大王乃弃资委具，以为无所事，以 [故] 汉皆获而收执之，此所以自引而东，视大王如无也。”		《东坡文集》__宋
98	公颜如雪柏，千载 [故] 依然。		《东坡文集》__宋
99	此四者，大王素有之资，可畜之具，惟其委弃而不用， [故] 汉皆得而收执之，是以大王未得所以税驾也。		《东坡文集》__宋
100	欲教乞食歌姬院， [故] 与云山旧衲衣。		《东坡文集》__宋
101	 [故] 天下皆贤智其母，而莫不哀其死也。		《东坡文集》__宋
102	即日封侯公平国君，曰：“此天下辩士，所居倾国者， [故] 号平国君焉。”		《东坡文集》__宋
103	仆先将军破虏，遭汉陵夷，董卓僭乱，焚烧宗庙，发掘陵寝， [故] 依袁术以举义师，所指城邑响应，天下思得董卓而食之不厌。		《东坡文集》__宋
104	世衰道微士失已，得丧悲欢反其 [故] 。		《东坡文集》__宋
105	不意袁术亦僭位号，污辱义师，又闻诸君各盗名字，伯符提偏师，进无所归，退无所守， [故] 资江东为之业耳，不幸有荆轲、舞阳之变。		《东坡文集》__宋
106	 [故] 令将仕梦发棺，劝子勿为官所腐。		《东坡文集》__宋
107	晋以垂棘屈产，假道于虞以伐虢，夫灭虢是所以取虞，虞以不知， [故] 及祸。		《东坡文集》__宋
108	昔孔子盖罪汤、武，顾自以为殷之子孙而周人也， [故] 不敢，然数致意焉，曰：大哉，巍巍乎，尧、舜也！“		《东坡文集》__宋
109	荀文若，圣人之徒也，以为非曹操莫与定海内， [故] 起而佐之。		《东坡文集》__宋
110	及操谋九锡，则文若死之， [故] 吾尝以文若为圣人之徒者，以其才似张子房而道似伯夷也。		《东坡文集》__宋
111	 [故] 武庚之必叛，不待智者而后知也。		《东坡文集》__宋
112	殷有天下六百年，贤圣之君六七作，纣虽无道，其 [故] 家遗民未尽灭也。		《东坡文集》__宋
113	三分天下有其二，殷不伐周，而周伐之，诛其君，夷其社稷，诸侯必有不悦者， [故] 封武庚以慰之，此岂武之意哉？		《东坡文集》__宋
114	 [故] 曰：武王非圣人也。		《东坡文集》__宋
115	乃寻水而往、 有 [故] 寺基。		《禅林僧宝传卷第五》__宋
116	 [故] 曰：周之失计，未有如东迁之缪者也。		《东坡文集》__宋
117	南州高士潘兴嗣延之、尝问其 [故] 。		《禅林僧宝传卷第二十二》__宋
118	秦人知之， [故] 不加兵于齐者四十余年。		《东坡文集》__宋
119	太史公曰：“君王后事秦谨， [故] 不被兵。”		《东坡文集》__宋
120	夫秦欲并天下耳，岂以谨 [故] 置齐也哉！		《东坡文集》__宋
121	吾 [故] 曰“巧于取齐”者，所以慰齐之心而解三晋之交也。		《东坡文集》__宋
122	齐人不悟而与秦合， [故] 秦得以其间取三晋。		《东坡文集》__宋
123	延之又问其 [故] 。		《禅林僧宝传卷第二十二》__宋
