语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：敌
2022/7/10 23:07:10

序号	语句	书名	朝代
1	其言曰：‘尽 [敌] 而反。		《国语》__春秋战国
2	’虽尽 [敌] ，其若内谗何！”		《国语》__春秋战国
3	礼：君不使无耻，不近刑人，不狎 [敌] ，不迩怨。		《榖梁传》__春秋战国
4	能捕得谋反卖城逾城 [敌] 者一人。		《墨子》__春秋战国
5	此国之所以衰，而 [敌] 之所以攻之者也。		《吕氏春秋》__春秋战国
6	其君骄而多私，胜 [敌] 而归，必立新家。		《国语》__春秋战国
7	 [敌] 者曰：“某 固愿见。”		《礼记》__春秋战国
8	 [敌] 者曰“赠从 者”。		《礼记》__春秋战国
9	 [敌] 者曰“衤遂”。		《礼记》__春秋战国
10	以七患守城 [敌] 至国倾。		《墨子》__春秋战国
11	势有 [敌] 则王者废矣。		《吕氏春秋》__春秋战国
12	 [敌] 以东方来		《墨子》__春秋战国
13	其 [敌] 当之，不然反是。		《周易》__周
14	曰：“士马成列，马与人 [敌] ，人在马前，援桴一鼓，使三军之士乐死若生，子与我孰贤？”		《吕氏春秋》__春秋战国
15	夫吴之与越也，仇雠 [敌] 战之国也。		《国语》__春秋战国
16	后暨武王诞将天威，咸刘厥 [敌] 。		《尚书》__周
17	以尊败乎卑，以师败乎人，则骄其 [敌] 。		《榖梁传》__春秋战国
18	襄公以师败乎人，而不骄其 [敌] 何也？		《榖梁传》__春秋战国
19	壮男之军，使盛食、厉兵，陈而待 [敌] 。		《商君书》__春秋战国
20	倍则攻， [敌] 则战，少则守。		《榖梁传》__春秋战国
21	夫所以为苦民而强兵者，将以攻 [敌] 而成所欲也。		《商君书》__春秋战国
22	兵法曰：“ [敌] 弱而兵强。”		《商君书》__春秋战国
23	此言不失吾所以攻，而 [敌] 失其所守也。		《商君书》__春秋战国
24	夫进而击赵不能取，退而攻韩弗能拔，则陷锐文卒勤于野战，负任之旅罢于内攻；则合群苦弱以 [敌] 而共二万乘，非所以亡赵之心也。		《韩非子》__春秋战国
25	以秦与赵 [敌] 衡，加以齐，今又背韩，而未有以坚荆。		《韩非子》__春秋战国
26	舅姑若使介妇，毋敢 [敌] 耦于冢妇，不敢并行，不敢并命， 不敢并坐。		《礼记》__春秋战国
27	荆人不动，魏不足患也，则诸候可蚕食而尽，赵氏可得与 [敌] 矣。		《韩非子》__春秋战国
28	故抟力以壹务也，杀力以攻 [敌] 也。		《商君书》__春秋战国
29	故治国者，其抟力也，以富国强兵也；其杀力也，以事 [敌] 劝民也。		《商君书》__春秋战国
30	虚素以公，小民皆之，其之 [敌] 而不知其所以然，此之谓顺天。		《吕氏春秋》__春秋战国
31	上下 [敌] 应，不相与也，是以“不获其身，行其庭，不见其人，无咎”		《周易》__周
32	以卦体言，内外之卦，阴阳 [敌] 应而不相与		《周易》__周
33	故兵行 [敌] 之所不敢行，强；事兴 [敌] 之所羞为，利。		《商君书》__春秋战国
34	赏使之忘死，而威使之苦生，而淫道又塞，以此遇 [敌] ，是以百石之弩射飘叶也，何不陷之有哉？		《商君书》__春秋战国
35	万乘之国，其为三万五万尚多，今外之则不可以拒 [敌] ，内之则不可以守国，其民非不可用也，不得所以用之也。		《吕氏春秋》__春秋战国
36	胜 [敌] 而草不荒，富强之功可坐而致也。		《商君书》__春秋战国
37	国有无功得赏者，则民不外务当 [敌] 斩首，内不急力田疾作，皆欲行货财，事富贵，为私善，立名誉，以取尊官厚俸。		《韩非子》__春秋战国
38	凡有辜罪，乃罔恒获，小民方兴，相为 [敌] 仇。		《尚书》__周
39	降监殷民，用乂仇敛，召 [敌] 仇不怠。		《尚书》__周
40	圣王托於无 [敌] ，故民命 [敌] 焉。		《吕氏春秋》__春秋战国
41	东之无益亦明矣，而吏犹以为大功，为其损 [敌] 也。		《商君书》__春秋战国
42	今以草茅之地徕三晋之民而使之事本，此其损 [敌] 也与战胜同实，而秦得之以为粟，此反行两登之计也。		《商君书》__春秋战国
43	今以故秦事 [敌] ，而使新民作本，兵虽百宿于外，竟内不失须臾之时，此富强两成之效也。		《商君书》__春秋战国
44	罔有 [敌] 于我师，前途倒戈，攻于后以北，血流漂杵。		《尚书》__周
45	国以十者治， [敌] 至必削，不至必贫。		《商君书》__春秋战国
46	国去此十者， [敌] 不敢至，虽至必却；兴兵而伐，必取；按兵不伐，必富。		《商君书》__春秋战国
47	入使民尽力，则草不荒；出使民致死，则胜 [敌] 。		《商君书》__春秋战国
48	故能生力，能杀力，曰攻 [敌] 之国，必强。		《商君书》__春秋战国
