语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：教
2022/7/10 23:12:31

序号	语句	书名	朝代
1	大学之书，古之大学所以 [教] 人之法也。		《大学中庸》__春秋战国
2	一有聪明睿智能尽其性者出于其闲，则天必命之以为亿兆之君师，使之治而 [教] 之，以复其性。		《大学中庸》__春秋战国
3	人生八岁，则自王公以下，至于庶人之子弟，皆入小学，而 [教] 之以洒扫、应对、进退之节，礼乐、射御、书数之文；及其十有五年，则自天子之元子、众子，以至公、卿、大夫、元士之适子，与凡民之俊秀，皆入大学，而 [教] 之以穷理、正心、修己、治人之道。		《大学中庸》__春秋战国
4	此又学校之 [教] 、大小之节所以分也。		《大学中庸》__春秋战国
5	夫以学校之设，其广如此， [教] 之之术，其次第节目之详又如此，而其所以为 [教] ，则又皆本之人君躬行心得之余，不待求之民生日用彝伦之外，是以当世之人无不学。		《大学中庸》__春秋战国
6	及周之衰，贤圣之君不作，学校之政不修， [教] 化陵夷，风俗颓败，时则有若孔子之圣，而不得君师之位以行其政 [教] ，于是独取先王之法，诵而传之以诏后世。		《大学中庸》__春秋战国
7	自是以来，俗儒记诵词章之习，其功倍于小学而无用；异端虚无寂灭之 [教] ，其高过于大学而无实。		《大学中庸》__春秋战国
8	天惟式 [教] 我用休，简畀殷命，尹尔多方。		《尚书》__周
9	宋德隆盛，治 [教] 休明。		《大学中庸》__春秋战国
10	实始尊信此篇而表章之，既又为之次其简编，发其归趣，然后古者大学 [教] 人之法、圣经贤传之指，粲然复明于世。		《大学中庸》__春秋战国
11	我惟时其 [教] 告之，我惟时其战要囚之，至于再，至于三。		《尚书》__周
12	优施 [教] 骊姬夜半而泣谓公曰：“吾闻申生甚好仁而  ，甚宽惠而慈于民，皆有所行之。		《国语》__春秋战国
13	中饮，优施起舞，谓里克妻曰：“主孟啖我，我 [教] 兹暇豫事君。”		《国语》__春秋战国
14	东渐于海，西被于流沙，朔南暨声 [教] 讫于四海。		《尚书》__周
15	内 [教] 既成，令勿使迁徙。		《国语》__春秋战国
16	汝作士，明于五刑，以弼五 [教] 。		《尚书》__周
17	 [教] 不善则政不治，一再则宥，三则不赦。”		《国语》__春秋战国
18	是以大学始 [教] ，必使学者即凡天下之物，莫不因其已知之理而益穷之，以求至乎其极。		《大学中庸》__春秋战国
19	所谓治国必先齐其家者，其家不可 [教] 而能 [教] 人者，无之。		《大学中庸》__春秋战国
20	无 [教] 逸欲，有邦兢兢业业，一日二日万几。		《尚书》__周
21	故君子不出家而成 [教] 于国：孝者，所以事君也；弟者，所以事长也；慈者，所以使众也。		《大学中庸》__春秋战国
22	身修，则家可 [教] 矣；孝、弟、慈，所以修身而 [教] 于家者也；然而国之所以事君事长使众之道不外乎此。		《大学中庸》__春秋战国
23	此所以家齐于上，而 [教] 成于下也。		《大学中庸》__春秋战国
24	此引书而释之，又明立 [教] 之本不假强为，在识其端而推广之耳。		《大学中庸》__春秋战国
25	天有四时，春秋冬夏，风雨霜露，无非 [教] 也。		《礼记》__春秋战国
26	不知乘物，而自怙恃，夺其智能，多其 [教] 诏，而好自以，若此则百官恫扰，少长相越，万邪并起。		《吕氏春秋》__春秋战国
27	地载神气， 神气风霆，风霆流形，庶物露生，无非 [教] 也。		《礼记》__春秋战国
28	权威分移，不可以卒，不可以 [教] ，此亡国之风也。		《吕氏春秋》__春秋战国
29	宜其家人，而后可以 [教] 国人。		《大学中庸》__春秋战国
30	宜兄宜弟，而后可以 [教] 国人。		《大学中庸》__春秋战国
31	象以典刑，流宥五刑，鞭作官刑，扑作 [教] 刑，金作赎刑。		《尚书》__周
32	此乃谓不 [教] 之 [教] ，无言之诏。		《吕氏春秋》__春秋战国
33	汝作司徒，敬敷五 [教] ，在宽。”		《尚书》__周
34	命汝典乐， [教] 胄子，直而温，宽而栗，刚而无虐，简而无傲。		《尚书》__周
35	人君以德为外，以财为内，则是争斗其民，而施之以劫夺之 [教] 也。		《大学中庸》__春秋战国
36	今鱼方别孕，不 [教] 鱼长，又行网罟，贪无艺也。”		《国语》__春秋战国
37	大学之书，古之大学所以 [教] 人之法也。		《大学中庸》__春秋战国
38	性者出于其闲，则天必命之以为亿兆之君师，使之治而 [教] 之，以复其性。		《大学中庸》__春秋战国
39	下，至于庶人之子弟，皆入小学，而 [教] 之以洒扫、应对、进退之节，礼乐、射御、书数之		《大学中庸》__春秋战国
40	《皇皇者华》，君 [教] 使臣曰‘每怀靡及’，诹、谋、度、询，必咨于周。		《国语》__春秋战国
41	秀，皆入大学，而 [教] 之以穷理、正心、修己、治人之道。		《大学中庸》__春秋战国
42	此又学校之 [教] 、大小之节所以分		《大学中庸》__春秋战国
43	夫以学校之设，其广如此， [教] 之之术，其次第节目之详又如此，而其所以为 [教] ，则又皆		《大学中庸》__春秋战国
44	诸侯有卿无军，帅 [教] 卫以赞元侯。		《国语》__春秋战国
45	而不得君师之位以行其政 [教] ，于是独取先王之法，诵而传之以诏后世。		《大学中庸》__春秋战国
46	获闻之，处大 [教] 小处小事大，所以御乱也，不闻以辞。		《国语》__春秋战国
47	自是以来，俗儒记诵词章之习，其功倍于小学而无用；异端虚无寂灭之 [教] ，其高过于大		《大学中庸》__春秋战国
48	宋德隆盛，治 [教] 休明。		《大学中庸》__春秋战国
49	实始尊信此篇而表章之，既又为之次其简编，发其归趣，然后古者大学 [教] 人之法、圣		《大学中庸》__春秋战国
50	是以大学始 [教] ，必使学者即凡天下之物，莫不因其已		《大学中庸》__春秋战国
51	位尊者其 [教] 受，威立者其奸止，此畜人之道也。		《吕氏春秋》__春秋战国
52	今吾子之 [教] 官僚曰‘陷而后恭’，道将何为？”		《国语》__春秋战国
53	所谓治国必先齐其家者，其家不可 [教] 而能 [教] 人者，无之。		《大学中庸》__春秋战国
54	故君子不出家而成 [教] 于国：孝		《大学中庸》__春秋战国
55	宜其家人，而后可以 [教] 国人。		《大学中庸》__春秋战国
56	宜兄宜弟，而后可以 [教] 国人。		《大学中庸》__春秋战国
57	是故其父兄之 [教] 不肃而成，其子弟之学不劳而能。		《国语》__春秋战国
58	无术之智，不 [教] 之能，而恃强速贯习，不足以成也。		《吕氏春秋》__春秋战国
59	是故其父兄之 [教] 不肃而成，其子弟之学不劳而能。		《国语》__春秋战国
60	是故其父兄之 [教] 不肃而成，其子弟之学不劳而能。		《国语》__春秋战国
61	是故其父兄之 [教] 不肃而成，其子弟之学不劳而能。		《国语》__春秋战国
62	本无有敢纷天子之 [教] 者。		《墨子》__春秋战国
63	是以入则不慈 [教] 父母。		《墨子》__春秋战国
64	昔君文王、武王宣重光，奠丽陈 [教] ，则肄肄不违，用克达殷集大命。		《尚书》__周
65	文王诰 [教] 小子有正有事：无彝酒。		《尚书》__周
66	庶士有正越庶伯君子，其尔典听朕 [教] ！		《尚书》__周
67	先生苟能使子墨子于越而 [教] 寡人。		《墨子》__春秋战国
68	王曰：“封，我西土棐徂，邦君御事小子尚克用文王 [教] ，不腆于酒，故我至于今，克受殷之命。”		《尚书》__周
69	与不 [教] 人耕而独耕者。		《墨子》__春秋战国
70	又惟殷之迪诸臣惟工，乃湎于酒，勿庸杀之，姑惟 [教] 之。		《尚书》__周
71	有斯明享，乃不用我 [教] 辞，惟我一人弗恤弗蠲，乃事时同于杀。”		《尚书》__周
72	父母之 [教] 子也，岂待久哉？		《吕氏春秋》__春秋战国
73	又曰：“无能往来，兹迪彝 [教] ，文王蔑德降于国人。		《尚书》__周
74	以其不 [教] 民战，则是弃其师也。		《榖梁传》__春秋战国
75	故神农 [教] 耕而王天下，师其知也；汤、武致强而征诸侯，服其力也。		《商君书》__春秋战国
76	以义 [教] 则民纵，民纵则乱，乱则民伤其所恶。		《商君书》__春秋战国
77	故神农 [教] 耕而王天下，师其知也；汤、武致强而征诸侯，服其力也。		《商君书》__春秋战国
78	子妇未孝未敬，勿庸疾 怨，姑 [教] 之；若不可 [教] ，而后怒之；不可怒，子放妇出，而不表礼焉。		《礼记》__春秋战国
79	韩居中国，地不能满千里，而所以得与诸候班位于天下，君臣相保者，以世世相 [教] 事秦之力也。		《韩非子》__春秋战国
80	是以明君之使其民也，使必尽力以规其功，功立而富贵随之，无私德也，故 [教] 流成。		《商君书》__春秋战国
81	秦越千里之险，入虚国，进不能守，退败其师徒，乱人子女之 [教] ，无男女之别，秦之为狄，自肴殳之战始也。		《榖梁传》__春秋战国
82	以德以义，则四海之大，江河之水，不能亢矣；太华之高，会稽之险，不能障矣；阖庐之 [教] ，孙、吴之兵，不能当矣。		《吕氏春秋》__春秋战国
