语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：敝
2022/7/10 23:06:54

序号	语句	书名	朝代
1	 [敝] 化奢丽，万世同流。		《尚书》__周
2	此犹文轩之与 [敝] 誉也。		《墨子》__春秋战国
3	国家靡 [敝] ，则车不雕几，甲不组，食器不刻镂，君子不屦丝屦，马不常秣。		《礼记》__春秋战国
4	我先君襄公不敢宁处，使叔孙豹悉帅 [敝] 赋，☆☆毕行，无有处人，以从军吏，次于雍渝，与邯郸胜击齐之左，掎止晏莱焉，齐师退而后敢还。		《国语》__春秋战国
5	朝服虽 [敝] ，必加于上，弁冕虽旧，必加于首，周室虽衰，必先诸侯。		《榖梁传》__春秋战国
6	九二，井谷射鲋，瓮 [敝] 漏。		《周易》__周
7	《象》曰：泽上有雷，归妹，君子以永终知 [敝] 。		《周易》__周
8	有 [敝] 也。		《周易》__周
9	非滨之东，夷秽之乡，大解、陵鱼、其、鹿野、摇山、扬岛、大人之居，多无君；扬、汉之南，百越之际， [敝] 凯诸、夫风、馀靡之地，缚娄、阳禺、驩兜之国，多无君；氐、羌、呼唐、离水之西，僰人、野人、篇笮之川，舟人、送龙、突人之乡，多无君；雁门之北，鹰隼、所鸷、须窥之国，饕餮、穷奇之地，叔逆之所，儋耳之居，多无君。		《吕氏春秋》__春秋战国
10	22.曲则全，枉则直，洼则盈， [敝] 则新少则得，多则惑。		《老子》__春秋战国
11	諸侯莫不懷交接怨，而不忘其敵，伺強大之間，承強大之 [敝] ，此強大之殆時也。		《荀子》__春秋战国
12	如是，則彼日積 [敝] ，我日積完；彼日積貧，我日積富；彼日積勞，我日積佚。		《荀子》__春秋战国
13	君臣上下之間者，彼將厲厲焉日日相離疾也，我將頓頓焉日日相親愛也，以是待其 [敝] 。		《荀子》__春秋战国
14	不然而已矣∶有掎挈伺詐，權謀傾覆，以相顛倒，以靡 [敝] 之。		《荀子》__春秋战国
15	地重人载毁 [敝] 而养不足事末作而民与之是以下名而上实也圣人者省诸本而游诸乐大昏也博夜也，		《管子》__春秋战国
16	缁衣之宜兮， [敝] 予又改为兮。		《诗经》__周
17	缁衣之好兮， [敝] 予又改造兮。		《诗经》__周
18	缁衣之席兮， [敝] 予又改作兮。		《诗经》__周
19	故国君取夫人之辞曰：“请君之玉女，与 寡人共有 [敝] 邑，事宗庙社稷”。		《礼记》__春秋战国
20	子曰：“衣 [敝] 温袍，与衣狐貉者立，而不耻者，其由也与。		《论语》__春秋战国
21	故傷於濕而痹，痹而擊鼓烹豚，則必有 [敝] 鼓喪豚之費矣，而未有俞疾之福也。		《荀子》__春秋战国
22	故言必虑其所终，而行必稽其所 [敝] ；则 民谨于言而慎于行。		《礼记》__春秋战国
23	子曰：苟有车，必见其轼；苟有衣，必见其 [敝] ；人苟或言之，必闻其声；苟 或行之，必见其成。		《礼记》__春秋战国
24	子路曰：“愿车马衣轻裘，与朋友共， [敝] 之而无憾。”		《论语》__春秋战国
25	其民之 [敝] ，<舂心>而愚，乔而野，朴而不文。		《礼记》__春秋战国
26	殷人尊神，率民以事神， 先鬼而后礼，先罚而后赏，尊而不亲，其民之 [敝] 。		《礼记》__春秋战国
27	周人 尊礼尚施，事鬼敬神而远之，近人而忠焉，其赏罚用爵列，亲而不尊，其民之 [敝] ， 利而巧，文而不惭，贼而蔽。		《礼记》__春秋战国
28	子曰：虞夏之道，寡怨于民；殷周之道，不胜其 [敝] 。		《礼记》__春秋战国
29	土 [敝] 则草木不长，水烦则鱼 [敝] 不大，气衰则生物不遂，世乱则礼慝而乐淫。		《礼记》__春秋战国
30	冠而 [敝] 之可也。”		《礼记》__春秋战国
31	晏子之晋，至中牟，睹 [敝] 冠反裘负刍，息于途侧者，以为君子也，使人问焉。		《晏子春秋》__春秋战国
32	始冠缁布冠，自诸侯下达，冠而 [敝] 之可也。		《礼记》__春秋战国
33	婴闻之，执二法裾，则不取也；轻进苟合，则不信也；直易无讳，则速伤也；新始好利，则无 [敝] 也。		《晏子春秋》__春秋战国
34	○ [敝] 笱		《诗经》__周
35	 [敝] 笱在梁，其鱼鲂鳏。		《诗经》__周
36	 [敝] 笱在梁，其鱼鲂鱮。		《诗经》__周
37	 [敝] 笱在梁，其鱼唯唯。		《诗经》__周
38	晏子聘于鲁，鲁昭公问曰：“夫俨然辱临 [敝] 邑，窃甚嘉之，寡人受贶，请问安国众民如何？”		《晏子春秋》__春秋战国
39	晏子聘于吴，吴王曰：“子大夫以君命辱在 [敝] 邑之地，施贶寡人，寡人受贶矣，愿有私问焉。”		《晏子春秋》__春秋战国
40	文子曰：“公子辱于 [敝] 邑，必避不道也。”		《国语》__春秋战国
41	九二，井谷射鲋，瓮 [敝] 漏。		《周易》__周
42	君子以永终知 [敝] 。		《周易》__周
