语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：敬
2023/1/20 16:09:22

序号	语句	书名	朝代
1	又曰：“时惟尔初，不克 [敬] 于和，则无我怨。”		《尚书》__周
2	且吾闻之曰：‘ [敬] 贤于请。		《国语》__春秋战国
3	诗云：“穆穆文王，于缉熙 [敬] 止！”		《大学中庸》__春秋战国
4	为人君，止于仁；为人臣，止于 [敬] ；为人子，止于孝；为人父，止于慈；与国人交，止于信。		《大学中庸》__春秋战国
5	 [敬] 止，言其无不 [敬] 而安所止也。		《大学中庸》__春秋战国
6	管子对曰：“修旧法，择其善于者而业用之；遂滋民，与无财，而 [敬] 百姓，则国安矣。”		《国语》__春秋战国
7	遂修旧法，择其善者而业用之；遂滋民与无财，而 [敬] 百姓。		《国语》__春秋战国
8	慎乃有位， [敬] 修其可愿，四海困穷，天禄永终。		《尚书》__周
9	絷敏且知礼， [敬] 以知微。		《国语》__春秋战国
10	敏能窜谋，知礼可使； [敬] 不坠命，微知可否。		《国语》__春秋战国
11	心有不存，则无以检其身，是以君子必察乎此而 [敬] 以直之，然后此心常存而身无不修也。		《大学中庸》__春秋战国
12	所谓齐其家在修其身者：人之其所亲爱而辟焉，之其所贱恶而辟焉，之其所畏 [敬] 而辟焉，之其所哀矜而辟焉，之其所敖惰而辟焉。		《大学中庸》__春秋战国
13	皋陶曰：“宽而栗，柔而立，愿而恭，乱而 [敬] ，扰而毅，直而温，简而廉，刚而塞，强而义。		《尚书》__周
14	日宣三德，夙夜浚明有家；日严祗 [敬] 六德，亮采有邦。		《尚书》__周
15	汤降不迟，圣 [敬] 日齐。		《礼记》__春秋战国
16	达于上下， [敬] 哉有土！”		《尚书》__周
17	汝作司徒， [敬] 敷五教，在宽。”		《尚书》__周
18	乃命羲和，钦若昊天，历象日月星辰， [敬] 授民时。		《尚书》__周
19	平秩南为， [敬] 致。		《尚书》__周
20	各致齐 [敬] 于其皇祖，昭孝之至也。		《国语》__春秋战国
21	故子华子曰：“厚而不博， [敬] 守一事，正性是喜。		《吕氏春秋》__春秋战国
22	公欲弛☆ [敬] 子之宅，亦如之。		《国语》__春秋战国
23	诗云：“穆穆文王，于缉熙 [敬] 止！”		《大学中庸》__春秋战国
24	为人君，止于仁；为人臣，止于 [敬] ；为人子，止于		《大学中庸》__春秋战国
25	宾客主恭，祭祀主 [敬] ，丧事主哀，会同主诩。		《礼记》__春秋战国
26	所谓齐其家在修其身者：人之其所亲爱而辟焉，之其所贱恶而辟焉，之其所畏 [敬] 而辟		《大学中庸》__春秋战国
27	必 [敬] 神之巫下以请守。		《墨子》__春秋战国
28	执烛不让，不辞，不  [敬] 。		《礼记》__春秋战国
29	“令夫士，群萃而州处，闲燕则父与父言义，子与子言孝，其事君者言 [敬] ，其幼者言弟。		《国语》__春秋战国
30	尊祖故 [敬] 宗， [敬] 宗所以尊祖祢也。		《礼记》__春秋战国
31	尔乃尚有尔土，尔用尚宁干止，尔克 [敬] ，天惟畀矜尔；尔不克 [敬] ，尔不啻不有尔土，予亦致天之罚于尔躬！		《尚书》__周
32	今有人於此，无礼慢易而求 [敬] ，阿党不公而求令，烦号数变而求静，暴戾贪得而求定，虽黄帝犹若困。		《吕氏春秋》__春秋战国
33	在后之侗， [敬] 迓天威，嗣守文、武大训，无敢昏逾。		《尚书》__周
34	尔尚明时朕言，用 [敬] 保元子钊弘济于艰难，柔远能迩，安劝小大庶邦。		《尚书》__周
35	公父文伯饮南宫 [敬] 叔酒，以露睹父为客。		《国语》__春秋战国
36	王再拜，兴，答曰：“眇眇予末小子，其能而乱四方以 [敬] 忌天威。”		《尚书》__周
37	初一曰五行，次二曰 [敬] 用五事，次三曰农用八政，次四曰协用五纪，次五曰建用皇极，次六曰乂用三德，次七曰明用稽疑，次八曰念用庶征，次九曰向用五福，威用六极。		《尚书》__周
38	于召公之执令亦然且 [敬] 哉无天命。		《墨子》__春秋战国
39	世子曰：“ [敬] 诺！”		《榖梁传》__春秋战国
40	占为事仍旧无得丧，而又当 [敬] 勉，不可几成而败也。		《周易》__周
41	命汝尹兹东郊， [敬] 哉！		《尚书》__周
42	尔克 [敬] 典在德，时乃罔不变。		《尚书》__周
43	其汝克 [敬] 以予监于殷丧大否，肆念我天威。		《尚书》__周
44	其汝克 [敬] 德，明我俊民，在让后人于丕时。		《尚书》__周
45	故曰，礼人而不答，则反其 [敬] ；爱人而不亲，则反其仁；治人而不治，则反其知。		《榖梁传》__春秋战国
46	祗若兹，往 [敬] 用治！”		《尚书》__周
47	往即乃封， [敬] 哉！		《尚书》__周
48	魏 [敬] 谓王曰：“以河内孰与梁重？”		《吕氏春秋》__春秋战国
49	魏 [敬] 曰：“河内，三论之下也；身，三论之上也。		《吕氏春秋》__春秋战国
50	当此时也，两周全，其北存，魏举陶削卫，地方六百，有之势是而入，大蚤，奚待於魏 [敬] 之说也？		《吕氏春秋》__春秋战国
51	王司 [敬] 民，罔非天胤，典祀无丰于昵。”		《尚书》__周
52	宓子 [敬] 诺，乃得行其术於亶父。		《吕氏春秋》__春秋战国
53	温良者，仁之本也； [敬] 慎者，仁之地也；宽裕者，仁之作也；孙接者，仁之 能也；礼节者，仁之貌也；言谈者，仁之文也；歌乐者，仁之和也；分散者，仁 之施也。		《礼记》__春秋战国
54	以适父母舅姑之所，及所，下气怡声，问衣燠寒，疾痛苛痒，而 [敬] 抑搔之。		《礼记》__春秋战国
55	出入，则或先或后，而 [敬] 扶持之。		《礼记》__春秋战国
56	问所欲而 [敬] 进之，柔色以温之，饣酏酒醴Ρ羹菽麦ナ稻黍粱秫唯所欲，枣 栗饴蜜以甘之，堇、{艹亘}、、榆、免、{蒿死}、氵修、氵随以滑之，脂膏以 膏之，父母舅姑必尝之而后退。		《礼记》__春秋战国
57	父母舅姑之衣衾簟席枕几不传，杖屦 [敬] 之，勿敢近。		《礼记》__春秋战国
58	朕及笃 [敬] ，恭承民命，用永地于新邑。		《尚书》__周
59	在父母舅姑之所，有命多，应唯 [敬] 对。		《礼记》__春秋战国
60	予其懋简相尔念 [敬] 我众。		《尚书》__周
61	不有 [敬]  事，不敢袒裼，不涉不撅，亵衣衾不见里。		《礼记》__春秋战国
62	子妇孝者 [敬] 者，父母舅姑之命，勿逆勿怠。		《礼记》__春秋战国
63	子妇未孝未 [敬] ，勿庸疾 怨，姑教之；若不可教，而后怒之；不可怒，子放妇出，而不表礼焉。		《礼记》__春秋战国
64	父母有婢子若庶子庶孙，甚爱之，虽父母没，没身 [敬] 之不衰。		《礼记》__春秋战国
65	若非所 献，则不敢以入子宗子之门，不敢以贵富加于父兄宗族，若富，则具二牲，献其 贤者于宗子，夫妇皆齐而宗 [敬] 焉，终事而后敢私祭。		《礼记》__春秋战国
66	永 [敬] 大恤，无胥绝远！		《尚书》__周
67	是故父母之所爱 亦爱之，父母之所 [敬] 亦 [敬] 之，至于犬马尽然，而况于人乎！”		《礼记》__春秋战国
68	今王 [敬] 之哉！		《尚书》__周
69	惟天无亲，克 [敬] 惟亲。		《尚书》__周
70	先王惟时懋 [敬] 厥德，克配上帝。		《尚书》__周
71	夜姑曰：“ [敬] 诺！”		《榖梁传》__春秋战国
72	今王嗣厥德，罔不在初，立爱惟亲，立 [敬] 惟长，始天家邦，终于四海。		《尚书》__周
73	礼，宗庙之事，君亲割，夫人亲舂， [敬] 之至也。		《榖梁传》__春秋战国
74	尔惟 [敬] 明乃训，用奉若于先王，对扬文、武之光命，追配于前人。”		《尚书》__周
75	白圭对曰：“文侯师子夏，友田子方， [敬] 段干木，此名之所以过桓公也。		《吕氏春秋》__春秋战国
76	亦越文王、武王，克知三有宅心，灼见三有俊心，以 [敬] 事上帝，立民长伯。		《尚书》__周
77	司寇苏公式 [敬] 尔由狱，以长我王国。		《尚书》__周
78	公其以予万亿年 [敬] 天之休。		《尚书》__周
79	汝其 [敬] 识百辟享，亦识其有不享。		《尚书》__周
80	汝往 [敬] 哉！		《尚书》__周
