语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：数
2022/11/4 22:21:21

序号	语句	书名	朝代
1	沿至于梁元帝，有《燕歌行集》，其书不传，今可见者，犹有三 [数] 篇。		《钝吟杂录》__清
2	此时我倒不能说那些客套虚文，只是我安骥有 [数] 的七尺之躯，你叫我今世如何答报！”		《儿女英雄》__清
3	如今你囊中止得二千 [数] 百两，才有一半。		《儿女英雄》__清
4	所以他听见我说个借字，就立刻照 [数] 的盘出来，问我送到那里，我说∶“不必遣人运送，给我捆载停妥，就捎在我驴儿上带去罢。		《儿女英雄》__清
5	列公，打拳的这家武艺，却与厮杀械斗不同，有个家 [数] ，有个规矩，有个架式。		《儿女英雄》__清
6	讲家 [数] ，为头 [数] 武当拳、少林拳两家。		《儿女英雄》__清
7	如今他见这女子方才的一个反巴掌有些家 [数] ，不觉得技痒起来；又欺他是个女子，故此把左手拢着右拳，让他先打进来，自己再破出去。		《儿女英雄》__清
8	在床上翻来覆去的想，只听得老鼠在床下 [数] 钱。		《风流悟》__清
9	敬山因满口约定了，急忙忙早起出门，不道走得 [数] 步，只见一个人挑了担，撞着何敬山，便道：“何阿叔，清早那里去？”		《风流悟》__清
10	施十娘见小姐这般光景，料道十拿九肯，又说道：“那文相公思想小姐，自从昨日至今日，一连来 [数] 次，要老身访问小姐消息，不知小姐有何说话？”		《风流悟》__清
11	走不上 [数] 十家门面，便是他女婿家了。		《风流悟》__清
12	譬如猛兽伤身，毒蛇损命，由天注定， [数] 莫能逃，亦付之无可奈何罢了。		《风流悟》__清
13	留他住了 [数] 日。		《风流悟》__清
14	十三妹略略的 [数] 了一 [数] ，通共也有个千把两银子，因先拣了一包碎的，约略不足百两，撂在一边，又把那小包袱仍交还他母女。		《儿女英雄》__清
15	我索性等夜静了，偷对过舡坊里那只小船来，尽 [数] 载他娘去，可不是一生受用。”		《风流悟》__清
16	这安老爷一边忙了 [数] 日，不曾得闲，直等谢恩领宴诸事完毕，才得略略安静。		《儿女英雄》__清
17	只见上面的出语写的是∶“请旨革职拿问， 带罪赔修，俟该参员果否能于限内照 [数] 赔缴，如式修齐， 再行奏闻请旨。		《儿女英雄》__清
18	同人还在赌场里，琬娘叫人寻了 [数] 次，才得回家。		《风流悟》__清
19	同人这一回又赢了十 [数] 千。		《风流悟》__清
20	一时仙乐 [数] 声，画阁开处，左有金童，右有玉女，手提宝炉，焚着白檀紫降，引了那帝释天尊、悦意夫人出来。		《儿女英雄》__清
21	全行 [数] 4785行  全字 [数] 16万3千字		《儿女英雄》__清
22	 [数] 日以来，只心切切的盼着山东就有电报过来。		《官场现形》__清
23	隔了 [数] 日，又请他到馆了，因此琬娘再不觉着。		《风流悟》__清
24	与国同休的先 [数] 近支远派的宗室觉罗，再就是随龙进关的满洲、蒙古、汉军八旗， 内务府三旗， 连上那十七省的文武大小汉官，何止千门万户！		《儿女英雄》__清
25	问四边乡邻，俱道去了 [数] 日了。		《风流悟》__清
26	过了 [数] 日，只见禁子走来道：“你们正好不得审结哩！”		《风流悟》__清
27	小房后有马坊儿，立着十 [数] 匹驴马，在那里嘶叫。		《风流悟》__清
28	过了 [数] 日，一日，只见驿丞慌张张进驿来道：“急要点囚徒二十名，新道爷到任，扛行李”莫拿我亦扯在里边。		《风流悟》__清
29	莫拿我既入虎穴，也没奈何，只得拼着性命，轻轻溜入一个大皮帐内，又伏在地上张时，只见帐口挂着无 [数] 弓箭，十 [数] 个兵丁和甲卧着。		《风流悟》__清
30	臣道自莅任以来，未及一月，忽遭海寇结连山贼提兵 [数] 万，围困城池，声言借粮，所往焚劫。		《风流悟》__清
31	臣有故人莫拿我者，胸怀经济，夙储报国之孤忠，目睹艰难，竟出匡时之奇略，不烦一兵，不费一粟，以寸铁而丧彼三军之心，以一身而退彼 [数] 万之众。		《风流悟》__清
32	此离吾境不远，别无他物，仅有自采仙茗一盏，亲酿美酒几瓮，素练魔舞歌姬 [数] 人，新填《红楼梦》仙曲十二支。		《红楼梦(上)》__清
33	进入门中，只见有十 [数] 个大橱，皆用封条封着，看那封条上皆有各省字样。		《红楼梦(上)》__清
34	真娘揭开了 [数] 页，只见一页上，劈头一行写道：“弁真娘，应配山子佳为妻。		《风流悟》__清
35	奈运终 [数] 尽不可挽回，我等之子孙虽多，竟无可以继业者。		《红楼梦(上)》__清
36	这是尘寰中消长 [数] 应当，何必枉悲伤？		《红楼梦(上)》__清
37	可见夫妇之恩仇，皆有一定之 [数] 。		《风流悟》__清
38	庭中牡丹甚盛，不 [数] 魏紫姚黄，然名花必得主人相对，始不虚负春光也。		《风流悟》__清
39	只听得他说∶“小侄不远 [数] 千里赶回归宗，耽当一切大事，自己吃了苦不算，还要赔钱。		《官场现形》__清
40	只听得他说∶“小侄不远 [数] 千里赶回归宗，耽当一切大事，自己吃了苦不算，还要赔钱。		《官场现形》__清
41	你老要没熟人，我 [数] 给你老听∶咱们这儿头把交椅， [数] 东关里住的晚香玉，那是个尖儿。		《儿女英雄》__清
42	然后众人络续告成， [数] 了 [数] 一共二十七首，甄阁学汇齐之后，一齐请沈中堂过目。		《官场现形》__清
43	只是我计算，多也不过二千余金呢，终究还不足 [数] 。		《儿女英雄》__清
44	三荷包灯下无事，把封信偷着拆开一看，见那信只有一张八行书， [数] 一 [数] ，核桃大的字不到二十几个。		《官场现形》__清
45	门生即刻给同门受过师恩的众门生分头写了信去，派了个 [数] 儿，教他们量力尽心。		《儿女英雄》__清
46	藩台道∶“一个知府总不止这个 [数] 。		《官场现形》__清
47	只为阴阳 [数] 不通。		《红楼梦(上)》__清
48	盖起句不在韵 [数] 中，故一绝止言二韵，一律止言四韵。		《答万季埜诗问》__清
49	’以‘渚’、‘悠’不在韵 [数] 中故也。”		《答万季埜诗问》__清
50	凤姐又做情先支三个月的费用，叫他写了领字，贾琏画了押，登时发了对牌出去，银库上按 [数] 发出三个月的供给来，白花花三百两。		《红楼梦(上)》__清
51	天成一对夫妻，不 [数] 弄玉萧史。		《风流悟》__清
52	后来菜都上齐，主人 [数] 了一 [数] ，台面上的局，独独小陆兰芬未到，便立刻叫人去催。		《官场现形》__清
53	唐人 [数] 百家，各有能事，非鄙朽一人所能尽测也。		《答万季埜诗问》__清
54	如此接连 [数] 月，闹的两府俱怕。		《红楼梦(下)》__清
55	又过了几天， [数] 了 [数] 日子，电报打去已经二十天了，依旧杳无音信。		《官场现形》__清
56	青山 [数] 行泪，白首一穷鳞’、‘身多疾病思田里，邑有流亡愧俸钱’，盛唐人《早朝》诸篇，不可谓非《二雅》之遣音也。		《答万季埜诗问》__清
57	贾芸道：“有件事求舅舅帮衬：要用冰片、麝香，好歹舅舅每样赊四两给我，八月节按 [数] 送了银子来。”		《红楼梦(上)》__清
58	打听凤姐回来，去写个领票来领对牌，至院外，命人通报了，彩明走出来要了领票，进去批了银 [数] 、年月，一并连对牌交给贾芸。		《红楼梦(上)》__清
59	及投顺了，又追留 [数] 日，始得放归。		《风流悟》__清
60	咐打电报给抚台∶先把土匪猖獗情形，略述 [数] 语；后面便报一律肃清，好为将来开保地步。		《官场现形》__清
61	却说孙仁一连住了 [数] 日，毫不见动静，只见人家送盘盒的，差使女问慰的，家中备酒庆贺，准日闹个不了。		《风流悟》__清
62	我再写个欠契给你，到那时候儿，我照 [数] 还你。”		《红楼梦(上)》__清
63	何敬山道：“今日不能这许多，若要足这 [数] ，今日先拿二两五钱去，买起棺木来，后日找一两五钱。”		《风流悟》__清
64	卖了 [数] 日，果然日日赚得几分。		《风流悟》__清
65	贾政见不效验，因阻贾赦道：“儿女之 [数] 总由天命，非人力可强。		《红楼梦(上)》__清
66	剩的衣裳簪环，约有三四百金之 [数] ，他哥嫂自收了，为后日之计。		《红楼梦(中)》__清
67	小红就替他一五一十的 [数] 了收起。		《红楼梦(上)》__清
68	说着，便慢慢的站起来吩咐说：“跟我的人一个不许动，都给我站在这里候着，回来一齐瞧着登 [数] 。”		《红楼梦(下)》__清
69	宝玉又道：恒王得意 [数] 谁行？		《红楼梦(中)》__清
70	说着，果然按 [数] 一点，只没有李纨的一分。		《红楼梦(中)》__清
71	过道台找到拉达，说起这个事，拉达开的盘子竟是二百万的 [数] 。		《官场现形》__清
72	一应饭食起居在大厨房内分送，衣裙什物又是贾母送去，零星需用亦在账房内开销，俱照荣府每人月例之 [数] 。		《红楼梦(下)》__清
73	是个茶商，往山东登州府贸易，去已 [数] 年，并无信息。		《幻中游》__清
74	贾琏无计可施，想到那亲戚里头，薛姨妈家已败，王子腾已死，馀者亲戚虽有，俱是不能照应的，只得暗暗差人下屯，将地亩暂卖 [数] 千金作为监中使费。		《红楼梦(下)》__清
75	二人已走了 [数] 步，香菱复转身回来，叫住宝玉。		《红楼梦(中)》__清
76	我贾门 [数] 世以来，不敢行凶霸道。		《红楼梦(下)》__清
77	那时金桂又吵闹了 [数] 次，薛蟠有时仗着酒胆，挺撞过两次。		《红楼梦(中)》__清
78	去未 [数] 日，家奴送信回家，说遭人命，生即奔宪治，知兄误伤张姓。		《红楼梦(下)》__清
79	又取过骰子来，盛在盒内，摇了一摇，揭开一看，里面是六点， [数] 至宝钗。		《红楼梦(中)》__清
80	秋英道：“这是 [数] 该如此，你我焉能作主。”		《幻中游》__清
81	宝钗又掷了一个十六点， [数] 到探春。		《红楼梦(中)》__清
82	十 [数] 年前，梦一女子借去。		《幻中游》__清
83	湘云便抓起骰子来，一掷个九点， [数] 去该麝月。		《红楼梦(中)》__清
84	说着，大家吃了三口，以充三杯之 [数] 。		《红楼梦(中)》__清
85	似这样浑身并无筋肉，旋风儿内裹着直挺挺的 [数] 根干骨架，直是雪霜白的人幌子一般，实是令人难看。		《狐狸缘全传》__清
86	一旦任情胡为，行淫害命，无故将 [数] 千年道力化为子虚，岂不可惜？		《狐狸缘全传》__清
87	咱俩虽非同类，耳鬓厮磨，算来也有 [数] 日之久。		《狐狸缘全传》__清
88	从来没见拜帖上下别号的，这可是俗语说的‘僧不僧，俗不俗，女不女，男不男’，成个什么理 [数] 。”		《红楼梦(中)》__清
89	贾政此时正怕风波，听见家人回禀，便一时生气，叫进包勇来 [数] 骂了几句，也不好深沉责罚他，便派去看园，不许他在外行走。		《红楼梦(下)》__清
90	因此修行，不能回家，已 [数] 年了。”		《幻中游》__清
91	仍生了个天资国色，与周公子结为夫妇十 [数] 余年。		《狐狸缘全传》__清
92	且说吕祖将玉面狐发放已毕，又对着周公子说道：“山人看你倒不是偏护妖狐，却是怜其 [数] 千年修行不易，求着恕其过恶。		《狐狸缘全传》__清
93	说着，将头磕了有 [数] 十个方才起来。		《狐狸缘全传》__清
94	转眼间，不觉 [数] 日了。		《幻中游》__清
95	石生自省回署，进得后宅，秋英迎着说道：“房氏太太已经接来 [数] 日了。		《幻中游》__清
96	吕祖道：“你不必多问，速速去收拾一间洁净房屋，内中放下一桌一椅，再备砚台一块，新笔一支，黄纸一张，净水一盂，杨柳枝 [数] 株，长香三炷，素烛一对，一齐预备，送到净室之内听用。”		《狐狸缘全传》__清
97	是日丧仪耀，宾客如云，自铁槛寺至宁府，夹路看的何止 [数] 万人。		《红楼梦(中)》__清
98	鸳鸯说：“如今用四个骰子掷去，掷不出名儿来的罚一杯；掷出名儿来，每人喝酒的杯 [数] 儿，掷出来再定。”		《红楼梦(下)》__清
99	众人叫鸳鸯喝了一杯，就在他身上 [数] 起，恰是薛姨妈先掷。		《红楼梦(下)》__清
100	秋英道：“别无话说，你进宅已经 [数] 日，你的来历，俺还未问你个清白。		《幻中游》__清
101	黛玉一面让宝钗坐，一面笑道：“我曾见古史中有才色的女子，终身遭际，令人可欣可羡、可悲可叹者甚多，今日饭后无事，因欲择出 [数] 人，胡乱凑几首诗，以寄感慨。		《红楼梦(中)》__清
102	昔日他曾助银五百，今日就该照 [数] 还他，以偿前债。		《幻中游》__清
103	又过了 [数] 日，乃贾敬送殡之期，贾母犹未大愈，遂留宝玉在家侍奉。		《红楼梦(中)》__清
104	念氏谢道：“照 [数] 还债，已觉讨愧。		《幻中游》__清
105	 [数] 年以后，家产恢复。		《幻中游》__清
106	有蒲团，无蝇拂，这个摊，真厌恶，黑红笔，尖儿秃，破砚台，满尘土，旧签桶，麻线箍，竹签子，不够 [数] ，卦盒儿，糊着布，还乱堆着少尾无头几本破书。		《狐狸缘全传》__清
107	如今这十 [数] 年两家音信不通，我老娘时常报怨，要给他家退婚。		《红楼梦(中)》__清
108	从桥上过去，又走了 [数] 十步，是一座朱红大门。		《幻中游》__清
109	这太平庄虽属青石山的地界，却在坟墓之南，离茔地尚有 [数] 里之遥。		《狐狸缘全传》__清
110	忽听一阵风响，立时就有 [数] 万人马，站在演武厅前。		《幻中游》__清
111	妖狐想至此处，不禁跃然而动，心旌摇摇，淫情汲汲，遂将 [数] 千年修炼之功，一旦付之东洋大海，安心要引诱周信。		《狐狸缘全传》__清
112	阵已摆完，娘娘把红旗一卷， [数] 万人马，风流云散，当时就没有了。		《幻中游》__清
113	尤老娘又自那家嫁了出来，两家有十 [数] 年音信不通。		《红楼梦(中)》__清
114	凤姐儿正 [数] 着钱，听了这话，忙又把钱穿上了，向众人笑道：“够了我的了！		《红楼梦(中)》__清
115	我到底小气，输了就 [数] 钱，快收起来罢。”		《红楼梦(中)》__清
116	凤姐儿笑道：“赏我罢，照 [数] 儿给就是了。”		《红楼梦(中)》__清
