语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：文
2022/11/4 22:17:37

序号	语句	书名	朝代
1	盖乐人采诗合乐，不合宫商者，增损其 [文] ，或有声无 [文] ，声词混填，至有不可通者，皆乐工所为，非本诗如此也。		《钝吟杂录》__清
2	此 [文] 既不谐于金石，则非乐也；又不取古题，则不应附于乐府也；又不咏时事，如汉人歌谣及杜陵新题乐府，直是有韵史论，自可题曰史赞，或曰咏史诗，则可矣，不应曰乐府也。		《钝吟杂录》__清
3	诗之为 [文] ，一出一入，有切言者，有微言者，轻重无准，唯在达其志耳。		《钝吟杂录》__清
4	故孟子曰：“不以 [文] 害词，不以词害志。		《钝吟杂录》__清
5	西涯之词，引绳切墨，议论太重， [文] 无比兴，非诗之体也。		《钝吟杂录》__清
6	今太常乐府，其 [文] 用诗。		《钝吟杂录》__清
7	盖魏、晋乐章，既由伶人协律，声有短长损益，以 [文] 就之，往往合二为一，首尾都不贯， [文] 亦有不尽可通者，如《铙歌》声词混填，岂可更拟耶？		《钝吟杂录》__清
8	乐工务配其声， [文] 士宜正其 [文] 。		《钝吟杂录》__清
9	兴深 [文] 典，与苏、李诸作何异？		《钝吟杂录》__清
10	魏 [文] 帝作《燕歌行》，以七字断句，七言歌行之滥觞也。		《钝吟杂录》__清
11	于时南北诗集，卢思道有《从军行》，江总持有《杂曲 [文] 》，皆纯七言，似唐人歌行之体矣。		《钝吟杂录》__清
12	迨及唐初，卢、骆、王、杨大篇诗赋，其 [文] 视陈、隋有加矣。		《钝吟杂录》__清
13	盖诗人寓兴， [文] 无定例，率随所感。		《钝吟杂录》__清
14	吴兢史才，长于考证，昧于 [文] 外比兴之旨，其言若此，有似鼓瑟者之记其柱也。		《钝吟杂录》__清
15	必如所云，则乐府之 [文] ，所谓床上安床，屋上架屋，古人已具，何烦赘剩耶？		《钝吟杂录》__清
16	既谓之歌行，则自然出于乐府，但指事咏物之 [文] ，或无古题，《英华》分别，亦有旨也。		《钝吟杂录》__清
17	汉世歌谣，当骚人之后， [文] 多遒古。		《钝吟杂录》__清
18	 [文] 、明二祖，仰而不迨，大略古直。		《钝吟杂录》__清
19	乐工采歌谣以配声， [文] 多不可通，《铙歌》声词混填，不可复解是也。		《钝吟杂录》__清
20	凡是这等，我都要用他几 [文] ，不但不领他的情，还不愁他不双手有奉送。		《儿女英雄》__清
21	十三妹也没工夫合他掉那酸 [文] ，说道∶“你且不要忙。		《儿女英雄》__清
22	用得当，万金也不算虚花；用得不当，一 [文] 也叫作枉费。		《儿女英雄》__清
23	只听他说道∶“你们且不必繁 [文] ，大家坐好了，把你们的一往情由说明，我自有个道理。”		《儿女英雄》__清
24	我这里有小小的一张弹弓，却还值得几 [文] ，这叫作‘宝剑赠与烈士’，拿去算发个利市，如何？”		《儿女英雄》__清
25	也值 [文] 诌诌的费这些话白！		《儿女英雄》__清
26	在下说元朝姑苏，有一士人，姓 [文] ，名世高，字希顽。		《风流悟》__清
27	故此 [文] 世高功名之念少，而诗酒之情浓。		《风流悟》__清
