语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：斯
2023/1/20 16:04:03

序号	语句	书名	朝代
1	’其 [斯] 之谓与！”		《榖梁传》__春秋战国
2	子夏曰：“敢问《诗》云‘凯弟君子，民之父母’何如  [斯] 可谓民之父母矣？”		《礼记》__春秋战国
3	孰是人 [斯] ，而有是臭也？		《国语》__春秋战国
4	国 [斯] 无刑，偷居☆生。		《国语》__春秋战国
5	奉 [斯] 三者以劳天下，此之谓三无私。		《礼记》__春秋战国
6	九四，解而拇，朋至 [斯] 孚。		《周易》__周
7	近臣，君服 [斯] 服矣。		《礼记》__春秋战国
8	时人 [斯] 其惟皇之极。		《尚书》__周
9	凡厥正人，既富方谷，汝弗能使有好于而家，时人 [斯] 其辜。		《尚书》__周
10	周公居东二年，则罪人 [斯] 得。		《尚书》__周
11	秋，大熟，未获，天大雷电以风，禾尽偃，大木 [斯] 拔，邦人大恐。		《尚书》__周
12	有 [斯] 明享，乃不用我教辞，惟我一人弗恤弗蠲，乃事时同于杀。”		《尚书》__周
13	尔有嘉谋嘉猷，则入告尔后于内，尔乃顺之于外，曰：‘ [斯] 谋 [斯] 猷，惟我后之德。		《尚书》__周
14	诏以韩客之所上书书言“韩之未可举”，下臣 [斯] 。		《韩非子》__春秋战国
15	臣 [斯] 甚以为不然：秦之有韩，若人之有腹心之病也。		《韩非子》__春秋战国
16	臣 [斯] 请往见韩王，使来入见；大王见，因内其身而勿遣，稍召其社稷之臣，以与韩人为市，则韩可深割也。		《韩非子》__春秋战国
17	李 [斯] 往诏韩王，未得见，因上书曰：“昔秦、韩戮力一意以不相侵，天下莫敢犯，如此者数世矣。		《韩非子》__春秋战国
18	今秦王使臣 [斯] 来而不得见，恐左右袭曩奸臣之计，使韩复有亡地之患。		《韩非子》__春秋战国
19	臣 [斯] 不得见，请归报，秦、韩之交必绝矣。		《韩非子》__春秋战国
20	 [斯] 之来使，以奉秦王之欢心，愿效便计，岂陛下所以逆贱臣者邪？		《韩非子》__春秋战国
21	臣 [斯] 愿得一见，前进道愚计，退就菹戮，愿陛下有意焉。		《韩非子》__春秋战国
22	臣 [斯] 暴身于韩之市，则虽欲察贱臣愚患之计，不可得已。		《韩非子》__春秋战国
23	边鄙残，国固守，鼓铎之声于耳，而乃用臣 [斯] 之计，晚矣，且夫韩之兵于天下可知也，今又背强秦。		《韩非子》__春秋战国
24	若臣 [斯] 之所言有不应事实者，愿大王幸使得毕辞于前，乃就吏诛不晚也。		《韩非子》__春秋战国
25	秦王饮食不甘，游观不乐，意专在图赵，使臣 [斯] 来言，顺得身见，因急与陛下有计也。		《韩非子》__春秋战国
26	“凡为名 者必廉，廉 [斯] 贫；为名者必让，让 [斯] 贱。”		《列子》__春秋战国
27	初六，旅琐琐， [斯] 其所取灾。		《周易》__周
28	忧苦，犯性者也；逸乐，顺性者也， [斯] 实之所系矣。		《列子》__春秋战国
29	华胥氏之国在弇州之西，台州之北，不知 [斯] 齐国几千万里；盖非舟车足力 之所及，神游而已。		《列子》__春秋战国
30	’责人 [斯] 无难，惟受责俾如流，是惟艰哉！		《尚书》__周
31	2.天下皆知美之为美， [斯] 恶矣；皆知善之为善， [斯] 不善已。		《老子》__春秋战国
32	六年春，王正月癸亥，郑游速帅师灭许，以许男 [斯] 归。		《榖梁传》__春秋战国
33	夏，季孙 [斯] 、仲孙何忌如晋。		《榖梁传》__春秋战国
34	季孙 [斯] 、仲孙忌帅师围郓。		《榖梁传》__春秋战国
35	季孙 [斯] 、仲孙何忌帅师侵卫。		《榖梁传》__春秋战国
36	季孙 [斯] 、仲孙何忌帅师堕费。		《榖梁传》__春秋战国
37	使古无死者，寡人将去 [斯] 而之何？”		《列子》__春秋战国
38	乃求千 [斯] 仓，乃求万 [斯] 箱。		《诗经》__周
39	先慮之，早謀之， [斯] 須之言而足聽，文而致實，博而黨正，是士君子之辯者也。		《荀子》__春秋战国
40	伯尊由忠问焉，辇者曰：“君亲素缟，帅群臣而哭之，既而祠焉， [斯] 流矣。”		《榖梁传》__春秋战国
41	伯尊曰：“君亲素缟，帅群臣而哭之，既而祠焉， [斯] 流矣。”		《榖梁传》__春秋战国
42	大侯既抗，弓矢 [斯] 张。		《诗经》__周
43	詩曰∶「民之無良，相怨一方，受爵不讓，至于己 [斯] 亡。」		《荀子》__春秋战国
44	慎 [斯] 术也以往，其无所失矣。”		《周易》__周
45	二年春，王二月，季孙 [斯] 、叔孙州仇、仲孙何忌帅师伐邾，取漷东田，氵郭东，未尽也。		《榖梁传》__春秋战国
46	季孙 [斯] 、叔孙州仇帅师城启阳。		《榖梁传》__春秋战国
47	秋，七月丙子，季孙 [斯] 卒。		《榖梁传》__春秋战国
48	若 [斯] 三备，池乃全坚。		《老子想尔注》__春秋战国
49	 [斯] 三不慎，池为空坑也。“		《老子想尔注》__春秋战国
50	何 [斯] 违 [斯] ，莫敢或遑？		《诗经》__周
51	何 [斯] 违 [斯] ，莫敢遑息？		《诗经》__周
52	何 [斯] 违 [斯] ，莫或遑处？		《诗经》__周
53	李 [斯] 問孫卿子曰∶秦四世有勝，兵強海內，威行諸侯， 非以仁義為之也，以便從事而已。		《荀子》__春秋战国
54	乾余骨之沫为  [斯] 弥。		《列子》__春秋战国
55	 [斯] 弥为食醯颐辂。		《列子》__春秋战国
56	唯无得之尧舜禹汤文武孝已 [斯] 待以成天下必待以生，		《管子》__春秋战国
57	颜渊曰：“回虽不敏，请事 [斯] 语矣。”		《论语》__春秋战国
58	仲弓曰：“雍虽不敏，请事 [斯] 语矣。”		《论语》__春秋战国
59	曰：“其言也讱， [斯] 谓之仁已乎？”		《论语》__春秋战国
60	曰：“不忧不惧， [斯] 谓之君子已乎？”		《论语》__春秋战国
61	子贡曰：“必不得已而去，于 [斯] 三者何先？”		《论语》__春秋战国
62	子贡曰：“必不得已而去，于 [斯] 二者何先？”		《论语》__春秋战国
63	有秩 [斯] 祜。		《诗经》__周
64	申锡无疆，及尔 [斯] 所。		《诗经》__周
65	君子曰：“礼乐不可 [斯] 须去身。		《礼记》__春秋战国
66	心中 [斯] 须不和不乐， 而鄙诈之心入之矣。		《礼记》__春秋战国
67	外貌 [斯] 须不庄不敬，而慢易之心入之矣。		《礼记》__春秋战国
68	子曰：“尊五美，屏四恶， [斯] 可以从政矣。”		《论语》__春秋战国
69	子曰：“因民之所利而利之， [斯] 不亦惠而不费乎？		《论语》__春秋战国
70	君子无众寡，无小大，无敢慢， [斯] 不亦泰而不骄乎？		《论语》__春秋战国
71	君子正其衣冠，尊其瞻视，俨然人望而畏之， [斯] 不亦威而不猛乎？”		《论语》__春秋战国
72	 [斯] 人也而有 [斯] 疾也！		《论语》__春秋战国
73	 [斯] 人也而有 [斯] 疾也！”		《论语》__春秋战国
74	墓门有棘，斧以 [斯] 之。		《诗经》__周
75	何莫由 [斯] 道也？		《论语》__春秋战国
76	能慮、能固，加好者焉， [斯] 聖人矣。		《荀子》__春秋战国
77	子贡曰：“有美玉于 [斯] ，韫椟而藏诸？		《论语》__春秋战国
78	关市之租府库之徽粟什一 [斯] 与之事此四时亦当一倍货矣，		《管子》__春秋战国
79	桀蔽於末喜、 [斯] 觀， 而不知關龍逢，以惑其心，而亂其行。		《荀子》__春秋战国
80	子云：“小人贫 [斯] 约，富 [斯] 骄；约 [斯] 盗，骄 [斯] 乱。		《礼记》__春秋战国
81	《诗》云：‘民之无良，相怨一方；受爵不让，至 于己 [斯] 亡。		《礼记》__春秋战国
