语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：旁
2022/7/10 23:05:54

序号	语句	书名	朝代
1	且夫君也者，将牧民而正其邪者也，若君纵私回而弃民事，民 [旁] 有慝无由省之，益邪多矣。		《国语》__春秋战国
2	不窥密，不 [旁] 狎，不道旧故，不戏色。		《礼记》__春秋战国
3	重下上筐左右 [旁] 二植。		《墨子》__春秋战国
4	上杀、下杀、 [旁] 杀，而亲毕矣。		《礼记》__春秋战国
5	君拜寄公国宾，大夫士拜卿大夫于位，于士 [旁] 三拜。		《礼记》__春秋战国
6	君锦冒黼杀，缀 [旁] 七；大夫玄冒黼杀，缀 [旁] 五；士缁冒 杀，缀 [旁] 三。		《礼记》__春秋战国
7	使三军饥而居鼎 [旁] ，适为之甑。		《吕氏春秋》__春秋战国
8	吏方将书，宓子贱从 [旁] 时掣摇其肘，吏书之不善，则宓子贱为之怒。		《吕氏春秋》__春秋战国
9	凡人臣之所道成奸者有八术：一曰同床，二曰在 [旁] ，三曰父兄，四曰养殃，五曰民萌，六曰流行，七曰威强，八曰四方。		《韩非子》__春秋战国
10	巫马旗归，告孔子曰：“宓子之德至矣，使民暗行若有严刑於 [旁] 。		《吕氏春秋》__春秋战国
11	二曰在 [旁] 。		《韩非子》__春秋战国
12	为人臣者内事之以金玉玩好，外为之行不法，使之化其主，此之谓“在 [旁] ”。		《韩非子》__春秋战国
13	令此将众，亦必不北矣；令此处人主之 [旁] ，亦必死义矣。		《吕氏春秋》__春秋战国
14	惟说式克钦承， [旁] 招俊乂，列于庶位。”		《尚书》__周
15	乃召师涓，令坐师旷之 [旁] ，援琴鼓之。		《韩非子》__春秋战国
16	惟一月壬辰， [旁] 死魄。		《尚书》__周
17	惟公德明光于上下，勤施于四方， [旁] 作穆穆，迓衡不迷。		《尚书》__周
18	晏子独笑于 [旁] 。		《列子》__春秋战国
19	 [旁] 行而不流，乐天知命，故不忧。		《周易》__周
20	 [旁] 行者，行权之知也。		《周易》__周
