语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：族
2022/7/10 23:04:21

序号	语句	书名	朝代
1	参国起案，以为三官，臣立三宰，工立三 [族] ，市立三乡，泽立三虞，山立三衡。		《国语》__春秋战国
2	始为令，国无公 [族] 焉。		《国语》__春秋战国
3	舟之侨告诸其 [族] 曰：“众谓虢亡不久，吾乃今知之。		《国语》__春秋战国
4	咈哉，方命圮 [族] 。”		《尚书》__周
5	非是 [族] 也，不在祀典。		《国语》__春秋战国
6	守法守职之吏有不行王法者，罪死不赦，刑及三 [族] 。		《商君书》__春秋战国
7	智过见其言之不听也，出，因更其 [族] 为辅氏。		《韩非子》__春秋战国
8	官伯 [族] 姓，朕言多惧。		《尚书》__周
9	沈湎冒色，敢行暴虐，罪人以 [族] ，官人以世，惟宫室、台榭、陂池、侈服，以残害于尔万姓。		《尚书》__周
10	 [族] 大多怨，去大 [族] 不逼。		《吕氏春秋》__春秋战国
11	北宫子谓西门子曰：“朕与子并世也，而人子达；并 [族] 也，而人子敬；并貌 也，而人子爱；并言也，而人子庸；并行也，而人子诚；并仕也，而人子贵；并 农也，而人子富；并商也，而人子利。		《列子》__春秋战国
12	齐公 [族] 多宠，嫡庶并行。		《列子》__春秋战国
13	曰∶文久而滅，節 [族] 久而絕，守法數之有司，極禮而褫。		《荀子》__春秋战国
14	是以文久而滅，節 [族] 久而絕。		《荀子》__春秋战国
15	吴起死矣，且荆国之法，丽兵於王尸者尽加重罪，逮三 [族] 。		《吕氏春秋》__春秋战国
16	乃杀费无忌，尽灭其 [族] ，以说其国。		《吕氏春秋》__春秋战国
17	动而不论其义，知害人而不知人害己也，以灭其 [族] ，费无忌之谓乎！		《吕氏春秋》__春秋战国
18	燕人闻之，聚 [族] 相戒，曰：“遇盗，莫如上 地之牛缺也！”		《列子》__春秋战国
19	如庖丁解牛，会则其 [族] ，而通则其虚		《周易》__周
20	不仅于附近而欲来远者兵不信略近臣合于其远者立亡国之起毁国之 [族] 则兵远而不畏，		《管子》__春秋战国
21	美如玉，殊异乎公 [族] 。		《诗经》__周
22	失 [族] 于内失援于外此一亡也，		《管子》__春秋战国
23	群官朋党以怀其私则失 [族] 矣，		《管子》__春秋战国
24	今子發獨不然∶反先王之道，亂楚國之法，墮興功之臣，恥受賞之屬，無戮乎 [族] 黨，而抑卑其後世，案獨以為私廉，豈不過甚矣哉！		《荀子》__春秋战国
25	一命齿于乡里，再命齿于 [族] ，三命不齿； [族] 有七十者，弗敢先。		《礼记》__春秋战国
26	樂在宗廟之中，君臣上下同聽之，則莫不和敬；閨門之內， 父子兄弟同聽之，則莫不和親；鄉里 [族] 長之中，長少同聽之，則莫不和順。		《荀子》__春秋战国
27	大夫立三祀，曰 [族] 厉，曰门，曰行。		《礼记》__春秋战国
28	非此 [族] 也，不在祀典。		《礼记》__春秋战国
29	言旋言归，复我邦 [族] 。		《诗经》__周
30	故君子因睦以合 [族] 。		《礼记》__春秋战国
31	以此坊民，民犹淫氵失而乱于 [族] 。”		《礼记》__春秋战国
32	亂世則不然∶刑罰怒罪，爵賞逾德，以 [族] 論罪，以世舉賢。		《荀子》__春秋战国
33	以 [族] 論罪，以世舉賢，雖欲無亂，得乎哉！		《荀子》__春秋战国
