语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：日
2022/11/4 22:01:03

序号	语句	书名	朝代
1	这驴儿 [日] 行五百里，但遇着歹人，或者异怪物事，他便咆哮不止，真真是个神物。		《儿女英雄》__清
2	十三妹道∶“一则，看看你二人的心思；二则，试试你二人的胆量；三则，我们今 [日] 这桩公案，情节过繁，话白过多，万一 [日] 后有人编起书来，这回书找不着个结扣，回头儿太长。		《儿女英雄》__清
3	忽一 [日] ，魏二早起行鱼去了，那何敬山因是还利 [日] 上了，不见他送来，拿了一本帐，走到后村，来到魏家道：“有人么？”		《风流悟》__清
4	那桃花道：“因两 [日] 生意艰难些，所以不曾送得来，反复劳何阿叔拖步。		《风流悟》__清
5	听见一吓，又变了夹惊伤寒，三四 [日] 一病而亡了。		《风流悟》__清
6	是 [日] ，正同母亲吃饭，只见一个半中年妇人，带一身孝进门，道：“这里是魏家么？”		《风流悟》__清
7	正在话间，魏二归来了，道：“阿哥的一半有了，本钱贰两，利钱五钱，还有五分，隔两三 [日] 就送来，要将原契收一笔在上面。”		《风流悟》__清
8	隔了两 [日] ，魏二果然凑足本利，自己去到何家。		《风流悟》__清
9	好 [日] 去仔思 [日] 来，那料介眉头锁仔哩。		《风流悟》__清
10	那门历拉声，常氏慌了，忙起身穿了衣服去缝里张，月光之下认得王二的模样，肚里道：“不好了， [日] 里不合说了银子也，见财起意了，如今怎么处？”		《风流悟》__清
11	大家听了，一来是本官作主，二则又得若干东西，就不分书吏、班头、散役、仵作，甚至连跟班、轿夫，大家动起手来，直闹了大半 [日] 才弄停妥。		《儿女英雄》__清
12	那王二道：“不要说起，脚上生了个肿毒，两 [日] 腐烂，熬不得这样痛。”		《风流悟》__清
13	“这妇人，两 [日] 你们魏二舍在这里搭他。”		《风流悟》__清
14	因说道∶“那 [日] 正在性命呼吸之间，忽然凭空里拍拍的两个弹子，把面前的两个和尚打倒，紧接着就从半空中飞下一个人来，松了绑绳，救了孩儿的性命。”		《儿女英雄》__清
15	就是那 [日] 在店中相会的那个女子！”		《儿女英雄》__清
16	安太太道∶“我细想这桩事，你媳妇方才的话，是因你那 [日] 在庙里辞婚，他得站住女孩儿的身分。		《儿女英雄》__清
17	但这老妇人卖花粉过 [日] ，家道料不丰腴，我须破些钱钞，用些甜言美话，以图侥幸。”		《风流悟》__清
18	施十娘见他像个不嗔怪的意思，料道是曾见过来，因又说道：“你休瞒我，那少年郎君，今 [日] 特来见我，说前 [日] 见了小姐，小姐称赞他美少，可是有的么？”		《风流悟》__清
19	今 [日] 这桩事若不禀命而行，万一 [日] 后父亲有个不然起来，我何以处张金凤姑娘？		《儿女英雄》__清
20	我早到一 [日] ，老人家早安一 [日] 。		《儿女英雄》__清
21	且说春娇这丫环，原是粗婢， [日]  [日] 清早，小姐几次叫他，也不就起来。		《风流悟》__清
22	过了三 [日] ，早到了苏州地面。		《风流悟》__清
23	过不几 [日] ，那张士诚乘战胜之势，沿路侵犯到苏州地面，合郡人民惊窜。		《风流悟》__清
24	施十娘道：“自你那 [日] 死后，我却心慌惧罪，连夜与侄儿搬移他处。		《风流悟》__清
25	一 [日] 黄榜动，选场开，文世高果以奇才雄策，高掇巍科。		《风流悟》__清
26	又量他这穷酸，如何得有这一 [日] 。		《风流悟》__清
27	这 [日] ，胡知县接了地保的禀报，问了问这西乡离县衙有三十多里，便传了次 [日] 下乡。		《儿女英雄》__清
28	一面回复施妈妈，择 [日] 成亲，一面高结彩楼，广张筵席，迎文生入赘。		《风流悟》__清
29	一 [日] 闲行市中，见几个异乡人摔打，内有一个少年，被三个长大汉子攒殴，大是吃亏。		《风流悟》__清
30	留他住了数 [日] 。		《风流悟》__清
31	那上官谠，适因妻妾相争，斗了闲气，几 [日] 无好情绪，不喜说话，见了朋友，拱手就别，不接一语。		《风流悟》__清
