语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：时
2022/11/6 16:04:52

序号	语句	书名	朝代
1	陈王、陆机所制， [时] 称“乖调”。		《钝吟杂录》__清
2	汉 [时] 有苏、李五言，枚乘诸作，然吴兢《乐录》有古诗。		《钝吟杂录》__清
3	晋、宋 [时] 所奏乐府，多是汉 [时] 歌谣，其名有《放歌行》、《艳歌行》之属，又有单题某歌、某行，则歌行者，乐府之名也。		《钝吟杂录》__清
4	于 [时] 南北诗集，卢思道有《从军行》，江总持有《杂曲文》，皆纯七言，似唐人歌行之体矣。		《钝吟杂录》__清
5	李太白崛起，奄古人而有之，根于《离骚》，杂以魏三祖乐府，近法鲍明远，梁、陈流丽，亦 [时]  [时] 间出，谲辞云构，奇文郁起，后世作者，无以加矣。		《钝吟杂录》__清
6	则于 [时] 乐府，已有不歌者矣。		《钝吟杂录》__清
7	魏、晋所奏乐府，如《艳歌行》、《长歌行》、《短歌行》之类，大略是汉 [时] 歌谣，谓之曰“行”，本不知何解。		《钝吟杂录》__清
8	彼 [时] 我要跳下去，诚恐一个措手不及，那和尚先下手，伤了你的性命。		《儿女英雄》__清
9	万一一 [时] 不得措手，后任催得，上司逼得严，依然不得了事。		《儿女英雄》__清
10	人生第一开心事，辛苦功成闲话 [时] 。		《儿女英雄》__清
11	难道正高兴之 [时] ，那陶氏口里呼鸡，后门进来道：“天杀的，罚我老人家那一处不寻得到，不知躲在何处，并不见个影儿。”		《风流悟》__清
12	妇人道：“不曾来，我不见了鸡，寻倦子，暂困片 [时] 。”		《风流悟》__清
13	’我又老了，过几 [时] 也要寻个对头，完他终身之事。”		《风流悟》__清
14	末了一句道是∶‘觅我 [时] ，合你云中相见’。		《儿女英雄》__清
15	从了 [时] ，这银子一定是我的了。”		《风流悟》__清
16	即将店前椅子，移近柜边道：“不是在下妄想，只因昨日步入刘万户园庭，亲见小姐坐在小楼之内，见了我 [时] ，说一声道：‘美哉，少年。		《风流悟》__清
17	得使 [时] ，试问小姐，可曾有一句话说否？		《风流悟》__清
18	公子道∶“彼 [时] 儿子也是如此想，谁知大不然。		《儿女英雄》__清
19	大抵女人，再起不得这一点贪爱之念，若起了 [时] ，便就心猿意马，把捉不定。		《风流悟》__清
20	恰值小姐思忆少年，一 [时] 不知，见施十娘道了万福，方才晓得有人到来，急转身回礼道：“妈妈，为何几 [时] 不来看我，可有什么 [时] 新巧色花头儿么？”		《风流悟》__清
21	常 [时] 受小姐的好处，一些也不曾补报得，日夜在心。		《风流悟》__清
22	无如此 [时] 自己是“骑着老虎过海”，──可真下不来了 。		《儿女英雄》__清
23	临行 [时] ，小姐去奁妆里，取出金钗一股，赠与施妈妈，道：“权作谢仪，休嫌菲薄。”		《风流悟》__清
24	众人取了扛索而回，独李夫心怀歹意，因殓 [时] 见老夫人将金银首饰放在棺内，约莫也有三百金。		《风流悟》__清
25	次日去寻施妈，正要问他埋葬的事，叫人去问，并无人答应，推开门看 [时] ，细软俱无，只剩得几件粗家伙。		《风流悟》__清
26	其 [时] 至正末年，元顺帝动十七万民夫，浚通黄河故道，一 [时] 民不聊生，人人思叛。		《风流悟》__清
27	运退黄金失色， [时] 来铁也增光。		《风流悟》__清
28	始贫而终富，不可忘了贫 [时] 的行径；始富而终贫，亦不可失了富 [时] 的体格。		《风流悟》__清
29	故秦 [时] ，一个官人，姓上官，讳谠，号许忘，居住洛阳，是个大富长者。		《风流悟》__清
30	原来这三岁孩子，在周岁 [时] ，已攀了一个做长工的钱大女儿。		《风流悟》__清
31	端，铲恶锄奸，觅我 [时] ，合你云中相见。		《儿女英雄》__清
32	吃东道 [时] ，甚是绸缪。		《风流悟》__清
33	独那位尊夫人，乃是贫 [时] 攀就长工的女儿，虽长大起来有得吃，有得着了，终是有种出种，又黑又麻又粗蠢。		《风流悟》__清
34	我起身后他必常来，来 [时] 太太总见见他，玉格也可以合他 [时] 常亲近，那是个正经人。		《儿女英雄》__清
35	，他好行文到本县，把原告、邻舍、干证，一齐提到，提了来，又不立 [时] 断结，把这些人搁		《官场现形》__清
36	只是今夜我胆小，你便住在左近，进去 [时] ，千万与我看看，我先送二十两银子与你用用。”		《风流悟》__清
37	佟孺人起身 [时] ，曾托过他常来家里照应照应，今日也是听见这个信息前来看望。		《儿女英雄》__清
38	放他 [时] ，又道：“如今割了一只耳朵罢。”		《风流悟》__清
39	 [时] 近也月了，孟瑚道：“如今科考年 [时] ，我且干名遗才到南京去耍耍，趁便打听他下落。”		《风流悟》__清
40	自兹余风渐后世，鸱蒲博塞无休 [时] 。		《风流悟》__清
41	可怜安老爷从上年冬 [时] 出任外官，算到如今，不过半年光景，便作了一场黄粱大梦！		《儿女英雄》__清
42	大抵一入赌场，贫穷子弟未免啼饥号寒，出乖露丑；富贵子弟亦至废 [时] 失事，丧身亡家。		《风流悟》__清
43	飞电马、追风马，跨上 [时] 电卷风驰；龙骧军、虎贲军，用着他龙拿虎跳。		《儿女英雄》__清
44	众人你一掷，我一掷，没有碗饭 [时] 久，把同人二三十千卷得精光。		《风流悟》__清
45	妙有道：“偷鸡猫儿性不改，只怕没法 [时] 是这等说，有了一分半分，又忘了。”		《风流悟》__清
46	一霎席散，其 [时] 已有三更多天。		《官场现形》__清
