语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：易
2022/7/10 23:03:20

序号	语句	书名	朝代
1	噬肤，言 [易] 合。		《周易》__周
2	是哀乐喜怒之节 [易] 也，何以导民？		《国语》__春秋战国
3	凡为善难，任善 [易] 。		《吕氏春秋》__春秋战国
4	夫狄近晋而不通，愚陋而多怨，走之 [易] 达。		《国语》__春秋战国
5	 [易] ，去声。		《大学中庸》__春秋战国
6	故《 [易] 》曰：“坤六二之动，直以方也。”		《礼记》__春秋战国
7	君臣 [易] 操，则上之三官者废矣。		《吕氏春秋》__春秋战国
8	譬之如疾，余恐 [易] 焉。		《国语》__春秋战国
9	平在朔 [易] 。		《尚书》__周
10	犯顺不祥，以逆训民亦不祥， [易] 神之班亦不祥，不明而跻之亦不祥，犯鬼道二，犯人道二，能无殃乎？”		《国语》__春秋战国
11	习者曰：“一则仲父，二则仲父， [易] 哉为君！”		《吕氏春秋》__春秋战国
12	而百姓 [易] 务也今不尝观其说好攻伐之国。		《墨子》__春秋战国
13	桓公得管子，事犹大 [易] ，又况於得道术乎？		《吕氏春秋》__春秋战国
14	其君用财节而 [易] 赡也。		《墨子》__春秋战国
15	则子西 [易] 牙竖刀之徒。		《墨子》__春秋战国
16	若此则工拙愚智勇惧可得以故 [易] 官， [易] 官则各当其任矣。		《吕氏春秋》__春秋战国
17	为中大夫，若此其 [易] 也？		《吕氏春秋》__春秋战国
18	今有司来命 [易] 臣之怂与其车服，而曰：‘将 [易] 而次，为宽利也。		《国语》__春秋战国
19	臣立先臣之署，服其车服，为利故而 [易] 其次，是辱君命也。		《国语》__春秋战国
20	地形之难攻而 [易] 守也。		《墨子》__春秋战国
21	所用弥大，所欲弥 [易] 。		《吕氏春秋》__春秋战国
22	是故君子自难而 [易] 彼。		《墨子》__春秋战国
23	民之穷苦弥甚，王者之弥 [易] 。		《吕氏春秋》__春秋战国
24	故以万乘令乎千乘 [易] ，以千乘令乎一家 [易] ，以一家令乎一人 [易] 。		《吕氏春秋》__春秋战国
25	其势不便，则奚以 [易] 臣？		《吕氏春秋》__春秋战国
26	“令夫商，群萃而州处，察其四时，而监其乡之资，以知其市之贾，负、任、担、荷，服亲、轺马，以周四方，以其所有， [易] 其所无，市贱鬻贵，旦暮从事于此，以饬其子弟，相语以利，相示以赖，相陈以知贾。		《国语》__春秋战国
27	管子对曰：“四民者，勿使杂处，杂处则其言☆，其事 [易] 。”		《国语》__春秋战国
28	爽邦由哲，亦惟十人迪知上帝命越天棐忱，尔时罔敢 [易] 法，矧今天降戾于周邦？		《尚书》__周
29	 [易] 之也。		《公羊传》__春秋战国
30	 [易] 之则其言假之何？		《公羊传》__春秋战国
31	除丧者，先重者； [易] 		《礼记》__春秋战国
32	服者， [易] 轻者。		《礼记》__春秋战国
33	魏昭王问於田诎曰：“寡人之在东宫之时，闻先生之议曰：‘为圣 [易] 。		《吕氏春秋》__春秋战国
34	人后者，其妻为舅姑大功，士祔于大夫则 [易] 牲。		《礼记》__春秋战国
35	今有人於此，无礼慢 [易] 而求敬，阿党不公而求令，烦号数变而求静，暴戾贪得而求定，虽黄帝犹若困。		《吕氏春秋》__春秋战国
36	故人虽时有自失者，犹无以 [易] 恭节。		《吕氏春秋》__春秋战国
37	养尊者必 [易] 服，养卑者否。		《礼记》__春秋战国
38	若 [易] 五之一以楹之酹也。		《墨子》__春秋战国
39	妾无祖姑者， [易] 牲而祔于女君可也。		《礼记》__春秋战国
40	阶，升之 [易] 者。		《周易》__周
41	鉴位景一少而 [易] 一大而击说。		《墨子》__春秋战国
42	孔子曰：“淄、渑之合者， [易] 牙尝而知之。”		《吕氏春秋》__春秋战国
43	葵丘之会，陈牲而不杀，读书加于牲上，壹明天子之禁，曰：“毋雍泉，毋讫籴，毋 [易] 树子，毋以妾为妻，毋使妇人与国事！”		《榖梁传》__春秋战国
44	王姑勿许，其事将 [易] 冀已。”		《国语》__春秋战国
45	岁月日时无 [易] ，百谷用成，乂用民，俊民用章，家用平康。		《尚书》__周
46	日月岁时既 [易] ，百谷用不成，乂用昏不明，俊民用微，家用不宁。		《尚书》__周
47	是亦当而不可 [易] 者也。		《墨子》__春秋战国
48	愿得有问於君：谓藏三牙甚难而实非也，谓藏两牙甚 [易] 而实是也。		《吕氏春秋》__春秋战国
49	不知君将从 [易] 而是者乎，将从难而非者乎？”		《吕氏春秋》__春秋战国
50	今无其他，而欲为尧、舜、许由，故惠王布冠而拘于鄄，齐威王几弗受；惠子 [易] 衣变冠，乘舆而走，几不出乎魏境。		《吕氏春秋》__春秋战国
51	国好力，此谓以难攻；国好言，此谓以 [易] 攻。		《商君书》__春秋战国
52	故曰：无 [易] 之道也。		《礼记》__春秋战国
53	曰：天地则已 [易] 矣，四时则已变 矣，其在天地之中者，莫不更始焉，以是象之也。		《礼记》__春秋战国
54	其难 进而 [易] 退也。		《礼记》__春秋战国
55	其坐起恭敬，言必先信，行必中正；道涂不争险 [易] 之利，冬 夏不争阴阳之和；爱其死以有待也，养其身以有为也。		《礼记》__春秋战国
56	难得而 [易] 禄也， [易] 禄而难畜也，非时不见，不亦难得乎？		《礼记》__春秋战国
57	先劳而后禄，不亦 [易] 禄乎？		《礼记》__春秋战国
58	儒有一亩之宫，环堵之室，筚门圭窬，蓬户瓮牖； [易] 衣而出，并日而食，上 答之不敢以疑，上不答不敢以谄，其仕有如此者。		《礼记》__春秋战国
59	此三者非事相反也，民道弊而所重 [易] 也，世事变而行道异也。		《商君书》__春秋战国
60	治国者贵民壹，民壹则朴，朴则农，农则 [易] 勤，勤则富。		《商君书》__春秋战国
61	曰：人主者，固壅其言谈，希于听论议， [易] 移以辩说。		《韩非子》__春秋战国
62	二者名贸实 [易] ，不可不察也。		《商君书》__春秋战国
63	臣愚，则 [易] 力而难巧；世巧，则 [易] 知而难力。		《商君书》__春秋战国
64	故事《诗》、《书》谈说之士，则民游而轻其君；事处士，则民远而非其上；事勇士，则民竞而轻其禁；技艺之士用，则民剽而 [易] 徙；商贾之士佚且利，则民缘而议其上。		《商君书》__春秋战国
65	圣人非能以世之所 [易] 胜其所难也，必以其所难胜其所 [易] 。		《商君书》__春秋战国
66	乃有不吉不迪，颠越不恭，暂遇奸宄，我乃劓殄灭之，无遗育，无俾 [易] 种于兹新邑。		《尚书》__周
