语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：昭
2023/1/20 16:06:39

序号	语句	书名	朝代
1	对曰：“昔 [昭] 王娶于房，曰房后，实有爽德，协于丹朱，丹朱凭身以仪之，生穆王焉。		《国语》__春秋战国
2	乙未，楚子 [昭] 卒。		《榖梁传》__春秋战国
3	纪言以叙之，述意以导之，明曜以 [昭] 之。		《国语》__春秋战国
4	 [昭] 假迟迟，上帝是。		《礼记》__春秋战国
5	凡耳之闻也藉於静，目之见也藉於 [昭] ，心之知也藉於理。		《吕氏春秋》__春秋战国
6	韩 [昭] 厘侯视所以祠庙之牲，其豕小， [昭] 厘侯令官更之。		《吕氏春秋》__春秋战国
7	官以是豕来也， [昭] 厘侯曰：“是非向者之豕邪？”		《吕氏春秋》__春秋战国
8	各致齐敬于其皇祖， [昭] 孝之至也。		《国语》__春秋战国
9	故工、史书世，宗、祝书 [昭] 穆，犹恐其逾也。		《国语》__春秋战国
10	自是齐、楚代讨于鲁，襄、 [昭] 皆如楚。		《国语》__春秋战国
11	叔仲 [昭] 伯曰：“君之来也，非为一人也，为其名与其众也。		《国语》__春秋战国
12	是故圣王之德，融乎若日之始出，极烛六合，而无所穷屈； [昭] 乎若日之光，变化万物，而无所不行；神合乎太一，生无所屈，而意不可障；精通乎鬼神，深微玄妙。		《吕氏春秋》__春秋战国
13	皆 [昭] 令德以何好也，皆非使臣之所敢闻也。		《国语》__春秋战国
14	宗有司曰：“非 [昭] 穆也。”		《国语》__春秋战国
15	徯志以 [昭] 受上帝，天其申命用休。”		《尚书》__周
16	有司曰：“夫宗庙之有 [昭] 穆也，以次世之长幼，而等胄之亲疏也。		《国语》__春秋战国
17	其为后世 [昭] 前之令闻也，使长监于世，故能摄固不解以久。		《国语》__春秋战国
18	曰：“我为宗伯，明者为 [昭] ，其次为穆，何常之有！”		《国语》__春秋战国
19	帝喾能序三辰以固民，尧能单均刑法以仪民，舜勤民事而野死，鲧障洪水而殛死，禹能以德修鲧之功，契为司徒而民辑，冥勤其官而水死，汤以宽治民而除其邪，稷勤百谷而山死，文王以文 [昭] ，武王去民之秽。		《国语》__春秋战国
