语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：是
2022/11/6 16:11:30

序号	语句	书名	朝代
1	立一念  信 [是] 法  随所闻  念其方  宜一念  断诸想  立定信  勿狐疑		《佛说般舟》__汉
2	佛告☆陀和：有三昧名十方诸佛悉在前立，能行 [是] 法，汝之所问悉可得也。		《佛说般舟》__汉
3	所问如 [是] ，当云何行？		《佛说般舟》__汉
4	勿念坐  勿念起  勿念行  勿念止  勿念经  勿念法  勿念 [是]   勿念非		《佛说般舟》__汉
5	佛告☆陀和：菩萨欲疾得 [是] 定者，常立大信，如法行之则可得也，勿有疑想如毛发许， [是] 定意法，名为菩萨超众行。		《佛说般舟》__汉
6	乌孙于 [是] 恐，使使献马，愿得尚汉公主，为昆弟。		《汉书》__汉
7	 [是] 岁，本始三年也。		《汉书》__汉
8	 [是] 岁，甘露三年也。		《汉书》__汉
9	 [是] 岁，元延二年也。		《汉书》__汉
10	 [是] 时，军旅连出，师行三十二年，海内虚耗。		《汉书》__汉
11	前有司奏，欲益民赋三十助边用， [是] 重困老弱孤独也。		《汉书》__汉
12	今请远田轮台，欲起亭隧， [是] 扰劳天下，非所以优民也。		《汉书》__汉
13	由 [是] 不复出军。		《汉书》__汉
14	于 [是] 吉始使吏卒三百人别田车师。		《汉书》__汉
15	于 [是] 汉召故车师太子军宿在焉耆者，立以为王，尽徙车师国民令居渠犁，遂以车师故地与匈奴。		《汉书》__汉
16	 [是] 岁，元康四年也。		《汉书》__汉
17	 [是] 时，新都侯王莽秉政，遣中郎将王昌等使匈奴，告单于西域内属，不当得受。		《汉书》__汉
18	 [是] 时，莽易单于玺，单于恨怒，遂受狐兰支降，遣兵与共冠击车师，杀后城长，伤都护司马，及狐兰兵复还入匈奴。		《汉书》__汉
19	灾宗庙，烧宫馆，虽兴师众，弗能救也， [是] 为火不炎上。		《汉书》__汉
20	单于失援，由 [是] 远遁，而幕南无王庭。		《汉书》__汉
21	董仲舒以为先 [是] 四国共伐鲁，大破之于龙门。		《汉书》__汉
22	自 [是] 之后，明珠、文甲、通犀、翠羽之珍盈于后宫，薄梢、龙文、鱼目、汗血之马充于黄门，巨象、师子、猛犬、大雀之群食于外囿。		《汉书》__汉
