语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：显
2023/1/20 16:06:44

序号	语句	书名	朝代
1	于惟时求民主，乃大降 [显] 休命于成汤，刑殄在夏。		《尚书》__周
2	佑贤辅德， [显] 忠遂良，兼弱攻昧，取乱侮亡，推亡固存，邦乃其昌。		《尚书》__周
3	在今后嗣王，诞罔 [显] 于天，矧曰其有听念于先王勤家？		《尚书》__周
4	诞淫厥泆，罔顾于天 [显] 民祗，惟时上帝不保，降若兹大丧。		《尚书》__周
5	王曰：“封，我闻惟曰：‘在昔殷先哲王迪畏天 [显] 小民，经德秉哲。		《尚书》__周
6	不惟不敢，亦不暇，惟助成王德 [显] 越，尹人祗辟。		《尚书》__周
7	我闻亦惟曰：‘在今后嗣王，酣，身厥命，罔 [显] 于民祗，保越怨不易。		《尚书》__周
8	既葬柱楣，涂庐不于 [显] 者。		《礼记》__春秋战国
9	臣人咸若时，惟良 [显] 哉！”		《尚书》__周
10	故法立而不革，则 [显] ，民变诛，计变诛止。		《商君书》__春秋战国
11	孔子，布衣也，官在鲁司寇，万乘难与比行，三王之佐不 [显] 焉，取舍不苟也夫！		《吕氏春秋》__春秋战国
12	自河徂亳，暨厥终罔 [显] 。		《尚书》__周
13	不容，则民不急列位；不 [显] ，则民不事爵；爵易得也，则民不贵上爵；列爵禄赏不道其门，则民不以死争位矣。		《商君书》__春秋战国
14	故民壹务，其家必富，而身 [显] 于国。		《商君书》__春秋战国
15	上开公利而塞私门，以致民力；私劳不 [显] 于国，私门不请于君。		《商君书》__春秋战国
16	是以弊主上而趋于私门者，不 [显] 于官爵，必重于外权矣。		《韩非子》__春秋战国
17	伊尹乃言曰：“先王昧爽丕 [显] ，坐以待旦。		《尚书》__周
18	赏则必多，威则必严，淫道必塞，为辩知者不贵，游宦者不任，文学私名不 [显] 。		《商君书》__春秋战国
19	当此之时，秦民习故俗之有罪可以得免，无功可以得尊 [显] 也，故轻犯新法。		《韩非子》__春秋战国
20	为辩知者贵、游宦者任、文学私名 [显] 之谓也。		《商君书》__春秋战国
21	此夫智士所以至死而不 [显] 于世者也。		《韩非子》__春秋战国
22	凡人臣者，有罪固不欲诛，无功者皆欲尊 [显] 。		《韩非子》__春秋战国
23	丕 [显] 哉，文王谟！		《尚书》__周
24	是故豪杰皆可变业，务学《诗》、《书》，随从外权，上可以得 [显] ，下可以求官爵；要靡事商贾，为技艺，皆以避农战。		《商君书》__春秋战国
25	三皇之事，若存若亡；五帝之事，若 觉若梦；三王之事，或隐或 [显] ，亿不识一。		《列子》__春秋战国
26	立政用憸人，不训于德，是罔 [显] 在厥世。		《尚书》__周
27	公称丕 [显] 德，以予小子扬文武烈，奉答天命，和恒四方民，居师；惇宗将礼，称秩元祀，咸秩无文。		《尚书》__周
28	所说阴为厚利而 [显] 为名高者也，而说之以名高，则阳收其身而实疏之；说之以厚利，则阴用其言 [显] 弃其身矣。		《韩非子》__春秋战国
29	彼 [显] 有所出事，而乃以成他故，说者不徒知所出而已矣，又知其所以为，如此者身危。		《韩非子》__春秋战国
30	欲陈危害之事，则 [显] 其毁诽而微见其合於私患也。		《韩非子》__春秋战国
31	太子尊 [显] ，徒 属众强，多大国之交，而威势蚤具者，可亡也。		《韩非子》__春秋战国
32	卑主之名以 [显] 其身，毁国之厚以利其家，臣不谓智。		《韩非子》__春秋战国
33	天有 [显] 道，厥类惟彰。		《尚书》__周
34	功多有厚赏，不迪有 [显] 戮。		《尚书》__周
35	惟我文考若日月之照临，光于四方， [显] 于西土。		《尚书》__周
36	其惟王位在德元，小民乃惟刑用于天下，越王 [显] 。		《尚书》__周
37	王末有成命，王亦 [显] 。		《尚书》__周
38	公 子纠败，召忽死之，吾幽囚受辱；鲍叔不以我为无耻，知我不羞小节而耻名不 [显]  于天下也。		《列子》__春秋战国
39	惟乃丕 [显] 考文王，克明德慎罚；不敢侮鳏寡，庸庸，祗祗，威威， [显] 民，用肇造我区夏，越我一、二邦以修我西土。		《尚书》__周
40	于弟弗念天 [显] ，乃弗克恭厥兄；兄亦不念鞠子哀，大不友于弟。		《尚书》__周
41	惟厥罪无在大，亦无在多，矧曰其尚 [显] 闻于天。”		《尚书》__周
42	丕 [显] 文、武，克慎明德，昭升于上，敷闻在下；惟时上帝，集厥命于文王。		《尚书》__周
43	凡国不徒安，名不徒 [显] ，必得贤士。		《吕氏春秋》__春秋战国
44	汝克绍乃 [显] 祖，汝肇刑文、武，用会绍乃辟，追孝于前文人。		《尚书》__周
45	简恤尔都，用成尔 [显] 德。”		《尚书》__周
46	 [显] 诸仁，藏诸用，鼓万物而不与圣人同忧。		《周易》__周
47	 [显] ，自内而外也。		《周易》__周
48	 [显] 道神德行，是故可与酬酢，可与佑神矣。		《周易》__周
49	!道因辞 [显] ，行以数神。		《周易》__周
50	过时不 [显] 异之，便屏恕之，言无所知。		《老子想尔注》__春秋战国
51	上顺乎主心以 [显] 贤者，其唯翟黄乎？		《吕氏春秋》__春秋战国
52	六曰：名号大 [显] ，不可强求，必繇其道。		《吕氏春秋》__春秋战国
53	因形者其巧 [显] ， 其功浅，故随起随灭。		《列子》__春秋战国
54	贵富 [显] 严名利，六者悖意者也。		《吕氏春秋》__春秋战国
55	生之所生者死矣，而生生者未尝 终；形之所形者实矣，而形形者未尝有；声之所声者闻矣，而声声者未尝发；色 之所色者彰矣，而色色者未尝 [显] ；味之所味者尝矣，而味味者未尝呈：皆无为之 职也。		《列子》__春秋战国
56	夫《易》，彰往而察来，而微 [显] 阐幽，开而当名辨物，正言断辞则备矣。		《周易》__周
57	!而微 [显] ，恐当作“微 [显] 而”。“		《周易》__周
58	’今臣之名闻于诸侯，是臣违师之教，  [显] 臣之能者也。		《列子》__春秋战国
59	 [显] 生之功将何如是照德以贰君也，		《管子》__春秋战国
60	曰考庙，曰王考庙，曰皇考庙，曰 [显] 考庙，曰祖 考庙，皆月祭之。		《礼记》__春秋战国
61	曰考庙， 曰王考庙，曰皇庙，皆月祭之； [显] 考庙，祖考庙，享尝乃止。		《礼记》__春秋战国
62	 [显] 考祖考无庙，有祷焉，为坛祭之。		《礼记》__春秋战国
63	 [显] 考无庙，有祷焉，为坛祭之。		《礼记》__春秋战国
64	是惟良 [显]  哉！		《礼记》__春秋战国
65	举天下之仁义 [显] 人，必称此四王者。		《吕氏春秋》__春秋战国
66	此二士者，无爵位以 [显] 人，无赏禄以利人。		《吕氏春秋》__春秋战国
67	王公大人从而 [显] 之；有爱子弟者，随而学焉，无时乏绝。		《吕氏春秋》__春秋战国
68	夫《易》，彰往而察来，而微 [显] 阐幽，开而当名，辨物正言断辞，则备矣。		《周易》__周
69	国中莫不闻是上则无功而 [显] 名于百姓也下则实其京以给上一举而名实俱在也，		《管子》__春秋战国
70	 [显] 诸仁，藏诸用，鼓万物而不与圣人同忧，盛德大业至矣哉！		《周易》__周
71	君子隐而 [显] ，不矜而庄，不厉而威，不言而信。		《礼记》__春秋战国
72	 [显] 道神德行，是故可与酬酢，可与祐神矣。		《周易》__周
73	二曰：先王之教，莫荣於孝，莫 [显] 於忠。		《吕氏春秋》__春秋战国
74	若此则名号 [显] 矣，德行彰矣。		《吕氏春秋》__春秋战国
75	学者处不化不听之势，而以自行，欲名之 [显] 、身之安也，是怀腐而欲香也，是入水而恶濡也。		《吕氏春秋》__春秋战国
76	今非徒免於刑戮死辱也，由此为天下名士 [显] 人，以终其寿，王公大人从而礼之，此得之於学也。		《吕氏春秋》__春秋战国
77	故言「长生」、「安乐」、「富贵」、「尊荣」、「 [显] 名」、「爱好」、「财利」、「得意」、「喜欲」，为『阳』，曰『始』。		《鬼谷子》__春秋战国
78	 [显] 允君子，莫不令德。		《诗经》__周
79	 [显] 允方叔，伐鼓渊渊，振旅阗阗。		《诗经》__周
80	 [显] 允方叔，征伐犭严狁，蛮荆来威。		《诗经》__周
