语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：智
2022/7/10 23:16:29

序号	语句	书名	朝代
1	盖自天降生民，则既莫不与之以仁义礼 [智] 之性矣。		《大学中庸》__春秋战国
2	知，音 [智] 。		《周易》__周
3	夫说以 [智] 通，而实以过悗；誉以高贤，而充以卑下；赞以洁白，而随以污德；任以公法，而处以贪枉；用以勇敢，而堙以罢怯。		《吕氏春秋》__春秋战国
4	杜原款将死，使小臣圉告于申生，曰：“款也不才，寡 [智] 不敏，不能教导，以至于死。		《国语》__春秋战国
5	身以盛心，心以盛 [智] ， [智] 乎深藏，而实莫得窥乎！		《吕氏春秋》__春秋战国
6	吾闻之：‘仁不怨君， [智] 不重困，勇不逃死。		《国语》__春秋战国
7	众 [智] 众能之所持也，不可以一物一方安车也。		《吕氏春秋》__春秋战国
8	故思虑自心伤也， [智] 差自亡也，奋能自殃，其有处自狂也。		《吕氏春秋》__春秋战国
9	故曰去听无以闻则聪，去视无以见则明，去 [智] 无以知则公。		《吕氏春秋》__春秋战国
10	故至 [智] 弃 [智] ，至仁忘仁，至德不德。		《吕氏春秋》__春秋战国
11	则盖尝鉴之于 [智] 伯之事乎。		《墨子》__春秋战国
12	盖自天降生民，则既莫不与之以仁义礼 [智] 之性		《大学中庸》__春秋战国
13	人主知能不能之可以君民也，则幽诡愚险之言无不职矣，百官有司之事毕力竭 [智] 矣。		《吕氏春秋》__春秋战国
14	五帝三王之君民也，下固不过毕力竭 [智] 也。		《吕氏春秋》__春秋战国
15	若此则工拙愚 [智] 勇惧可得以故易官，易官则各当其任矣。		《吕氏春秋》__春秋战国
16	人主自 [智] 而愚人，自巧而拙人，若此。		《吕氏春秋》__春秋战国
17	主虽巧 [智] ，未无不知也。		《吕氏春秋》__春秋战国
18	“今海鸟至，己不知而祀之，以为国典，难以为仁且 [智] 矣。		《国语》__春秋战国
19	无功而祀之，非仁也；不知而不能问，非 [智] 也。		《国语》__春秋战国
20	言无务为多而务为 [智] 。		《墨子》__春秋战国
21	 [智] 伯摇染于 [智] 国张武。		《墨子》__春秋战国
22	守独 [智] 巫卜望气之请而已。		《墨子》__春秋战国
23	故一则治，异则乱；一则安，异则危；夫能齐万不同，愚 [智] 工拙皆尽力竭能，如出乎一穴者，其唯圣人矣乎！		《吕氏春秋》__春秋战国
24	无术之 [智] ，不教之能，而恃强速贯习，不足以成也。		《吕氏春秋》__春秋战国
25	知夫苟中心图民， [智] 虽弗及，必将至焉。”		《国语》__春秋战国
26	惟天生民有欲，无主乃乱，惟天生聪明时乂，有夏昏德，民坠涂炭，天乃锡王勇 [智] ，表正万邦，缵禹旧服。		《尚书》__周
27	则使之岂必 [智] 且有慧哉。		《墨子》__春秋战国
28	今也 [智] 其色之若白也。		《墨子》__春秋战国
29	岂能 [智] 数百岁之后哉。		《墨子》__春秋战国
30	王孙雒进，顾揖诸大夫曰：“危事不可以为安，死事不可以为生，则无为贵 [智] 矣。		《国语》__春秋战国
31	子墨子曰/未可 [智] 也。		《墨子》__春秋战国
32	不以人之所不 [智] 告人。		《墨子》__春秋战国
33	亦不至于 [智] 不为已之利于亲也。		《墨子》__春秋战国
34	不 [智] ，则不知民之极，无以铨度天下之众寡；不仁，则不能与三军共饥劳之殃；不勇，则不能断疑以发大计。”		《国语》__春秋战国
35	夫战， [智] 为始，仁次之，勇次之。		《国语》__春秋战国
36	臣闻：“不知而言，不 [智] ；知而不言，不忠。”		《韩非子》__春秋战国
37	贤非衰也， [智] 非愚也，皆无其具也。		《吕氏春秋》__春秋战国
38	 [智] 术之士，必远见而明察，不明察，不能烛私；能法之士，必强毅而劲直，不劲直，不能矫奸。		《韩非子》__春秋战国
39	是 [智] 法之士与当涂之人，不可两存之仇也。		《韩非子》__春秋战国
40	 [智] 不类越，而不 [智] 不类其国，不察其类者也。		《韩非子》__春秋战国
41	人主之左右不必 [智] 也，人主于人有所 [智] 而听之，因与左右论其言，是与愚人论 [智] 也；人主之左右不必贤也，人主于人有所贤而礼之，因与左右论其行，是与不肖论贤也。		《韩非子》__春秋战国
42	 [智] 者决策于愚人，贤士程行于不肖，则贤 [智] 之士羞而人主之论悖矣。		《韩非子》__春秋战国
43	人臣之欲得官者，其修士且以精洁固身，其 [智] 士且以治辩进业。		《韩非子》__春秋战国
44	其修士不能以货赂事人，恃其精洁而更不能以枉法为治，则修 [智] 之士不事左右、不听请谒矣。		《韩非子》__春秋战国
45	治辩之功制于近习，精洁之行决于毁誉，则修 [智] 之吏废，则人主之明塞矣。		《韩非子》__春秋战国
46	不以功伐决 [智] 行，不以叁伍审罪过，而听左右近习之言，则无能之士在廷，而愚污之吏处官矣。		《韩非子》__春秋战国
