语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：曰
2023/1/20 16:01:41

序号	语句	书名	朝代
1	伯敬乃 [曰] ：乐府之有郊祀，犹诗之有应制。		《钝吟杂录》__清
2	此文既不谐于金石，则非乐也；又不取古题，则不应附于乐府也；又不咏时事，如汉人歌谣及杜陵新题乐府，直是有韵史论，自可题 [曰] 史赞，或 [曰] 咏史诗，则可矣，不应 [曰] 乐府也。		《钝吟杂录》__清
3	故孟子 [曰] ：“不以文害词，不以词害志。		《钝吟杂录》__清
4	舍此而 [曰] 某篇似乐府语，某篇似诗语，皆于鳞、仲默之敝法也。		《钝吟杂录》__清
5	魏、晋所奏乐府，如《艳歌行》、《长歌行》、《短歌行》之类，大略是汉时歌谣，谓之 [曰] “行”，本不知何解。		《钝吟杂录》__清
6	词 [曰] ：		《风流悟》__清
7	信步闲行，偶然步至断桥左侧，见翠竹林中，屹立一门，门额上有一扁 [曰] ：“乔木世家。”		《风流悟》__清
8	说话间，外边拿进两个职名来，一个上写着“管 [曰] ＝”，一个上写着“何之润” 。		《儿女英雄》__清
9	因此有父亲的好友李日章，独养一女，名 [曰] 琬娘，就入赘他家为女婿。		《风流悟》__清
10	初非释家言也，后经东海吾了翁重订，题 [曰] 《儿女英雄传评话》。		《儿女英雄》__清
11	告示上 [曰] ∶“统领军令森		《官场现形》__清
12	作者自云：曾历过一番梦幻之后，故将真事隐去，而借通灵说此《石头记》一书也，故 [曰] “甄士隐”云云。		《红楼梦(上)》__清
13	故 [曰] “贾雨村”云云。		《红楼梦(上)》__清
14	东鲁孔梅溪题 [曰] 《风月宝鉴》。		《红楼梦(上)》__清
15	后因曹雪芹于悼红轩中，披阅十载，增删五次，纂成目录，分出章回，又题 [曰] 《金陵十二钗》，并题一绝。		《红楼梦(上)》__清
16	有额题 [曰] “智通寺”。		《红楼梦(上)》__清
17	传 [曰] ：“男女居室，人之大伦。”		《风流悟》__清
18	又 [曰] ：“饮食男女，人之大欲存焉。”		《风流悟》__清
19	故孔圣人亦 [曰] ：“吾未见好德如好色。”		《风流悟》__清
20	孟夫子亦 [曰] ：“知好色，则慕少艾。”		《风流悟》__清
21	大约男子有几分才色，然后可以慕有才色之女，而有才色的女，亦悦其慕我，于是彼此依慕而不得，则名 [曰] ：“相思”。		《风流悟》__清
22	女子有几分才色，然后可以慕有才貌的男，而有才貌之男，亦爱其慕我，于是彼此交慕而终不得，则名 [曰] ：“相思”。		《风流悟》__清
23	他才貌不必说，性喜清谈静坐，又酷爱花卉古董，家里收拾三间书室，题 [曰] ：“仙仙窝”。		《风流悟》__清
24	词 [曰] ：		《红楼梦(上)》__清
25	又 [曰] ：		《红楼梦(上)》__清
26	奴家正恐遗珠难尽，特建此楼，名 [曰] “采珠楼”，在楼不时细阅。		《风流悟》__清
27	正在胡思乱想，听见山后有人作歌 [曰] ：春梦随云散，飞花逐水流。		《红楼梦(上)》__清
28	其词 [曰] ：富贵又何为？		《红楼梦(上)》__清
29	其判 [曰] ：势败休云贵，家亡莫论亲。		《红楼梦(上)》__清
30	殿檐前又有六个大金字，题 [曰] ：“碧霞元君之宫。”		《风流悟》__清
31	警幻道：“此茶出在放春山遣香洞，又以仙花灵叶上所带的宿露烹了，名 [曰] ‘千红一窟’。”		《红楼梦(上)》__清
32	只见又是一个宫门，门上有三个石青大字， [曰] ：“蕊珠宫”。		《风流悟》__清
33	过了桥，见一带粉墙，墙上两扇石门，门檐又有两个石青字，题 [曰] ：“琼楼”。		《风流悟》__清
34	宝玉接过来，一面目视其文，耳聆其歌 [曰] ：		《红楼梦(上)》__清
35	因命四儿剪烛烹茶，自己看了一回《南华经》，至外篇《箧》一则，其文 [曰] ：		《红楼梦(上)》__清
36	看至此，意趣洋洋，趁着酒兴，不禁提笔续 [曰] ：		《红楼梦(上)》__清
37	细想自己原为怕他二人恼了，故在中间调停，不料自己反落了两处的数落，正合着前日所看《南华经》内“巧者劳而智者忧，无能者无所求，蔬食而遨游，泛若不系之舟”，又 [曰] “山木自寇，源泉自盗”等句，因此越想越无趣。		《红楼梦(上)》__清
38	宝钗念其词 [曰] ：		《红楼梦(上)》__清
39	’因自念一偈 [曰] ：‘菩提本非树，明镜亦非台。		《红楼梦(上)》__清
40	答 [曰] ：“出韵必是起句，起句可用仄声字，出韵何伤？		《答万季埜诗问》__清
41	答 [曰] ：“和诗之体不一：意如答问而不同韵者，谓之和诗；同其韵而不同其字者，谓之和韵；用其韵而次第不同者，谓之用韵；依其次第者，谓之步韵。		《答万季埜诗问》__清
42	而施愚山侍读尝 [曰] ：‘今人只解作韵，谁会作诗？		《答万季埜诗问》__清
43	答 [曰] ：“三唐与宋、元易辨，而盛唐与明人难辨。		《答万季埜诗问》__清
44	又 [曰] ：“下手处如何？”		《答万季埜诗问》__清
45	答 [曰] ：“姑言其浅处。		《答万季埜诗问》__清
46	答 [曰] ：“不能。		《答万季埜诗问》__清
47	答 [曰] ：“眼见易远，下足处必近，后人何敢与古人同日语耶？”		《答万季埜诗问》__清
48	答 [曰] ：“拙草名托物，非咏物也。		《答万季埜诗问》__清
49	诸君又 [曰] ：“同朋发矢，方知中的与否，烦君亦作《白燕》诗见示。”		《答万季埜诗问》__清
50	答 [曰] ：“为此说者，其人极负重名，而实是清秀李于鳞，无得于唐。		《答万季埜诗问》__清
51	答 [曰] ：“二者意岂有异？		《答万季埜诗问》__清
52	”答 [曰] ：“未卵而求时夜，耳食者之言也。		《答万季埜诗问》__清
53	《苕溪渔隐》 [曰] ：‘彼时薛王之死已久。		《答万季埜诗问》__清
54	答 [曰] ：“宋人不可轻也。		《答万季埜诗问》__清
55	自叹 [曰] ：“佳人难再得。”		《风流悟》__清
56	答 [曰] ：“二十岁以前，鼻息拂云，何屑作‘中’‘晚’耶？		《答万季埜诗问》__清
57	答 [曰] ：“人于诗文，宁无乳母？		《答万季埜诗问》__清
58	答 [曰] ：“世间龙蛇混杂，诚是淆讹公案也。		《答万季埜诗问》__清
59	答 [曰] ：“如‘剑外忽传收蓟北’等诗，全非起承转合之体，论者往往失之。		《答万季埜诗问》__清
60	于‘吹笛关山’篇，则 [曰] 次联应前首‘风’字‘月’字，三联叹美，有何关涉？		《答万季埜诗问》__清
61	义山‘人生何处不离群’篇，前有后无，钱似此篇，故题 [曰] ：《杜工部蜀中离席》，乃拟此篇而作也。		《答万季埜诗问》__清
62	答 [曰] ：“作诗者于唐人无所悟入，终落宋、明死句。		《答万季埜诗问》__清
63	又告之 [曰] ：“唐人精于诗，而诗话则少；宋人诗离于唐，而诗话乃多。		《答万季埜诗问》__清
64	诸君又 [曰] ：“《三百篇》之意渺矣，请更详言之。”		《答万季埜诗问》__清
65	答 [曰] ：“‘《国风》好色而不淫，《小雅》怨诽而不乱。		《答万季埜诗问》__清
66	于鳞以为宫怨，评 [曰] ：‘望幸之思怅然。		《答万季埜诗问》__清
67	答 [曰] ：“诗不同于文章，皆有一定之意，显然可见。		《答万季埜诗问》__清
68	答 [曰] ：“古诗如古文，其布局千变万化。		《答万季埜诗问》__清
69	问 [曰] ：“丈丈于唐诗，皆如义山《无题》之见作者意乎？”		《答万季埜诗问》__清
70	答 [曰] ：“是何言欤？		《答万季埜诗问》__清
71	答 [曰] ：“太祖破陈友谅，贮其姬妾于别室，李善长子弟有窥觇者，故诗云然。		《答万季埜诗问》__清
72	答 [曰] ：“每得一题，守住五字，于《韵府群玉》、《五车韵瑞》上，觅得现成韵脚子，以句辏韵，以意辏句，扭捻一上，自心自身，俱不照管，非做韵而何？		《答万季埜诗问》__清
73	答 [曰] ：“不尽然也。		《答万季埜诗问》__清
74	杜少陵律诗如古诗，难论转处，而‘童稚情亲’篇竟无后半首，何以 [曰] 第五句转乎？		《答万季埜诗问》__清
75	又问 [曰] ：“丈丈极轻二李，与牧斋之论同乎？”		《答万季埜诗问》__清
76	答 [曰] ：“渠论于鳞者尽之矣，空同犹有屈处。		《答万季埜诗问》__清
77	又 [曰] ：“请将风、雅、颂，再详细言之。”		《答万季埜诗问》__清
78	答 [曰] ：“《离骚》出于变风、变雅。		《答万季埜诗问》__清
79	答 [曰] ：“古今之变难言，夫子云：‘《雅》、《颂》各得其所。		《答万季埜诗问》__清
80	答 [曰] ：“意者此篇如董解元《西厢》、今之数落《山坡羊》，乃一人弹唱之词，无可考矣。”		《答万季埜诗问》__清
81	答 [曰] ：“《十九首》言情者十之八，叙景者十之二。		《答万季埜诗问》__清
82	答 [曰] ：“须在此处识得唐人好处，方脱二李陋习。		《答万季埜诗问》__清
83	答 [曰] ：“六朝体宽无粘，韵得叶用，粘缀但情真意切，得句即佳。		《答万季埜诗问》__清
84	答 [曰] ：“以文譬之，脱尽时文，方可入古文门庭。		《答万季埜诗问》__清
85	古诗皆乐也，文士为之辞 [曰] 诗，乐工协之于钟吕为乐。		《钝吟杂录》__清
86	 [曰] “行”者，字不可解，见于《宋书乐志》所载魏、晋乐府，盖始于汉人也。		《钝吟杂录》__清
87	今人歌行题 [曰] 古风，不知始于何时？		《钝吟杂录》__清
88	予按：齐、梁已前，七言古诗有“东飞伯劳”、“卢家少妇”二篇，不知其人、代，故题 [曰] 古诗也。		《钝吟杂录》__清
89	大略歌行出于乐府， [曰] “行”者，犹仍乐府之名也。		《钝吟杂录》__清
90	近代李于鳞取晋、宋、齐、隋《乐志》所载，章截而句摘之，生吞活剥， [曰] “拟乐府”。		《钝吟杂录》__清
91	可以装货的船，不过舱深些，至舱面上的规矩，仍同“江山船”一样，其名 [曰] “茭白船”。		《官场现形》__清
92	话说镇江府丹阳县落乡地方，村名 [曰] ‘仁善村’。		《风流悟》__清
93	贾政乃道：“当日曾有一位王爵，封 [曰] 恒王，出镇青州。		《红楼梦(中)》__清
94	这题目名 [曰] 《姽婳词》，且既有了序，此必是长篇歌行，方合体式。		《红楼梦(中)》__清
95	因用晴雯素日所喜之冰鲛縠一幅，楷字写成，名 [曰] 《芙蓉女儿诔》，前序后歌；又备了晴雯素喜的四样吃食。		《红楼梦(中)》__清
96	于是黄昏人静之时，命那小丫头捧至芙蓉前，先行礼毕，将那诔文即挂于芙蓉枝上，乃泣涕念 [曰] ：		《红楼梦(中)》__清
97	维太平不易之元，蓉桂竞芳之月，无可奈何之日，怡红院浊玉谨以群花之蕊、冰鲛之縠、沁芳之泉、枫露之茗：四者虽微，聊以达诚申信，乃致祭于白帝宫中抚司秋艳芙蓉女儿之前 [曰] ：		《红楼梦(中)》__清
98	乃歌而招之 [曰] ：		《红楼梦(中)》__清
99	所以情不自禁，乃信口吟成一歌 [曰] ：池塘一夜秋风冷，吹散芰荷红玉影。		《红楼梦(中)》__清
100	词 [曰] ：		《狐狸缘全传》__清
101	匪 [曰] 无故呻吟，亦长歌当哭之意耳。		《红楼梦(下)》__清
102	天子听了，忙下额外恩旨 [曰] ：“贾敬虽无功于国，念彼祖父之忠，追赐五品之职。		《红楼梦(中)》__清
103	词 [曰] ：秋花惨淡秋草黄，耿耿秋灯秋夜长。		《红楼梦(中)》__清
104	词 [曰] ：		《狐狸缘全传》__清
105	才到任时，进士王 [曰] 灼，亲来看望。		《幻中游》__清
106	王 [曰] 灼应允而去。		《幻中游》__清
107	词 [曰] ：		《狐狸缘全传》__清
108	宝玉看了，赞不绝口，又说道：“妹妹这诗，恰好只做了五首，何不就命 [曰] 《五美吟》？”		《红楼梦(中)》__清
109	诗 [曰] ：		《狐狸缘全传》__清
110	这嵯岈洞九尾玄狐就是黑色，股生九节尾，乃是九千余年的道行，将及万载，黑将变白，因先从面上变起，故名 [曰] 玉面。		《狐狸缘全传》__清
111	词 [曰] ：		《狐狸缘全传》__清
112	诗 [曰] ：		《狐狸缘全传》__清
113	其表 [曰] ：		《幻中游》__清
