语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：曷
2023/1/20 16:04:22

序号	语句	书名	朝代
1	今我 [曷] 敢多诰？		《尚书》__周
2	尔 [曷] 不忱裕之于尔多方？		《尚书》__周
3	尔 [曷] 不夹介乂我周王享天之命？		《尚书》__周
4	今尔尚宅尔宅，畋尔田，尔 [曷] 不惠王熙天之命？		《尚书》__周
5	 [曷] 之用？		《周易》__周
6	 [曷] 之用？		《周易》__周
7	亡国之主，其耳非不可以闻也，其目非不可以见也，其心非不可以知也，君臣扰乱，上下不分别，虽闻 [曷] 闻？		《吕氏春秋》__春秋战国
8	虽见 [曷] 见？		《吕氏春秋》__春秋战国
9	虽知 [曷] 知？		《吕氏春秋》__春秋战国
10	桓公曰：“吾未得仲父则难，已得仲父之後， [曷] 为其不易也？”		《吕氏春秋》__春秋战国
11	肆予大化诱我友邦君，天棐忱辞，其考我民，予 [曷] 其不于前宁人图功攸终？		《尚书》__周
12	天亦惟用勤毖我民，若有疾，予 [曷] 敢不于前宁人攸受休毕！”		《尚书》__周
13	肆予 [曷] 敢不越卬敉宁王大命？		《尚书》__周
14	予永念曰：天惟丧殷，若穑夫，予 [曷] 敢不终朕亩？		《尚书》__周
15	天亦惟休于前宁人，予 [曷] 其极卜？		《尚书》__周
16	 [曷] 为为恭，有天子之存，则诸侯不得专地也。		《公羊传》__春秋战国
17	此鲁朝宿之邑也，则 [曷] 为谓之许田？		《公羊传》__春秋战国
18	讳取周田则 [曷] 为谓之许田？		《公羊传》__春秋战国
19	 [曷] 为系之许？		《公羊传》__春秋战国
20	去骇从骇，则鸟 [曷] 为举矣？”		《吕氏春秋》__春秋战国
21	公曰：“吾於卫无故，子 [曷] 为请？”		《吕氏春秋》__春秋战国
22	汝 [曷] 弗告朕，而胥动以浮言，恐沈于众？		《尚书》__周
23	今我民用荡析离居，罔有定极，尔谓朕 [曷] 震动万民以迁？		《尚书》__周
24	汝 [曷] 弗念我古后之闻？		《尚书》__周
25	不其或稽，自怒 [曷] 瘳？		《尚书》__周
26	失于政，陈于兹，高后丕乃崇降罪疾，曰‘ [曷] 虐朕民？		《尚书》__周
27	’汝万民乃不生生，暨予一人猷同心，先后丕降与汝罪疾，曰：‘ [曷] 不暨朕幼孙有比？		《尚书》__周
28	其五曰：“呜呼 [曷] 归？		《尚书》__周
29	有众率怠弗协，曰：‘时日 [曷] 丧？		《尚书》__周
30	夏后氏以 [曷] ，殷玉豆，周献豆。		《礼记》__春秋战国
31	今我民罔弗欲丧，曰：‘天 [曷] 不降威？		《尚书》__周
32	夏后启曰： “生不足以使之，则利 [曷] 足以使之矣？		《吕氏春秋》__春秋战国
33	死不足以禁之，则害 [曷] 足以禁之矣？”		《吕氏春秋》__春秋战国
34	有罪无罪，予 [曷] 敢有越厥志？		《尚书》__周
35	小人之學也，入乎耳，出乎口；口耳之間，則四寸耳， [曷] 足以美七尺之軀哉！		《荀子》__春秋战国
36	 [曷] 謂邪？		《荀子》__春秋战国
37	 [曷] 其奈何弗敬？		《尚书》__周
38	’王其效邦君越御事，厥命 [曷] 以？		《尚书》__周
39	是若不行，則湯武在上 [曷] 益？		《荀子》__春秋战国
40	桀紂在上 [曷] 損？		《荀子》__春秋战国
41	王曰：“必不得宋且有不义，则 [曷] 为攻之？”		《吕氏春秋》__春秋战国
42	彼固 [曷] 足稱乎大君子之門哉！		《荀子》__春秋战国
43	彼以讓飾爭，依乎仁而蹈利者也，小人之杰也，彼固 [曷] 足稱乎大君子之門哉！		《荀子》__春秋战国
44	 [曷] 謂中？		《荀子》__春秋战国
45	 [曷] 謂一？		《荀子》__春秋战国
46	 [曷] 謂神？		《荀子》__春秋战国
47	悠悠苍天， [曷] 其有所？		《诗经》__周
48	悠悠苍天， [曷] 其有极？		《诗经》__周
49	悠悠苍天， [曷] 其有常？		《诗经》__周
50	中心好之， [曷] 饮食之？		《诗经》__周
51	中心好之， [曷] 饮食之？		《诗经》__周
52	狐援曰：“ [曷] 为昏哉？”		《吕氏春秋》__春秋战国
53	 [曷] 至哉？		《诗经》__周
54	 [曷] 其有佸？		《诗经》__周
55	怀哉怀哉， [曷] 月予还归哉扬之		《诗经》__周
56	怀哉怀哉， [曷] 月予还归哉！		《诗经》__周
57	怀哉怀哉， [曷] 月予还归哉！		《诗经》__周
58	南国之人祝发而裸；北国之人 [曷] 巾而裘；中国之人冠冕而裳。		《列子》__春秋战国
59	 [曷] 不肃雍？		《诗经》__周
60	相國舍是而不為，案直為是世俗之所以為，則女主亂之宮，詐臣亂之朝，貪吏亂之官，眾庶百姓皆以爭奪貪利為俗， [曷] 若是而可以持國乎？		《荀子》__春秋战国
61	 [曷] 若兩者孰足為也！		《荀子》__春秋战国
62	力術止，義術行， [曷] 謂也？		《荀子》__春秋战国
63	 [曷] 謂乎威強乎湯武？		《荀子》__春秋战国
64	 [曷] 謂廣大乎舜禹也？		《荀子》__春秋战国
65	如火烈烈，则莫我敢 [曷] 。		《诗经》__周
66	 [曷] 謂別？		《荀子》__春秋战国
67	我日构祸， [曷] 云能穀？		《诗经》__周
68	 [曷] 云其还？		《诗经》__周
69	 [曷] 云其还？		《诗经》__周
70	 [曷] 以知舞之意？		《荀子》__春秋战国
71	 [曷] 謂至足？		《荀子》__春秋战国
72	雖有聖王禮義，將 [曷] 加於正理平治也哉？		《荀子》__春秋战国
73	然則有 [曷] 貴堯、禹， [曷] 貴君子矣哉？		《荀子》__春秋战国
74	 [曷] 謂也？		《荀子》__春秋战国
75	 [曷] 謂「罷」？		《荀子》__春秋战国
76	 [曷] 謂「賢」？		《荀子》__春秋战国
77	 [曷] 維其同！		《荀子》__春秋战国
78	門人曰∶「 [曷] 為三遇齊王而不言事？」		《荀子》__春秋战国
79	然后，圣人作为兆鼓空 [曷] 埙篪，此 六者，德音之音也。		《礼记》__春秋战国
80	 [曷] 予靖之，居以凶矜。		《诗经》__周
81	山川悠远， [曷] 其没矣？		《诗经》__周
82	三者在身， [曷] 怨人！		《荀子》__春秋战国
83	晏子曰：“寡君献地，忠廉也， [曷] 为不尽受？”		《晏子春秋》__春秋战国
84	至，曰：“ [曷] 为见召？”		《晏子春秋》__春秋战国
85	明日，晏子朝公，公曰：“先君太公以营丘之封，立城， [曷] 为夕？”		《晏子春秋》__春秋战国
86	’”晏子至，楚王赐晏子酒，酒酣，吏二缚一人诣王，王曰；”缚者 [曷] 为者也？”		《晏子春秋》__春秋战国
87	既曰归止， [曷] 又怀止？		《诗经》__周
88	既曰庸止， [曷] 又从止？		《诗经》__周
89	既曰告止， [曷] 又鞠止？		《诗经》__周
90	既曰得止， [曷] 又极止？		《诗经》__周
91	寡人闻大国之君，盖回曲之君也， [曷] 为以子大夫之行，事回曲之君乎？”		《晏子春秋》__春秋战国
92	公曰：“夫子从席， [曷] 为坐地？”		《晏子春秋》__春秋战国
93	瞻卬昊天， [曷] 惠其宁？		《诗经》__周
94	公 [曷] 为不察，声受而色说之？”		《晏子春秋》__春秋战国
95	公曰：“孔子之不逮舜为间矣， [曷] 为‘有孔子焉则无有？		《晏子春秋》__春秋战国
96	公曰：“然则 [曷] 以禄夫子？”		《晏子春秋》__春秋战国
97	 [曷] 之用？		《周易》__周
98	晏子曰：“婴闻为人臣者，先君後身；安国而度家，宗君而处身， [曷] 为独不欲富与贵也！”		《晏子春秋》__春秋战国
99	损而有孚，元吉，无咎，可贞，利有攸往， [曷] 之用？		《周易》__周
100	名实不得，国虽强大者， [曷] 为攻矣？		《吕氏春秋》__春秋战国
101	心之忧矣， [曷] 维其已！		《诗经》__周
102	心之忧矣， [曷] 维其亡！		《诗经》__周
103	景公问君子常行 [曷] 若晏子对以三者第十六                               219		《晏子春秋》__春秋战国
104	晏子对曰：“婴，人臣也，公 [曷] 为出若言？”		《晏子春秋》__春秋战国
105	四方有罪无罪惟我在，天下 [曷] 敢有越厥志？		《孟子》__春秋战国
106	道之云远， [曷] 云能来？		《诗经》__周
107	景公问晏子曰：“君子常行 [曷] 若？”		《晏子春秋》__春秋战国
108	公曰：“严居朝，则 [曷] 害于治国家哉？”		《晏子春秋》__春秋战国
109	如虎之室，如蛇之穴，而见之， [曷] 为不祥也！”		《晏子春秋》__春秋战国
110	陈币当外台，天玄< [曷] 毛>宗马十二，王元缭璧綦十二，参方玄缭璧、豹虎皮十二，四方玄缭璧琰十二。		《逸周书》__春秋战国
111	夏谚曰：‘吾君不游，我 [曷] 以休？		《晏子春秋》__春秋战国
112	吾君不豫，我 [曷] 以助？		《晏子春秋》__春秋战国
113	公就止之曰：“夫子 [曷] 为至此？		《晏子春秋》__春秋战国
114	谗夫蔼蔼而漫著兮， [曷] 其不舒予情？		《楚辞》__春秋战国
115	胶鬲曰：“ [曷] 至？”		《吕氏春秋》__春秋战国
116	以为君子也，使人问焉，曰：“ [曷] 为而至此？”		《吕氏春秋》__春秋战国
117	夫冻者假衣于春，囗（左“日”右“ [曷] 		《庄子》__春秋战国
118	隐亦远矣， [曷] 为为隐讳？		《公羊传》__春秋战国
119	诸侯 [曷] 为必田狩？		《公羊传》__春秋战国
120	 [曷] 为以二日？		《公羊传》__春秋战国
121	 [曷] 为谓之寔来？		《公羊传》__春秋战国
122	 [曷] 为慢之？		《公羊传》__春秋战国
123	陈君则 [曷] 为谓之陈佗？		《公羊传》__春秋战国
124	 [曷] 为绝之？		《公羊传》__春秋战国
125	 [曷] 为不系乎邾娄？		《公羊传》__春秋战国
126	 [曷] 为国之？		《公羊传》__春秋战国
127	 [曷] 为后日？		《公羊传》__春秋战国
128	 [曷] 为従外？		《公羊传》__春秋战国
129	 [曷] 为或言归或言复归？		《公羊传》__春秋战国
130	 [曷] 为不言入于郑？		《公羊传》__春秋战国
131	 [曷] 为末言尔？		《公羊传》__春秋战国
132	然则 [曷] 为不言忽之出奔？		《公羊传》__春秋战国
133	 [曷] 为绝之？		《公羊传》__春秋战国
134	然则 [曷] 为不言晋败之？		《公羊传》__春秋战国
135	 [曷] 为不盟于师而盟于袁娄？		《公羊传》__春秋战国
136	宣宫则 [曷] 为谓之新宫？		《公羊传》__春秋战国
137	 [曷] 为不系于邾娄？		《公羊传》__春秋战国
138	 [曷] 为使我归之？		《公羊传》__春秋战国
139	杞伯 [曷] 为来逆叔姬之丧以归？		《公羊传》__春秋战国
140	三国来媵非礼也， [曷] 为皆以录伯姬之辞言之？		《公羊传》__春秋战国
141	公孙婴齐则 [曷] 为谓之仲婴齐？		《公羊传》__春秋战国
142	为兄后则 [曷] 为谓之仲婴齐？		《公羊传》__春秋战国
143	 [曷] 为殊会吴？		《公羊传》__春秋战国
144	 [曷] 为外也？		《公羊传》__春秋战国
145	王者欲一乎天下， [曷] 为以外内之辞言之？		《公羊传》__春秋战国
146	 [曷] 为不耻？		《公羊传》__春秋战国
147	然则郊 [曷] 用？		《公羊传》__春秋战国
148	非此月日也， [曷] 为以此月日卒之？		《公羊传》__春秋战国
149	 [曷] 为待君命然后卒大夫？		《公羊传》__春秋战国
150	 [曷] 为不言入于卫？		《公羊传》__春秋战国
151	齐国夏 [曷] 为与卫石曼姑帅师围戚？		《公羊传》__春秋战国
152	辙者 [曷] 为者也？		《公羊传》__春秋战国
153	然则 [曷] 为不立蒯聩而立辙？		《公羊传》__春秋战国
154	 [曷] 为不言其复立？		《公羊传》__春秋战国
155	丧 [曷] 为以闰数？		《公羊传》__春秋战国
156	 [曷] 为绝之？		《公羊传》__春秋战国
157	 [曷] 为不言其获？		《公羊传》__春秋战国
158	 [曷] 为绝之？		《公羊传》__春秋战国
159	 [曷] 为不言其灭？		《公羊传》__春秋战国
160	 [曷] 为赂齐？		《公羊传》__春秋战国
161	吴主会则 [曷] 为先言晋侯？		《公羊传》__春秋战国
162	不与夷狄之主中国，则 [曷] 为以会两伯之辞言之？		《公羊传》__春秋战国
163	 [曷] 为重吴？		《公羊传》__春秋战国
164	 [曷] 为谓之晋魏多？		《公羊传》__春秋战国
165	薪采者则微者也， [曷] 为以狩言之？		《公羊传》__春秋战国
166	 [曷] 为大之？		《公羊传》__春秋战国
167	 [曷] 为为获麟大之？		《公羊传》__春秋战国
168	君子 [曷] 为为《春秋》？		《公羊传》__春秋战国
169	 [曷] 为归狱仆人邓扈乐？		《公羊传》__春秋战国
170	公子庆父则 [曷] 为谓之齐仲孙？		《公羊传》__春秋战国
171	 [曷] 为系之齐？		《公羊传》__春秋战国
172	 [曷] 为外之？		《公羊传》__春秋战国
173	 [曷] 为未可以吉？		《公羊传》__春秋战国
174	三年矣， [曷] 为谓之未三年？		《公羊传》__春秋战国
175	 [曷] 为未可以称宫庙？		《公羊传》__春秋战国
176	 [曷] 为未可知？		《公羊传》__春秋战国
177	 [曷] 为贬？		《公羊传》__春秋战国
178	 [曷] 为不与？		《公羊传》__春秋战国
179	文 [曷] 为不与？		《公羊传》__春秋战国
180	癸亥，公之丧至自乾侯，则 [曷] 为以戊辰之日然后即位？		《公羊传》__春秋战国
181	此灾菽也， [曷] 为以异书？		《公羊传》__春秋战国
182	然则 [曷] 为不言雉门灾及两观，主灾者两观也。		《公羊传》__春秋战国
183	时灾者两观，则 [曷] 为后言之？		《公羊传》__春秋战国
184	 [曷] 为不言诸侯归之？		《公羊传》__春秋战国
185	此仲孙何忌也， [曷] 为谓之仲孙忌？		《公羊传》__春秋战国
186	阳虎者 [曷] 为者也？		《公羊传》__春秋战国
187	齐人 [曷] 为来归运、欢、龟阴田？		《公羊传》__春秋战国
188	 [曷] 为帅师堕郈、帅师堕费？		《公羊传》__春秋战国
189	荀寅与士吉射者， [曷] 为者也？		《公羊传》__春秋战国
190	此逐君侧之恶人， [曷] 为以叛言之？		《公羊传》__春秋战国
191	 [曷] 为不言其所食？		《公羊传》__春秋战国
192	 [曷] 为以夏五月郊？		《公羊传》__春秋战国
193	 [曷] 为不言狄灭之？		《公羊传》__春秋战国
194	 [曷] 为为桓公讳？		《公羊传》__春秋战国
195	 [曷] 为先言次而后言救？		《公羊传》__春秋战国
196	 [曷] 为不与？		《公羊传》__春秋战国
197	文 [曷] 为不与？		《公羊传》__春秋战国
