语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：期
2022/7/10 22:59:20

序号	语句	书名	朝代
1	朕宅帝位三十有三载，耄 [期] 倦于勤。		《尚书》__周
2	贯之盟，不 [期] 而至者，江人、黄人也。		《榖梁传》__春秋战国
3	序点又扬觯而 语曰：“好学不倦，好礼不变，旄 [期] 称道不乱者，不，在此位也。”		《礼记》__春秋战国
4	 [期] 三百有六旬有六日，以闰月定四时，成岁。		《尚书》__周
5	练而反，则 [期] ；既练而反，则遂之。		《礼记》__春秋战国
6	再 [期] 之丧，三年也； [期] 之丧，二年也。		《礼记》__春秋战国
7	故 [期] 而祭，礼也；		《礼记》__春秋战国
8	 [期] 而除丧，道也。		《礼记》__春秋战国
9	 [期] 之丧，三不食，食疏，食水饮，不食菜果。		《礼记》__春秋战国
10	九月之丧，食饮犹 [期] 之丧 也，食肉饮酒，不与人乐之。		《礼记》__春秋战国
11	五曰：非辞无以相 [期] ，从辞则乱。		《吕氏春秋》__春秋战国
12	 [期] 居庐，终丧不御于内者，父在为母为妻。		《礼记》__春秋战国
13	齐衰 [期] 者，大功布衰九月者， 皆三月不御于内。		《礼记》__春秋战国
14	丧父母，既练而归； [期] 九月者，既葬而 归。		《礼记》__春秋战国
15	然则何以至 [期] 也？		《礼记》__春秋战国
16	曰：加隆焉 尔也，焉使倍之，故再 [期] 也。		《礼记》__春秋战国
17	故三年以为隆， 缌小功以为杀， [期] 九月以为间。		《礼记》__春秋战国
18	今夜辱，吾将索其形， [期] 得之则可，不得将死之。”		《吕氏春秋》__春秋战国
19	渍，取牛肉必新杀者，薄切之，必绝其理，湛诸美酒，  [期] 朝，而食之以醢若醯意。		《礼记》__春秋战国
20	故文王说纣而纣囚之；翼候炙；鬼候腊，比干剖心；梅伯酸；夷吾束缚；而曹羁奔陈；伯里子道乞；传说转鬻；孙子膑脚于魏；吴起收泣于岸门，痛西河之为秦，卒枝解于楚；公叔痤言国器反为悖，公孙鞅奔秦；关龙逢斩；苌弘分胣；尹子罕于棘；司马子 [期] 死而浮于江；田明辜射；宓子贱、西门豹不斗而死人手；董安于死而陈于市；宰予不免于田常；范雎折协于魏。		《韩非子》__春秋战国
21	晋文公伐原，与士 [期] 七日。		《吕氏春秋》__春秋战国
22	明年，复伐之，与士 [期] 必得原然後反。		《吕氏春秋》__春秋战国
23	二君因与张孟谈约三军之反，与之 [期] 日。		《韩非子》__春秋战国
24	至于 [期] 日之夜，赵氏杀其守堤之吏而决其水灌知伯军。		《韩非子》__春秋战国
25	君其遣之女乐，以乱其政，而后为由余请 [期] ，以疏其谏。		《韩非子》__春秋战国
26	乃使内史廖以女乐二八遣戎王，因为由余请 [期] 。		《韩非子》__春秋战国
27	赵简子将袭卫，使史默往睹之， [期] 以一月。		《吕氏春秋》__春秋战国
28	有神巫自齐来处于郑，命曰季咸，知人死生、存亡、祸福、寿夭， [期] 以岁、 月、旬、日如神。		《列子》__春秋战国
29	天不言而人推其高焉，地不言而人推其厚焉，四時不言而百姓 [期] 焉。		《荀子》__春秋战国
30	位不 [期] 骄，禄不 [期] 侈。		《尚书》__周
31	群臣多谏於太子者，曰：“雪甚如此而行葬，民必甚疾之，官费又恐不给，请弛 [期] 更日。”		《吕氏春秋》__春秋战国
