语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：木
2023/1/20 16:05:51

序号	语句	书名	朝代
1	告于众曰：“嗟予有众，圣有谟训，明征定保，先王克谨天戒，臣人克有常宪，百官修辅，厥后惟明明，每岁孟春，遒人以 [木] 铎徇于路，官师相规，工执艺事以谏，其或不恭，邦有常刑。”		《尚书》__周
2	禹敷土，随山刊 [木] ，奠高山大川。		《尚书》__周
3	厥土黑坟，厥草惟繇，厥 [木] 惟条。		《尚书》__周
4	筱簜既敷，厥草惟夭，厥 [木] 惟乔。		《尚书》__周
5	厥贡惟金三品，瑶、琨筱、簜、齿、革、羽、毛惟 [木] 。		《尚书》__周
6	水、火、金、 [木] 、土、谷，惟修；正德、利用、厚生、惟和。		《尚书》__周
7	下震上巽，皆 [木] 之象，故其占利有所往，而利涉大川也。		《周易》__周
8	利涉大川”， [木] 道乃行。		《周易》__周
9	予乘四载，随山刊 [木] ，暨益奏庶鲜食。		《尚书》__周
10	犹大匠之为宫室也，量小大而知材 [木] 矣，訾功丈而知人数矣。		《吕氏春秋》__春秋战国
11	以 [木] 大围长二尺四分而鉴之。		《墨子》__春秋战国
12	取城外池唇 [木] 月散之什。		《墨子》__春秋战国
13	杞，高大坚实之 [木] 也。		《周易》__周
14	丘闻之： [木] 石之怪曰夔、魍魉，水之怪曰龙、罔象，土之怪曰☆羊。”		《国语》__春秋战国
15	俱有法而异或 [木] 或石。		《墨子》__春秋战国
16	《象》曰：地中生 [木] ，升，君子以顺德，积小以高大。		《周易》__周
17	一、五行：一曰水，二曰火，三曰 [木] ，四曰金，五曰土。		《尚书》__周
18	水曰润下，火曰炎上， [木] 曰曲直，金曰従革，土爰稼穑。		《尚书》__周
19	初六，臀困于株 [木] ，入于幽谷，三岁不觌。		《周易》__周
20	困于株 [木] ，伤而不能安也。		《周易》__周
21	君丧，虞人出 [木] 角，狄人出壶， 雍人出鼎，司马县之，乃官代哭。		《礼记》__春秋战国
22	秋，大熟，未获，天大雷电以风，禾尽偃，大 [木] 斯拔，邦人大恐。		《尚书》__周
23	二公命邦人凡大 [木] 所偃，尽起而筑之。		《尚书》__周
24	以巽 [木] 入乎坎水之下，而上出其水，故为井。		《周易》__周
25	《象》曰： [木] 上有水，井，君子以劳民劝相。		《周易》__周
26	! [木] 上		《周易》__周
27	翟翦对曰：“今举大 [木] 者，前乎舆謣，後亦应之，此其於举大 [木] 者善矣。		《吕氏春秋》__春秋战国
28	夫国亦 [木] 之大者也。”		《吕氏春秋》__春秋战国
29	使工女化而为丝，不能治丝；使大匠化而为 [木] ，不能治 [木] ；使圣人化而为农夫，不能治农夫。		《吕氏春秋》__春秋战国
30	君松椁，大夫柏椁，士杂 [木] 椁。		《礼记》__春秋战国
31	又以巽 [木] 		《周易》__周
32	以 [木] 巽火，亨饪也。		《周易》__周
33	《象》曰： [木] 上有火，鼎，君子以正位凝命。		《周易》__周
34	谚曰：“蠹众而 [木] 折，隙大而墙坏。”		《商君书》__春秋战国
35	若颠 [木] 之有由蘖，天其永我命于兹新邑，绍复先王之大业，厎绥四方。”		《尚书》__周
36	乃通於天，水 [木] 石之性，皆可动也，又况於有血气者乎？		《吕氏春秋》__春秋战国
37	左右佩用，左佩纷、刀、砺小Δ、金燧，右佩、 捍、管、、大Δ、 [木] 燧，逼屦著綦。		《礼记》__春秋战国
38	左佩纷、 刀、小Δ金燧，右佩箴、管、线、纩，施{般系}衮，大Δ、 [木] 燧、衿缨、綦屦。		《礼记》__春秋战国
39	故以绳墨取 [木] ，则宫室不成矣。		《吕氏春秋》__春秋战国
40	秦伯曰：“子之冢 [木] 已拱矣，何知！”		《榖梁传》__春秋战国
41	振 [木] 铎于朝，天子之 政也。		《礼记》__春秋战国
42	 [木] 柙以室藏之，封以法令之长印。		《商君书》__春秋战国
43	《象》曰：山上有 [木] ，渐，君子以居贤德善俗。		《周易》__周
44	六四，鸿渐于 [木] ，或得其桷，无咎。		《周易》__周
45	!鸿不 [木] 栖。		《周易》__周
46	会有一欲，则北至大夏，南至北户，西至三危，东至扶 [木] ，不敢乱矣；犯白刃，冒流矢，趣水火，不敢却也；晨寤兴，务耕疾庸，巽为烦辱，不敢休矣。		《吕氏春秋》__春秋战国
47	说复于王曰：“惟 [木] 従绳则正，后従谏则圣。		《尚书》__周
48	段干生闻之，曰：“端  [木] 叔达人也，德过其祖矣。		《列子》__春秋战国
49	将军为 [木] 壹，与国正监与王御史参望之。		《商君书》__春秋战国
50	尺之 [木] 必有节目，寸之玉必有瑕适。		《吕氏春秋》__春秋战国
51	虽皆过，譬之若金之与 [木] ，金虽柔，犹坚於 [木] 。		《吕氏春秋》__春秋战国
52	白圭对曰：“文侯师子夏，友田子方，敬段干 [木] ，此名之所以过桓公也。		《吕氏春秋》__春秋战国
53	尧禅天下，虞舜受之，作为食器，斩山 [木] 而财子，削锯修其迹，流漆墨其上，输之于宫以为食器。		《韩非子》__春秋战国
54	曰：“我不以货事上而求迁者，则如以狸饵鼠尔，必不冀矣；若以情事上而求迁者，则如引诸绝绳而求乘枉 [木] 也，愈不冀矣。		《商君书》__春秋战国
55	心 凝形释骨肉都融；不觉形之所倚，足之所履，随风东西，犹 [木] 叶干壳。		《列子》__春秋战国
56	又以巽 [木] 坎水，舟楫之象，故利涉大川。		《周易》__周
57	利涉大川”，乘 [木] 有功也。		《周易》__周
58	 [木] 直中繩，糅以為輪，其曲中規，雖有槁暴，不復挺者，糅使之然也。		《荀子》__春秋战国
59	故 [木] 受繩則直，金就礪則利，君子博學而日參省乎己，則知明而行無過矣。		《荀子》__春秋战国
60	西方有 [木] 焉，名曰射干，莖長四寸，生於高山之上，而臨百仞之淵， [木] 莖非能長也，所立者然也。		《荀子》__春秋战国
61	又， [木] 在泽上，外实内虚，皆舟楫之象。		《周易》__周
62	利涉大川”，乘 [木] 舟虚也。		《周易》__周
63	 [木] 强则折。		《列子》__春秋战国
64	望之似 [木] 鸡矣， 其德全矣。		《列子》__春秋战国
65	魏文侯师卜子夏，友田子方，礼段干 [木] ，国治身逸。		《吕氏春秋》__春秋战国
66	魏文侯过段干 [木] 之闾而轼之，其仆曰：“君胡为轼？”		《吕氏春秋》__春秋战国
67	曰：“此非段干 [木] 之闾欤？		《吕氏春秋》__春秋战国
68	段干 [木] 盖贤者也，吾安敢不轼？		《吕氏春秋》__春秋战国
69	且吾闻段干 [木] 未尝肯以己易寡人也，吾安敢骄之？		《吕氏春秋》__春秋战国
70	段干 [木] 光乎德，寡人光乎地；段干 [木] 富乎义，寡人富乎财。”		《吕氏春秋》__春秋战国
71	於是君请相之，段干 [木] 不肯受。		《吕氏春秋》__春秋战国
72	於是国人皆喜，相与诵之曰：“吾君好正，段干 [木] 之敬；吾君好忠，段干 [木] 之隆。”		《吕氏春秋》__春秋战国
73	居无几何，秦兴兵欲攻魏，司马唐谏秦君曰：“段干 [木] 贤者也，而魏礼之，天下莫不闻，无乃不可加兵乎？”		《吕氏春秋》__春秋战国
74	抱之 [木] 生於毫末。		《老子》__春秋战国
75	十有六年春，王正月，雨， [木] 冰。		《榖梁传》__春秋战国
76	雨而 [木] 冰也。		《榖梁传》__春秋战国
77	陵上巨 [木] ，人以为期，易知故也。		《吕氏春秋》__春秋战国
78	是以兵强则灭， [木] 强则折。		《老子》__春秋战国
79	禹东至榑 [木] 之地，日出九津，青羌之野，攒树之所，扌昬天之山，鸟谷、青丘之乡，黑齿之国；南至交址、孙朴续樠之国，丹粟漆树沸水漂漂九阳之山，羽人、裸民之处，不死之乡；西至三危之国，巫山之下，饮露吸气之民，积金之山，其肱、一臂、三面之乡；北至人正之国，夏海之穷，衡山之上，太戎之国，夸父之野，禺强之所，积水、积石之山。		《吕氏春秋》__春秋战国
80	故澤人足乎 [木] ，山人足乎魚，農夫不斫削、不陶冶而足械用，工賈不耕田而足菽粟。		《荀子》__春秋战国
81	五藏所以伤者，皆金 [木] 水火土气不和也。		《老子想尔注》__春秋战国
82	意之所属著，其行足踬株埳，头抵植 [木] ，而 不自知也。		《列子》__春秋战国
83	七变成之；三变生 [木] ，而八化成之；四化生金，而九变成之；五变生土，而十化成之。		《周易》__周
84	吴楚之国有大 [木] 焉， 其名为櫾，碧树而冬生，实丹而味酸。		《列子》__春秋战国
85	辟之若屮 [木] 枝葉必類本。		《荀子》__春秋战国
86	投我以 [木] 桃，报之以琼瑶。		《诗经》__周
87	偃师大慑，立剖散倡者以示王，皆傅会革、 [木] 、胶、漆、 白、黑、丹、青之所为。		《列子》__春秋战国
88	辟之是猶立直 [木] 而求其影之枉也。		《荀子》__春秋战国
89	辟之是猶立枉 [木] 而求其影之直也。		《荀子》__春秋战国
