语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：未
2022/11/6 16:07:14

序号	语句	书名	朝代
1	《乐志》所载五言四言，自有雅则可诵者，岂 [未] 之读耶？		《钝吟杂录》__清
2	话 [未] 说完，安公子先跳起来，道∶“姑娘，你有甚么为难的事，只管说！		《儿女英雄》__清
3	言还 [未] 了，只听脑背后暴雷也似价一声道∶“不多，还有一个！”		《儿女英雄》__清
4	只见他满脸堆欢，不慌不忙， [未] 从开口，先将身子往西一探，向那西间的南炕叫了一声∶“安公子！”		《儿女英雄》__清
5	道犹 [未] 了，魏二忽走进房来道：“怎么睡在此？		《风流悟》__清
6	自言自语的说犹 [未] 了，抬起头来，只见一个道姑立在面前。		《风流悟》__清
7	说犹 [未] 了，只见门外叫道：“二娘子，开了门。”		《风流悟》__清
8	一句话 [未] 完，只听得山腰里吱的一声==头响箭，一直射在半空里去。		《儿女英雄》__清
9	常氏独自守寡，虽则一口，甚觉烦难，思量着道：“前村魏家弟兄，还欠我们四两银子，旧帐利钱，虽有些本钱，一毫 [未] 还。		《风流悟》__清
10	世高听见，暗暗道：“合拍得紧，今日且 [未] 可说出。”		《风流悟》__清
11	那老头儿 [未] 从说话，先咳了一声，道∶“你还要问他的甚么公馆！		《儿女英雄》__清
12	小姐道：“我诗中之意，虽 [未] 有期，却随他早晚来会便了。”		《风流悟》__清
13	所以 [未] 从作这个媒，心里只有张金凤的愿不愿，张老夫妻的肯不肯，那安公子一边，直不曾着意，料他也断没个不愿不肯的的理。		《儿女英雄》__清
14	张金凤道∶“记得那《大乘经》上讲的，我佛 [未] 成佛以前，在深山参修正果，见那虎饿了，便割下自己的肉来喂虎；见那鹰饥了，便刳出自己的肠子来喂鹰。		《儿女英雄》__清
15	这里弄了这样一个‘大 [未] 完’，自然得趁天不亮走，半夜里难免不撞着歹人。		《儿女英雄》__清
16	二人还 [未] 及答言，张金凤是个有心事的，他可把正话儿反说着，便对十三妹道∶“姐姐原是为救安公子而来，如今自然送佛送到西天。		《儿女英雄》__清
17	文世高自中之后，人见他年少， [未] 有妻室，纷纷的来与他拟亲。		《风流悟》__清
18	况且砚台上的铭跋镌着老人家的名号，你我庙里又弄了这个‘ [未] 完’，万一被人勘破，追究起来，我当如何？		《儿女英雄》__清
19	他也簇新妆 [未] 起来，带顶飘飘巾儿，穿领阔带大袖子直身儿，大红方舄鞋儿。		《风流悟》__清
20	黑，周中堂回电来了，上面写的是∶“弟与某素无往来，前荐某丞 [未] 收。		《官场现形》__清
21	看看或者有些好光景，不消到西山去得，也 [未] 可知。”		《风流悟》__清
22	仆前以舍亲某丞相属，至今亦 [未] 位置。		《官场现形》__清
23	一个道：“今日 [未] 结收监，明日还要打了枷号在贡院前示众。”		《风流悟》__清
24	道犹 [未] 了，提起来一掷，叫道：“快。”		《风流悟》__清
25	只见他靠了桌儿坐下，一只手按了那把倭刀，言无数句，话不一夕，才待开口还 [未] 开口，侧耳一听，只听得一片哭声，哭道是∶“皇天菩萨！		《儿女英雄》__清
26	说犹 [未] 了，只见妙能走来道：“相公请睡罢，师弟，我们去佛前做工课。”		《风流悟》__清
27	同人见他说话来得跷蹊，便故意道：“妙有师父还 [未] 起身么？”		《风流悟》__清
28	道犹 [未] 了，只见一起报人打进门来，把张同人一把揪住道：“写！		《风流悟》__清
29	二爷去后，庄大老爷才同文七爷等跨到统领船上，挨排敬酒，二爷来说的话，却一句 [未] 向统		《官场现形》__清
30	或者他问我果真有个道理，也 [未] 可知。”		《儿女英雄》__清
31	说犹 [未] 了，只见蔡拐子提了鲫鱼进门，放在厨下，就去买肉打酒，一路就邀了几个同伙朋友来家子。		《风流悟》__清
32	那娲皇只用了三万六千五百块，单单剩下一块 [未] 用，弃在青埂峰下。		《红楼梦(上)》__清
33	强盗的本领，讲得是眼观六路，耳听八方，慢讲白昼对面相持，那怕夜间脑后有人暗算，不必等听出脚步儿来， [未] 从那兵器来到跟前，早觉得出个兆头来，转身就要招架个着。		《儿女英雄》__清
34	只因当年这个石头，娲皇 [未] 用，自己却也落得逍遥自在，各处去游玩。		《红楼梦(上)》__清
35	如今有一半落尘，然犹 [未] 全集。”		《红楼梦(上)》__清
36	雨村吟罢，因又思及平生抱负，苦 [未] 逢时，乃又搔首对天长叹，复高吟一联云：玉在椟中求善价，钗于奁内待时飞。		《红楼梦(上)》__清
37	弟已久有此意，但每遇兄时并 [未] 谈及，故 [未] 敢唐突。		《红楼梦(上)》__清
38	莫拿我爬到这个所在，已有一更时分，只见且犹 [未] 睡，独自一人在亭子上踱来踱去，口里自言自语的道：“好好一个官儿，断送在此事上。”		《风流悟》__清
39	这林如海姓林名海，表字如海，乃是前科的探花，今已升兰台寺大夫，本贯姑苏人氏，今钦点为巡盐御史，到任 [未] 久。		《红楼梦(上)》__清
40	青龙与白虎同行，吉凶事全然 [未] 保。		《儿女英雄》__清
41	道犹 [未] 了，只见两个家丁，走上店来道：“那里不寻得到，你原来在此。		《风流悟》__清
42	莫拿我道：“且缓两日，我还有件事 [未] 完，前日我暂撮人一宗银子，如今倘遇见，不好意思，完了就走。”		《风流悟》__清
43	女人把后生一推道：“没正经，身子要紧，你病还 [未] 好，况天色又热，我又不耐烦，快快书房里去睡，休得歪缠。”		《风流悟》__清
44	说犹 [未] 了，只听得耳边飕的一枚响箭，莫拿我忙下牲口，拔转就走。		《风流悟》__清
45	你我方才所说的这几个人，只怕都是那正邪两赋而来一路之人， [未] 可知也。”		《红楼梦(上)》__清
46	雨村向窗外看道：“天也晚了，仔细关了城，我们慢慢进城再谈， [未] 为不可。”		《红楼梦(上)》__清
47	因向蒙教训之恩， [未] 经酬报，遇此机会岂有不尽心图报之理。		《红楼梦(上)》__清
