语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：末
2022/7/10 22:58:56

序号	语句	书名	朝代
1	明德为本，新民为 [末] 。		《大学中庸》__春秋战国
2	本始所先， [末] 终所后。		《大学中庸》__春秋战国
3	其本乱而 [末] 治者否矣，其所厚者薄，而其所薄者厚，未之有也！		《大学中庸》__春秋战国
4	德者本也，财者 [末] 也， 本上文而言。		《大学中庸》__春秋战国
5	外本内 [末] ，争民施夺。		《大学中庸》__春秋战国
6	外本内 [末] 故财聚，争民施夺故民散，反是则有德而有人矣。		《大学中庸》__春秋战国
7	此两节又明不外本而内 [末] 之意。		《大学中庸》__春秋战国
8	愚按：此因有土有财而言，以明足国之道在乎务本而节b，非必外本内 [末] 而后财可聚也。		《大学中庸》__春秋战国
9	其本乱而 [末] 治者否矣，其所厚者薄，而其所薄		《大学中庸》__春秋战国
10	管子对曰：“昔吾先王昭王、穆王，世法文、武远绩以成名，何群叟，比校民之有道者，设象以为民纪，式权以相应，比缀以度，☆本肇 [末] ，劝之以赏赐，纠之以刑罚，班序颠毛，以为民纪统。”		《国语》__春秋战国
11	财者 [末] 也，外本内 [末] ，争民施夺。		《大学中庸》__春秋战国
12	范蠡进谏曰：“夫勇者，逆德也；兵者，凶器也；争者，事之 [末] 也。		《国语》__春秋战国
13	曰：“皇后凭玉几，道扬 [末] 命，命汝嗣训，临君周邦，率循大卞，燮和天下，用答扬文、武之光训。”		《尚书》__周
14	王再拜，兴，答曰：“眇眇予 [末] 小子，其能而乱四方以敬忌天威。”		《尚书》__周
15	浅智者之所争则 [末] 矣。		《吕氏春秋》__春秋战国
16	物多 [末] 众，农弛奸胜，则国必削。		《商君书》__春秋战国
17	彼土狭而民众，其宅参居而并处；其寡萌贾息民，上无通名，下无田宅，而恃奸务 [末] 作以处；人之复阴阳泽水者过半。		《商君书》__春秋战国
18	治国能抟民力而壹民务者，强；能事本而禁 [末] 者，富。		《商君书》__春秋战国
19	三月之  [末] ，择日剪发为{髟}，男角女羁，否则男左女右。		《礼记》__春秋战国
20	子生三月之 [末] ，漱浣夙齐，见于内寝， 礼之如始入室，君已食，彻焉，使之特，遂入御。		《礼记》__春秋战国
21	三月之 [末] ，其母沐浴朝服见于君，摈者以其子见，君所 有赐，君名之。		《礼记》__春秋战国
22	其农贫而商富——故其食贱者钱重，食贱则农贫，钱重则商富； [末] 事不禁，则技巧之人利，而游食者众之谓也。		《商君书》__春秋战国
23	商君说秦孝公以变法易俗而明公道，赏告奸、困 [末] 作而利本事。		《韩非子》__春秋战国
24	夫曲主虑私，非国利也，而为之者，以其爵禄也；下卖权，非忠臣也，而为之者，以 [末] 货也。		《商君书》__春秋战国
25	我则 [末] 惟成德之彦，以乂我受民。		《尚书》__周
26	公家虚而大臣实， 正户贫而寄寓富，耕战之士困， [末] 作之民利者，可亡也。		《韩非子》__春秋战国
27	故先会鬼神魑魅，次达八方人民，  [末] 聚禽兽虫蛾。		《列子》__春秋战国
28	王 [末] 有成命，王亦显。		《尚书》__周
29	犀首曰：“吾 [末] 有以言之。		《吕氏春秋》__春秋战国
30	夫浅知之所争者， [末] 矣。”		《列子》__春秋战国
31	故本在身，不敢对以 [末] 。”		《列子》__春秋战国
32	以秋之 [末] 承春之始，盖不可矣。		《榖梁传》__春秋战国
33	学 非本不同，非本不一，而 [末] 异若是。		《列子》__春秋战国
34	夏之始，可以承春；以秋之 [末] 承春之始，盖不可矣。		《榖梁传》__春秋战国
35	伐其本，竭其源，而并之其 [末] ，然而主相不知惡也，則其傾覆滅亡可立而待也。		《荀子》__春秋战国
36	市也者劝也劝者所以起本善而 [末] 事起不侈本事不得立选贤举能不可得，		《管子》__春秋战国
37	赏其 [末] 乎？		《吕氏春秋》__春秋战国
38	赏其 [末] ，则骑乘者存；赏其本，则臣闻之郤子虎。”		《吕氏春秋》__春秋战国
39	上之於下，如保赤子， 政令制度，所以接下之人百姓，有不理者如豪 [末] ，則雖孤獨鰥寡必不加焉。		《荀子》__春秋战国
40	属，或恐是错简，宜在第八章之 [末] 。		《周易》__周
41	二年之后，虽锥 [末] 倒眦，而不瞬也。		《列子》__春秋战国
42	生民則致寬，使民則綦理，辯政令制度，所以接天下之人百姓，有非理者如豪 [末] ，則雖孤獨鰥寡，必不加焉。		《荀子》__春秋战国
43	地重人载毁敝而养不足事 [末] 作而民与之是以下名而上实也圣人者省诸本而游诸乐大昏也博夜也，		《管子》__春秋战国
44	文公曰：“辅我以义，导我以礼者，吾以为上赏；教我以善，强我以贤者，吾以为次赏，拂吾所欲，数举吾过者，吾以为 [末] 赏。		《吕氏春秋》__春秋战国
45	知隆禮義之為尊君也，知好士之為美名也，知愛民之為安國也，知有常法之為一俗也，知尚賢使能之為長功也，知務本禁 [末] 之為多材也，知無與下爭小利之為便於事也，知明制度，權物稱用之為不泥也，是卿相輔佐之材也，未及君道也。		《荀子》__春秋战国
46	孫卿子曰∶凡在大王，將率 [末] 事也。		《荀子》__春秋战国
47	故赏之不足以为爱刑之不足以为恶赏者爱之 [末] 也刑者恶之 [末] 也，		《管子》__春秋战国
48	充言心也心欲忠 [末] 衡言耳目也耳目欲端，		《管子》__春秋战国
49	先王重其宝器而轻其 [末] 用，		《管子》__春秋战国
50	故曰∶凡在於軍，將率 [末] 事也。		《荀子》__春秋战国
51	今女不求之於本，而索之於 [末] ，此世之所以亂也。		《荀子》__春秋战国
52	故凡乱也者，必始乎近而後及远，必始乎本而後及 [末] 。		《吕氏春秋》__春秋战国
53	 [末] 生不禁民必有饥饿之色，		《管子》__春秋战国
54	夏、商之 [末] ，《易》道中微；文王拘于羑里而系		《周易》__周
55	子路不说，曰：“ [末] 之也，已，何必公山氏之之也？”		《论语》__春秋战国
56	南郭子俄而指子列子之弟子 [末] 行者与言，衎衎然若专直而在雄者。		《列子》__春秋战国
57	数皆倚此而起，故揲蓍三变之 [末] ，其余三奇则三三		《周易》__周
58	式差以相应比缀以书原穷 [末] ，		《管子》__春秋战国
