语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：朱
2023/1/20 16:02:30

序号	语句	书名	朝代
1	对曰：“昔昭王娶于房，曰房后，实有爽德，协于丹 [朱] ，丹 [朱] 凭身以仪之，生穆王焉。		《国语》__春秋战国
2	夫神壹不远徙迁，若由是观之，其丹 [朱] 之神乎？”		《国语》__春秋战国
3	西倾、 [朱] 圉、鸟鼠至于太华；熊耳、外方、桐柏至于陪尾。		《尚书》__周
4	益拜稽首，让于 [朱] 虎、熊罴。		《尚书》__周
5	放齐曰：“胤子 [朱] 启明。”		《尚书》__周
6	无若丹 [朱] 傲，惟慢游是好，傲虐是作。		《尚书》__周
7	九二，困于酒食， [朱] 绂方来，利用亨祀，征凶，无咎。		《周易》__周
8	 [朱] 绂方来，上应之也。		《周易》__周
9	左军亦如之，皆赤裳、赤☆、丹甲、 [朱] 羽之☆，望之如火。		《国语》__春秋战国
10	君里棺用 [朱] 绿，用杂金钅。		《礼记》__春秋战国
11	夫离 [朱] 见秋豪百步之外，而不能以明目易人；乌获举千钧之重，而不能以多力易人。		《商君书》__春秋战国
12	王出，在应门之内，太保率西方诸侯入应门左，毕公率东方诸侯入应门右，皆布乘黄 [朱] 。		《尚书》__周
13	升歌清庙，下管象， [朱] 干玉戚，冕而舞 大武，皮弁素积，裼而舞大夏。		《礼记》__春秋战国
14	杨 [朱] 第七		《列子》__春秋战国
15	杨 [朱] 游于鲁，舍于孟氏。		《列子》__春秋战国
16	杨 [朱] 曰：“百年，寿之大齐。		《列子》__春秋战国
17	杨 [朱] 曰：“万物所异者生也，所同者死也。		《列子》__春秋战国
18	杨 [朱] 曰：“伯夷非亡欲，矜清之邮，以放饿死。		《列子》__春秋战国
19	杨 [朱] 曰：“原宪窭于鲁，子贡殖于卫。		《列子》__春秋战国
20	杨 [朱] 曰：“古语有之：‘生相怜，死相捐。		《列子》__春秋战国
21	孟孙阳问杨 [朱] 曰：“有人于此，贵生爱身，以蕲不死，可乎？”		《列子》__春秋战国
22	杨 [朱] 曰：“伯成子高不以一毫利物，舍国而隐耕。		《列子》__春秋战国
23	禽子问杨 [朱] 曰：“去子体之一毛，以济一世，汝为 之乎？”		《列子》__春秋战国
24	杨 [朱] 曰：“天下之美归之舜、禹、周、孔，天下之恶归之桀纣。		《列子》__春秋战国
25	杨 [朱] 见梁王，言治天下如运诸掌。		《列子》__春秋战国
26	杨 [朱] 曰：“太古之事灭矣，孰志之哉？		《列子》__春秋战国
27	杨 [朱] 曰：“人肖天地之类，怀五常之性，有生之最灵者也。		《列子》__春秋战国
28	杨 [朱] 曰：“生民之不得休息，为四事故：一为寿，二为名，三为位，四为货。		《列子》__春秋战国
29	杨 [朱] 曰：“丰屋美服，厚味姣色，有此四者，何求于外？		《列子》__春秋战国
30	杨 [朱] 南之沛，老聃西游于秦。		《列子》__春秋战国
31	杨 [朱] 不答。		《列子》__春秋战国
32	杨 [朱] 蹴然变容曰：“敬闻命矣！”		《列子》__春秋战国
33	杨 [朱] 过宋，东之于逆旅。		《列子》__春秋战国
34	纟需，而 [朱] 反。		《周易》__周
35	杨 [朱] 之友曰季梁。		《列子》__春秋战国
36	季梁谓杨 [朱]  曰：“吾子不肖如此之甚，汝奚不为我歌以晓之？”		《列子》__春秋战国
37	杨 [朱] 歌曰：“天其弗识，人 胡能觉？		《列子》__春秋战国
38	齐人以为让，又去鲁而如吴，王予之 [朱] 方。		《吕氏春秋》__春秋战国
39	荆灵王闻之，率诸侯以攻吴，围 [朱] 方，拔之。		《吕氏春秋》__春秋战国
40	杨 [朱] 曰：“利出者实及，怨往者害来。		《列子》__春秋战国
41	素衣 [朱] 襮，从子于沃。		《诗经》__周
