语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：朴
2022/7/10 23:15:14

序号	语句	书名	朝代
1	治国者贵民壹，民壹则 [朴] ， [朴] 则农，农则易勤，勤则富。		《商君书》__春秋战国
2	资藏于地则 [朴] ，托危于外则惑。		《商君书》__春秋战国
3	两者偏用，则境内之民壹；民壹，则农；农，则 [朴] ； [朴] ，则安居而恶出。		《商君书》__春秋战国
4	民入则 [朴] ，出则惑，故其农勉而战戢也。		《商君书》__春秋战国
5	民 [朴] 壹，则官爵不可巧而取也。		《商君书》__春秋战国
6	国去言，则民 [朴] ；民 [朴] ，则不淫。		《商君书》__春秋战国
7	为奸不勉，则奸民无 [朴] 。		《商君书》__春秋战国
8	奸民无 [朴] ，则农民不败。		《商君书》__春秋战国
9	归心于农，则民 [朴] 而可正也，纷纷则易使也，信可以守战也。		《商君书》__春秋战国
10	夫民之情， [朴] 则生劳而易力，穷则生知而权利。		《商君书》__春秋战国
11	私利塞于外，则民务属于农，属于农，则 [朴] ； [朴] ，则畏令。		《商君书》__春秋战国
12	三官之 [朴] 三人，六官之 [朴] 一人。		《商君书》__春秋战国
13	然后列子自以为未始学而归，三年不出，为其妻爨，食 犭希如食人，于事无亲，雕彖复 [朴] ，块然独以其形立；忄分然而封戎，壹以是 终。		《列子》__春秋战国
14	川；犹兮若畏四邻；俨兮其若容；涣兮若冰之将释；敦兮其若 [朴] ；旷兮其若谷；混		《老子》__春秋战国
15	故令有所属，见素抱 [朴] 少私寡欲。		《老子》__春秋战国
16	若作梓材，既勤 [朴] 斫，惟其涂丹雘。		《尚书》__周
17	为天下谷，常德乃足，复归於 [朴] 。		《老子》__春秋战国
18	 [朴] 散则为器，圣人用之则为官长。		《老子》__春秋战国
19	 [朴] 虽小天下莫能臣也。		《老子》__春秋战国
20	名之 [朴] 。		《老子》__春秋战国
21	无名之 [朴] ，夫亦将无欲。		《老子》__春秋战国
22	我无欲而民自 [朴] 。		《老子》__春秋战国
23	禹东至榑木之地，日出九津，青羌之野，攒树之所，扌昬天之山，鸟谷、青丘之乡，黑齿之国；南至交址、孙 [朴] 续樠之国，丹粟漆树沸水漂漂九阳之山，羽人、裸民之处，不死之乡；西至三危之国，巫山之下，饮露吸气之民，积金之山，其肱、一臂、三面之乡；北至人正之国，夏海之穷，衡山之上，太戎之国，夸父之野，禺强之所，积水、积石之山。		《吕氏春秋》__春秋战国
24	多者何伤， [朴] 散淳薄更入耶！		《老子想尔注》__春秋战国
25	混若 [朴] ，旷若谷。”		《老子想尔注》__春秋战国
26	勉信道真，弃耶知，守本 [朴] ，无他思虑。		《老子想尔注》__春秋战国
27	以能痴浊， [朴] 且欲就矣，然后清静能睹众微。		《老子想尔注》__春秋战国
28	此三言为文未足，故令有所属，见素抱 [朴] 。”		《老子想尔注》__春秋战国
29	为天下谷，常德乃足，复归於 [朴] 。”		《老子想尔注》__春秋战国
30	 [朴] ，道本气也。		《老子想尔注》__春秋战国
31	人行道归 [朴] ，与道合。“		《老子想尔注》__春秋战国
32	 [朴] 散为器，圣人用为官长。”		《老子想尔注》__春秋战国
33	为器以离道矣，不当令 [朴] 散也。		《老子想尔注》__春秋战国
34	 [朴] 虽小，天下不敢臣。”		《老子想尔注》__春秋战国
35	林有 [朴] ，野有死鹿。		《诗经》__周
36	化如欲作，吾将镇之以无名之 [朴] 。”		《老子想尔注》__春秋战国
37	检以无名之 [朴] ，教诫见也。		《老子想尔注》__春秋战国
38	无名之 [朴] ，亦将不欲。”		《老子想尔注》__春秋战国
39	是故农之子常为农 [朴] 野而不慝其秀才子能为士者则足赖也，		《管子》__春秋战国
40	故知知一，则复归於 [朴] ，嗜欲易足，取养节薄，不可得也；离世自乐，中情洁白，不可量也；威不能惧，严不能恐，不可服也。		《吕氏春秋》__春秋战国
41	其民之敝，<舂心>而愚，乔而野， [朴] 而不文。		《礼记》__春秋战国
42	丹漆雕几之美，素车之乘， 尊其 [朴] 也，贵其质而已矣。		《礼记》__春秋战国
43	惑者狂者，木石之 [朴] 也，而道义未戴焉。”		《晏子春秋》__春秋战国
44	《诗》曰：‘        [朴] ，薪之☆之，济济辟王，左右趋之。		《晏子春秋》__春秋战国
45	○棫 [朴] 		《诗经》__周
46	芃芃棫 [朴] ，薪之之。		《诗经》__周
47	和之美者，阳 [朴] 之姜，招摇之桂，越骆之菌，鳖鲔之醢，大夏之盐，宰揭之露，其色如玉，长泽之卵。		《吕氏春秋》__春秋战国
48	十败：一佞人败 [朴] ，二谄言毁积，三阴资自举，四女货速祸，五比党不拣，六佞说鬻狱，七神龟败卜，八宾祭推谷，九忿言自辱，十异姓乱族。		《逸周书》__春秋战国
49	出而不言，遂如大台，执 [朴] 鞭其不务者，曰：“吾细人也，皆有盖庐，以避燥湿，君为壹台而不速成，何为？”		《晏子春秋》__春秋战国
50	材 [朴] 委积兮，莫知余之所有。		《楚辞》__春秋战国
51	“吾宁悃悃款款， [朴] 以忠乎？		《楚辞》__春秋战国
52	凡察车之道，欲其 [朴] 属而微至，不 [朴] 属。		《周礼》__春秋战国
53	恆秉季德，焉得夫 [朴] 牛？		《楚辞》__春秋战国
54	汉兴，破觚而为圜，斫雕而为 [朴] ，号为罔漏吞舟之鱼。		《汉书》__汉
55	是时，民 [朴] ，畏罪自重，而都独先严酷，致行法不避贵戚，列侯宗室见都侧目而视，号曰“苍鹰”。		《汉书》__汉
56	雕琢复 [朴] ，		《庄子》__春秋战国
57	夫残 [朴] 以为器，工匠之罪也；毁道德以为仁义，圣人之过也。		《庄子》__春秋战国
58	盗不起；焚符破玺，而民 [朴] 鄙；掊斗折衡，而民不争；殚残天下之圣		《庄子》__春秋战国
59	有间矣，而 [朴] 鄙之心至今未去。		《庄子》__春秋战国
60	夫明白入素，无为复 [朴] ，体性抱神，以游世俗之间者		《庄子》__春秋战国
61	吾子使天下无失其 [朴] 		《庄子》__春秋战国
62	黑白之 [朴] ，不足以为辩；名誉之		《庄子》__春秋战国
63	，兴治化之流，枭淳散 [朴] ，离道以善，险德以行，然后去性而从于心		《庄子》__春秋战国
