语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：来
2022/11/4 22:00:30

序号	语句	书名	朝代
1	余尚及闻前辈有歌绝句者，三十年 [来] 亦绝矣。		《钝吟杂录》__清
2	据这等听起 [来] ，虽那昆仑、古押衙、公孙大娘、线娘等辈，皆不足道也！		《儿女英雄》__清
3	见我性情合这事相近，闲 [来] 也指点我些刀法枪法，久之，就渐渐晓得了些道理。		《儿女英雄》__清
4	若论十八般兵器，我都算拿得起 [来] 。		《儿女英雄》__清
5	我可不是上山学艺，跟着离山老母学 [来] 的。”		《儿女英雄》__清
6	安公子说道∶“方才我看那些和尚都 [来] 得不弱，那个陀头尤其凶横异常，怎的姑娘你轻描淡写的就断送了他？		《儿女英雄》__清
7	今听如此说 [来] ，原 [来] 家学渊源，正所谓‘惟大英雄能本色，是真名士自风流了！”		《儿女英雄》__清
8	你我在悦 [来] 店怎的个遇见，怎的个情由，他三位无从晓得，也与他三位无干，此时不必饶舌。		《儿女英雄》__清
9	只是我临别的时节那等的嘱咐你，千万等我回 [来] 见面再走，你到底不候着我回店，索性等不到明日，仓猝而行，这怎么讲？		《儿女英雄》__清
10	是我拨刀相助，不但保全了他的英名， 还给他挣过一口大气 [来] 。		《儿女英雄》__清
11	安公子接着问道∶“姑娘既是位大家闺秀，怎生 [来] 得到此？”		《儿女英雄》__清
12	说 [来] 不怕你大家笑话，我活了十九岁，不知横针竖线，你就叫我钉外钮襻子，我不知从那头儿钉起。		《儿女英雄》__清
13	说着，向怀里掏出那封信 [来] ，递给公子。		《儿女英雄》__清
14	这也罢了，只是你又怎的会走到这庙里 [来] ？		《儿女英雄》__清
15	我本 [来] 的意思，原是得了那骡夫口里一个信息，要擎这注现成银子。		《儿女英雄》__清
16	后 [来] 听到他令尊的那番委屈，又与我父亲所遭的冤枉大略相同。		《儿女英雄》__清
17	’我明明听得那骡夫说不肯给你送这封信去请褚一官；况且那褚一官我也略晓得些消息，便去请他，他三五天里也 [来] 不了；到了他的娘子，你就等到一百年，也未必 [来] 的了。		《儿女英雄》__清
18	就让你在悦 [来] 店呆等，不致遭骡夫的毒手，你又怎生的到得淮安？		《儿女英雄》__清
19	原想等请了褚一官 [来] ，见了他再作道理。		《儿女英雄》__清
20	不想那去请褚一官的骡夫还不曾回 [来] ，那店主人便 [来] 说了许多的混账话，我益发怕将起 [来] 。		《儿女英雄》__清
21	正说着，两个骡夫回 [来] ，又备说那褚一官不能前 [来] ，请我今晚就在他家去住的话。		《儿女英雄》__清
22	不想将上那座高岭，又出桩岔事，连那不通人性的哑吧畜生也欺负起人 [来] ，忽然的一惊，就跑到此地。		《儿女英雄》__清
23	我今日因母亲的薪水不继，偶然出 [来] 走走。		《儿女英雄》__清
24	不想走到岔道口的山前，遇见两个人在那里说话，我骑着驴儿从旁经过，只听得一个道∶‘咱们有本事硬把他被套里的那二三千银子搬运过 [来] ，还不领他的情呢！		《儿女英雄》__清
25	与其等他搬运，我何不搬运 [来] 用用？		《儿女英雄》__清
26	因把牲口一带，绕到山后，要听听这桩事的方向 [来] 历。”		《儿女英雄》__清
27	说着，便把他怎的抱怨，怎的商量，怎的说不到二十八棵红柳树送信，回 [来] 怎的赚安公子出店上路，怎的到黑风岗要把他推落山涧，拐了银子逃走的话，说了一遍。		《儿女英雄》__清
28	此时把个姑娘怄得冒火，合他嚷道∶“是怎么下不 [来] ？		《儿女英雄》__清
29	想了半日，无法，只好作硬文章了，说∶“你就溺了，也得下炕 [来] ！”		《儿女英雄》__清
30	不想这句话一逼，人急智生，又逼出他一个见识 [来] 了。		《儿女英雄》__清
31	他见那姑娘催得紧急，便蹲在那排插的角落里，把裤子拧干，拉起衬衣裳的夹袄 [来] 擦了擦手，跳下炕 [来] 。		《儿女英雄》__清
32	但是，从炕上跳上那样大一个人 [来] ，再没说看不见的。		《儿女英雄》__清
33	那姑娘大马金刀的坐在上面，把眉一皱，说∶“你怎么这么俗啊，起 [来] ！”		《儿女英雄》__清
34	却说这位姑娘见张金凤问他的姓名 [来] 历，欲待不说，不但打不破张金凤这个疑团， 就连安公子直到此时也还不得知他是怎样一个人， 怎生一桩事。		《儿女英雄》__清
35	若此刻先对张金凤讲一番，回 [来] 又向安公子说一遍，又恐听书的道是重絮。		《儿女英雄》__清
36	迟了一会，依然不见下 [来] ，但听他咳了一声，说∶“了不得了！		《儿女英雄》__清
37	姑娘道∶“怎么又会下不 [来] 炕了呢？”		《儿女英雄》__清
