语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：极
2023/1/20 16:07:01

序号	语句	书名	朝代
1	此伏羲、神农、黄帝、尧、舜，所以继天立 [极] ，而司徒之职、典乐之官所由设也。		《大学中庸》__春秋战国
2	使其君子不幸而不得闻大道之要，其小人不幸而不得蒙至治之泽，晦盲否塞，反复沈痼，以及五季之衰，而坏乱 [极] 矣！		《大学中庸》__春秋战国
3	 [极] 知僭踰，无所逃罪，然于国家化民成俗之意、学者修己治人之方，则未必无小补云。		《大学中庸》__春秋战国
4	然以 [极] 刚治小邑，虽得其正，亦可吝矣。		《周易》__周
5	致，推 [极] 也。		《大学中庸》__春秋战国
6	推 [极] 吾之知识，欲其所知无不尽也。		《大学中庸》__春秋战国
7	穷至事物之理，欲其 [极] 处无不到也。		《大学中庸》__春秋战国
8	上则 [极] 乎暗矣，故为自伤其明以至于暗，而又足以伤人之明。		《周易》__周
9	是故君子无所不用其 [极] 。		《大学中庸》__春秋战国
10	 [极] 言其理		《周易》__周
11	是以大学始教，必使学者即凡天下之物，莫不因其已知之理而益穷之，以求至乎其 [极] 。		《大学中庸》__春秋战国
12	!睽孤，谓六三为二阳所制，而己以刚处明 [极] 睽 [极] 之地，又自猜很而乖离也。		《周易》__周
13	已在卦 [极] ，往无所之，益以蹇耳。		《周易》__周
14	察乘物之理，则四 [极] 可有。		《吕氏春秋》__春秋战国
15	其在诗曰：“嵩高唯岳，峻 [极] 于天。		《礼记》__春秋战国
16	 [极] 言而赞其大也。		《周易》__周
17	又以此 [极] 言赞益之大。		《周易》__周
18	是故圣王之德，融乎若日之始出， [极] 烛六合，而无所穷屈；昭乎若日之光，变化万物，而无所不行；神合乎太一，生无所屈，而意不可障；精通乎鬼神，深微玄妙。		《吕氏春秋》__春秋战国
19	帝、尧、舜，所以继天立 [极] ，而司徒之职、典乐之官所由设也。		《大学中庸》__春秋战国
20	泽，晦盲否塞，反覆沈痼，以及五季之衰，而坏乱 [极] 矣！		《大学中庸》__春秋战国
21	 [极] 知僭踰，无所逃罪，		《大学中庸》__春秋战国
22	是故，君子无所不用其 [极] 。		《大学中庸》__春秋战国
23	天下之地，方千里以为国，所以 [极] 治任也。		《吕氏春秋》__春秋战国
24	知之理而益穷之，以求至乎其 [极] 。		《大学中庸》__春秋战国
25	仲尼在陈，有隼 [极] 于陈侯之庭而死，☆矢贯之，石☆其长尺有咫。		《国语》__春秋战国
26	夫人心正意诚，乃能 [极] 中正之道，而充实光辉。		《周易》__周
27	阴柔小人，居穷 [极] 之时，党类已尽，无所号呼，终必有凶也。		《周易》__周
28	天閟毖我成功所，予不敢不 [极] 卒宁王图事。		《尚书》__周
29	天亦惟休于前宁人，予曷其 [极] 卜？		《尚书》__周
30	故圣人之事，广之则 [极] 宇宙，穷日月，约之则无出乎身者也。		《吕氏春秋》__春秋战国
31	 [极] 言其理而赞之。		《周易》__周
32	非以求远也，以鲁之密迩于齐，而又小国也；齐朝驾则夕 [极] 于鲁国，不敢惮其患，而与晋共其忧，亦曰：‘庶几有益于鲁国乎！		《国语》__春秋战国
33	初一曰五行，次二曰敬用五事，次三曰农用八政，次四曰协用五纪，次五曰建用皇 [极] ，次六曰乂用三德，次七曰明用稽疑，次八曰念用庶征，次九曰向用五福，威用六 [极] 。		《尚书》__周
34	五、皇 [极] ：皇建其有 [极] 。		《尚书》__周
35	惟时厥庶民于汝 [极] 。		《尚书》__周
36	锡汝保 [极] ：凡厥庶民，无有淫朋，人无有比德，惟皇作 [极] 。		《尚书》__周
37	以阴居升 [极] ，昏冥不已者也。		《周易》__周
38	不协于 [极] ，不罹于咎，皇则受之。		《尚书》__周
39	会其有 [极] ，归其有 [极] 。		《尚书》__周
40	曰：皇， [极] 之敷言，是彝是训，于帝其训，凡厥庶民， [极] 之敷言，是训是行，以近天子之光。		《尚书》__周
41	一 [极] 备，凶；一 [极] 无，凶。		《尚书》__周
42	六 [极] ：一曰凶、短、折，二曰疾，三曰忧，四曰贫，五曰恶，六曰弱。		《尚书》__周
43	困 [极] ，故有困于葛藟，于臬危兀危，曰动悔之象。		《周易》__周
44	 [极] 言而赞其大也。		《周易》__周
45	公曰：“前人敷乃心，乃悉命汝，作汝民 [极] 。		《尚书》__周
46	创钜者其日久，痛甚者其愈迟，三年者，称情而立文， 所以为至痛 [极] 也。		《礼记》__春秋战国
47	儒有委之以货财，淹之以乐好，见利不亏其义；劫之以众，沮之以兵，见死 不更其守；鸷虫攫搏不程勇者，引重鼎不程其力；往者不悔，来者不豫；过言不 再，流言不 [极] ；不断其威，不习其谋。		《礼记》__春秋战国
48	内者量吾谋臣，外者 [极] 吾 兵力。		《韩非子》__春秋战国
49	今我民用荡析离居，罔有定 [极] ，尔谓朕曷震动万民以迁？		《尚书》__周
50	虚处则惊，若居湿地，著而不去，以 [极] 走，则发矣。		《韩非子》__春秋战国
51	诸候兵困力 [极] ，无祭奈何，诸候兵罢。		《韩非子》__春秋战国
