语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：树
2023/1/20 16:05:45

序号	语句	书名	朝代
1	夫坚 [树] 在始，始不固本，终必槁落。		《国语》__春秋战国
2	故圣人作诲男耕稼 [树] 艺。		《墨子》__春秋战国
3	旌别淑慝，表厥宅里，彰善瘅恶， [树] 之风声。		《尚书》__周
4	葵丘之会，陈牲而不杀，读书加于牲上，壹明天子之禁，曰：“毋雍泉，毋讫籴，毋易 [树] 子，毋以妾为妻，毋使妇人与国事！”		《榖梁传》__春秋战国
5	今也农夫之所以蚤出暮入强乎耕稼 [树] 艺。		《墨子》__春秋战国
6	农夫必怠乎耕稼 [树] 艺矣。		《墨子》__春秋战国
7	明王奉若天道，建邦设都， [树] 后王君公，承以大夫师长，不惟逸豫，惟以乱民。		《尚书》__周
8	为人臣者尽民力以美宫室台池，重赋敛以饰子女狗马，以娱其主而乱其心，从其所欲，而 [树] 私利其间，此谓“养殃”。		《韩非子》__春秋战国
9	乃命建侯 [树] 屏，在我后之人。		《尚书》__周
10	孔子明帝王之道，应时君之聘，伐 [树] 于宋，削迹于 卫，穷于商周，围于陈蔡，受屈于季氏，见辱于阳虎，戚戚然以至于死：此天民 之遑遽者也。		《列子》__春秋战国
11	种类不寿，主数即世， 婴兒为君，大臣专制， [树] 羁旅以为党，数割地以待交者，可亡也。		《韩非子》__春秋战国
12	故水郁则为污， [树] 郁则为蠹，草郁则为蒉。		《吕氏春秋》__春秋战国
13	三曰：今夫龠蝉者，务在乎明其火、振其 [树] 而已。		《吕氏春秋》__春秋战国
14	火不明，虽振其 [树] ，何益？		《吕氏春秋》__春秋战国
15	山有苞棣，隰有 [树] 檖。		《诗经》__周
16	禹东至榑木之地，日出九津，青羌之野，攒 [树] 之所，扌昬天之山，鸟谷、青丘之乡，黑齿之国；南至交址、孙朴续樠之国，丹粟漆 [树] 沸水漂漂九阳之山，羽人、裸民之处，不死之乡；西至三危之国，巫山之下，饮露吸气之民，积金之山，其肱、一臂、三面之乡；北至人正之国，夏海之穷，衡山之上，太戎之国，夸父之野，禺强之所，积水、积石之山。		《吕氏春秋》__春秋战国
17	人有枯梧 [树] 者，其邻父言枯梧之 [树] 不祥。		《列子》__春秋战国
18	珠玕之 [树] 皆丛生， 华实皆有滋味，食之皆不老不死。		《列子》__春秋战国
19	吴楚之国有大木焉， 其名为櫾，碧 [树] 而冬生，实丹而味酸。		《列子》__春秋战国
20	方百里之地 [树] 表相望者丈夫走过妇人备食，		《管子》__春秋战国
21	言 [树] 之背。		《诗经》__周
22	趣，七 [树] 反。		《周易》__周
23	宫中四荣 [树] 其馀曰害女功，		《管子》__春秋战国
24	民之能 [树] 瓜夸荤菜百果使蕃者，		《管子》__春秋战国
25	 [树] 之榛栗，椅桐梓漆，爰伐琴桑		《诗经》__周
26	此大地之所以分坏 [树] 谷也，		《管子》__春秋战国
27	古之葬者，厚衣之以薪，葬之中野，不封不 [树] ，丧期无数，后世圣人易之以棺椁，盖取诸		《周易》__周
28	请刈其莞而 [树] 之吾谨逃其蚤牙，		《管子》__春秋战国
29	请问有时而变乎是故天子之为国图具其 [树] 物也。		《管子》__春秋战国
30	将仲子兮，无逾我里，无折我 [树] 杞。		《诗经》__周
31	将仲子兮，无逾我墙，无折我 [树] 桑。		《诗经》__周
32	将仲子兮，无逾我园，无折我 [树] 檀。		《诗经》__周
33	夫子曰：‘断一 [树] ，杀一兽，不 以其时，非孝也。		《礼记》__春秋战国
34	，主 [树] 反。		《周易》__周
35	一曰长曰二曰飞耳三曰 [树] 明，		《管子》__春秋战国
36	乐彼之园，爰有 [树] 檀，其下		《诗经》__周
37	乐彼之园，爰有 [树] 檀，其下		《诗经》__周
38	其於物也，不可得之为欲，不可足之为求，大失生本；民人怨谤，又 [树] 大雠；意气易动，跷然不固；矜势好智，胸中欺诈；德义之缓，邪利之急。		《吕氏春秋》__春秋战国
39	古之葬者，厚衣之以薪，葬之中野，不封不 [树] ，丧期无数。		《周易》__周
40	神农作 [树] 五谷于淇山之阳，		《管子》__春秋战国
41	曰：“邦君 [树] 塞门，管氏亦 [树] 塞门。		《论语》__春秋战国
42	荏染柔木，君子 [树] 之。		《诗经》__周
43	一曰长目，二曰飞耳，三曰 [树] 明。		《鬼谷子》__春秋战国
44	治唐圃，疾灌浸，务种 [树] ；织葩屦，结罝网，捆蒲苇；之田野，力耕耘，事五谷；如山林，入川泽，取鱼鳖，求鸟兽。		《吕氏春秋》__春秋战国
45	设业设虡，崇牙 [树] 羽。		《诗经》__周
46	台门而旅 [树] ，反坫，绣黼，丹朱中衣，大夫之僭礼也。		《礼记》__春秋战国
47	天子 [树] 瓜华，不敛藏之种也。”		《礼记》__春秋战国
48	今夫麰麦，播种而櫌之，其地同， [树] 之时又同，浡然而生，至于日至之时，皆孰矣。		《孟子》__春秋战国
49	 [树] 相近而靡，或軵之也。		《吕氏春秋》__春秋战国
50	初命曰，诛不孝，无易 [树] 子，无以妾为妻。		《孟子》__春秋战国
51	三曰：世之为丘垄也，其高大若山，其 [树] 之若林，其设阙庭、为宫室、造宾阼也若都邑。		《吕氏春秋》__春秋战国
52	尧葬於谷林，通 [树] 之；舜葬於纪市，不变其肆，禹葬於会稽，不变人徒。		《吕氏春秋》__春秋战国
53	今有 [树] 於此，而欲其美也，人时灌之，则恶之，而日伐其根，则必无活 [树] 矣。		《吕氏春秋》__春秋战国
54	孔子曰：“管仲镂簋而朱，旅 [树] 而反坫，山节而藻。		《礼记》__春秋战国
55	孔子拔 [树] 削迹，不自以为辱；穷陈蔡，不自以为约；非人不得其故，是犹泽人之非斤斧，山人之非网罟也。		《晏子春秋》__春秋战国
56	五亩之宅， [树] 墙下以桑，匹妇蚕之，则老者足以衣帛矣。		《孟子》__春秋战国
57	所谓西伯善养老者，制其田里，教之 [树] 畜，导其妻子使养其老。		《孟子》__春秋战国
58	人道敏政，地道敏 [树] 。		《礼记》__春秋战国
59	四鍭如 [树] ，序宾以不侮。		《诗经》__周
60	阳毕对曰：“本根犹 [树] ，枝叶益长，本根益茂，是以难已也。		《国语》__春秋战国
61	’此离 [树] 别党，倾国之道也，婴不敢受命，愿君图之！”		《晏子春秋》__春秋战国
62	长少无等，宗孽无别，是设贼 [树] 奸之本也。		《晏子春秋》__春秋战国
63	五亩之宅， [树] 之以桑，五十者可以衣帛矣。		《孟子》__春秋战国
64	故鲁犹可长守，然其亦有一焉，彼邹藤雉奔而出其地，犹称公侯，大之事小，弱之事强久矣，彼周者，殷之 [树] 国也，鲁近齐而亲殷，以变小国，而不服于邻，以远望鲁，灭国之道也。		《晏子春秋》__春秋战国
65	“《周制》有之曰：‘列 [树] 以表道，立鄙食以守路，国有郊牧，疆有寓望，薮有圃草，囿有林池，所以御灾也，其余无非谷土，民无悬耜，野无奥草。		《国语》__春秋战国
