语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：次
2022/7/10 23:07:04

序号	语句	书名	朝代
1	蔡溃，遂伐楚， [次] 于陉。		《春秋》__周
2	言救后 [次] ，非救也。		《榖梁传》__春秋战国
3	实始尊信此篇而表章之，既又为之 [次] 其简编，发其归趣，然后古者大学教人之法、圣经贤传之指，粲然复明于世。		《大学中庸》__春秋战国
4	商之兴也，☆杌 [次] 于丕山，其亡也，夷羊在牧，周之兴也，☆☆鸣于岐山，其衰也，杜伯射王于☆，是皆明神之志者也。”		《国语》__春秋战国
5	“惟时羲和颠覆厥德，沈乱于酒，畔官离 [次] ，俶扰天纪，遐弃厥司，乃季秋月朔，辰弗集于房，瞽奏鼓，啬夫驰，庶人走，羲和尸厥官罔闻知，昏迷于天象，以干先王之诛，《政典》曰：‘先时者杀无赦，不及时者杀无赦。		《尚书》__周
6	旧本颇有错简，今因程子所定，而更考经文，别为序 [次] 如左。		《大学中庸》__春秋战国
7	齐师、宋师、曹师 [次] 于聂北，救邢。		《榖梁传》__春秋战国
8	救不言 [次] ，言 [次] 非救也。		《榖梁传》__春秋战国
9	故可以为文，可以为武，可以摈相，可以治军旅，完且弗费，善衣之 [次] 也。		《礼记》__春秋战国
10	有司曰：“夫宗庙之有昭穆也，以 [次] 世之长幼，而等胄之亲疏也。		《国语》__春秋战国
11	实始尊信此篇而表章之，既又为之 [次] 其简编，发其归趣，然后古者大学教人之法、圣		《大学中庸》__春秋战国
12	错简，今因程子所定，而更考经文，别为序 [次] 如左。		《大学中庸》__春秋战国
13	今有司来命易臣之怂与其车服，而曰：‘将易而 [次] ，为宽利也。		《国语》__春秋战国
14	故大者陈之原野，小者致之市朝，五刑三 [次] ，是无隐也。		《国语》__春秋战国
15	臣立先臣之署，服其车服，为利故而易其 [次] ，是辱君命也。		《国语》__春秋战国
16	若罪也，则请纳禄与车服而违署，唯里人所命 [次] 。”		《国语》__春秋战国
17	请从司徒以班徙 [次] 。”		《国语》__春秋战国
18	对曰：“夫位，政之建也；署，位之表也；车服，表之章也；宅章之 [次] 也；禄， [次] 之食也。		《国语》__春秋战国
19	九四，臀无肤，其行 [次] 且；牵羊悔亡，闻言不信。		《周易》__周
20	 [次] ，七私反。		《周易》__周
21	《象》曰：“其行 [次] 且”，位不当也。“		《周易》__周
22	九三，臀无肤，其行 [次] 且，厉，无大咎。		《周易》__周
23	《象》曰：“其行 [次] 且”，行未牵也。		《周易》__周
24	遂伐楚， [次] 于陉。		《榖梁传》__春秋战国
25	 [次] ，止也。		《榖梁传》__春秋战国
26	我先君襄公不敢宁处，使叔孙豹悉帅敝赋，☆☆毕行，无有处人，以从军吏， [次] 于雍渝，与邯郸胜击齐之左，掎止晏莱焉，齐师退而后敢还。		《国语》__春秋战国
27	大辂在宾阶面，缀辂在阼阶面，先辂在左塾之前， [次] 辂在右塾之前。		《尚书》__周
28	父不为众子 [次] 于外。		《礼记》__春秋战国
29	初一曰五行， [次] 二曰敬用五事， [次] 三曰农用八政， [次] 四曰协用五纪， [次] 五曰建用皇极， [次] 六曰乂用三德， [次] 七曰明用稽疑， [次] 八曰念用庶征， [次] 九曰向用五福，威用六极。		《尚书》__周
30	遂 [次] 于匡。		《榖梁传》__春秋战国
31	 [次] ，止也，有畏也。		《榖梁传》__春秋战国
32	父不 [次] 于子，兄不 [次] 于弟。		《礼记》__春秋战国
33	察 [次] 山此因至优指复。		《墨子》__春秋战国
34	君利势也， [次] 官也。		《吕氏春秋》__春秋战国
35	处 [次] 官，执利势，不可而不察於此。		《吕氏春秋》__春秋战国
36	楚子、蔡侯 [次] 于厥貉。		《榖梁传》__春秋战国
37	奉养之余，先散之宗族；宗族之余，  [次] 散之邑里；邑里之余，乃散之一国。		《列子》__春秋战国
38	赵亡，则二君为之 [次] 。”		《韩非子》__春秋战国
