语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：欲
2022/11/6 16:05:19

序号	语句	书名	朝代
1	却说这位姑娘见张金凤问他的姓名来历， [欲] 待不说，不但打不破张金凤这个疑团， 就连安公子直到此时也还不得知他是怎样一个人， 怎生一桩事。		《儿女英雄》__清
2	陶氏见媳妇两眼定了，神色如狂，走向观音佛前，口便哼哼道：“是我心最毒，只为贪淫好色， [欲] 药死婆婆，与何敬山结永远私好。		《风流悟》__清
3	今日 [欲] 与你算算，连本利还我罢。”		《风流悟》__清
4	世高缓步而入，觉绿槐修竹，清阴 [欲] 滴，池内莲花馥郁，分外可人。		《风流悟》__清
5	世高 [欲] 进不敢，只得缓步而出，意 [欲] 访问邻家，又不好轻易问得。		《风流悟》__清
6	侯不多时，只听得墙头上果有秋千索放过来，施十娘扶了文生，文生吊住索子，扒上墙头，慌慌张张攀着一枯树枝，正 [欲] 跨到石上，不料那枯枝一断，从空倒跌在石峰上，立时丧命。		《风流悟》__清
7	小姐见文生已上墙头，正 [欲] 相迎，忽然跌下，竟不动了。		《风流悟》__清
8	 [欲] 待救他，又无计策，只得又去口鼻边摸一摸，气息全无，身上愈冷了。		《风流悟》__清
9	见小姐不能回生，便 [欲] 再寻死地。		《风流悟》__清
10	刘万户 [欲] 进不能，暂羁吴门。		《风流悟》__清
11	小姐听得母亲也在这里，急 [欲] 上前一见。		《风流悟》__清
12	刘万户恐王命久羁，急于趋赴，遂携了夫人、女儿同上京师，文生亦 [欲] 同行，怎奈丈人是个极势利的老花脸儿，竟弃逐文生，不许同往。		《风流悟》__清
13	只见那船中那个妇人，牡丹头，白春罗细堆纱花的袄儿，臂上金镯露出，两个丫环扶着， [欲] 起船来，见岸上人太多，道：“不要上岸了，等人散一散再处。”		《风流悟》__清
14	他一个人独办，自然更可以肆无忌惮，任所 [欲] 为。		《官场现形》__清
15	正 [欲] 请教，也求一斗方录上。”		《风流悟》__清
16	却说妙能一头睡，一头想道：“这张同人是年少秀才，且又乖巧，我本 [欲] 留他房里谈谈，只是妙有在此不雅相。		《风流悟》__清
17	看官们听说，大凡人 [欲] 心一动，不是跳虱叮，就是老鼠响，再也睡不着了。		《风流悟》__清
18	怎生公然说‘我翁即而翁，而 [欲] 烹而翁，请分我一杯羹’？		《儿女英雄》__清
19	是日考过了，正 [欲] 归家，只见宗师又挂一牌道：		《风流悟》__清
20	这公子 [欲] 待不进去，行李、银子都在屋里， 实在不放心；  [欲] 待进去，合他说些甚么？		《儿女英雄》__清
21	当此日， [欲] 将已往所赖天恩祖德，锦衣纨绔之时，饫甘餍肥之日，背父兄教育之恩，负师友规训之德，以致今日一技无成、半生潦倒之罪，编述一集，以告天下；知我之负罪固多，然闺阁中历历有人，万不可因我之不肖，自护己短，一并使其泯灭也。		《红楼梦(上)》__清
22	正 [欲] 细看时，那僧便说“已到幻境”，就强从手中夺了去，和那道人竟过了一座大石牌坊，上面大书四字，乃是“太虚幻境”。		《红楼梦(上)》__清
23	方 [欲] 进来时，只见从那边来了一僧一道。		《红楼梦(上)》__清
24	那甄家丫鬟掐了花儿方 [欲] 走时，猛抬头见窗内有人：敝巾旧服，虽是贫窘，然生得腰圆背厚，面阔口方，更兼剑眉星眼，直鼻方腮。		《红楼梦(上)》__清
25	见他生得聪明俊秀，也 [欲] 使他识几个字，不过假充养子，聊解膝下荒凉之叹。		《红楼梦(上)》__清
26	且说贾雨村在旅店偶感风寒，愈后又因盘费不继，正 [欲] 得一个居停之所以为息肩之地。		《红楼梦(上)》__清
27	雨村道：“去岁我到金陵时，因 [欲] 游览六朝遗迹，那日进了石头城，从他宅门前经过。		《红楼梦(上)》__清
28	正 [欲] 躬赍至寨，适遇尊伙出猎时到，幸检收。		《风流悟》__清
29	方 [欲] 走时，忽听得后面有人叫道：“雨村兄恭喜了！		《红楼梦(上)》__清
30	那女学生原不忍离亲而去，无奈他外祖母必 [欲] 其往，且兼如海说：“汝父年已半百，再无续室之意，且汝多病，年又极小，上无亲母教养，下无姊妹扶持。		《红楼梦(上)》__清
31	黛玉知是外祖母了，正 [欲] 下拜，早被外祖母抱住，搂入怀中，“心肝儿肉”叫着大哭起来。		《红楼梦(上)》__清
32	人分男女 [欲] 偏存，漫道风流不可言。		《风流悟》__清
33	又曰：“饮食男女，人之大 [欲] 存焉。”		《风流悟》__清
34	可见男女之 [欲] ，人有同心。		《风流悟》__清
35	即如文王， [欲] 配后妃，而未得的时节，至寤寐思服，辗转反侧，这不是男相思的领袖。		《风流悟》__清
36	若无才貌之男，无才色之女，亦 [欲] 效颦而为，反侧思服之态，这直谓之浪荡了。		《风流悟》__清
37	故在下今述一佳人才子，慕而即得，不必相思，而能畅其所 [欲] 的，为看官们解一怀抱。		《风流悟》__清
38	吉光笑道：“当真要试，我这里有个试的所在，似三位美貌，早晚出入要小心，不要在街坊幽僻处闯一闯，就要闯入迷魂阵里去，就 [欲] 出而不能了哩。”		《风流悟》__清
39	原来广西风俗，孀妇通谓之鬼妻，即 [欲] 转嫁，再无人要的。		《风流悟》__清
40	 [欲] 作胜花妆，从郎索红粉。		《风流悟》__清
41	 [欲] 共作缠绵，从郎索花枕。		《风流悟》__清
42	雨村详加审问，果见冯家人口稀少，不过赖此 [欲] 得些烧埋之银；薛家仗势倚情，偏不相让，故致颠倒未决。		《红楼梦(上)》__清
43	薛姨妈正 [欲] 同居一处，方可拘紧些儿，若另在外边，又恐纵性惹祸，遂忙应允。		《红楼梦(上)》__清
44	只是薛蟠起初原不 [欲] 在贾府中居住，生恐姨父管束不得自在；无奈母亲执意在此，且贾宅中又十分殷勤苦留，只得暂且住下，一面使人打扫出自家的房屋再移居过去。		《红楼梦(上)》__清
45	一时宝玉倦怠， [欲] 睡中觉。		《红楼梦(上)》__清
46	仙袂乍飘兮，闻麝兰之馥郁；荷衣 [欲] 动兮，听环珮之铿锵。		《红楼梦(上)》__清
47	蛾眉 [欲] 颦兮，将言而未语；莲步乍移兮， [欲] 止而仍行。		《红楼梦(上)》__清
48	其断语云： [欲] 洁何曾洁？		《红楼梦(上)》__清
49	后面忽画一恶狼，追扑一美女， [欲] 啖之意。		《红楼梦(上)》__清
50	 [欲] 知前世因，今生受者是； [欲] 知后世因，今生作者是。		《风流悟》__清
51	宝玉还 [欲] 看时，那仙姑知他天分高明、性情颖慧，恐泄漏天机，便掩了卷册笑向宝玉道：“且随我去游玩奇景，何必在此打这闷葫芦？”		《红楼梦(上)》__清
52	宝玉听如此说，便吓的 [欲] 退不能，果觉自形污秽不堪。		《红楼梦(上)》__清
53	今日原 [欲] 往荣府去接绛珠，适从宁府经过，偶遇宁荣二公之灵，嘱吾云：‘吾家自国朝定鼎以来，功名奕世，富贵流传，已历百年。		《红楼梦(上)》__清
54	真娘走出丽春院栅门，又有一个丫环道：“我们娘娘闻得元相公回去，并 [欲] 寄语世间，乞借一步。”		《风流悟》__清
55	且 [欲] 厌其 [欲] 心，以消其帝王之福，因拜唐宗为父，拜妾为母。		《风流悟》__清
56	 [欲] 知命短问前生，老来富贵也真侥幸，看破的遁入空门，痴迷的枉送了性命。		《红楼梦(上)》__清
57	因对山右玉道：“二弟你去扰了他，我极 [欲] 去，因头尚疼痛，为我多多致谢罢。”		《风流悟》__清
58	接着一连又是八九下， [欲] 待问时，只见小丫头们一齐乱跑，说：“奶奶下来了。”		《红楼梦(上)》__清
59	一面说，一面抬身要茶时，只见周瑞家的已带了两个人立在面前了，这才忙 [欲] 起身、犹未起身，满面春风的问好，又嗔着周瑞家的：“怎么不早说！”		《红楼梦(上)》__清
60	略待半刻，见王夫人无话，方 [欲] 退出去，薛姨妈忽又笑道：“你且站住。		《红楼梦(上)》__清
61	冒得官一见女儿应允，心上暗自欢喜，便做出假 [欲] 呕吐之状，吊了几个干恶心，吐出了些白痰。		《官场现形》__清
62	刚 [欲] 往秋爽斋这条路来，只听唿唿的一声风过，吹的那树枝上落叶，满园中唰喇喇的作响，枝梢上吱娄娄的发哨，将那些寒鸦宿鸟都惊飞起来。		《红楼梦(下)》__清
63	独是宝玉要人即刻送信给贾母， [欲] 叫拦阻。		《红楼梦(下)》__清
64	再细想来：“如今不过这几个人，尚不能应酬妥协，将来犹 [欲] 何为？”		《红楼梦(上)》__清
65	黛玉听了，就 [欲] 回去，袭人笑道：“姑娘请站着，有一个字帖儿，瞧瞧写的是什么话。”		《红楼梦(上)》__清
66	 [欲] 知明日讲解何如，且听下回分解。		《红楼梦(下)》__清
