语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：此
2023/1/20 16:03:22

序号	语句	书名	朝代
1	云何行，便於 [此] 间见十方无数佛士，其中人民天龙鬼神及蠕动之类，善恶归趣皆了知？		《佛说般舟》__汉
2	前公主在乌孙四十余年，恩爱不亲密，边竟未得安， [此] 已事已验也。		《汉书》__汉
3	少主不止，徭役将兴，其原起 [此] 。”		《汉书》__汉
4	匈奴将即其城下谓吉曰：“单于必争 [此] 地，不可田也。”		《汉书》__汉
5	姑句家矛端生火，其妻股紫陬谓姑句曰：“矛端生火， [此] 兵气也，利以用兵。		《汉书》__汉
6	贤佞分别，官人有序，帅由旧章，敬重功勋，殊别適庶，如 [此] 则火得其性矣。		《汉书》__汉
7	淮南、杜钦、扬雄之论，皆以为 [此] 天地所以界别区域，绝外内也。		《汉书》__汉
8	若曰，妾何为 [此] 宫！		《汉书》__汉
9	 [此] 谓平土可以为法者也。		《汉书》__汉
10	邻长位下士，自 [此] 以上，稍登一级，至乡而为卿也。		《汉书》__汉
11	又曰：“十月蟋蟀，入我床下”，“嗟我妇子，聿为改岁，入 [此] 室处。”		《汉书》__汉
12	 [此] 先王制土处民，富而教之之大略也。		《汉书》__汉
13	孔子曰：“苟有用我者，期月而已可也，三年有成”，成 [此] 功也。		《汉书》__汉
14	三考黜陟，余三年食，进业曰登；再故曰“如有王者，必世而后仁”，繇 [此] 道也。		《汉书》__汉
15	不幸疾病死丧之费，及上赋敛，又未与 [此] 。		《汉书》__汉
16	 [此] 农夫所以常困，有不劝耕之心，而令籴至于甚贵者也。		《汉书》__汉
17	可以为富安天下，而直为 [此] 廪廪也，窃为陛下惜之！		《汉书》__汉
18	 [此] 令臣轻背其主，而民易去其乡，盗贼有所劝，亡逃者得轻资也。		《汉书》__汉
19	勤苦如 [此] ，尚复被水旱之灾，急政暴赋，赋敛不时，朝令而暮当具。		《汉书》__汉
20	 [此] 商人所以兼并农人，农人所以流亡者也。		《汉书》__汉
21	如 [此] ，富人有爵，农民有钱，粟有所渫。		《汉书》__汉
22	令民入粟受爵至五大夫以上，乃复一人耳， [此] 其与骑马之功相去远矣。		《汉书》__汉
23	如 [此] ，德泽加于万民，民俞勤农。		《汉书》__汉
24	董仲舒说上曰：“《春秋》它谷不书，至于麦禾不成则书之，以 [此] 见圣人于五谷最重麦与禾也。		《汉书》__汉
25	太子殊无意于五人者，不得已于皇后，强应曰：“ [此] 中一人可。”		《汉书》__汉
26	上曰：“ [此] 小事，何须关大将军？”		《汉书》__汉
27	其见惮如 [此] 。		《汉书》__汉
28	 [此] 正义善事，当有祥瑞，何故致灾异？		《汉书》__汉
29	 [此] 三者皆大事，陛下所自见，足以知其余，及它所不见者。		《汉书》__汉
30	无一功善，阴阳不调，灾异数见，咎在臣凤奉职无状， [此] 臣一当退也。		《汉书》__汉
31	《五经》传记，师所诵说，咸以日蚀之咎在于大臣非其人，《易》曰‘折其右肱’， [此] 臣二当退也。		《汉书》__汉
32	河平以来，臣久病连年，数出在外，旷职素餐， [此] 臣三当退也。		《汉书》__汉
33	其奢僭如 [此] 。		《汉书》__汉
34	其欲得太后意如 [此] 。		《汉书》__汉
35	人如 [此] 者，狗猪不食其余，天下岂有而兄弟邪！		《汉书》__汉
36	且若自以金匮符命为新皇帝，变更正朔服制，亦当自更作玺，传之万世，何用 [此] 亡国不详玺为，而欲求之？		《汉书》__汉
37	我汉家老寡妇，旦暮且死，欲与 [此] 玺俱葬，终不可得！”		《汉书》__汉
38	太后曰：“ [此] 言是也！”		《汉书》__汉
39	莽因曰：“ [此] 悖德之臣也，罪当诛！”		《汉书》__汉
40	既至，见孝元庙废彻涂地，太后惊，泣曰：“ [此] 汉家宗庙，皆有神灵，与何治而坏之！		《汉书》__汉
41	私谓左右曰：“ [此] 人嫚神多矣，能久得晁乎！”		《汉书》__汉
42	由是观之，在彼不在 [此] 。		《汉书》__汉
43	太后闻之，赐都金百斤，上亦赐金百斤，由 [此] 重都。		《汉书》__汉
44	匈奴至为偶人象都，令骑驰射，莫能中，其见惮如 [此] 。		《汉书》__汉
45	始前数都尉步入府，因吏谒守如县令，其畏都如 [此] 。		《汉书》__汉
46	与张汤论定律令，作见知，吏传相监司以法，尽自 [此] 始。		《汉书》__汉
47	其暴如 [此] 。		《汉书》__汉
48	上怒曰：“纵以我为不行 [此] 道乎？”		《汉书》__汉
49	至冬，杨可方受告缗，纵以为 [此] 乱民，部吏捕其为可使者。		《汉书》__汉
50	 [此] 人虽有百罪，弗法；即有避回，夷之，亦灭宗。		《汉书》__汉
51	其好杀行威不爱人如 [此] 。		《汉书》__汉
52	其治中尉如 [此] 。		《汉书》__汉
53	推 [此] 心以在外，江海之间可得信乎！		《汉书》__汉
54	霍将军召问延年，欲为道地，延年抵曰：“本出将军之门，蒙 [此] 爵位，无有是事。”		《汉书》__汉
55	浸浸日多，道路张弓拔刃，然后敢行，其乱如 [此] 。		《汉书》__汉
56	延年已知其如 [此] 矣。		《汉书》__汉
57	愿次卿少缓诛罚，思行 [此] 术。”		《汉书》__汉
58	河南界中又有蝗虫，府丞义出行蝗，还见延年，延年曰：“ [此] 蝗岂凤皇食邪？”		《汉书》__汉
59	寿昌安得权 [此] ？”		《汉书》__汉
60	会琅邪太守以视事久病，满三月免，延年自知见废，谓丞曰：“ [此] 人尚能去官，我反不能去邪？”		《汉书》__汉
61	事下御史丞按验，有 [此] 数事，以结延年，坐怨望非谤政治不道弃市。		《汉书》__汉
62	二月，诏丞相、御史举质朴敦厚逊让有行者，光禄岁以 [此] 科第郎、从宫。		《汉书》__汉
63	由 [此] 观之，元元何辜？		《汉书》__汉
64	咎至于 [此] ，朕甚自耻。		《汉书》__汉
65	 [此] 天下所著闻也。		《汉书》__汉
66	‘今 [此] 下民，亦孔之哀！		《汉书》__汉
67	‘民亦劳止，迄可小康，惠 [此] 中国，以绥四方。		《汉书》__汉
68	于《易》，“坎”为水，为中男，“离”为火，为中女，盖取诸 [此] 也。		《汉书》__汉
69	董仲舒、刘向以为 [此] 皆奢僭过度者也。		《汉书》__汉
70	董仲舒、刘向以为 [此] 二宫不当立，违礼者也。		《汉书》__汉
71	已见罪征，而后告可去， [此] 天意也。		《汉书》__汉
72	 [此] 天意也。		《汉书》__汉
73	征和二年春，涿郡铁官铸铁，铁销，皆飞上去， [此] 火为变使之然也。		《汉书》__汉
74	故禹卑宫室，文王刑于寡妻， [此] 圣人之所以昭教化也。		《汉书》__汉
75	如 [此] 则土得其性矣。		《汉书》__汉
76	如 [此] 则金得其性矣。		《汉书》__汉
77	 [此] 圣王所以顺事阴气，和神人也。		《汉书》__汉
78	如 [此] 则水得其性矣。		《汉书》__汉
79	董仲舒、刘向以为，时成幼弱，政在大夫，前 [此] 一年再用师，明年复城郓以强私家，仲孙蔑、叔孙侨和颛会宋、晋，阴胜阳。		《汉书》__汉
80	其伏见蚤晚，邪正存亡，虚实阔狭，及五星所行，合散犯守，陵历斗食，彗孛飞流，日月薄食，晕适背穴，抱珥虹蜺，迅雷风袄，怪云变气： [此] 皆阴阳之精，其本在地，而上发于天者也。		《汉书》__汉
81	政失于 [此] ，则变见于彼，犹景之象形，乡之应声。		《汉书》__汉
82	自文王受命而至 [此] 十三年，岁亦在鹑火，故《传》曰：“岁在鹑火，则我有周之分野也。”		《汉书》__汉
83	成王元年正月己巳朔， [此] 命伯禽俾侯于鲁之岁也。		《汉书》__汉
84	 [此] 元年上距伐纣四百岁。		《汉书》__汉
85	子犯曰：“天赐也，后十二年，必获 [此] 土。		《汉书》__汉
86	亡闰而置闰，又不告朔，故《经》曰“闰月不告朔”，言亡 [此] 月也。		《汉书》__汉
87	其四星亦略如 [此] 。		《汉书》__汉
88	《诗》云：“彼月而食，则惟其常； [此] 日而食，于何不臧？”		《汉书》__汉
89	 [此] 四星所出非其方，其下有兵，冲不利。		《汉书》__汉
90	 [此] 星见，起兵。		《汉书》__汉
91	 [此] 日去极远近之差，晷景长短之制也。		《汉书》__汉
92	 [此] 寒奥之表也，故曰为寒暑。		《汉书》__汉
93	日东行，星西转，冬至昏，奎八度中；夏至，氐十三度中；春分，柳一度中；秋分，牵牛三度七分中； [此] 其正行也。		《汉书》__汉
94	 [此] 三律之谓矣，是为三统。		《汉书》__汉
95	 [此] 黄钟至尊，亡与并也。		《汉书》__汉
96	繇 [此] 之义，起十二律之周径。		《汉书》__汉
97	诸 [此] 云见，以五色占。		《汉书》__汉
98	 [此] 阴阳合德，气钟于子，化生万物者也。		《汉书》__汉
99	 [此] 其大经也。		《汉书》__汉
100	夫天运三十岁一小变，百年中变，五百年大变，三大变一起，三纪而大备， [此] 其大数也。		《汉书》__汉
101	 [此] 高皇帝受命之符也。		《汉书》__汉
102	 [此] 明岁星之崇义，东井为秦之地明效也。		《汉书》__汉
103	 [此] 衡在前居南方之义也。		《汉书》__汉
104	天文以东行为顺，西行为逆， [此] 大臣欲行权以安社稷。		《汉书》__汉
105	自文公闰月不告朔，至 [此] 百有余年，莫能正历数。		《汉书》__汉
106	上信之，粤祠鸡卜自 [此] 始用。		《汉书》__汉
107	占曰：“东方客之变气，状如树木，以 [此] 知四方欲动者。”		《汉书》__汉
108	文公问史敦，敦曰：“ [此] 上帝之征，君其祠之”。		《汉书》__汉
109	由 [此] 言之，则支阝、梁、丰、镐之间周旧居也，固宜有宗庙、坛场祭祀之臧。		《汉书》__汉
110	今鼎出于支阝东，中有刻书曰：王命尸臣‘官 [此] 栒邑，赐尔旂鸾、黼黻、雕戈。		《汉书》__汉
111	’臣愚不足以迹古文，窃以传记言之， [此] 鼎殆周之所以褒赐大臣，大臣子孙刻铭其先功，臧之于宫庙也。		《汉书》__汉
112	雍之诸祠自 [此] 兴。		《汉书》__汉
