语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：步
2023/1/20 15:56:53

序号	语句	书名	朝代
1	胖， [步] 丹反。		《大学中庸》__春秋战国
2	吏各举其 [步] 界中财物。		《墨子》__春秋战国
3	仆者右带剑，负良绥申之面，拖诸{辟巾}，以散绥升，执 辔然后 [步] 。		《礼记》__春秋战国
4	越三日壬申，王朝 [步] 自宗周，至于丰。		《尚书》__周
5	五十 [步] 而十盛水且用之。		《墨子》__春秋战国
6	未 [步] 爵，不尝羞。		《礼记》__春秋战国
7	桓公之所以匿者不言也，今管子乃以容貌音声，夫人乃以行 [步] 气志。		《吕氏春秋》__春秋战国
8	匹夫夫徒 [步] 之士用吾言。		《墨子》__春秋战国
9	王乃 [步] 就王孙雒曰：“先之，图之将若何？”		《国语》__春秋战国
10	既而皆入其地，王安挺志，一日惕，一日留，以安 [步] 王志。		《国语》__春秋战国
11	今公行，多者数百乘， [步] 者数百人；少者数十乘， [步] 者数十人。		《吕氏春秋》__春秋战国
12	夫离朱见秋豪百 [步] 之外，而不能以明目易人；乌获举千钧之重，而不能以多力易人。		《商君书》__春秋战国
13	朝之室也，聚酒千钟， 积麹成封，望门百 [步] ，糟浆之气逆于人鼻。		《列子》__春秋战国
14	及其游 也，虽山川阻险，途径修远，无不必之，犹人之行咫 [步] 也。		《列子》__春秋战国
15	越翼日，癸巳，王朝 [步] 自周，于征伐商。		《尚书》__周
16	云雾不硋其视，雷霆不乱其听，美恶不滑其 心，山谷不踬其 [步] ，神行而已。		《列子》__春秋战国
17	子华之门徒皆世族也，缟衣 乘轩，缓 [步] 阔视。		《列子》__春秋战国
18	今日之事，不愆于六 [步] 、七 [步] ，乃止齐焉。		《尚书》__周
19	数百 [步] 而出，被发行歌，而 游于棠行。		《列子》__春秋战国
20	騏驥一躍，不能十 [步] ；駑馬十駕，功在不舍。		《荀子》__春秋战国
21	列精子高听行乎齐湣王，善衣东布衣，白缟冠，颡推之履，特会朝雨袪 [步] 堂下，谓其侍者曰：“我何若？”		《吕氏春秋》__春秋战国
22	列精子高因 [步] 而窥於井，粲然恶丈夫之状也。		《吕氏春秋》__春秋战国
23	颜色黎黑， [步] 不相过，窍气不通，以中帝心。		《吕氏春秋》__春秋战国
24	不識 [步] 道者，將以窮無窮，逐無極與？		《荀子》__春秋战国
25	惟二月既望，越六日乙未，王朝 [步] 自周，则至于丰。		《尚书》__周
26	先生曰： “汝奚往而反，偊々而 [步] ，有深愧之色邪？”		《列子》__春秋战国
27	牛缺者，上地之大儒也，下之邯郸，遇盗于耦沙之中，尽取其衣装车，牛 [步]  而去。		《列子》__春秋战国
28	不有懈堕，忧其黔首，颜色黎黑，窍藏不通， [步] 不相过，以求贤人，欲尽地利：至劳也。		《吕氏春秋》__春秋战国
29	人有亡鈇者，意者邻之子，视其行 [步] ，窃鈇也；颜色，窃鈇也；言语，窃鈇 也；作动态度，无为而不窃鈇也。		《列子》__春秋战国
30	而龙伯之国有大人，举足不盈数 [步] 而 暨五山之所，一钓而连六鳌，合负而趣，归其国，灼其骨以数焉。		《列子》__春秋战国
31	穆王惊视之，趋 [步] 俯 仰，信人也。		《列子》__春秋战国
32	百 [步] 之外听而不闻问之堵墙窥而不见也，		《管子》__春秋战国
33	王试废 其心，则口不能言；废其肝，则目不能视；废其肾，则足不能 [步] 。		《列子》__春秋战国
34	泰 豆乃立木为途，仅可容足；计 [步] 而置。		《列子》__春秋战国
35	矢之速也，而不过二里，止也； [步] 之迟也，而百舍，不止也。		《吕氏春秋》__春秋战国
36	欲行千里，一 [步] 而始，积之以渐。		《老子想尔注》__春秋战国
37	性刚悍，强弱相藉， 贵胜而不尚义；多驰 [步] ，少休息，常觉而不眠。		《列子》__春秋战国
38	夫以外胜内，匹夫徒 [步] 不能行，又况乎人主？		《吕氏春秋》__春秋战国
39	若躇 [步] 跐蹈，终日在地上行止，奈何忧其 坏？”		《列子》__春秋战国
40	其在朝廷则道仁圣礼义之序，燕处则听雅颂之音，行 [步] 则有环佩之声，升 车，则有鸾和之音。		《礼记》__春秋战国
41	故君子顷 [步] 而弗敢忘 孝也。		《礼记》__春秋战国
42	 [步] 驟馳騁厲騖不外是矣。		《荀子》__春秋战国
43	蚌， [步] 项反。		《周易》__周
44	和、鸞之聲， [步] 中武、象，趨中韶、護。		《荀子》__春秋战国
45	君子动其本，乐 其象，然后治其饰，是故先鼓以警戒，三 [步] 以见方，再始以著往，复乱以饬归。		《礼记》__春秋战国
46	天 [步] 艰难，之子不犹。		《诗经》__周
47	今東野畢之馭，上車執轡銜，體正矣； [步] 驟馳騁，朝禮畢矣；歷險致遠，馬力盡矣。		《荀子》__春秋战国
48	以家仆徒为右， [步] 扬御戎；梁由靡御韩简，虢射为右，以承公。		《国语》__春秋战国
49	齐湣王亡居於卫，昼日 [步] 足，谓公玉丹曰： “我已亡矣，而不知其故。		《吕氏春秋》__春秋战国
50	于乎有哀，国 [步] 斯频。		《诗经》__周
51	国 [步] 灭资，天不我将。		《诗经》__周
52	戈 [步] 而倍之，问曰：“子之妻子不有恙乎？”		《吕氏春秋》__春秋战国
53	视其行 [步] ，窃鈇也；颜色，窃鈇也；言语，窃鈇也；动作态度，无为而不窃鈇也。		《吕氏春秋》__春秋战国
