语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：殆
2022/7/10 22:55:35

序号	语句	书名	朝代
1	仆人赞闻之，曰：“太子 [殆] 哉！		《国语》__春秋战国
2	致君者， [殆] 其往而喜其反，此致君之意义也。		《榖梁传》__春秋战国
3	突闻之：国君好艾，大夫 [殆] ；好内，适子 [殆] ，社稷危。		《国语》__春秋战国
4	亡人无亲，信仁以为亲，是故置之者不 [殆] 。		《国语》__春秋战国
5	赖富而民怨，乱国而身 [殆] ，惧为诸侯载，不可常也。”		《国语》__春秋战国
6	不哀丧而求国，难；因乱以入， [殆] ，以丧得国，则必乐丧，乐丧必哀生。		《国语》__春秋战国
7	人之有技，媢疾以恶之，人之彦圣，而违之俾不通，寔不能容，以不能保我子孙黎民，亦曰 [殆] 哉。”		《大学中庸》__春秋战国
8	 [殆] ，危也。		《大学中庸》__春秋战国
9	 [殆] 哉。”		《大学中庸》__春秋战国
10	则此非所以 [殆] 民一众之道。		《墨子》__春秋战国
11	今天降疾， [殆] 弗兴弗悟。		《尚书》__周
12	若 [殆] 于城门与于臧也。		《墨子》__春秋战国
13	苌弘谓刘康公曰：“夫祈福於三涂，而受礼於天子，此柔嘉之事也，而客武色， [殆] 有他事，愿公备之也。”		《吕氏春秋》__春秋战国
14	今其祸新民恐，其君臣上下，皆知其资财之不足以支长久也，必彼将同其力，致其死，犹尚 [殆] 。		《国语》__春秋战国
15	夫一动而弱于诸候，危事也；为计而使诸候有意我之心，至 [殆] 也；见二疏，非所以强于诸候也。		《韩非子》__春秋战国
16	公上过曰：“ [殆] 未能也。”		《吕氏春秋》__春秋战国
17	故虞公之兵 [殆] 而地削者，何也？		《韩非子》__春秋战国
18	君亟定变法之虑， [殆] 无顾天下之议之也。		《商君书》__春秋战国
19	国安不 [殆] ，勉农而不偷，则草必恳矣。		《商君书》__春秋战国
20	民不贱农，则国安不 [殆] 。		《商君书》__春秋战国
21	今汝怵然有恂目之志，尔于中也 [殆] 矣夫！”		《列子》__春秋战国
22	终日夜以此为戏乐，国 [殆] 成俗。		《列子》__春秋战国
23	众，则农者 [殆] ；农者 [殆] ，则土地荒。		《商君书》__春秋战国
24	人之有技，冒疾以恶之；人之彦圣而违之，俾不达是不能容，以不能保我子孙黎民，亦曰 [殆] 哉！		《尚书》__周
25	备危恐 [殆] ，急置太子，祸乃无从起。		《韩非子》__春秋战国
26	壶子曰：“向吾示之以地文，罪乎不誫不止，是 [殆] 见吾 杜德几也。		《列子》__春秋战国
27	是 [殆] 见吾善者几也。		《列子》__春秋战国
28	壶子曰：“向吾示之以太冲莫朕，是 [殆] 见 吾衡气几也。		《列子》__春秋战国
29	先不己若者， 至于若己，则 [殆] 矣。		《列子》__春秋战国
