语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：比
2022/7/10 23:06:50

序号	语句	书名	朝代
1	有而不以告，谓之下 [比] ，其罪五。”		《国语》__春秋战国
2	桓公召而与之语，訾相其质，足以 [比] 成事，诚可立而授之。		《国语》__春秋战国
3	有而不以告，谓之下 [比] ，其罪五。”		《国语》__春秋战国
4	请宾曰：顺投为入， [比] 投不释，胜饮不胜者，正爵既行，请为胜者立马，一 马从二马，三马既立，请庆多马。		《礼记》__春秋战国
5	其容体 [比] 于礼， 其节 [比] 于乐，而中多者，得与于祭，其容体不 [比] 于礼，其节不 [比] 于乐，而中少者， 不得与于祭。		《礼记》__春秋战国
6	适有丧者曰“ [比] ”。		《礼记》__春秋战国
7	五，心有所 [比] ，以义之不可而决		《周易》__周
8	“令夫工，群萃而州处，申其四时，辩其功苦，权节其用，论 [比] 协材，旦暮从事，施于四方，以饬其子弟，相语以事，相示以巧，相陈以功。		《国语》__春秋战国
9	管子对曰：“昔吾先王昭王、穆王，世法文、武远绩以成名，何群叟， [比] 校民之有道者，设象以为民纪，式权以相应， [比] 缀以度，☆本肇末，劝之以赏赐，纠之以刑罚，班序颠毛，以为民纪统。”		《国语》__春秋战国
10	 [比] 至，三衅、三浴之。		《国语》__春秋战国
11	我乃明致天罚，移尔遐逖， [比] 事臣我宗多逊。”		《尚书》__周
12	上 [比] 九五，下 [比] 众阴，得其萃矣。		《周易》__周
13	则除之，远葬者 [比] 反哭者皆冠，及郊而后免反哭。		《礼记》__春秋战国
14	锡汝保极：凡厥庶民，无有淫朋，人无有 [比] 德，惟皇作极。		《尚书》__周
15	 [比] 葬，食肉饮 酒，不与人乐之。		《礼记》__春秋战国
16	正应，下 [比] 初六，功不上行，故其象如此。		《周易》__周
17	施而治农夫者也，公何事 [比] 施於螣螟乎？”		《吕氏春秋》__春秋战国
18	何事 [比] 我於新妇乎？		《吕氏春秋》__春秋战国
19	士葬用国车，二无碑， [比] 出宫，御棺用功布。		《礼记》__春秋战国
20	天下又 [比] 周而军华下，大王以诏破之，兵至梁郭下。		《韩非子》__春秋战国
21	外者，天下皆 [比] 意甚固。		《韩非子》__春秋战国
22	儒有今人与居，古人与稽；今世行之，后世以为楷；适弗逢世，上弗援，下 弗推，谗谄之民，有 [比] 党而危之者，身可危也，而志不可夺也，虽危起居，竟信 其志，犹将不忘百姓之病也。		《礼记》__春秋战国
23	罔罪尔众，尔无共怒，协 [比] 谗言予一人。		《尚书》__周
24	承汝俾汝惟喜康共，非汝有咎 [比] 于罚。		《尚书》__周
25	’汝万民乃不生生，暨予一人猷同心，先后丕降与汝罪疾，曰：‘曷不暨朕幼孙有 [比] ？		《尚书》__周
26	孔子，布衣也，官在鲁司寇，万乘难与 [比] 行，三王之佐不显焉，取舍不苟也夫！		《吕氏春秋》__春秋战国
27	若越王听吾言用吾道，翟度身而衣，量腹而食， [比] 於宾萌，未敢求仕。		《吕氏春秋》__春秋战国
28	朋党 [比] 周以弊主，言曲以使私者，必信于重人矣。		《韩非子》__春秋战国
