语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：求
2022/7/10 22:59:40

序号	语句	书名	朝代
1	子思因前章极致之言，反 [求] 其本，复自下学为己谨独之事，推而言之，		《大学中庸》__春秋战国
2	于惟时 [求] 民主，乃大降显休命于成汤，刑殄在夏。		《尚书》__周
3	夫以学校之设，其广如此，教之之术，其次第节目之详又如此，而其所以为教，则又皆本之人君躬行心得之余，不待 [求] 之民生日用彝伦之外，是以当世之人无不学。		《大学中庸》__春秋战国
4	天惟 [求] 尔多方，大动以威，开厥顾天；惟尔多方，罔堪顾之。		《尚书》__周
5	若不胜狄，虽济其罪，可也；若胜狄，则善用众矣， [求] 必益广，乃可厚图也。		《国语》__春秋战国
6	然吾闻之，为人子者，患不从，不患无名，为人臣者，患不勤，不患无禄，今我不才而得勤与从，又何 [求] 焉？		《国语》__春秋战国
7	二、五阴阳正应，居睽之时，乖戾不合，必委曲相 [求] 而得会遇，乃为无咎，故其		《周易》__周
8	使其恶恶则如恶恶臭，好善则如好好色，皆务决去，而 [求] 必得之，以自快足于己，不可徒苟且以殉外而为人也。		《大学中庸》__春秋战国
9	不哀丧而 [求] 国，难；因乱以入，殆，以丧得国，则必乐丧，乐丧必哀生。		《国语》__春秋战国
10	康诰曰“如保赤子”，心诚 [求] 之，虽不中不远矣。		《大学中庸》__春秋战国
11	君若 [求] 置晋君而载之，置仁不亦可乎？		《国语》__春秋战国
12	君若 [求] 置晋君以成名于天下，则不如置不仁以猾其中，且可以进退。		《国语》__春秋战国
13	是故君子有诸己而后 [求] 诸人，无诸己而后非诸人。		《大学中庸》__春秋战国
14	今有人於此， [求] 牛则名马， [求] 马则名牛，所 [求] 必不得矣，而因用威怒，有司必诽怨矣，牛马必扰乱矣。		《吕氏春秋》__春秋战国
15	白之顾益黑， [求] 之愈不得者，其此义邪！		《吕氏春秋》__春秋战国
16	不能深知君之心度，弃宠 [求] 广土而窜伏焉；小心狷介，不敢行也。		《国语》__春秋战国
17	忍父而 [求] 好人，人孰好之？		《国语》__春秋战国
18	 [求] 其亲而不得不孝子必是怨其亲矣。		《墨子》__春秋战国
19	此 [求] 禁止大国之攻小国也。		《墨子》__春秋战国
20	此譬犹禁耕而 [求] 稚也。		《墨子》__春秋战国
21	里革遇之，而更其书曰：“夫莒太子杀其君而窃其宝来，不识强固又 [求] 自迩，为我流之于夷。		《国语》__春秋战国
22	射 [求] 正诸己，己正然后发，发而不中，则不怨胜己者，反  [求] 诸己而已矣。		《礼记》__春秋战国
23	祈，  [求] 也， [求] 中以辞爵也。		《礼记》__春秋战国
24	 [求] 中以辞爵者，辞养也。		《礼记》__春秋战国
25	 [求] 说其侮，而亟于前之人，其雠不滋大乎？		《国语》__春秋战国
26	本之人君躬行心得之余，不待 [求] 之民生日用彝伦之外，是以当世之人无不学。		《大学中庸》__春秋战国
27	以阳居益之极， [求] 益不已，故莫益而或击之。		《周易》__周
28	莫益之者，犹从其 [求] 益之偏辞而言也。		《周易》__周
29	六曰：失之乎数， [求] 之乎信，疑；失之乎势， [求] 之乎国，危。		《吕氏春秋》__春秋战国
30	九页， [求] 龟反。		《周易》__周
31	予惟小子，若涉渊水，予惟往 [求] 朕攸济。		《尚书》__周
32	使 [求] ，得之金椟，如之。		《国语》__春秋战国
33	仲尼不对，私于冉有曰：“ [求] 来！		《国语》__春秋战国
34	君若使有司 [求] 诸故府，其可得也。”		《国语》__春秋战国
35	康诰曰“如保赤子”，心诚 [求] 		《大学中庸》__春秋战国
36	是故君子有诸己而后 [求] 诸人，无诸己而后非诸人。		《大学中庸》__春秋战国
37	’则我 [求] 安身而为诸侯法矣。		《国语》__春秋战国
38	惟天不畀允罔固乱，弼我，我其敢 [求] 位？		《尚书》__周
