语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：池
2022/7/10 22:55:00

序号	语句	书名	朝代
1	取城外 [池] 唇木月散之什。		《墨子》__春秋战国
2	吴王夫差既退于黄 [池] ，乃使王孙苟告劳于周，曰：“昔者楚人为不道，不承共王事。		《国语》__春秋战国
3	吴王夫差还自黄 [池] ，息民不戒。		《国语》__春秋战国
4	阙为深沟，通于商、鲁之间，北属之沂，西属之济，以会晋公午于黄 [池] 。		《国语》__春秋战国
5	饰棺，君龙帷三 [池] ，振容。		《礼记》__春秋战国
6	鱼跃拂 [池] 。		《礼记》__春秋战国
7	大夫画帷二 [池] ，不振容。		《礼记》__春秋战国
8	鱼跃拂 [池] 。		《礼记》__春秋战国
9	士布帷布荒，一 [池] ，揄绞。		《礼记》__春秋战国
10	曰：人主乐美宫室台 [池] ，好饰子女狗马以娱其心，此人主之殃也。		《韩非子》__春秋战国
11	为人臣者尽民力以美宫室台 [池] ，重赋敛以饰子女狗马，以娱其主而乱其心，从其所欲，而树私利其间，此谓“养殃”。		《韩非子》__春秋战国
12	去齐之曹，曹共公视其骈胁，使袒而捕 [池] 鱼。		《吕氏春秋》__春秋战国
13	楚国之民，齐疾而均，速若飘风；宛钜铁☆，利若蜂虿；胁鲛犀兕，坚若金石；江、汉以为 [池] ，汝、颖以为限；隐以邓林，缘以方城。		《商君书》__春秋战国
14	且臣闻之：吞舟之鱼，不游枝流；鸿鹄高飞，不集污  [池] 。		《列子》__春秋战国
15	好 宫室台榭陂 [池] ，事车服器玩，好罢露百姓，煎靡货财者，可亡也。		《韩非子》__春秋战国
16	士尹 [池] 为荆使於宋，司城子罕觞之。		《吕氏春秋》__春秋战国
17	士尹 [池] 问其故，司城子罕曰：“南家工人也，为鞔者也。		《吕氏春秋》__春秋战国
18	士尹 [池] 归荆，荆王适兴兵而攻宋，士尹 [池] 谏於荆王曰：“宋不可攻也。		《吕氏春秋》__春秋战国
19	夏，六月壬寅，公会纪侯、莒子，盟于曲 [池] 。		《榖梁传》__春秋战国
20	沈湎冒色，敢行暴虐，罪人以族，官人以世，惟宫室、台榭、陂 [池] 、侈服，以残害于尔万姓。		《尚书》__周
21	靡，亡 [池] 反。		《周易》__周
22	污 [池] 淵沼川澤，謹其時禁，故魚■優多，而百姓有餘用也。		《荀子》__春秋战国
23	公会晋侯及吴子于黄 [池] 。		《榖梁传》__春秋战国
24	黄 [池] 之会，吴子进乎哉！		《榖梁传》__春秋战国
25	当夏而叩羽弦以召黄钟， 霜雪交下，川 [池] 暴沍。		《列子》__春秋战国
26	精并喻像 [池] 水，身为 [池] 堤封，善行为水源。		《老子想尔注》__春秋战国
27	若斯三备， [池] 乃全坚。		《老子想尔注》__春秋战国
28	斯三不慎， [池] 为空坑也。“		《老子想尔注》__春秋战国
29	应变不失之谓 [池] 变无不至无有应当本错不敢忿。		《管子》__春秋战国
30	卫灵公天寒凿 [池] ，宛春谏曰：“天寒起役，恐伤民。”		《吕氏春秋》__春秋战国
31	汝潁以為險，江漢以為 [池] ，限之以鄧林，緣之以方城；然而秦師至，而鄢郢舉，若振槁然，是豈無固塞隘阻也哉！		《荀子》__春秋战国
32	左右以谏曰：“君凿 [池] ，不知天之寒也，而春也知之。		《吕氏春秋》__春秋战国
33	○东门之 [池] 		《诗经》__周
34	东门之 [池] ，可以沤麻。		《诗经》__周
35	东门之 [池] ，可以沤纻。		《诗经》__周
36	东门之 [池] ，可以沤菅。		《诗经》__周
37	昔先圣王之为苑囿园 [池] 也，足以观望劳形而已矣；其为宫室台榭也，足以辟燥湿而已矣；其为舆马衣裘也，足以逸身暖骸而已矣；其为饮食酏醴也，足以适味充虚而已矣；其为声色音乐也，足以安性自娱而已矣。		《吕氏春秋》__春秋战国
38	令之行水道城郭堤川沟 [池] 官府寺舍及州中当缮治者给卒财足，		《管子》__春秋战国
39	凡观乐者宫室台 [池] 珠玉声乐也，		《管子》__春秋战国
40	是月也，无竭川泽，无漉陂 [池] ，无焚山林。		《吕氏春秋》__春秋战国
41	或降于阿，或饮于 [池] ，或寝或讹。		《诗经》__周
42	咸 [池] ，备矣。		《礼记》__春秋战国
43	以仲春之月，乙卯之日，日在奎，始奏之，命之曰咸 [池] 。		《吕氏春秋》__春秋战国
44	滮 [池] 北流，浸彼稻田。		《诗经》__周
45	大夫不揄绞，属于 [池] 下。		《礼记》__春秋战国
46	是月也，乃命水虞渔师收水泉 [池] 泽之赋，无或敢侵削众庶兆民，以为天子取怨于下，其有若此者，行罪无赦。		《吕氏春秋》__春秋战国
47	今臣後之东阿也，属托行，货赂至，并重赋敛，仓库少内，便事左右，陂 [池] 之鱼，入于权宗。		《晏子春秋》__春秋战国
48	晏子坚曰：“前臣之治东阿也，属托不行，货赂不至，陂 [池] 之鱼，以利贫民。		《晏子春秋》__春秋战国
49	周文王使人抇 [池] ，得死人之骸。		《吕氏春秋》__春秋战国
50	今吾闻夫差好罢民力以成私好，纵过而翳谏，一夕之宿，台榭陂 [池] 必成，六畜玩好必从。		《国语》__春秋战国
51	 [池] 之竭矣，不云自频。		《诗经》__周
52	其适遇淫君，外内颇邪，上下怨疾，动作辟违，从欲厌私，高台深 [池] ，撞钟舞女，斩刈民力，输掠其聚，以成其违，不恤後人，暴虐淫纵，肆行非度，无所还忌，不思谤☆，不惮鬼神，神怒民痛，无悛于心。		《晏子春秋》__春秋战国
53	是月也，无竭川泽，无漉陂 [池] ，无焚山林。		《逸周书》__春秋战国
54	’民欲与之偕亡，虽有台 [池] 鸟兽，岂能独乐哉？”		《孟子》__春秋战国
