语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：治
2022/7/10 23:04:06

序号	语句	书名	朝代
1	一有聪明睿智能尽其性者出于其闲，则天必命之以为亿兆之君师，使之 [治] 而教之，以复其性。		《大学中庸》__春秋战国
2	人生八岁，则自王公以下，至于庶人之子弟，皆入小学，而教之以洒扫、应对、进退之节，礼乐、射御、书数之文；及其十有五年，则自天子之元子、众子，以至公、卿、大夫、元士之适子，与凡民之俊秀，皆入大学，而教之以穷理、正心、修己、 [治] 人之道。		《大学中庸》__春秋战国
3	此古昔盛时所以 [治] 隆于上，俗美于下，而非后世之所能及也！		《大学中庸》__春秋战国
4	使其君子不幸而不得闻大道之要，其小人不幸而不得蒙至 [治] 之泽，晦盲否塞，反复沈痼，以及五季之衰，而坏乱极矣！		《大学中庸》__春秋战国
5	宋德隆盛， [治] 教休明。		《大学中庸》__春秋战国
6	极知僭踰，无所逃罪，然于国家化民成俗之意、学者修己 [治] 人之方，则未必无小补云。		《大学中庸》__春秋战国
7	然以极刚 [治] 小邑，虽得其正，亦可吝矣。		《周易》__周
8	歼厥渠魁，胁従罔 [治] ，旧染污俗，咸与维新。		《尚书》__周
9	古之欲明明德于天下者，先 [治] 其国；欲 [治] 其国者，先齐其家；欲齐其家者，先修其身；欲修其身者，先正其心；欲正其心者，先诚其意；欲诚其意者，先致其知；致知在格物。		《大学中庸》__春秋战国
10	 [治] ，平声，后放此。		《大学中庸》__春秋战国
11	冀州：既载壶口， [治] 梁及岐。		《尚书》__周
12	物格而后知至，知至而后意诚，意诚而后心正，心正而后身修，身修而后家齐，家齐而后国 [治] ，国 [治] 而后天下平。		《大学中庸》__春秋战国
13	 [治] ，去声，后放此。		《大学中庸》__春秋战国
14	其本乱而末 [治] 者否矣，其所厚者薄，而其所薄者厚，未之有也！		《大学中庸》__春秋战国
15	!身修则家 [治] 矣。		《周易》__周
16	五属，故立五大夫，各使 [治] 一属焉；立五正，各使听一属焉。		《国语》__春秋战国
17	桓公曰：“各保 [治] 尔所，无或淫怠而不听 [治] 者！”		《国语》__春秋战国
18	磋以鑢钖，磨以沙石，皆 [治] 物使其滑泽也。		《大学中庸》__春秋战国
19	 [治] 骨角者，既切而复磋之。		《大学中庸》__春秋战国
20	 [治] 玉石者，既琢而复磨之。		《大学中庸》__春秋战国
21	皆言其 [治] 之有绪，而益致其精也。		《大学中庸》__春秋战国
22	地平天成，六府三事允 [治] ，万世永赖，时乃功。”		《尚书》__周
23	学，谓讲习讨论之事，自修者，省察克 [治] 之功。		《大学中庸》__春秋战国
24	春以☆振旅，秋以☆ [治] 兵。		《国语》__春秋战国
25	期于予 [治] ，刑期于无刑，民协于中，时乃功，懋哉。”		《尚书》__周
26	教不善则政不 [治] ，一再则宥，三则不赦。”		《国语》__春秋战国
27	帝曰：“俾予従欲以 [治] ，四方风动，惟乃之休。”		《尚书》__周
28	既杀奚齐、卓子，里克及丕郑使屠岸夷告公子重耳于狄，曰：“国乱民扰，得国在乱， [治] 民在扰，子盍入乎？		《国语》__春秋战国
29	及为行书者释守事而 [治] 私家事。		《墨子》__春秋战国
30	尹文曰：“今有人於此，将 [治] 其国，民有非则非之，民无非则非之民有罪则罚之，民无罪则罚之，而恶民之难 [治] ，可乎？”		《吕氏春秋》__春秋战国
31	尹文曰：“窃观下吏之 [治] 齐也，方若此也。”		《吕氏春秋》__春秋战国
32	王曰：“使寡人 [治] 信若是，则民虽不 [治] ，寡人弗怨也。		《吕氏春秋》__春秋战国
33	一曰：凡人主必审分，然後 [治] 可以至，奸伪邪辟之涂可以息，恶气苛疾无自至。		《吕氏春秋》__春秋战国
34	夫 [治] 身与 [治] 国，一理之术也。		《吕氏春秋》__春秋战国
35	人主好 [治] 人官之事，则是与骥俱走也，必多所不及矣。		《吕氏春秋》__春秋战国
36	正名审分，是 [治] 之辔已。		《吕氏春秋》__春秋战国
37	故至 [治] 之务，在於正名。		《吕氏春秋》__春秋战国
38	所谓平天下在 [治] 其国者：上老老而民兴孝，上长长而民兴弟，上恤孤而民不倍，是以君子有絜矩之道也。		《大学中庸》__春秋战国
39	言此三者，上行下效，捷于影响，所谓家齐而国 [治] 也。		《大学中庸》__春秋战国
40	是故盗贼众而 [治] 者寡。		《墨子》__春秋战国
41	实可以富贫众寡定危 [治] 乱乎。		《墨子》__春秋战国
42	令国家百姓之不 [治] 也。		《墨子》__春秋战国
43	故可以为文，可以为武，可以摈相，可以 [治] 军旅，完且弗费，善衣之次也。		《礼记》__春秋战国
44	三曰：凡官者，以 [治] 为任，以乱为罪。		《吕氏春秋》__春秋战国
45	然计若家之所以 [治] 者。		《墨子》__春秋战国
46	去三者不任则 [治] ，三者任则乱。”		《吕氏春秋》__春秋战国
47	今此何为人上而不能 [治] 其下。		《墨子》__春秋战国
48	以浅阙博居天下，安殊俗， [治] 万民，其说固不行。		《吕氏春秋》__春秋战国
49	 [治] 乱安危存亡，其道固无二也。		《吕氏春秋》__春秋战国
50	焉此 [治] 纪，无唱有和，无先有随。		《吕氏春秋》__春秋战国
51	道，谓居其位而修己 [治] 人之术。		《大学中庸》__春秋战国
52	君实欲天下之 [治] 而恶其乱也。		《墨子》__春秋战国
53	是以其民淫僻而难 [治] 。		《墨子》__春秋战国
54	此二十官者，圣人之所以 [治] 天下也。		《吕氏春秋》__春秋战国
55	以 [治] 宫室观乐死又厚为棺椁。		《墨子》__春秋战国
56	故善为君者，矜服性命之情，而百官已 [治] 矣，黔首已亲矣，名号已章矣。		《吕氏春秋》__春秋战国
57	性者出于其闲，则天必命之以为亿兆之君师，使之 [治] 而教之，以复其性。		《大学中庸》__春秋战国
58	秀，皆入大学，而教之以穷理、正心、修己、 [治] 人之道。		《大学中庸》__春秋战国
59	然则奚以为 [治] 法而可。		《墨子》__春秋战国
60	然则奚以为 [治] 法而可。		《墨子》__春秋战国
61	此古昔盛时所以 [治] 隆于上，		《大学中庸》__春秋战国
62	知百官之要，故事省而国 [治] 也。		《吕氏春秋》__春秋战国
63	此谓之至 [治] 。		《吕氏春秋》__春秋战国
64	至 [治] 之世，其民不好空言虚辞，不好淫学流说。		《吕氏春秋》__春秋战国
65	予欲闻六律五声八音，在 [治] 忽，以出纳五言，汝听。		《尚书》__周
66	使其君子不幸而不得闻大道之要，其小人不幸而不得蒙至 [治] 之		《大学中庸》__春秋战国
67	宋德隆盛， [治] 教休明。		《大学中庸》__春秋战国
68	故 [治] 天下之要，存乎除奸；除奸之要，存乎 [治] 官； [治] 官之要，存乎 [治] 道； [治] 道之要，存乎知性命。		《吕氏春秋》__春秋战国
69	曰自贵且智者为政乎愚且贱者则 [治] 。		《墨子》__春秋战国
70	然于国家化民成俗之意、学者修己 [治] 人之方，则未必无小补云。		《大学中庸》__春秋战国
71	凡所使 [治] 国家官府邑里。		《墨子》__春秋战国
72	是以国家 [治] 而刑法政。		《墨子》__春秋战国
73	禹曰：“若何而 [治] 青北，化九阳、奇怪之所际？		《吕氏春秋》__春秋战国
74	古之欲明明德于天下者，先 [治] 其国；欲 [治] 其国者，先齐其家；欲齐其家者，先修其身；		《大学中庸》__春秋战国
75	 [治] ，国 [治] 而后天下平。		《大学中庸》__春秋战国
76	其本乱而末 [治] 者否矣，其所厚者薄，而其所薄		《大学中庸》__春秋战国
77	君实欲天下 [治] 而恶其乱。		《墨子》__春秋战国
78	又，当先 [治] 其私，而不可专尚威武，则利有所往也。		《周易》__周
79	不若成汤成汤之 [治] 天下也。		《墨子》__春秋战国
80	乐非所以 [治] 天下也程繁曰子曰。		《墨子》__春秋战国
81	权钧则不能相使，势等则不能相并， [治] 乱齐则不能相正。		《吕氏春秋》__春秋战国
82	故小大、轻重、少多、 [治] 乱，不可不察，此祸福之门也。		《吕氏春秋》__春秋战国
83	天下之地，方千里以为国，所以极 [治] 任也。		《吕氏春秋》__春秋战国
84	帝喾能序三辰以固民，尧能单均刑法以仪民，舜勤民事而野死，鲧障洪水而殛死，禹能以德修鲧之功，契为司徒而民辑，冥勤其官而水死，汤以宽 [治] 民而除其邪，稷勤百谷而山死，文王以文昭，武王去民之秽。		《国语》__春秋战国
85	是故先王之 [治] 天下也。		《墨子》__春秋战国
86	故 [治] 天下及国，在乎定分而已矣。		《吕氏春秋》__春秋战国
87	凡功之立也，贤不肖强弱 [治] 乱异也。		《吕氏春秋》__春秋战国
88	夫天下何说而不 [治] 哉。		《墨子》__春秋战国
89	察天子之所以 [治] 天下者。		《墨子》__春秋战国
90	是以天下 [治] 夫既尚同乎天子。		《墨子》__春秋战国
91	察乡长之所以 [治] 乡者。		《墨子》__春秋战国
92	则此言善用刑者以 [治] 民。		《墨子》__春秋战国
93	所谓平天下在 [治] 其国者：上老老而民兴孝，上长长而民兴弟，上恤孤而民不倍，是以君		《大学中庸》__春秋战国
94	察国之所以 [治] 者何也。		《墨子》__春秋战国
95	故一则 [治] ，异则乱；一则安，异则危；夫能齐万不同，愚智工拙皆尽力竭能，如出乎一穴者，其唯圣人矣乎！		《吕氏春秋》__春秋战国
96	察天下之所以 [治] 者何世。		《墨子》__春秋战国
97	一则 [治] ，两则乱。		《吕氏春秋》__春秋战国
98	必计国家百姓所以 [治] 者而为之。		《墨子》__春秋战国
99	若必 [治] 国家者，则非臣之所能也。		《国语》__春秋战国
100	若必 [治] 国家者，则其管夷吾乎。		《国语》__春秋战国
101	然计国家百姓之所以 [治] 者何也。		《墨子》__春秋战国
102	臣之所不若夷吾者五：宽惠柔民，弗若也； [治] 国家不失其柄，弗若也；忠信可结于百姓，弗若也，制礼义可法于四方，弗若也；执☆鼓立于军门，使百姓皆加勇焉，弗若也。		《国语》__春秋战国
103	管子对曰：“昔者，圣王之 [治] 天下也，参其国而伍其鄙，定民之居，成民之事，陵为之终，而慎用其六柄焉。”		《国语》__春秋战国
104	何以知尚同一义之 [治] 而为政于天下也。		《墨子》__春秋战国
105	然故朋审稽古之 [治] 为政之说乎。		《墨子》__春秋战国
106	吴起曰：“ [治] 四境之内，成训教，变习俗，使君臣有义，父子有序，子与我孰贤？”		《吕氏春秋》__春秋战国
107	为未足独 [治] 其四境之内也。		《墨子》__春秋战国
108	民知上置正长之非正以 [治] 民也。		《墨子》__春秋战国
109	刑法之 [治] 也然而不识以尚贤为政其国家百姓。		《墨子》__春秋战国
110	夫 [治] 之法将日至者也。		《墨子》__春秋战国
111	则此 [治] 一而弃其九矣。		《墨子》__春秋战国
112	故以尚贤使能为政而 [治] 者。		《墨子》__春秋战国
113	天子及诸侯合民事于外朝，合神事于内朝；自卿以下，合官职于外朝，合家事于内朝；寝门之内，妇人 [治] 其业焉。		《国语》__春秋战国
114	此言先王之 [治] 天下也。		《墨子》__春秋战国
115	以其唯毋临众发政而 [治] 民。		《墨子》__春秋战国
116	逮至其临众发政而 [治] 民。		《墨子》__春秋战国
117	是故古之圣王之 [治] 天是故昔者舜耕于历山。		《墨子》__春秋战国
118	许嫁笄而字之，死则以成人之丧 [治] 之。		《榖梁传》__春秋战国
119	欲天下之 [治] 而恶其乱。		《墨子》__春秋战国
120	仲父 [治] 外，夫人 [治] 内，寡人知终不为诸侯笑矣。”		《吕氏春秋》__春秋战国
121	卿大夫必怠乎 [治] 官府矣。		《墨子》__春秋战国
122	子产 [治] 郑，邓析务难之，与民之有狱者约：大狱一衣，小狱襦袴。		《吕氏春秋》__春秋战国
123	则必怠乎听狱 [治] 政矣。		《墨子》__春秋战国
124	今世之人，多欲 [治] 其国，而莫之诛邓析之类，此所以欲 [治] 而愈乱也。		《吕氏春秋》__春秋战国
125	王公大人怠乎听狱 [治] 政。		《墨子》__春秋战国
126	国 [治] 则从事国富则为礼乐。		《墨子》__春秋战国
127	耳 [治] 也。		《榖梁传》__春秋战国
128	六兒退飞过宋都，先数，聚辞也，目 [治] 也。		《榖梁传》__春秋战国
129	我闻曰：‘至 [治] 馨香，感于神明。		《尚书》__周
130	占者能自修 [治] ，则虽无及物之功，而亦可以无咎矣。		《周易》__周
131	使工女化而为丝，不能 [治] 丝；使大匠化而为木，不能 [治] 木；使圣人化而为农夫，不能 [治] 农夫。		《吕氏春秋》__春秋战国
132	施而 [治] 农夫者也，公何事比施於螣螟乎？”		《吕氏春秋》__春秋战国
133	惠子之 [治] 魏为本，其 [治] 不 [治] 。		《吕氏春秋》__春秋战国
134	不工而 [治] ，贼天下莫大焉。		《吕氏春秋》__春秋战国
135	以贼天下为实，以 [治] 之为名，匡章之非，不亦可乎！		《吕氏春秋》__春秋战国
136	自亡也，湎于酒，淫于色，心昏耳目塞，上无正长之 [治] ，大臣背叛，民为寇盗。		《榖梁传》__春秋战国
137	《象》曰：泽中有火，革，君子以 [治] 历明时。		《周易》__周
138	 [治] ，平声。		《周易》__周
139	十二者成群，此谓君之 [治] 不胜其臣，官之 [治] 不胜其民，此谓六虱胜其政也。		《商君书》__春秋战国
140	朝廷之吏，少者不毁也，多者不损也，效功而取官爵，虽有辩言，不能以相先也，此谓以数 [治] 。		《商君书》__春秋战国
141	守十者乱，守壹者 [治] 。		《商君书》__春秋战国
142	故曰，礼人而不答，则反其敬；爱人而不亲，则反其仁； [治] 人而不 [治] ，则反其知。		《榖梁传》__春秋战国
143	祗若兹，往敬用 [治] ！”		《尚书》__周
144	行 [治] 曲断，以五里断者王，以十里断者强，宿 [治] 者削。		《商君书》__春秋战国
145	以刑 [治] ，以赏战，求过不求善。		《商君书》__春秋战国
146	则君务于说言，官乱于 [治] 邪，邪臣有得志，有功者日退，此谓失。		《商君书》__春秋战国
147	故立法明分，而不以私害法，则 [治] 。		《商君书》__春秋战国
148	臣闻之曰：“以乱攻 [治] 者亡，以邪 攻正者亡，以逆攻顺者亡。”		《韩非子》__春秋战国
149	为善不同，同归于 [治] ；为恶不同，同归于乱。		《尚书》__周
150	国以功授官予爵，则 [治] 省言寡，此谓以 [治] 去 [治] 、以言去言。		《商君书》__春秋战国
151	国以六虱授官予爵，则 [治] 烦言生，此谓以 [治] 致 [治] 、以言致言。		《商君书》__春秋战国
152	惟 [治] 乱在庶官。		《尚书》__周
153	前 者穰候之 [治] 秦也，用一国之兵而欲以成两国之功，是故兵终身暴露于外，士民疲 病于内，霸王之名不成。		《韩非子》__春秋战国
154	号令不 [治] ，赏罚不信， 地形不便，下不能尽其民力。		《韩非子》__春秋战国
155	宓子贱 [治] 亶父，恐鲁君之听谗人，而令己不得行其术也，将辞而行，请近吏二人於鲁君与之俱。		《吕氏春秋》__春秋战国
156	故尧舜之位天下也，非私天下之利也，为天下位天下也；论贤举能而传焉，非疏父子亲越人也，明于 [治] 乱之道也。		《商君书》__春秋战国
157	盘庚五迁，将 [治] 亳殷，民咨胥怨。		《尚书》__周
158	故三王以义亲，五霸以法正诸侯，皆非私天下之利也，为天下 [治] 天下。		《商君书》__春秋战国
159	儒有澡身而浴德，陈言而伏，静而正之，上弗知也，粗而翘之，又不急为也； 不临深而为高，不加少而为多，世 [治] 不轻，世乱不沮；同弗与，异弗非也。		《礼记》__春秋战国
160	故凡说与 [治] 之务莫若诚。		《吕氏春秋》__春秋战国
161	说与 [治] 不诚，其动人心不神。		《吕氏春秋》__春秋战国
162	一国行之，境内独 [治] 。		《商君书》__春秋战国
163	 [治] 民能使大邪不生、细过不失，则国 [治] 。		《商君书》__春秋战国
164	故以刑 [治] 则民威，民威则无奸，无奸则民安其所乐。		《商君书》__春秋战国
165	故效于古者，先德而 [治] ；效于今者，前刑而法。		《商君书》__春秋战国
166	入使民属于农，出使民壹于战，故圣人之 [治] 也，多禁以止能，任力以穷诈。		《商君书》__春秋战国
167	明君慎观三者，则国 [治] 可立，而民能可得。		《商君书》__春秋战国
168	故圣人之为 [治] 也，刑人无国位，戮人无官任。		《商君书》__春秋战国
169	故圣人之为国也，观俗立法则 [治] ，察国事本则宜。		《商君书》__春秋战国
170	如此，则臣忠、君明， [治] 著而兵强矣。		《商君书》__春秋战国
171	故凡明君之 [治] 也，任其力不任其德，是以不忧不劳，而功可立也。		《商君书》__春秋战国
172	法无度数，而事日烦，则法立而 [治] 乱矣。		《商君书》__春秋战国
173	人君而有好恶，故民可 [治] 也。		《商君书》__春秋战国
174	是以强者必 [治] ， [治] 者必强；富者必 [治] ， [治] 者必富；强者必富，富者必强。		《商君书》__春秋战国
