语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：泪
2022/5/26 20:09:03

序号	语句	书名	朝代
1	和乃抱其璞而哭於楚山之下，三日三夜， [泪] 尽而继之以血。		《韩非子》__春秋战国
2	孤子吟而抆 [泪] 兮，放子出而不还。		《楚辞》__春秋战国
3	秋气D952以凄 [泪] 兮，桂枝落而销亡，神茕茕以遥思兮，精浮游而出B460。		《汉书》__汉
4	见一士焉，深目而玄鬓， [泪] 注而鸢肩，丰上而杀下。		《淮南子》__汉
5	承镴，言 [泪] 恆垂以承於睫也。		《史记》__汉
6	但求之不力，至诚 [泪] 出感动天，故天不与之耳。		《太平经》__汉
7	天地乃为万物父母，恐其中有自冤，哭 [泪] 仰呼天，俯叩地，而自悲冤得年少。		《太平经》__汉
8	受命有期，安得自在，念之心痛， [泪] 下沾衣，无有解已。		《太平经》__汉
9	冀复小久，不敢施恶，更念当行恩德布施，蒙得其理，无有恶言，但见 [泪] 耳，感伤于心。		《太平经》__汉
10	使神见自责悔，人还上天道言，有悔过人啼 [泪] 而行，未曾有止时，恐见不活，以故自责。		《太平经》__汉
11	父母念之，常见其独 [泪] 孤相守，无有辅佐之者。		《太平经》__汉
12	佛言：「眼中但有 [泪] 、鼻中但有☆、口中但有唾、耳中但有垢、身中但有屎尿臭处不净。		《世高译经》__汉
13	父时为恶，使子无所依止， [泪] 下如行，自无干时。		《太平经》__汉
14	不直仰天悲哭， [泪] 下沾衣。		《太平经》__汉
15	无有☆唾便利之患痰[疒阴]汗 [泪] 。		《北凉译经》__魏晋六朝
16	居七八日，行过轜车，嚬眉下 [泪] ，指方相曰：“何日更相烦君一到？”		《北史》__魏晋六朝
17	太子忿然作色，肉战 [泪] 下，云：‘居士党已尽，遣我何处穷讨？		《北史》__魏晋六朝
18	今者出黼扆而仗旄钺，释衰麻而擐甲胄，衔冤誓众，忍 [泪] 临兵，指日遄征，以平大盗。		《北史》__魏晋六朝
19	帝送出阁，惨然敛容， [泪] 数行下，左右莫不歔欷。		《北史》__魏晋六朝
20	尚书令杨遵彦与休之等款狎，相遇中书省，言及丧事，收掩 [泪] 失声，休之嚬眉而已。		《北史》__魏晋六朝
21	因而下 [泪] ，诸证人莫不洒泣。		《北史》__魏晋六朝
22	遣之日，深垂隐愍，言发凄 [泪] ，百官莫不见，四海莫不闻，诚足以感将死之心，慰戚属之情。		《北史》__魏晋六朝
23	及卒，人士为之伤心，痛悼虽甚，竟不再哭，宾客吊慰，抆 [泪] 而已。		《北史》__魏晋六朝
