语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：济
2022/7/10 23:07:46

序号	语句	书名	朝代
1	若不胜狄，虽 [济] 其罪，可也；若胜狄，则善用众矣，求必益广，乃可厚图也。		《国语》__春秋战国
2	威克厥爱，允 [济] ；爱克厥威，允罔功。		《尚书》__周
3	 [济] 河惟兖州。		《尚书》__周
4	浮于 [济] 、漯，达于河。		《尚书》__周
5	浮于汶，达于 [济] 。		《尚书》__周
6	导沇水，东流为 [济] ，入于河，溢为荥；东出于陶丘北，又东至于菏，又东北，会于汶，又北，东入于海。		《尚书》__周
7	既反侵地，正封疆，地南至于☆阴，西至于 [济] ，北至于河，东至于纪☆，有革车八百乘。		《国语》__春秋战国
8	遂南征伐楚， [济] 汝，逾方城，望汶山，使贡丝于周而反。		《国语》__春秋战国
9	西征攘白狄之地，至于西河，方舟设☆，乘桴 [济] 河，至于石枕。		《国语》__春秋战国
10	当蹇之时，必见大人，然后可以 [济] 难。		《周易》__周
11	柔顺中正，正应在上，而在险中，故蹇而又蹇，以求 [济] 之，非以其身之故		《周易》__周
12	连于九三，合力以 [济] 。		《周易》__周
13	来就九五，与之 [济] 蹇，则有硕大之		《周易》__周
14	为大川广谷之不可 [济] 。		《墨子》__春秋战国
15	诸侯伐秦，及泾莫 [济] 。		《国语》__春秋战国
16	叔向退，召州虞与司马，曰：“夫苦匏不材于人，共 [济] 而已。		《国语》__春秋战国
17	是行也，鲁人以莒人先 [济] ，诸侯从之。		《国语》__春秋战国
18	予惟小子，若涉渊水，予惟往求朕攸 [济] 。		《尚书》__周
19	尔尚明时朕言，用敬保元子钊弘 [济] 于艰难，柔远能迩，安劝小大庶邦。		《尚书》__周
20	今事已 [济] 矣，蠡请从会稽之罚。”		《国语》__春秋战国
21	九四，处位不当，不能 [济] 物，而初六方困于		《周易》__周
22	阙为深沟，通于商、鲁之间，北属之沂，西属之 [济] ，以会晋公午于黄池。		《国语》__春秋战国
23	必有忍，其乃有 [济] ；有容，德乃大。		《尚书》__周
24	今在予小子旦，若游大川，予往暨汝奭其 [济] 。		《尚书》__周
25	懋乃攸绩，睦乃四邻，以蕃王室，以和兄弟，康 [济] 小民。		《尚书》__周
26	齐之清 [济] 蜀河，足以为限；长城巨防，足以为塞。		《韩非子》__春秋战国
27	尔惟自鞠自苦，若乘舟，汝弗 [济] ，臭厥载。		《尚书》__周
28	叔无孙曰：“吾闻之，君子 [济] 人於患，必离其难。”		《吕氏春秋》__春秋战国
29	三十有一年春，取 [济] 西田。		《榖梁传》__春秋战国
30	背法而治，此任重道远而无马、牛， [济] 大川而无船、揖也。		《商君书》__春秋战国
31	若金，用汝作砺；若 [济] 巨川，用汝作舟楫；若岁大旱，用汝作霖雨。		《尚书》__周
32	禽子问杨朱曰：“去子体之一毛，以 [济] 一世，汝为 之乎？”		《列子》__春秋战国
