语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：涉
2022/7/10 23:00:21

序号	语句	书名	朝代
1	尝为大夫，与之 [涉] 公事矣。		《榖梁传》__春秋战国
2	益：利有攸往，利 [涉] 大川。		《周易》__周
3	下震上巽，皆木之象，故其占利有所往，而利 [涉] 大川也。		《周易》__周
4	鲁叔孙赋《匏有苦叶》，必将 [涉] 矣。		《国语》__春秋战国
5	利 [涉] 大川”，木道乃行。		《周易》__周
6	予惟小子，若 [涉] 渊水，予惟往求朕攸济。		《尚书》__周
7	晋果使祭事先，因令杨子将卒十二万而随之， [涉] 於棘津，袭聊、阮、梁蛮氏，灭三国焉。		《吕氏春秋》__春秋战国
8	越大夫种乃唱谋曰：“吾谓吴王将 [涉] 吾地，今罢师而不戒以忘我，我不可以怠。		《国语》__春秋战国
9	越之左军、右军乃遂 [涉] 而从之，又大败之于没，又郊败之，三战三北，乃至于吴。		《国语》__春秋战国
10	夜中，乃命左军、右军 [涉] 江鸣鼓中水以须。		《国语》__春秋战国
11	越王乃令其中军衔枚潜 [涉] ，不鼓不  以袭攻之，吴师大北。		《国语》__春秋战国
12	不有敬 事，不敢袒裼，不 [涉] 不撅，亵衣衾不见里。		《礼记》__春秋战国
13	盘庚作，惟 [涉] 河以民迁。		《尚书》__周
14	秦师至，鄢、郢举，若振槁；唐蔑死于垂 [涉] ，庄☆发于内，楚分为五。		《商君书》__春秋战国
15	今殷其沦丧，若 [涉] 大水，其无津涯。		《尚书》__周
16	心之忧危，若蹈虎尾， [涉] 于春冰。		《尚书》__周
17	还反 [涉] 江，至於中流，有两蛟夹绕其船。		《吕氏春秋》__春秋战国
18	涣：亨，王假有庙，利 [涉] 大川，利贞。		《周易》__周
19	又以巽木坎水，舟楫之象，故利 [涉] 大川。		《周易》__周
20	利 [涉] 大川”，乘木有功也。		《周易》__周
21	火过，徐行而出，若无所经 [涉] 者，襄子怪而留之，徐而察 之：形色七窍，人也；气息音声，人也。		《列子》__春秋战国
22	襄子曰：“而向之所出者，石也；而向之所 [涉] 者， 火也。”		《列子》__春秋战国
23	斫朝 [涉] 之胫，剖贤人之心，作威杀戮，毒痡四海。		《尚书》__周
24	中孚：豚鱼吉，利 [涉] 大川，利贞。		《周易》__周
25	而利 [涉] 大川，又必利于贞也。		《周易》__周
26	利 [涉] 大川”，乘木舟虚也。		《周易》__周
27	豫兮若冬 [涉] 		《老子》__春秋战国
28	六三，未济，征凶，利 [涉] 大川。		《周易》__周
29	阴柔不中正，居未济之时，以征则凶，然以柔乘刚，将出乎坎，有利 [涉] 之		《周易》__周
30	野人之用兵也，鼓声则似雷，号呼则动地，尘气充天，流矢如雨，扶伤舆死，履肠 [涉] 血，无罪之民，其死者量於泽矣，而国之存亡、主之死生犹不可知也。		《吕氏春秋》__春秋战国
31	子产为之诗曰：“子惠思我，蹇裳 [涉] 洧，子不我思，岂无他士！”		《吕氏春秋》__春秋战国
32	子夏之晋，过卫，有读史记者曰：“晋师三豕 [涉] 河。”		《吕氏春秋》__春秋战国
33	至於晋而问之，则曰“晋师己亥 [涉] 河”也。		《吕氏春秋》__春秋战国
34	刑鬼侯之女而取其环，截 [涉] 者胫而视其髓，杀梅伯而遗文王其醢，不适也。		《吕氏春秋》__春秋战国
35	送子 [涉] 淇，至于顿丘。		《诗经》__周
36	豫若冬 [涉] 川，犹若畏四邻。”		《老子想尔注》__春秋战国
