语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：涕
2022/7/10 23:01:23

序号	语句	书名	朝代
1	二三妇之辱共先者祀，请无瘠色，无洵 [涕] ，无☆膺，无忧容，有降服，无加服。		《国语》__春秋战国
2	上六，赍咨 [涕] 洟，无咎。		《周易》__周
3	《象》曰：“赍咨 [涕] 洟”，未安上也。		《周易》__周
4	文王流 [涕] 而咨之。		《吕氏春秋》__春秋战国
5	齐量公游于牛山，北临其国城而流 [涕] 曰：“美哉国乎！		《列子》__春秋战国
6	公雪 [涕] 而顾晏子曰：“寡人今日之游悲，孔与据皆从寡 人而泣，子之独笑，何也？”		《列子》__春秋战国
7	以其迭 处之，迭去之，至于君也，而独为之流 [涕] ，是不仁也。		《列子》__春秋战国
8	不见复关，泣 [涕] 涟涟。		《诗经》__周
9	韩娥因曼声哀哭，一里老幼悲悉， 垂 [涕] 相对，三日不食。		《列子》__春秋战国
10	来丹垂 [涕] 曰：“愿子为我谋。”		《列子》__春秋战国
11	眷言顾之，潸焉出 [涕] 。		《诗经》__周
12	心之忧矣， [涕] 既陨之。		《诗经》__周
13	曾子泣 [涕] 曰∶「有異心乎哉！」		《荀子》__春秋战国
14	眷焉顧之，潸焉出 [涕] ！」		《荀子》__春秋战国
15	六五，出 [涕] 沱若，戚嗟若，吉。		《周易》__周
16	晏子死，景公操玉加于晏子而哭之， [涕] 沾襟。		《晏子春秋》__春秋战国
17	’ [涕] 出而女于吴。		《孟子》__春秋战国
18	上六，赍咨 [涕] 洟，无咎。		《周易》__周
19	《象》曰：“赍咨 [涕] 洟”，未安上也。		《周易》__周
20	瞻望弗及，泣 [涕] 如雨。		《诗经》__周
21	逢于何遂葬其母路寝之牖下，解衰去☆，布衣履，元冠芘武，踊而不哭，而不拜，已乃 [涕] 而去。		《晏子春秋》__春秋战国
22	肠纷纭以缭转兮， [涕] 渐渐其若屑。		《楚辞》__春秋战国
23	遭倾遇祸不可救兮，长吟永欷 [涕] 究究兮，		《楚辞》__春秋战国
24	倚石岩以流 [涕] 兮，忧憔悴而无乐。		《楚辞》__春秋战国
25	长嘘吸以於悒兮， [涕] 横集而成行。		《楚辞》__春秋战国
26	 [涕] 流交集兮，泣下涟涟。		《楚辞》__春秋战国
27	留思北顾 [涕] 渐渐兮，折锐摧矜凝氾滥兮，		《楚辞》__春秋战国
28	望高丘而叹 [涕] 兮，悲吸吸而长怀。		《楚辞》__春秋战国
29	丁时逢殃可奈何兮，劳心悁悁 [涕] 滂沱兮。		《楚辞》__春秋战国
30	以其迭处之，迭去之，至于君也，而独为之流 [涕] ，是不仁也。		《晏子春秋》__春秋战国
31	叹曰：倘佯垆阪沼水深兮，容与汉渚 [涕] 淫淫兮，		《楚辞》__春秋战国
32	景公游于牛山，北临其国城，而流 [涕] 曰：“若何去此而死乎！”		《晏子春秋》__春秋战国
33	晏子独笑于旁，公刷 [涕] 而顾晏子曰：“寡人今日游悲，孔与据皆从寡人而 [涕] 泣，子之独笑，何也？”		《晏子春秋》__春秋战国
34	歌终，顾而流 [涕] ，张躬而舞。		《晏子春秋》__春秋战国
35	歌终，喟然叹而流 [涕] 。		《晏子春秋》__春秋战国
36	武王乃恐惧，太息流 [涕] ，命周公旦进殷之遗老，而问殷之亡故，又问众之所说，民之所欲。		《吕氏春秋》__春秋战国
37	思哽饐兮诘诎， [涕] 流澜兮如雨。		《楚辞》__春秋战国
38	车軏折兮马虺颓，惷怅立兮 [涕] 滂沲。		《楚辞》__春秋战国
39	卷佩将逝兮， [涕] 流滂沲。		《楚辞》__春秋战国
40	横垂 [涕] 兮泫流，悲余后兮失灵。		《楚辞》__春秋战国
41	横流 [涕] 兮潺湲，隐思君兮陫侧。		《楚辞》__春秋战国
42	公慨焉叹， [涕] 出曰：“嗟乎！		《吕氏春秋》__春秋战国
43	望北山而流 [涕] 兮，临流水而太息。		《楚辞》__春秋战国
44	望长楸而太息兮， [涕] 淫淫其若霰。		《楚辞》__春秋战国
45	子綦索然出 [涕] 曰：“吾子何		《庄子》__春秋战国
46	倚结軨兮长太息， [涕] 潺湲兮下霑轼。		《楚辞》__春秋战国
47	罔流 [涕] 以聊虑兮，惟著意而得之。		《楚辞》__春秋战国
48	思美人兮，揽 [涕] 而儜眙。		《楚辞》__春秋战国
49	长太息以掩 [涕] 兮，哀民生之多艰。		《楚辞》__春秋战国
50	揽茹蕙以掩 [涕] 兮，霑余襟之浪浪。		《楚辞》__春秋战国
51	忽反顾以流 [涕] 兮，哀高丘之无女。		《楚辞》__春秋战国
52	思旧故以想像兮，长太息而掩 [涕] 。		《楚辞》__春秋战国
53	及子产卒，仲尼闻之，出 [涕] 曰：“古之遗爱也。”		《左传》__春秋战国
54	反袂拭面 [涕] 沾袍。		《公羊传》__春秋战国
55	六五，出 [涕] 沱若，戚嗟若，吉。		《周易》__周
56	其辞指甚哀，太后闻之为垂 [涕] ，不御食。		《汉书》__汉
57	行道之人为之陨 [涕] ，况于陛下，时登高远望，独不渐于延陵乎！”		《汉书》__汉
58	太后因 [涕] 泣而言，旁侧长御以下皆垂 [涕] 。		《汉书》__汉
59	颜回问仲尼曰：“孟孙才，其母死，哭泣无 [涕] ，中心不戚，居丧不		《庄子》__春秋战国
60	列子入，泣 [涕] 沾襟以告		《庄子》__春秋战国
61	叔旦泣 [涕] 于常悲，不能对王。		《逸周书》__春秋战国
62	叔旦恐，泣 [涕] 其手。		《逸周书》__春秋战国
63	臧孙入，哭甚哀，多 [涕] 。		《左传》__春秋战国
64	遂入见王， [涕] 泣膝行，左右侍御皆出 [涕] 。		《汉书》__汉
65	王相安乐迁长乐卫尉，遂见安乐，流 [涕] 谓曰：“王立为天子，日益骄溢，谏之不复听，今哀痛未尽，日与近臣饮食作乐，斗虎豹，召皮轩，车九流，驱驰东西，所为悖道。		《汉书》__汉
66	仰视兮云屋，双 [涕] 兮横流。		《汉书》__汉
67	迁俯首流 [涕] 曰：“小子不敏，请悉论先人所次旧闻，不敢阙。”		《汉书》__汉
68	然李陵一呼劳军，士无不起，躬流 [涕] ，沫血饮泣，张空，冒白刃，北首争死敌。		《汉书》__汉
69	式对曰：“臣以《诗》三百五篇朝夕授王，至于忠臣孝子之篇，未尝不为王反复诵之也；至于危亡失道之君，未尝不流 [涕] 为王深陈之也。		《汉书》__汉
70	读策毕，莽亲执孺子手，流 [涕] DF4F欷，曰：“昔周公摄位，终得复子明辟，今予独迫皇天威命，不得如意！”		《汉书》__汉
71	使击筑歌，无不 [涕] 位而去者。		《风俗通义》__汉
72	冬十月，滕成公来会葬，惰而多 [涕] 。		《左传》__春秋战国
73	时令汝南应融义高闻之惊愕，即严便出，径诣床蓐，手自擦摸，对之垂 [涕] ，曰：“伯休不世英才，当为国家干辅。		《风俗通义》__汉
74	高渐离击筑，荆轲和歌，为变徵之音，士皆垂发 [涕] ＋。		《风俗通义》__汉
75	’举踵思慕，若枯旱之望雨，ED7C夫为之垂 [涕] ，况乎上圣，又乌能已？		《汉书》__汉
76	弟子修之，以告孔子，孔子流 [涕] 曰：“吾闻之，古者不修墓。”		《汉书》__汉
77	昔白起为秦将，南拔郢都，北坑赵括，以纤介之过，赐死杜邮，秦民怜之，莫不陨 [涕] 。		《汉书》__汉
78	且盛荆棘之林，而长养麋鹿，广狐兔之苑，大虎狼之虚，又坏人冢墓，发人室庐，令幼弱怀土而思，耆老泣 [涕] 而悲，是其不可二也。		《汉书》__汉
79	于是为之垂 [涕] 叹息良久，曰：“法令者，先帝所造也，用弟故而诬先帝之法，吾何面目入高庙乎！		《汉书》__汉
80	江陵父老流 [涕] 窃言曰：“吾王不反矣！”		《汉书》__汉
81	护闻之，流 [涕] 责其妻子曰：“吕公以故旧穷老托身于我，义所当奉。”		《汉书》__汉
82	臣身远与寡，莫为之先，众口铄金，积毁销骨，丛轻折轴，羽翮飞肉，纷惊逢罗，潸然出 [涕] 。		《汉书》__汉
83	又怪屈原文过相如，至不容，作《离骚》，自投江而死，悲其文，读之未尝不流 [涕] 也。		《汉书》__汉
84	临江濒而掩 [涕] 兮，何有《九招》与《九歌》？		《汉书》__汉
85	被因流 [涕] 而起。		《汉书》__汉
86	上壮其节，为流 [涕] ，发卒二千人，以上礼葬焉。		《汉书》__汉
87	鹤跱而不食，昼吟宵哭，面若死灰，颜色霉墨， [涕] 液交集， 以见秦王。		《淮南子》__汉
88	太后下诏曰：“公每见，叩头流 [涕] 固辞，今移病，固当听其让，令视事邪？		《汉书》__汉
89	承天当古，制礼以治民，作乐以移风，四海奔走，百蛮并臻，辞去之日，莫不陨 [涕] ，非有款诚，岂可虚致？		《汉书》__汉
90	今公每见，辄流 [涕] 叩头言愿不受赏，赏即加不敢当位。		《汉书》__汉
91	百姓莫不流 [涕] 。		《汉书》__汉
92	昔周人有仕数不遇，年老白首，泣 [涕] 於涂者。		《论衡》__汉
93	故哭之发于口， [涕] 之出于目，		《淮南子》__汉
94	哙等见上，流 [涕] 曰：“始，陛下与臣等起丰沛，定天下，何其壮也！		《汉书》__汉
95	赵王迁流于房陵，思故乡，作《山水》之讴，闻者莫不殒 [涕] 。		《淮南子》__汉
96	孔子曰：“予乡者入而哭之，遇於一哀而出 [涕] ，予恶夫 [涕] 之无从也，小子行之。”		《论衡》__汉
97	载至长乐宫，与俱谒太后，太后垂 [涕] ，女亦悲泣。		《汉书》__汉
98	吊旧馆，脱骖以赙，恶 [涕] 无从；哭颜渊恸，请车不与，使恸无副。		《论衡》__汉
99	岂 [涕] 与恸殊，马与车异邪？		《论衡》__汉
100	王俯而泣， [涕] 沾襟，起而拜群大夫。		《淮南子》__汉
101	太子再拜而跪，膝行流 [涕] ，有顷而后言曰：“丹所以诫田先生毋言者，欲以成大事之谋也。		《史记》__汉
102	於期仰天太息流 [涕] 曰：“於期每念之，常痛於骨髓，顾计不知所出耳！”		《史记》__汉
103	蔡泽，山东之匹夫也，顉颐折頞， [涕] 涶流沫，西揖强秦之相，扼其咽，炕其气，附其背而夺其位，时也。		《汉书》__汉
104	使击筑而歌，客无不流 [涕] 而去者。		《史记》__汉
105	已盟，章邯见羽流 [涕] ，为言赵高。		《汉书》__汉
106	孔子泫然流 [涕] 曰：“吾闻之，古不修墓。”		《论衡》__汉
107	如孔子先知，当先知防墓崩，比门人至，宜流 [涕] 以俟之。		《论衡》__汉
108	戚夫人泣 [涕] ，上曰：“为我楚舞，吾为若楚歌。”		《汉书》__汉
109	歌数阕，戚夫人歔欷流 [涕] 。		《汉书》__汉
110	臣窃惟事势，可为痛哭者一，可为流 [涕] 者二，可为长太息者六，若其它背理而伤道者，难遍以疏举。		《汉书》__汉
111	医能治之，而上不使，可为流 [涕] 者此也。		《汉书》__汉
112	德可远施，威可远加，而直数百里外威令不信，可为流 [涕] 者此也。		《汉书》__汉
113	荆和献宝於楚，楚刖其足，痛宝不进，己情不达，泣 [涕] ， [涕] 尽因续以血。		《论衡》__汉
114	今高子痛亲，哀极 [涕] 竭血随而出，实也。		《论衡》__汉
115	厉、武之时，卞和献玉，刖其两足，奉玉泣出， [涕] 尽续之以血。		《论衡》__汉
116	越为吕后泣 [涕] ，自言亡罪，愿处故昌邑。		《汉书》__汉
117	或赍酒食，请於惠人之前，〔求〕出其泣，惠人终不为之陨 [涕] 。		《论衡》__汉
118	雍门子悲哭，孟尝君为之流 [涕] 。		《论衡》__汉
119	而歌，桓公举以大政；雍门子以哭见孟尝君， [涕] 流沾缨。		《淮南子》__汉
120	为之流 [涕] ，而拜其二客为都尉，发卒二千，以王者礼葬横。		《汉书》__汉
121	翁叔从上上甘泉，拜谒起立，向之泣 [涕] 沾襟，久乃去。		《论衡》__汉
122	犹旧交相阔远，卒然相见，欢欣歌笑，或至悲泣 [涕] ，偃伏少久，则示行各恍忽矣。		《论衡》__汉
123	已盟，章邯见项羽而流 [涕] ，为言赵高。		《史记》__汉
124	邑，流 [涕] 狼戾不可止。		《淮南子》__汉
125	寤其外邦，叹其喟然，念我祖考，泣 [涕] 其涟。		《汉书》__汉
126	迁俯首流 [涕] 曰：“小子不敏，请悉论先人所次旧闻，弗敢阙。”		《史记》__汉
127	反袂拭面，泣 [涕] 沾襟。		《论衡》__汉
128	孔子闻之，泫然流 [涕] 曰：“古者不修墓。”		《论衡》__汉
129	乃命卜筮，曰雨，曰济，曰 [涕] ，◇集解尚书作“■”。		《史记》__汉
130	○索隐 [涕] 音亦，尚书作“■”。		《史记》__汉
131	今此文作“ [涕] ”，是 [涕] 泣亦相连之状也。		《史记》__汉
132	徐广所见本“ [涕] ”作“洟”，“蒙”作“被”，义通而字变。		《史记》__汉
133	殷民闻之，皆为流 [涕] 。		《史记》__汉
134	魂精泄横，流 [涕] 长潸，◇集解徐广曰：“一云‘言未卒，因 [涕] 泣交流，嘘唏不能自止’也。”		《史记》__汉
135	盭夫为之垂 [涕] ，◇集解徐广曰：“盭音戾。”		《史记》__汉
136	因以 [涕] 下。		《史记》__汉
137	哙等见上流 [涕] 曰：“始陛下与臣等起丰沛，定天下，何其壮也！		《史记》__汉
138	太史公曰：余每读虞书，至於君臣相敕，维是几安，而股肱不良，万事堕坏，未尝不流 [涕] 也。		《史记》__汉
139	昆弟三人皆流 [涕] 拔剑自杀。		《史记》__汉
140	为之流 [涕] ，而拜其二客为都尉，发卒二千人，以王者礼葬田横。		《史记》__汉
141	’”於是吕泽立夜见吕后，吕后承间为上泣 [涕] 而言，如四人意。		《史记》__汉
142	戚夫人嘘唏流 [涕] ，上起去，罢酒。		《史记》__汉
143	於是窦后持之而泣，泣 [涕] 交横下。		《史记》__汉
144	於是气怨结而不扬， [涕] 满匡而横流，即起，历阶而去。		《史记》__汉
145	未尝不垂 [涕] ，想见其为人。		《史记》__汉
