语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：清
2022/7/10 23:12:00

序号	语句	书名	朝代
1	夙夜惟寅，直哉惟 [清] 。”		《尚书》__周
2	老耽贵柔，孔子贵仁，墨翟贵廉，关尹贵 [清] ，子列子贵虚，陈骈贵齐，阳生贵己，孙膑贵势，王廖贵先，儿良贵後。		《吕氏春秋》__春秋战国
3	齐之 [清] 济蜀河，足以为限；长城巨防，足以为塞。		《韩非子》__春秋战国
4	饮：重醴，稻醴 [清] 糟，黍醴 [清] 糟，梁醴 [清] 糟，或以酏为醴，黍酏，浆，水， 意，滥。		《礼记》__春秋战国
5	酒： [清] 、白。		《礼记》__春秋战国
6	升歌 [清] 庙，下管象，朱干玉戚，冕而舞 大武，皮弁素积，裼而舞大夏。		《礼记》__春秋战国
7	杨朱曰：“伯夷非亡欲，矜 [清] 之邮，以放饿死。		《列子》__春秋战国
8	 [清] 贞之误善之若此。”		《列子》__春秋战国
9	师旷曰：“此所谓 [清] 商也。”		《韩非子》__春秋战国
10	公曰：“ [清] 商固最悲乎？”		《韩非子》__春秋战国
11	师旷曰：“不如 [清] 徵。”		《韩非子》__春秋战国
12	公曰：“ [清] 徵可得而闻乎？”		《韩非子》__春秋战国
13	古之听 [清] 徵者，皆有德义之君也。		《韩非子》__春秋战国
14	平公提觞而起为师旷寿，反坐而问曰：“音莫悲于 [清] 徵乎？”		《韩非子》__春秋战国
15	师旷曰：“不如 [清] 角。”		《韩非子》__春秋战国
16	平公曰：“ [清] 角可得而闻乎？”		《韩非子》__春秋战国
17	昔者黄帝合鬼神于泰山之上，驾象车而六蛟龙，毕方并鎋，蚩尤居前，风伯进扫，雨师洒道，虎狼在前，鬼神在后，腾蛇伏地，凤皇覆上，大合鬼神，作为 [清] 角。		《韩非子》__春秋战国
18	孔子曰：“龙食乎 [清] 而游乎 [清] ，螭食乎 [清] 而游乎浊，鱼食乎浊而游乎浊。		《吕氏春秋》__春秋战国
19	皇帝 [清] 问下民鳏寡有辞于苗。		《尚书》__周
20	明 [清] 于单辞，民之乱，罔不中听狱之两辞，无或私家于狱之两辞！		《尚书》__周
21	为人臣者，譬之若手，上以修头，下以修足； [清] 暖寒热，不得不救；镆铘传体，不敢弗搏慼，无私贤哲之臣，无私事能之士。		《韩非子》__春秋战国
22	孰能浊以静之徐 [清] 。		《老子》__春秋战国
23	目辨白黑美惡，耳辨聲音 [清] 濁，口辨酸咸甘苦，鼻辨芬芳腥臊，骨體膚理辨寒暑疾養，是又人之所常生而有也，是無待而然者也，是禹桀之所同也。		《荀子》__春秋战国
24	天得一以 [清] 。		《老子》__春秋战国
25	天无以 [清] 将恐裂。		《老子》__春秋战国
26	阳之轻 [清] 未形，而阴之重浊有迹也。		《周易》__周
27	道气在间， [清] 微不见。		《老子想尔注》__春秋战国
28	昔齐人有欲金者， [清] 旦请冠而之市，适鬻金者之所，因攫其金而去。		《列子》__春秋战国
29	修采 [清] ，易道路，謹盜賊，平室律，以時順修，使賓旅安而貨財通，治市之事也。		《荀子》__春秋战国
30	 [清] 气不见，像如虚也，然呼吸不屈竭也，动之愈益出。“		《老子想尔注》__春秋战国
31	夷者，平且广；希者，大度形；微者，道炁 [清] ：此三事欲叹道之德美耳。“		《老子想尔注》__春秋战国
32	道炁常上下，经营天地内外，所以不见， [清] 微故也。		《老子想尔注》__春秋战国
33	肫若浊，浊以静之徐 [清] 。”		《老子想尔注》__春秋战国
34	虽师旷之 [清] 角，邹衍之吹律，亡以加之。		《列子》__春秋战国
35	河水 [清] 且涟猗。		《诗经》__周
36	河水 [清] 且直猗。		《诗经》__周
37	河水 [清] 且沦猗。		《诗经》__周
38	官人守數，君子養原；原 [清] 則流 [清] ，原濁崐則流濁。		《荀子》__春秋战国
39	君者，民之原也；原 [清] 則流 [清] ，原濁則流濁。		《荀子》__春秋战国
40	王实以为 [清] 都、紫微、钧 天、广乐，帝之所居。		《列子》__春秋战国
41	视其前，则酒未 [清] ，肴未昲。		《列子》__春秋战国
42	能载大圆者体乎大方镜大 [清] 者视乎大明，		《管子》__春秋战国
43	非爱{翣}也， [清] 有馀也。		《吕氏春秋》__春秋战国
44	 [清] 轻者上为天，浊重者下为地，冲和气者为人；故天地 含精，万物化生。”		《列子》__春秋战国
45	辟之犹夏之就 [清] 冬之就温焉，		《管子》__春秋战国
46	属天 [清] 而散， 属地浊而聚。		《列子》__春秋战国
47	○ [清] 人		《诗经》__周
48	 [清] 人在彭，驷介旁旁。		《诗经》__周
49	 [清] 人在消，驷介麃麃。		《诗经》__周
50	 [清] 人在轴，驷介陶陶。		《诗经》__周
