语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：游
2023/1/20 15:09:06

序号	语句	书名	朝代
1	罔 [游] 于逸，罔淫于乐。		《尚书》__周
2	人与人相畴，家与家相畴，世同居，少同 [游] 。		《国语》__春秋战国
3	为 [游] 士八十人，奉之以车马、衣裘，多其资币，使周 [游] 于四方，以号召天下之贤士。		《国语》__春秋战国
4	岂谓君无有，亦为君之东 [游] 津梁之上，无有难急也。		《国语》__春秋战国
5	若此则能顺其天，意气得 [游] 乎寂寞之宇矣，形性得安乎自然之所矣。		《吕氏春秋》__春秋战国
6	非特富贵 [游] 佚而择之也。		《墨子》__春秋战国
7	无若丹朱傲，惟慢 [游] 是好，傲虐是作。		《尚书》__周
8	朝廷曰退，燕 [游] 曰归，师役曰罢。		《礼记》__春秋战国
9	士依于德， [游] 于艺；工依于法， [游] 于说。		《礼记》__春秋战国
10	戎士冻馁，戎车待 [游] 车之☆，戎士待陈妾之余。		《国语》__春秋战国
11	海上之人有好蜻者，每居海上，从蜻 [游] ，蜻之至者百数而不止，前後左右尽蜻也，终日玩之而不去。		《吕氏春秋》__春秋战国
12	有 [游] 于子墨子之门者。		《墨子》__春秋战国
13	子墨子 [游] 公尚过于越。		《墨子》__春秋战国
14	有 [游] 于子墨子之门者。		《墨子》__春秋战国
15	有 [游] 于子墨子之间者。		《墨子》__春秋战国
16	子墨 [游] 荆耕柱子于楚。		《墨子》__春秋战国
17	今在予小子旦，若 [游] 大川，予往暨汝奭其济。		《尚书》__周
18	居於畎亩之中，而 [游] 入於尧之门。		《吕氏春秋》__春秋战国
19	进退周旋慎齐，升降、出入、揖 [游] ， 不敢哕噫、嚏咳、欠伸、跛倚、睇视，不敢唾Д。		《礼记》__春秋战国
20	故事《诗》、《书》谈说之士，则民 [游] 而轻其君；事处士，则民远而非其上；事勇士，则民竞而轻其禁；技艺之士用，则民剽而易徙；商贾之士佚且利，则民缘而议其上。		《商君书》__春秋战国
21	太康尸位，以逸豫灭厥德，黎民咸贰，乃盘 [游] 无度，畋于有洛之表，十旬弗反。		《尚书》__周
22	子墨子 [游] 公上过於越。		《吕氏春秋》__春秋战国
23	秦王饮食不甘， [游] 观不乐，意专在图赵，使臣斯来言，顺得身见，因急与陛下有计也。		《韩非子》__春秋战国
