语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：潜
2022/7/10 23:08:44

序号	语句	书名	朝代
1	江、汉朝宗于海，九江孔殷，沱、 [潜] 既道，云土、梦作乂。		《尚书》__周
2	浮于江、沱、 [潜] 、汉，逾于洛，至于南河。		《尚书》__周
3	岷、嶓既艺，沱、 [潜] 既道。		《尚书》__周
4	厥贡璆、铁、银、镂、砮磬、熊、罴、狐、狸、织皮，西倾因桓是来，浮于 [潜] ，逾于沔，入于渭，乱于河。		《尚书》__周
5	反其侵地棠、 [潜] ，使海于有蔽，渠弭于有渚，环山于有牢。”		《国语》__春秋战国
6	其味深长，最宜 [潜] 玩。		《大学中庸》__春秋战国
7	沈 [潜] ，刚克；高明，柔克。		《尚书》__周
8	越王乃令其中军衔枚 [潜] 涉，不鼓不  以袭攻之，吴师大北。		《国语》__春秋战国
9	乃使其臣张孟谈，于是乃 [潜]  行而出，反知伯之约，得两国之众，以攻知伯，禽其身，以复襄主之初。		《韩非子》__春秋战国
10	伯昏无人曰：“夫至人者，上窥青天，下 [潜] 黄泉，挥斥八极。		《列子》__春秋战国
11	商丘开先 窘于饥寒， [潜] 于牖北听之。		《列子》__春秋战国
12	馀气之 [潜] 然而动受气之 [潜] 然而哀胡得而治动，		《管子》__春秋战国
13	宜，而 [潜] 隐不露。		《周易》__周
14	 [潜] 虽伏矣，亦孔之炤。		《诗经》__周
15	初九： [潜] 龙，勿用。		《周易》__周
16	 [潜] 龙勿用”，阳在下也。“		《周易》__周
17	初九曰“ [潜] 龙勿用”，何谓也？		《周易》__周
18	乐则行之，忧则违之，确乎其不可拔， [潜] 龙也。”		《周易》__周
19	“ [潜] 龙勿用”，下也。“		《周易》__周
20	“ [潜] 龙勿用”，阳气 [潜] 藏。“		《周易》__周
21	 [潜] ”之为言也，隐而未见，行而未成，是以君子“弗用”也。		《周易》__周
22	○ [潜] 		《诗经》__周
23	猗与漆沮， [潜] 有多鱼。		《诗经》__周
24	《诗》云：“ [潜] 虽伏矣，亦孔之昭！”		《礼记》__春秋战国
25	 [潜] 周鼎於江淮兮，爨土[B185]於中宇。		《楚辞》__春秋战国
26	初九， [潜] 龙勿用。		《周易》__周
27	 [潜] ，捷言反。		《周易》__周
28	 [潜] 龙勿用，周公所系之辞，以断一爻之吉凶，所谓《爻辞》者也。		《周易》__周
29	 [潜] ，藏也。		《周易》__周
30	初阳在下，未可施用，故其象为 [潜] 龙。		《周易》__周
31	九二，刚健中正，出 [潜] 离隐，泽及于物，物所利见，故其象为见龙在田，其占为利见大人。		《周易》__周
32	“ [潜] 龙勿用”，阳在下也。		《周易》__周
33	下，谓 [潜] 。“		《周易》__周
34	，下 [潜] 黄泉，挥斥八极，神气不变。		《庄子》__春秋战国
35	 [潜] 龙”以下，先儒谓之《小		《周易》__周
36	初九曰“ [潜] 龙勿用”，何谓也？		《周易》__周
37	是而无闷，乐则行之，忧则违之，确乎其不可拔， [潜] 龙也。”		《周易》__周
38	!正中，不 [潜] 而未跃之时也。		《周易》__周
39	“ [潜] 龙勿用”，下也。“		《周易》__周
40	“ [潜] 龙勿用”，阳气 [潜] 藏。“		《周易》__周
41	鲸鱏兮幽 [潜] ，从虾兮游陼。		《楚辞》__春秋战国
42	 [潜] ”之为言也，隐而未见，行而未成，是以君子弗用也。		《周易》__周
43	玄蝯失於 [潜] 林兮，独偏弃而远放。		《楚辞》__春秋战国
44	驰其形性， [潜] 之万物，终身不		《庄子》__春秋战国
45	蛟龙 [潜] 於旋渊兮，身不挂於罔罗。		《楚辞》__春秋战国
46	甂瓯登於明堂兮，周鼎 [潜]  [潜] 乎深渊。		《楚辞》__春秋战国
47	吴人见舟于豫章，而 [潜] 师于巢。		《左传》__春秋战国
48	熹自蚤岁即尝受读而窃疑之，沈 [潜] 反复，盖亦有年，一旦恍然似有以得其要领者，然后		《大学中庸》__春秋战国
49	丧服、凶器不入宫， [潜] 服、贼器不入宫，奇服、怪民不入宫。		《周礼》__春秋战国
50	诗云：“ [潜] 虽伏矣，亦孔之昭！”		《大学中庸》__春秋战国
51	吴子欲因楚丧而伐之，使公子掩余、公子烛庸帅师围 [潜] 。		《左传》__春秋战国
52	楚莠尹然，工尹麇帅师救 [潜] 。		《左传》__春秋战国
53	左尹郤宛、工尹寿帅师至于 [潜] ，吴师不能退。		《左传》__春秋战国
54	龙一雌死， [潜] 醢以食夏后。		《左传》__春秋战国
55	不然，《周易》有之，在《乾》ⅰⅰ之《姤》ⅰⅳ，曰：‘ [潜] 龙勿用。		《左传》__春秋战国
56	秋，吴人侵楚，伐夷，侵 [潜] 、六。		《左传》__春秋战国
57	楚沈尹戌帅师救 [潜] ，吴师还。		《左传》__春秋战国
58	楚师迁 [潜] 于南冈而还。		《左传》__春秋战国
59	【经】二年春，公会戎于 [潜] 。		《左传》__春秋战国
60	【传】二年春，公会戎于 [潜] ，修惠公之好也。		《左传》__春秋战国
61	郑祭足、原繁、泄驾以三军军其前，使曼伯与子元 [潜] 军军其后。		《左传》__春秋战国
62	春，公会戎于 [潜] 。		《公羊传》__春秋战国
63	陈有宛丘，晋有 [潜] 丘，淮南有州黎丘。		《尔雅》__汉
64	九胜：一□□□□，二□□□□，三同恶 [潜] 某，四同好和因，五师□征恶，六迎旋便路，七明赂施舍，八幼子移成，九迪名书新。		《逸周书》__春秋战国
65	 [潜] ，深也。		《尔雅》__汉
66	 [潜] 、深，测也。		《尔雅》__汉
67	重曰：“ [潜] 玄官兮幽以清，应门闭兮禁闼ECE7。		《汉书》__汉
68	济为濋，汶为氵阐，洛为波，汉为 [潜] ，淮为浒，江为沱，濄为洵。		《尔雅》__汉
69	曰： [潜] 天而天， [潜] 地而地。		《法言》__汉
70	心之 [潜] 也，犹将测之。		《法言》__汉
71	曰：时飞则飞，时 [潜] 则 [潜] ，既飞且 [潜] 		《法言》__汉
72	曰：时未可而 [潜] ，不亦贞乎！		《法言》__汉
73	 [潜] 、升在己，用之以时，不亦亨乎！		《法言》__汉
74	训卒利兵，秣马蓐食， [潜] 师夜起。		《左传》__春秋战国
75	三月，晋侯 [潜] 会秦伯于王城。		《左传》__春秋战国
76	含弘履中，开阴布纲，上含皇极，其施光明，指天画地，神化 [潜] 通，煌煌盛美，不可胜量。”		《风俗通义》__汉
77	二年春，公会戎于 [潜] 。		《榖梁传》__春秋战国
78	杞子自郑使告于秦，曰：“郑人使我掌其北门之管，若 [潜] 师以来，国可得也。”		《左传》__春秋战国
