语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：灵
2022/7/10 23:16:22

序号	语句	书名	朝代
1	因甲于内乱，不克 [灵] 承于旅；罔丕惟进之恭，洪舒于民。		《尚书》__周
2	惟我周王 [灵] 承于旅，克堪用德，惟典神天。		《尚书》__周
3	明德者，人之所得乎天，而虚 [灵] 不昧，以具众理而应万事者也。		《大学中庸》__春秋战国
4	葬许 [灵] 公		《榖梁传》__春秋战国
5	盖人心之 [灵] 莫不有知，而天下之物莫不有理，惟于理有未穷，故其知有不尽也。		《大学中庸》__春秋战国
6	以君之 [灵] ，鬼神降衷，罪人克伏其辜，群臣莫敢宁处，将待君命。		《国语》__春秋战国
7	盖人心之 [灵] 莫不有知，而天下之物莫不有		《大学中庸》__春秋战国
8	仲尼曰：“山川之 [灵] ，足以纪纲天下者，其守为神；社稷之守者，为公侯。		《国语》__春秋战国
9	王若曰：“尔殷多士，今惟我周王丕 [灵] 承帝事，有命曰：‘割殷，’告敕于帝。		《尚书》__周
10	肆予冲人，非废厥谋，吊由 [灵] 各；非敢违卜，用宏兹贲。		《尚书》__周
11	昔者楚 [灵] 王为申之会，宋太子后至，执而囚之；狎徐君；拘齐庆封。		《韩非子》__春秋战国
12	居未期年， [灵] 王南游，群臣从而劫之。		《韩非子》__春秋战国
13	 [灵] 王饿而死乾溪之上。		《韩非子》__春秋战国
14	昔者卫 [灵] 公将之晋，至濮水之上，税车而放马，设舍以宿。		《韩非子》__春秋战国
15	 [灵] 公曰：“诺。”		《韩非子》__春秋战国
16	酒酣， [灵] 公起”。		《韩非子》__春秋战国
17	杨朱曰：“人肖天地之类，怀五常之性，有生之最 [灵] 者也。		《列子》__春秋战国
18	阴阳常调，日月常明，四时常若，风雨常均，字育常时， 年谷常丰；而土无札伤，人无夭恶，物无疵厉，鬼无 [灵] 响焉。		《列子》__春秋战国
19	苗民弗用 [灵] ，制以刑，惟作五虐之刑曰法。		《尚书》__周
20	惟天地万物父母，惟人万物之 [灵] 。		《尚书》__周
21	神得一以 [灵] 。		《老子》__春秋战国
22	 [灵] 将恐歇。		《老子》__春秋战国
23	晏子对曰：“使贤者常守之，则太公桓公将常守之 矣；使有勇者而常守之，则庄公 [灵] 公将常守之矣。		《列子》__春秋战国
24	荆 [灵] 王闻之，率诸侯以攻吴，围朱方，拔之。		《吕氏春秋》__春秋战国
25	圣人治， [灵] 其心，实其腹。”		《老子想尔注》__春秋战国
26	冬，十月，葬卫 [灵] 公。		《榖梁传》__春秋战国
27	荆之南有冥 [灵] 者，以五百岁为春， 五百岁为秋。		《列子》__春秋战国
28	晋 [灵] 公无道，从上弹人，而观其避丸也。		《吕氏春秋》__春秋战国
29	 [灵] 雨既零，命彼倌人，星言夙驾，说于桑田。		《诗经》__周
30	卫 [灵] 公天寒凿池，宛春谏曰：“天寒起役，恐伤民。”		《吕氏春秋》__春秋战国
31	 [灵] 公之论宛春，可谓知君道矣。		《吕氏春秋》__春秋战国
32	赫赫厥声，濯濯厥 [灵] 。		《诗经》__周
33	子言卫 [灵] 公之无道也，康子曰：“夫如是，奚而不丧？”		《论语》__春秋战国
34	赵宣子言韩献子于 [灵] 公，以为司马。		《国语》__春秋战国
35	宋人弑昭公，赵宣子请师于 [灵] 公以伐宋，公曰：“非晋国之急也。		《国语》__春秋战国
36	 [灵] 公将杀赵盾，不克。		《国语》__春秋战国
37	 [灵] 公虐，赵宣子骤谏，公患之，使☆☆贼之，晨往，则寝门辟矣，盛服将朝，早而假寐。		《国语》__春秋战国
38	令民无不咸出其力，以供皇天上帝、名山大川、四方之神，以祀宗庙社稷之 [灵] ，为民祈福。		《吕氏春秋》__春秋战国
