语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：烧
2023/1/20 15:17:17

序号	语句	书名	朝代
1	鲂、与，雏 [烧] ，雉芗， 无蓼。		《礼记》__春秋战国
2	尽杀崔杼之妻子及枝属， [烧] 其室屋，报崔杼曰：“吾已诛之矣。”		《吕氏春秋》__春秋战国
3	突泄一熛，而焚宫 [烧] 积。		《吕氏春秋》__春秋战国
4	令民无刈蓝以染，无 [烧] 炭，无暴布，门闾无闭，关市无索；挺重囚，益其食，游牝别其群，则絷腾驹，班马正。		《吕氏春秋》__春秋战国
5	是月也，土润溽暑，大雨时行， [烧] 薙行水，利以杀草，如以热汤，可以粪田畴，可以美土疆。		《吕氏春秋》__春秋战国
6	至於国邑之郊，不虐五谷，不掘坟墓，不伐树木，不 [烧] 积聚，不焚室屋，不取六畜。		《吕氏春秋》__春秋战国
7	是月也，农乃登黍，天子以雏尚黍，羞以含桃，先荐寝庙，令民无刈蓝以染，无 [烧] 炭，无暴布，门闾无闭，关市无索，挺重囚，益其食，游牝别其群，则絷腾驹，班马正。		《逸周书》__春秋战国
8	是月也，土润溽暑，大雨时，行 [烧] 剃，行水利，以杀草，如以热汤，可以粪田畴，又美图疆，行之是令。		《逸周书》__春秋战国
9	对曰：“夫社，束木而涂之，鼠因往托焉，熏之则恐 [烧] 其木，灌之则恐败其涂，此鼠所以不可得杀者，以社故也。		《晏子春秋》__春秋战国
10	到长安，莽皆 [烧] 杀之。		《汉书》__汉
11	灾宗庙， [烧] 宫馆，虽兴师众，弗能救也，是为火不炎上。		《汉书》__汉
12	所诛灭淮阳甚多，及死，仇家欲 [烧] 其尸，妻亡去，归葬。		《汉书》__汉
13	 [烧] 之，剔之，刻之，雒之。		《庄子》__春秋战国
14	京房《易传》曰：“君不思道，厥妖火 [烧] 宫”。		《汉书》__汉
15	公孙卿曰：“黄帝就青灵台，十二日 [烧] ，黄帝乃治明庭。		《汉书》__汉
16	使骑兵入 [烧] 回中宫，候骑至雍甘泉。		《汉书》__汉
17	见其服饰，使人归，欲自 [烧] 物。		《汉书》__汉
18	谒者护既发傅太后冢，崩压杀数百人；开丁BCA7椁户，火出炎四五丈，吏卒以水沃灭乃得入， [烧] 燔椁中器物。		《汉书》__汉
19	是以皇天震怒，火 [烧] 其殿，六年之间大命不遂，祸殃仍重，竟令孝哀帝受其余灾，大失天心，夭命暴崩，又令共王祭祀绝废，精魂无所依归。		《汉书》__汉
20	及汉兵诛莽，燔 [烧] 未央宫，后曰：“何面目以见汉家！”		《汉书》__汉
21	遂 [烧] 杀德，悍，兵发住其西界，欲待吴、楚俱进，北使匈奴与连和。		《汉书》__汉
22	莽燔 [烧] 良等于城北，令吏民会观之。		《汉书》__汉
23	乃二月癸巳之夜，甲午之辰，火 [烧] 霸桥，从东方西行，至甲午夕，桥尽火灭。		《汉书》__汉
24	诸王并自立，分为五单于，更相攻击，死者以万数，畜产大耗什八九，人民饥饿，相燔 [烧] 以求食，因大乖乱。		《汉书》__汉
25	＋， [烧] 土为也，围五寸半，长三寸半，有四孔，其二通，凡为六孔。		《风俗通义》__汉
26	众兵发掘莽妻子父祖冢， [烧] 其棺椁及九庙、明堂、辟雍，火照城中。		《汉书》__汉
27	二日己酉，城中少年硃弟、张鱼等恐见卤掠，趋讠雚并和， [烧] 作室门，斧敬法闼，呼曰：“反虏王莽，何不出降？”		《汉书》__汉
28	兵弩自行，火从箧麓中起，衣物 [烧] 尽，而簏故完。		《风俗通义》__汉
29	会武陵蛮夷黄高攻 [烧] 南郡，鸿卿以威名素著，选登亚将，统六师之任，奋鸠虎之势。		《风俗通义》__汉
30	汉淮阳太守尹奇，其治严酷，死未及殓，怨家欲 [烧] 之，尸亦飞去，见于书傅。		《风俗通义》__汉
31	府藏完具，独未央宫 [烧] 攻莽三日，死则案堵复故。		《汉书》__汉
32	伯夷持被掩，足跣脱，几失再三，徐以剑带击魅脚，呼下火上照视，老狸正赤，略无衣毛，持下 [烧] 杀。		《风俗通义》__汉
33	赤眉遂 [烧] 长安宫室市里，害更始。		《汉书》__汉
34	今人卒得恶遇， [烧] 悟虎皮饮之，系其爪，亦能辟恶，此其验也。		《风俗通义》__汉
35	男子孙通等闻山中群鸟B06E鹊声，往视，见巢然，尽堕地中，有三B06EF071 [烧] 死。		《汉书》__汉
36	单于深入寇掠，贼害北地都尉，杀略吏民，系虏老弱，驱畜产， [烧] 积聚，候骑至甘泉，烽火通长安，京师震动，无不忧懑。		《风俗通义》__汉
37	羽遂屠 [烧] 咸阳，与范增谋曰：“巴、蜀道险，秦之迁民皆居蜀。”		《汉书》__汉
38	其后录功拜爵，下诏曰：“羌虏桀黠，贼害吏民，攻陇西府寺，燔 [烧] 置亭，绝道桥，甚逆天道。		《汉书》__汉
39	其后牧兒亡羊，羊入其凿，牧者持火照求羊，失火 [烧] 其臧椁。		《汉书》__汉
40	秦始皇之末至二世时，日月薄食，山陵沦亡，辰星出于四孟，太白经天而行，无云而雷，枉矢夜光，荧惑袭月，孽火 [烧] 宫，野禽戏廷，都门内崩，长人见临洮，石陨于东郡，星孛大角，大角以亡。		《汉书》__汉
41	外人发薪 [烧] 木城。		《汉书》__汉
42	始皇不畏戒自省，反夷灭其旁民，而燔 [烧] 其石。		《汉书》__汉
43	会暮，楼船攻败粤人，纵火 [烧] 城。		《汉书》__汉
44	楼船力攻 [烧] 敌，反驱而入伏波营中。		《汉书》__汉
45	是时，东郡 [烧] 草，以故薪柴少，而下淇园之竹以为揵。		《汉书》__汉
46	薪不属兮卫人罪， [烧] 萧条兮噫乎何以御水！		《汉书》__汉
47	独可翻 [烧] 耳。”		《汉书》__汉
48	掘出尸，皆 [烧] 为灰。		《汉书》__汉
49	令诸姬各持 [烧] 铁共灼望卿。		《汉书》__汉
50	时爱为去刺方领绣，去取 [烧] 之。		《汉书》__汉
51	去缚系柱， [烧] 刀灼溃两目，生割两股，销铅灌其口中。		《汉书》__汉
52	议者皆以为去悖虐，听后昭信谗言，燔 [烧] 亨煮，生割剥人，距师之谏，杀其父子。		《汉书》__汉
53	充将胡巫掘地求偶人，捕蛊及夜祠，视鬼，染污令有处，辄收捕验治， [烧] 铁钳灼，强服之。		《汉书》__汉
54	一曰，项羽坑秦卒， [烧] 宫室，弑义帝，乱王位，故彗加之也。		《汉书》__汉
55	天火 [烧] 城门。		《汉书》__汉
56	莽作焚如之刑， [烧] 杀陈良等，罢诸将率屯兵，但置游击都尉。		《汉书》__汉
57	《关睢》兴于鸟，而君子美之，为其雌雄 之不乖居也；《鹿鸣》兴于兽，君子大之，取其见食而相呼也；泓之战，军败君 获，而《春秋》大之，取其不鼓不成列也；宋伯姬坐 [烧] 而死，《春秋》大之，取 其不逾礼而行也。		《淮南子》__汉
58	今夫祭者，屠割烹杀，剥狗 [烧] 豕，调平五味 者，庖也；陈簠簋，列樽俎，设笾豆者，祝也；齐明盛服，渊默而不言，神之所 依者，尸也。		《淮南子》__汉
59	沛公归数日，羽引兵西屠咸阳，杀秦降王子婴， [烧] 秦宫室，所过残灭，秦民大失望。		《汉书》__汉
60	张良辞归韩，汉王送至褒中，因说汉王 [烧] 绝栈道，以备诸侯盗兵，亦视项羽无东意。		《汉书》__汉
61	无刈蓝以染，毋 [烧] 灰，毋暴布，门闾无闭，关市无索。		《淮南子》__汉
62	禁民无刈蓝以染，毋 [烧] 灰，毋暴布，门闾无闭，关市无索。		《淮南子》__汉
63	人禀性命，或当压溺兵 [烧] ，虽或慎操修行，其何益哉？		《论衡》__汉
64	河内失火， [烧] 千余家，上使黯往视之。		《汉书》__汉
65	还报曰：“家人失火，屋比延 [烧] ，不足忧。		《汉书》__汉
66	阖闾伐楚，五战入郢， [烧] 高府之粟， 破九龙之钟，鞭荆平王之墓，舍昭王之宫，昭王奔随，百姓父兄携幼扶老而随之， 乃相率而为致勇之寇，皆方命奋臂而为之斗。		《淮南子》__汉
67	羽 [烧] 杀信。		《汉书》__汉
68	汉王听其计，使卢绾、刘贾将卒二万人，骑数百，渡白马津入楚地，佐彭越 [烧] 楚积聚，复击破楚军燕郭西，攻下睢阳、外黄十七城。		《汉书》__汉
69	所当触值，谓兵 [烧] 压溺也。		《论衡》__汉
70	兵 [烧] 压溺，遭以所禀为命，未必有审期也。		《论衡》__汉
71	怀王约，入秦无暴掠，羽 [烧] 秦宫室，掘始皇帝冢，收私其财，罪四也。		《汉书》__汉
72	兵 至其郊，乃令军师曰：“毋伐树木，毋抉坟墓，毋 [烧] 五谷，毋焚积聚，毋捕民虏， 毋收六畜。”		《淮南子》__汉
73	夫水势胜火，章华之台 [烧] ，以升勺沃而救之，虽涸井而竭池，无奈之何也； 举壶榼盆盎而以灌之，其灭可立而待也。		《淮南子》__汉
74	行事，雷击杀人，水火 [烧] 溺人，墙屋压填人。		《论衡》__汉
