语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：焚
2023/1/20 15:16:53

序号	语句	书名	朝代
1	火炎昆冈，玉石俱 [焚] 。		《尚书》__周
2	既其葬也， [焚] ，烟彻于上。		《国语》__春秋战国
3	吴王既会，越闻愈章，恐齐、宋之为己害也，乃命王孙雒先与勇获帅徒师，以为过宾于宋，以 [焚] 其北郛焉而过之。		《国语》__春秋战国
4	越王句践乃率中军☆江以袭吴，入其郛， [焚] 其姑苏，徙其大舟。		《国语》__春秋战国
5	若以越国之罪为不可赦也，将 [焚] 宗庙，系妻孥，沈金玉于江，有带甲五千人将以致死，乃必有偶。		《国语》__春秋战国
6	 [焚] 之亦可，沈之亦 可，瘗之亦可，露之亦可，衣薪而弃诸沟壑亦可，衮衣绣裳而纳诸石椁亦可，唯 所遇焉。”		《列子》__春秋战国
7	九三，旅 [焚] 其次，丧其童仆，贞厉。		《周易》__周
8	《象》曰：“旅 [焚] 其次”，亦以伤矣。		《周易》__周
9	上九，鸟 [焚] 其巢，旅人先笑后号咷，丧牛于易，凶。		《周易》__周
10	《象》曰：以旅在上，其义 [焚] 也。“		《周易》__周
11	七年春，二月己亥， [焚] 咸丘。		《榖梁传》__春秋战国
12	 [焚] 炙忠良，刳剔孕妇。		《尚书》__周
13	壹战绵地五百里， [焚] 雍门之茨，侵车东至海。		《榖梁传》__春秋战国
14	上以法取焉，而以禮節用之，餘若丘山，不時 [焚] 燒，無所臧之。		《荀子》__春秋战国
15	聚柴积而 [焚] 之。		《列子》__春秋战国
16	七日，石乞曰：“患至矣，不能分人则 [焚] 之，毋令人以害我。”		《吕氏春秋》__春秋战国
17	守之而后修胜心 [焚] 海内，		《管子》__春秋战国
18	突泄一熛，而 [焚] 宫烧积。		《吕氏春秋》__春秋战国
19	是月也，无竭川泽，无漉陂池，无 [焚] 山林。		《吕氏春秋》__春秋战国
20	厩 [焚] 。		《论语》__春秋战国
