语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：熙
2022/7/10 23:06:24

序号	语句	书名	朝代
1	今尔尚宅尔宅，畋尔田，尔曷不惠王 [熙] 天之命？		《尚书》__周
2	诗云：“穆穆文王，于缉 [熙] 敬止！”		《大学中庸》__春秋战国
3	 [熙] ，光明也。		《大学中庸》__春秋战国
4	疑谋勿成，百志惟 [熙] 。		《尚书》__周
5	有能奋庸 [熙] 帝之载，使宅百揆亮采，惠畴？”		《尚书》__周
6	三载考绩，三考，黜陟幽明，庶绩咸 [熙] 。		《尚书》__周
7	允厘百工，庶绩咸 [熙] 。”		《尚书》__周
8	百工 [熙] 哉！”		《尚书》__周
9	诗云：“穆穆文王，于缉 [熙] 敬止！”		《大学中庸》__春秋战国
10	去废虐之主， [熙]  [熙] 然以俟死，一日、一月，一年、十年，吾所谓养。		《列子》__春秋战国
11	桀藉累世之资，居南面之尊， 智足以距群下，威足以震海内；恣耳目之所误，穷意虑之所为， [熙]  [熙] 然从至于死： 此天民之逸荡者也。		《列子》__春秋战国
12	纣亦藉累世之资，居南面之尊；威无不行，志无不从；肆情 于倾宫，纵欲于长夜；不以礼义自苦， [熙]  [熙] 然以至于诛：此天民之放纵者也。		《列子》__春秋战国
13	众人 [熙]  [熙] 如享太牢、如春登台。		《老子》__春秋战国
14	在家 [熙] 然有弃朕之心， 在朝谔然有敖朕之色。		《列子》__春秋战国
15	众人 [熙]  [熙] ，若亨大牢，若春登台。”		《老子想尔注》__春秋战国
16	《诗》云：“穆穆文王，于缉  [熙] 敬止！”		《礼记》__春秋战国
17	《大雅》曰：“穆穆文王， 于缉 [熙] 敬止。”		《礼记》__春秋战国
18	惟天之合，正风乃行，其音若 [熙]  [熙] 凄凄锵锵。		《吕氏春秋》__春秋战国
19	烈文辟公，绥以多福，俾缉 [熙] 于纯嘏。		《诗经》__周
20	日就月将，学有缉 [熙] 于光明。		《诗经》__周
21	时纯 [熙] 矣，是用大介。		《诗经》__周
22	维清缉 [熙] ，文王之典。		《诗经》__周
23	於缉 [熙] ！		《诗经》__周
24	王笑曰；“圣人非所与 [熙] 也，寡人反取病焉。”		《晏子春秋》__春秋战国
25	穆穆文王，于缉 [熙] 敬止。		《诗经》__周
26	夙夜基命宥密，於，缉 [熙] ！		《国语》__春秋战国
27	饣 [熙] 人掌凡祭祀共盛，共王及后之六食。		《周礼》__春秋战国
28	淳 [熙] 己酉春三月戊申，新安朱熹序		《大学中庸》__春秋战国
29	对曰：“少皞氏有四叔，曰重、曰该、曰修、曰 [熙] ，实能金、木及水。		《左传》__春秋战国
30	使重为句芒，该为蓐收，修及 [熙] 为玄冥，世不失职，遂济穷桑，此其三祀也。		《左传》__春秋战国
31	夏四月庚辰，辟杀子狐、子 [熙] 、子侯、子丁。		《左传》__春秋战国
32	夫赫胥氏之时，民居不知所为，行不知所之，含哺而 [熙] ，鼓腹而游。		《庄子》__春秋战国
33	考公，《世家》：即位四年，及炀公 [熙] 立。		《汉书》__汉
34	王子应之曰：“穆穆虞舜，明明赫赫，立义治律，万物皆作，分均天财，万物 [熙]  [熙] ，非舜而谁能？”		《逸周书》__春秋战国
35	今天下大安，万民 [熙]  [熙] ，独朕与单于为之父母。		《汉书》__汉
36	缉、 [熙] 、烈、显、昭、皓、颎，光也。		《尔雅》__汉
37	廞、 [熙] ，兴也。		《尔雅》__汉
38	 [熙]  [熙] 乎！		《左传》__春秋战国
39	匪唯雨之，又润泽之；匪唯偏我，泛布护之；万物 [熙]  [熙] ，怀而慕之。		《汉书》__汉
40	CD58于穆之缉 [熙] 兮，过《清庙》之雍雍；轶五帝之遐迹兮，蹑三皇之高踪。		《汉书》__汉
41	《诗》云：“日就月将，学有缉 [熙] 于光明。”		《淮南子》__汉
42	身若秋 药被风，发若结旌，骋驰若骛；木 [熙] 者，举梧槚，据句枉，蝯自纵，好茂叶， 龙夭矫，燕枝拘，援丰条，舞扶疏，龙从鸟集，搏援攫肆，蔑蒙踊跃。		《淮南子》__汉
43	夫鼓舞者非柔纵，而木 [熙] 者非 眇劲，淹浸渍渐摩使然也。		《淮南子》__汉
44	故《诗》云：“日就月将，学有缉 [熙] 于光明。”		《淮南子》__汉
45	古者设法而不犯，刑错而不用，非可刑而不刑也；百工维时，庶绩咸 [熙] ，礼 义修而任贤德也。		《淮南子》__汉
46	宜因昭时令曰，改定告元，苴白茅于江、淮，发嘉号于营丘，以应缉 [熙] ，使著事者有纪焉。		《汉书》__汉
47	而 [熙] 。		《淮南子》__汉
48	当此之时，万民猖狂，不知东西，含哺而游，鼓腹而 [熙] ，交被天和，食		《淮南子》__汉
