语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：燃
2023/1/20 15:16:44

序号	语句	书名	朝代
1	故物归类；抱薪趋火，燥者先 [燃] ；平地注水，湿者先濡；此物类相应，於事誓犹是也。		《鬼谷子》__春秋战国
2	从林军以至于今，秦七攻魏，五入囿中，边城尽拔，支台随（堕），垂都然（ [燃] ），林木伐，麋鹿尽，而国续以围。		《纵横家书》__春秋战国
3	田甲曰：“ [燃] 则溺之。”		《风俗通义》__汉
4	安国曰：“死灰独不复 [燃] 乎？”		《风俗通义》__汉
5	火 [燃] 木，扶桑，木也，十日处其上，宜燋枯焉。		《论衡》__汉
6	夫抱火厝之积薪之下而寝其上，火未及 [燃] ，因谓之安，方今之势，何以异此！		《汉书》__汉
7	欲之甚者，至或当风鼓Ｃ，向日 [燃] 炉，而天终不为冬夏易气，寒暑有节，不为人变改也。		《论衡》__汉
8	使火 [燃] ，以水沃之，可谓水贼火。		《论衡》__汉
9	本标相应，故阳燧见日，则 [燃] 而为火；方诸见月，则津而为水。		《淮南子》__汉
10	今夫陶冶者，初埏埴作器，必模范为形，故作之也； [燃] 炭生火，必调和炉灶，故为之也。		《论衡》__汉
11	今薪 [燃] 釜，火猛则汤热，火微则汤冷。		《论衡》__汉
12	能使厨自生肉，何不使饭自蒸於甑，火自 [燃] 於灶乎？		《论衡》__汉
13	天地之性，能更生火，不能使灭火复 [燃] ；能更生人，不能令死人复见。		《论衡》__汉
14	能使灰更为 [燃] 火，吾乃颇疑死人能复为形。		《论衡》__汉
15	案火灭不能复 [燃] 以况之，死人不能复为鬼，明矣。		《论衡》__汉
16	天下无独 [燃] 之火，世间安得有无体独知之精？		《论衡》__汉
17	积金如山， [燃] 一炭火以燔烁之，金必不消。		《论衡》__汉
18	昼日 [燃] 辀以望火烟，夜举燧以望火光也。		《史记》__汉
19	淫☆抱铜柱，大火相烧 [燃] ；诽谤清高士，铁钳拔其舌。		《世高译经》__汉
20	亦无经像恭恪之心；既不烧香、 [燃] 灯、礼拜，恒怀狐疑。		《世高译经》__汉
21	形像鲜明，朝暮礼拜，恭敬 [燃] 灯。		《世高译经》__汉
22	凿晋阳西山为大佛像，一夜 [燃] 油万盆，光照宫内。		《北史》__魏晋六朝
23	其犹外道，不减烦恼炽 [燃] 之火，少作苦行，卧荆棘上，五热炙身，而望清凉寂静之道，终无是处。		《百喻经》__魏晋六朝
24	常密于灰中藏火，驱逐僮仆，父母寝睡之后， [燃] 火读书，以衣被蔽塞窗户，恐漏光明，为家人所觉。		《北史》__魏晋六朝
25	来岁秋，马肥，复相率候于震所，埋羖羊， [燃] 火拔刀，女巫祝说，似如中国祓除，而群队驰马旋绕，百匝乃止。		《北史》__魏晋六朝
26	奇曰：“公贵人，不乏樵薪，何乃 [燃] 奇《论语》！”		《北史》__魏晋六朝
27	宿军地 [燃] ，一旬而灭，触地生蛆，月余乃止。		《北史》__魏晋六朝
28	既挂胆于西州，方 [燃] 脐于东市。		《梁书》__魏晋六朝
29	譬如其火，因及众缘若不具足，而不能 [燃] ；因及众缘具足之时，乃可得 [燃] 。		《东晋译经》__魏晋六朝
30	每七日， [燃] 香散花，复哭尽哀而止，百日、三年皆如之。		《北史》__魏晋六朝
31	男女二家，各八日不出，昼夜 [燃] 灯不息。		《北史》__魏晋六朝
32	原来一年一度的春色，又一次 [燃] 起了她重逢的希望，也撩拔着她那		《古诗十九首》__魏晋六朝
