语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：燔
2023/1/20 15:17:03

序号	语句	书名	朝代
1	其有折俎者，取祭肺，反之，不坐， [燔] 亦如之。		《礼记》__春秋战国
2	内通则积薪，积薪则 [燔] 柱。		《商君书》__春秋战国
3	赵襄子率徒十万，狩于中山，藉仍 [燔] 林，扇赫百里，有一人从石壁中出，随 烟烬上下，众谓鬼物。		《列子》__春秋战国
4	故阴气壮，则梦 涉大水而恐惧；阳气壮，则梦涉大火而 [燔] 内；阴阳俱壮，则梦生杀。		《列子》__春秋战国
5	金柔锡柔，合两柔则为刚， [燔] 之则为淖。		《吕氏春秋》__春秋战国
6	或湿而干，或 [燔] 而淖，类固不必，可推知也？		《吕氏春秋》__春秋战国
7	建设朝事， [燔] 燎膻 芗，见以萧光，以报气也。		《礼记》__春秋战国
8	羽剑珠饰者斩生之斧也文采纂组者 [燔] 功之也，		《管子》__春秋战国
9	 [燔] 柴于泰坛，祭天也；瘗埋于泰折，祭地也；用も犊。		《礼记》__春秋战国
10	执爨，为俎孔硕，或 [燔] 或炙。		《诗经》__周
11	其相知也，若比目之鱼；其见形也，若光之与影；其察言也不失，若磁石之取铁；若舌之取 [燔] 骨。		《鬼谷子》__春秋战国
12	有兔斯首，炮之 [燔] 之。		《诗经》__周
13	有兔斯首， [燔] 之炙之。		《诗经》__周
14	有兔斯首， [燔] 之炮之。		《诗经》__周
15	取率 [燔] 燎，升首，报阳 也。		《礼记》__春秋战国
16	曰：“孔子为鲁司寇，不用，从而祭， [燔] 肉不至，不税冕而行。		《孟子》__春秋战国
17	祭脂，取羝以軷，载 [燔] 载烈，以兴嗣岁。		《诗经》__周
18	醓醢以荐，或 [燔] 或炙。		《诗经》__周
19	旨酒欣欣， [燔] 炙芬芬。		《诗经》__周
20	次宾羞羊 [燔] ，缩执俎，缩一 [燔] 于俎上，盐在右。		《仪礼》__春秋战国
21	尸左执爵，受 [燔] ，扌耎于盐，坐振祭，哜之，兴，加于羊俎。		《仪礼》__春秋战国
22	次宾羞羊 [燔] ，如尸礼。		《仪礼》__春秋战国
23	次宾羞 [燔] ，主人受，如尸礼。		《仪礼》__春秋战国
24	次宾羞豕 [燔] 。		《仪礼》__春秋战国
25	尸左执爵，受 [燔] ，如羊 [燔] 之礼，坐卒爵，拜。		《仪礼》__春秋战国
26	次宾羞豕 [燔] ，侑受如尸礼，坐卒爵，拜。		《仪礼》__春秋战国
27	其受豕脀，受豕 [燔] ，亦如尸礼。		《仪礼》__春秋战国
28	次宾羞羊 [燔] 。		《仪礼》__春秋战国
29	主妇兴，受 [燔] ，如主人之礼。		《仪礼》__春秋战国
30	次宾羞牢 [燔] ，用俎，盐在右。		《仪礼》__春秋战国
31	尸兼取 [燔] 扌耎于盐，振祭，哜之。		《仪礼》__春秋战国
32	次宾羞 [燔] ，如尸礼。		《仪礼》__春秋战国
33	祭天， [燔] 柴。		《仪礼》__春秋战国
34	羞 [燔] 俎在内西塾上，南顺。		《仪礼》__春秋战国
35	宾以 [燔] 従，如初。		《仪礼》__春秋战国
36	尸祭 [燔] ，卒爵，如初。		《仪礼》__春秋战国
37	酌献祝，笾、 [燔] 従，献佐食，皆如初。		《仪礼》__春秋战国
38	宾长洗繶爵，三献， [燔] 従，如初仪。		《仪礼》__春秋战国
39	腥曰脤，熟曰 [燔] 。		《公羊传》__春秋战国
40	即将数千骑至校尉府，胁诸亭令 [燔] 积薪，分告诸壁曰：“匈奴十万骑来人，吏士皆持兵，后者斩！”		《汉书》__汉
41	兄弟长以 [燔] 従。		《仪礼》__春秋战国
42	羞 [燔] 者受，加于肵，出。		《仪礼》__春秋战国
43	献祝，笾 [燔] 従，如初仪。		《仪礼》__春秋战国
44	 [燔] 従如初。		《仪礼》__春秋战国
45	 [燔] 亦如之。		《仪礼》__春秋战国
46	洗爵，酌致于主人、主妇、 [燔] 従皆如初。		《仪礼》__春秋战国
47	公后背之，子推怒而去，抱木而 [燔] 死。		《庄子》__春秋战国
48	二者同事，所为一也，若曰 [燔] 贵而去不义云尔。		《汉书》__汉
49	两观、桓、釐庙、毫社，四者皆不当立，天皆 [燔] 其不当立者以示鲁，欲其去乱臣而用圣人也。		《汉书》__汉
50	视亲戚贵属在诸侯远正最甚者，忍而诛之，如吾 [燔] 辽东高庙乃可；视近臣在国中处旁仄及贵而不正者，忍而诛之，如吾 [燔] 高园殿乃可’云尔。		《汉书》__汉
51	在外而不正者，虽贵如高庙，犹灾 [燔] 之，况诸侯乎！		《汉书》__汉
52	在内不正者，虽贵如高园殿，犹 [燔] 灾之，况大臣乎！		《汉书》__汉
53	罪在外者天灾外，罪在内者天灾内， [燔] 甚罪当重， [燔] 简罪当轻，承天意之道也。”		《汉书》__汉
54	三年九月甲戌，东郡庄平男子侯母辟兄弟五人群党为盗，攻 [燔] 官寺，缚县长吏，盗取印绶，自称将军。		《汉书》__汉
55	湨梁之明年，子蟜老矣，公孙夏従寡君以朝于君，见于尝酎，与执 [燔] 焉。		《左传》__春秋战国
56	右将军王商、博士师丹、议郎翟方进等五十人以为：《礼记》曰“ [燔] 柴于太坛，祭天也；瘗E85F于大折，祭地也。”		《汉书》__汉
57	祭天曰 [燔] 柴，祭地曰瘗薶。		《尔雅》__汉
58	谒者护既发傅太后冢，崩压杀数百人；开丁BCA7椁户，火出炎四五丈，吏卒以水沃灭乃得入，烧 [燔] 椁中器物。		《汉书》__汉
59	及至秦始皇兼天下， [燔] 《诗》、《书》，杀术士，六学从此缺矣。		《汉书》__汉
60	及汉兵诛莽， [燔] 烧未央宫，后曰：“何面目以见汉家！”		《汉书》__汉
61	天地用牲一， [燔] 燎，瘗E85F用牲一，高帝、高后用牲一。		《汉书》__汉
62	天用牲左，及黍、稷 [燔] 燎南郊；地用牲右，及黍、稷瘗于北郊。		《汉书》__汉
63	兵至B16D地，令军毋 [燔] 聚落刍牧田中。		《汉书》__汉
64	莽 [燔] 烧良等于城北，令吏民会观之。		《汉书》__汉
65	诸王并自立，分为五单于，更相攻击，死者以万数，畜产大耗什八九，人民饥饿，相 [燔] 烧以求食，因大乖乱。		《汉书》__汉
66	十月曰合冻，腊 月曰涸冻，正月曰解冻，皆太守自侍祠，若有秽疾，代行事法，七十万五千，三牲 [燔] 柴上，福脯三十朐，县次传送京师。		《风俗通义》__汉
67	称皇帝，负力怙威， [燔] 书坑儒，自任私智。		《汉书》__汉
68	遂恣雎旧习，矫任其私知，坑儒 [燔] 书，以愚其黔首，穷奢肆欲。		《风俗通义》__汉
69	夫边郡之士，闻烽举燧 [燔] ，皆摄弓而弛，荷兵而走，流汗相属，惟恐居后，触白刃，冒流矢，议不反顾，计不旋踵，人怀怒心，如报私仇。		《汉书》__汉
70	其后录功拜爵，下诏曰：“羌虏桀黠，贼害吏民，攻陇西府寺， [燔] 烧置亭，绝道桥，甚逆天道。		《汉书》__汉
71	项籍 [燔] 其宫室营宇，往者咸见发掘。		《汉书》__汉
72	陵夷至于暴秦， [燔] 经书，杀儒士，设挟书之法，行是古之罪，道术由是遂灭。		《汉书》__汉
73	昔伯姬 [燔] 而诸侯惮，奈何乎陛下？”		《汉书》__汉
74	陛下诚能用臣朔之计，推甲乙之帐 [燔] 之于四通之衢，却走马示不复用，则尧、舜之隆宜可与比治矣。		《汉书》__汉
75	始皇不畏戒自省，反夷灭其旁民，而 [燔] 烧其石。		《汉书》__汉
76	子剌王建德嗣，宣帝时坐猎纵火 [燔] 民九十六家，杀二人，又以县官事怨内史，教人诬告以弃市罪，削八县，罢中尉官。		《汉书》__汉
77	议者皆以为去悖虐，听后昭信谗言， [燔] 烧亨煮，生割剥人，距师之谏，杀其父子。		《汉书》__汉
78	往者秦为无道，残贼天下，杀术士， [燔] 《诗》、《书》，灭圣迹，弃礼义，任刑法，转海濒之粟，致于西河。		《汉书》__汉
79	乱成于口，幸有季文子得免于祸，天犹恶之，生则不飨其祀，死则灾 [燔] 其庙。		《汉书》__汉
80	今徇南夷，朝夜郎，降羌僰，略E531州，建城邑，深入匈奴， [燔] 其龙城，议者美之。		《汉书》__汉
81	陛下盛日月之光，垂圣思于勒成，专神明之敬，奉 [燔] 瘗于郊官，献享之精交神，积和之气塞明，而异兽来获，宜矣。		《汉书》__汉
82	遂自贤圣， [燔] 《诗》、《书》，坑儒士；奢淫暴虐，务欲广地；南戍五岭，北筑长城，以备胡、越；堑山填谷，西起临洮，东至辽东，径数千里。		《汉书》__汉
83	今闽越王狠戾不仁，杀其骨肉，离其亲戚，所为甚多不义，又数举兵侵陵百越，并兼邻国，以为暴强，阴计奇策，入 [燔] 寻阳楼船，欲招会稽之地，以践句践之迹。		《汉书》__汉
84	火 [燔] 野草，车轹所致，火所不 [燔] ，俗或喜之，名曰幸草。		《论衡》__汉
85	俱之火也，或烁脂烛，或 [燔] 枯草。		《论衡》__汉
86	曰：冶者变更成器，须先以火 [燔] 烁，乃可大小短长。		《论衡》__汉
87	使之完廪，火 [燔] 其下；令之浚井，土掩其上。		《论衡》__汉
88	逮至夏桀、殷纣， [燔] 生人，辜谏者，为炮烙，铸金		《淮南子》__汉
89	南海王织上书献璧帛皇帝，忌擅 [燔] 其书，不以闻。		《汉书》__汉
90	然则荆轲湛七族，要离 [燔] 妻子，岂足为大王道哉！		《汉书》__汉
91	垂，以销铜铁，靡流坚锻，无厌足目，山无峻干，林无柘梓，燎木以为炭， [燔] 草		《淮南子》__汉
92	秦始皇用李斯之议， [燔] 烧诗书，後又坑儒。		《论衡》__汉
93	传语曰：“秦始皇帝 [燔] 烧诗书，坑杀儒士。”		《论衡》__汉
94	言 [燔] 烧诗书，灭去《五经》文书也；坑杀儒士者，言其皆挟经传文书之人也。		《论衡》__汉
95	言烧 [燔] 诗书、坑杀儒士，实也；言其欲灭诗书，故坑杀其人，非其诚，又增之也。		《论衡》__汉
96	 [燔] 诗书，起淳于越之谏；坑儒士，起自诸生为妖言，见坑者四百六十七人。		《论衡》__汉
97	如比於文吏，洗泥者以水， [燔] 腥生者用火。		《论衡》__汉
98	及至火之 [燔] 孟诸而炎云台，水决九江而渐荆 州，虽起三军之众，弗能救也。		《淮南子》__汉
99	秦 [燔] 《五经》，坑杀儒士，《五经》之家所共闻也。		《论衡》__汉
100	秦何起而 [燔] 《五经》，何感而坑儒生？		《论衡》__汉
101	秦 [燔] 《五经》，《易》何以得脱？		《论衡》__汉
102	古者采诗，诗有文也，今《诗》无书，何知非秦 [燔] 《五经》，《诗》独无余〔札〕也？		《论衡》__汉
103	至秦患之，乃 [燔] 灭文章，以愚黔首。		《汉书》__汉
104	及秦 [燔] 书，而《易》为筮卜之事，传者不绝。		《汉书》__汉
105	秦 [燔] 书禁学，济南伏生独壁藏之。		《汉书》__汉
106	案陶冶者之用烁铜 [燔] 器，故为之也。		《论衡》__汉
107	曰：“是喻人禀气不能纯一，若烁铜之下形， [燔] 器之得火也，非谓天地生人与陶冶同也。”		《论衡》__汉
108	及铜烁不能皆成，器 [燔] 不能尽善，不能故生也。		《论衡》__汉
109	人为雷所杀，询其身体，若 [燔] 灼之状也。		《论衡》__汉
110	人为蜂虿所螫，为毒气所中，为火所 [燔] ，为水所溺，又谁致之者？		《论衡》__汉
