语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：爱
2022/7/10 22:35:08

序号	语句	书名	朝代
1	尔乃迪屡不静，尔心未 [爱] 。		《尚书》__周
2	且君其图之，自桓叔以来，孰能 [爱] 亲？		《国语》__春秋战国
3	威克厥 [爱] ，允济； [爱] 克厥威，允罔功。		《尚书》__周
4	以众故不敢 [爱] 亲，众况厚之，彼将恶始而美终，以晚盖者也。		《国语》__春秋战国
5	虽欲 [爱] 君，惑不释也，今夫以君为纣，若纣有良子，而先丧纣，无章其恶而厚其败。		《国语》__春秋战国
6	为仁者， [爱] 亲之谓仁；为国者，利国之谓仁。		《国语》__春秋战国
7	寡人闻之，立太子之道三：身钧以年，年同以 [爱] ， [爱] 疑决之以卜、筮。		《国语》__春秋战国
8	程子曰：“夫 [爱] 其内助，妇 [爱] 其刑家。”		《周易》__周
9	子盍尽国以赂外内，无 [爱] 虚以求入，既入而后图聚。”		《国语》__春秋战国
10	终君之重 [爱] ，受君之重贶，而群臣受其大德，晋国其谁非君之群隶臣也？”		《国语》__春秋战国
11	然后人报我以 [爱] 利吾亲乎。		《墨子》__春秋战国
12	亡人无狷洁，狷洁不行，重赂配德，公子尽之，无 [爱] 财！		《国语》__春秋战国
13	然后人报我 [爱] 利吾亲乎。		《墨子》__春秋战国
14	若我先从事乎 [爱] 利人之亲。		《墨子》__春秋战国
15	即欲人之 [爱] 利其亲也。		《墨子》__春秋战国
16	然后人报我以 [爱] 利吾亲也。		《墨子》__春秋战国
17	毋先从事 [爱] 利人之亲者与。		《墨子》__春秋战国
18	即必吾先从事乎 [爱] 利人之亲。		《墨子》__春秋战国
19	然款也不敢 [爱] 死，唯与谗人钧是恶也。		《国语》__春秋战国
20	死必遗 [爱] ，死民之思，不亦可乎？”		《国语》__春秋战国
21	申生不敢 [爱] 其死，虽然，吾君老矣，国家多难，伯氏不出，奈吾君何？		《国语》__春秋战国
22	言能絜矩而以民心为己心，则是 [爱] 民如子，而民 [爱] 之如父母矣。		《大学中庸》__春秋战国
23	’吾言既往矣，岂能欲行吾言而又 [爱] 吾身乎？		《国语》__春秋战国
24	仁， [爱] 也。		《大学中庸》__春秋战国
25	若此者，知所 [爱] 恶矣，而未能尽 [爱] 恶之道，盖君子而未仁者也。		《大学中庸》__春秋战国
26	宣公使仆人以书命季文子曰：“夫莒太子不惮以吾故杀其君，而以其宝来，其 [爱] 我甚矣。		《国语》__春秋战国
27	仲孙它谏曰：“子为鲁上卿，相二君矣，妾不衣帛，马不食粟，人其以子为 [爱] ，且不华国乎！”		《国语》__春秋战国
28	大国亦弗之众而 [爱] 利。		《墨子》__春秋战国
29	上好仁以 [爱] 其下，则下好义以忠其上；所以事必有终，而府库之财无悖出之患也。		《大学中庸》__春秋战国
30	君服性命之情，去 [爱] 恶之心，用虚无为本，以听有用之言，谓之朝。		《吕氏春秋》__春秋战国
31	奚以知天之欲人之天兼而 [爱] 之。		《墨子》__春秋战国
32	能果决其决，不系私 [爱] ，则虽合于上六，如独行遇雨。		《周易》__周
33	故虽有贤君不 [爱] 无功之臣。		《墨子》__春秋战国
34	 [爱] 而无私，上下有章。”		《国语》__春秋战国
35	出货而可以免，子何 [爱] 焉？”		《国语》__春秋战国
36	余非 [爱] 货，恶不衷也。		《国语》__春秋战国
37	此非中实 [爱] 我也假藉而用我也。		《墨子》__春秋战国
38	公孙龙对曰：“偃兵之意，兼 [爱] 天下之心也。		《吕氏春秋》__春秋战国
39	兼 [爱] 天下，不可以虚名为也，必有其实。		《吕氏春秋》__春秋战国
40	秦得地而王布总，齐亡地而王加膳，所非兼 [爱] 之心也。		《吕氏春秋》__春秋战国
41	周公旦可谓善说矣，一称而令成王益重言，明 [爱] 弟之义，有辅王室之固。		《吕氏春秋》__春秋战国
42	所 [爱] 利亦不相为外内。		《墨子》__春秋战国
43	不知其所处不害 [爱] 之说在丧子者。		《墨子》__春秋战国
44	物尽同名二与斗 [爱] 食与。		《墨子》__春秋战国
45	惟曰我民迪小子惟土物 [爱] ，厥心臧。		《尚书》__周
46	故天降丧于殷，罔 [爱] 于殷，惟逸。		《尚书》__周
47	 [爱] 之相若择而杀其一人。		《墨子》__春秋战国
48	薄于小人之 [爱] 大人也。		《墨子》__春秋战国
49	 [爱] 众众与 [爱] 寡世相若。		《墨子》__春秋战国
50	 [爱] 加于已伦列之 [爱] 已 [爱] 人也。		《墨子》__春秋战国
51	是以带甲万人事君也，无乃即伤君王之所 [爱] 乎？		《国语》__春秋战国
52	路说谓周颇曰“公不 [爱] 赵，天下必从。”		《吕氏春秋》__春秋战国
53	凡生天地之间者，有血气之属，必有知，有知之属，莫不知 [爱]  其类。		《礼记》__春秋战国
54	此王吏重爵 [爱] 复之说也，，而臣窃以为不然。		《商君书》__春秋战国
55	此其所以弱不夺三晋民者， [爱] 爵而重复也。		《商君书》__春秋战国
56	其坐起恭敬，言必先信，行必中正；道涂不争险易之利，冬 夏不争阴阳之和； [爱] 其死以有待也，养其身以有为也。		《礼记》__春秋战国
57	惟明主 [爱] 权重信，而不以私害法。		《商君书》__春秋战国
58	遂发所 [爱] 而令之亶父，告宓子曰：“自今以来，亶父非寡人之有也，子之有也。		《吕氏春秋》__春秋战国
59	亲亲则别， [爱] 私则险。		《商君书》__春秋战国
60	曰：贵夫人， [爱] 孺子，便僻好色，此人主之所惑也。		《韩非子》__春秋战国
61	三月婴儿，轩冕在前，弗知欲也；斧钺在後，弗知恶也；慈母之 [爱] ，谕焉。		《吕氏春秋》__春秋战国
62	然则上世亲亲而 [爱] 私，中世上贤而说仁，下世贵贵而尊官。		《商君书》__春秋战国
63	凡仁者以 [爱] 利为务，而贤者以相出为道。		《商君书》__春秋战国
64	当此之时也，民知其母而不知其父，其道亲亲而 [爱] 私。		《商君书》__春秋战国
65	若夫舜、汤，则苞裹覆容，缘不得已而动，因时而为，以 [爱] 利为本，以万民为义。		《吕氏春秋》__春秋战国
