语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：牙
2023/1/20 15:08:15

序号	语句	书名	朝代
1	蚤入晏出，犯君颜色，进谏必忠，不辟死亡，不重贵富，臣不如东郭 [牙] ，请置以为大谏臣。		《吕氏春秋》__春秋战国
2	则子西易 [牙] 竖刀之徒。		《墨子》__春秋战国
3	少顷，东郭 [牙] 至。		《吕氏春秋》__春秋战国
4	今不闻其声，而以其容与臂，是东郭 [牙] 不以耳听而闻也。		《吕氏春秋》__春秋战国
5	孔子曰：“淄、渑之合者，易 [牙] 尝而知之。”		《吕氏春秋》__春秋战国
6	’”孔穿、公孙龙相与论於平原君所，深而辩，至於藏三 [牙] ，公孙龙言藏之三 [牙] 深辩。		《吕氏春秋》__春秋战国
7	几能令藏三 [牙] 矣。		《吕氏春秋》__春秋战国
8	愿得有问於君：谓藏三 [牙] 甚难而实非也，谓藏两 [牙] 甚易而实是也。		《吕氏春秋》__春秋战国
9	问马齿，圉人曰 “齿十二与 [牙] 三十”。		《吕氏春秋》__春秋战国
10	夏后 氏之龙иね，殷之崇 [牙] ，周之璧嬖。		《礼记》__春秋战国
11	有虞氏之绥，夏后氏之绸练，殷之崇 [牙] ，周之璧た。		《礼记》__春秋战国
12	周书·君 [牙] 		《尚书》__周
13	穆王命君 [牙] ，为周大司徒，作《君 [牙] 》。		《尚书》__周
14	君 [牙] ，惟乃祖乃父，世笃忠贞，服劳王家，厥有成绩，纪于太常。		《尚书》__周
15	王若曰：“君 [牙] ，乃惟由先正旧典时式，民之治乱在兹。		《尚书》__周
16	君曰：“鲍叔 [牙] 何如？”		《韩非子》__春秋战国
17	鲍叔 [牙] 为人，刚愎而上悍。		《韩非子》__春秋战国
18	公曰：“然则易 [牙] 何？”		《韩非子》__春秋战国
19	夫易 [牙] 为君主味。		《韩非子》__春秋战国
20	君之所未尝食唯人肉耳，易 [牙] 蒸其子首而进之，君所知也。		《韩非子》__春秋战国
21	刁莅事三年，桓公南游堂阜，竖刁率易 [牙] 、卫公子开方及大臣为乱。		《韩非子》__春秋战国
22	傅 翼翼戴角，分 [牙] 布爪，仰飞伏走，谓之禽兽；而禽兽未必无人心。		《列子》__春秋战国
23	管夷吾、鲍叔 [牙] 二人相友甚戚，同处于齐。		《列子》__春秋战国
24	管夷吾事公子纠，鲍叔 [牙] 事公子 小白。		《列子》__春秋战国
25	鲍叔 [牙] 谓桓公 曰：“管夷吾能，可以治国。”		《列子》__春秋战国
26	鲍叔 [牙] 曰：”吾 闻贤君无私怨，且人能为其主，亦必能为人君。		《列子》__春秋战国
27	鲁归之，齐鲍叔 [牙] 郊迎，释其囚。		《列子》__春秋战国
28	古之善相马者，寒风是相口齿，麻朝相颊，子女厉相目，卫忌相髭，许鄙相尻，投伐褐相胸胁，管青相膹吻，陈悲相股脚，秦 [牙] 相前，赞君相後。		《吕氏春秋》__春秋战国
29	桓公礼之，而位于高国之 上，鲍叔 [牙] 以身下之，任以国政。		《列子》__春秋战国
30	小白曰：“鲍叔 [牙] 可。”		《列子》__春秋战国
31	忄 [牙] 、情露、讠蹇极、凌谇四人相与游于 世，胥如志也；穷年不相晓悟，自以为才之得也。		《列子》__春秋战国
32	孔子曰： “淄、渑之合，易 [牙] 尝而知之。”		《列子》__春秋战国
33	易 [牙] 外与卫公子内与刁因共杀群吏而 立公子无亏，		《管子》__春秋战国
34	臣愿君之远易 [牙] 刁堂巫公子开方，		《管子》__春秋战国
35	桓公管仲鲍叔 [牙] 宁戚四人饮，		《管子》__春秋战国
36	请刈其莞而树之吾谨逃其蚤 [牙] ，		《管子》__春秋战国
37	谁谓鼠无 [牙] ？		《诗经》__周
38	公曰：“鲍叔 [牙] 可乎？”		《吕氏春秋》__春秋战国
39	夷吾善鲍叔 [牙] 。		《吕氏春秋》__春秋战国
40	鲍叔 [牙] 之为人也，清廉洁直；视不己若者，不比於人；一闻人之过，终身不忘。		《吕氏春秋》__春秋战国
41	是月也，安萌 [牙] ，养幼少，存诸孤；择元日，命人社；命有司，省囹圄，去桎梏，无肆掠，止狱讼。		《吕氏春秋》__春秋战国
42	宁戚鲍叔 [牙] 隰朋宾胥无皆差肓而立，		《管子》__春秋战国
43	圣人见萌 [牙] 戏罅，则抵之以法。		《鬼谷子》__春秋战国
44	天下纷错，上无明主，公侯无道德，则小人谗贼，贤人不用，圣人鼠匿，贪利诈伪者作，君臣相惑，土崩瓦解而相伐射，父子离散，乖乱反目，是谓萌 [牙] 戏罅。		《鬼谷子》__春秋战国
45	其施外兆萌 [牙] ☆之谋，皆由抵戏。		《鬼谷子》__春秋战国
46	言味者予易 [牙] ，言音者予師曠，言治者予三王。		《荀子》__春秋战国
47	三王既已定法度，制禮樂而傳之，有不用而改自作，何以異於變易 [牙] 之和，更師曠之律？		《荀子》__春秋战国
48	设业设虡，崇 [牙] 树羽。		《诗经》__周
49	口之于味，有同耆也；易 [牙] 先得我口之所耆者也。		《孟子》__春秋战国
50	如使口之于味也，其性与人殊，若犬马之与我不同类也，则天下何耆皆从易 [牙] 之于味也？		《孟子》__春秋战国
51	至于味，天下期于易 [牙] ，是天下之口相似也。		《孟子》__春秋战国
52	佩玉有冲 [牙] ， 君子无故，玉不去身，君子于玉比德焉。		《礼记》__春秋战国
53	六五，豮豕之 [牙] ，吉。		《周易》__周
54	是月也，安萌 [牙] ，养幼少，存诸孤。		《逸周书》__春秋战国
55	是月也，生气方盛，阳气发泄， [牙] 者毕出，萌者尽达，不可以内，天子布德行惠，命有司发仓窌，赐贫穷，振乏绝，开府库，出币帛，周天下，勉诸侯，聘名士，礼贤者。		《逸周书》__春秋战国
56	正北方义渠，以兹白，兹白者，若白马，锯 [牙] 食虎豹。		《逸周书》__春秋战国
57	且其兆云：‘挟以衔骨，齿 [牙] 为猾，’我卜伐骊，龟往离散以应我。		《国语》__春秋战国
58	若跨其国而得其君，虽逢齿 [牙] ，以猾其中，谁不从？		《国语》__春秋战国
59	唯能用管夷吾、宁喜、隰朋、宾胥无、鲍叔 [牙] 之属而伯功立。		《国语》__春秋战国
60	对曰：“遇兆，挟以衔骨，齿 [牙] 为猾，戎、夏交☆。		《国语》__春秋战国
61	锺 [牙] 已死谁为声兮？		《楚辞》__春秋战国
62	今不据其安，不可谓能谋；行之以齿 [牙] ，不可谓得人，废国而向己，不可谓礼；不度而迂求，不可谓义，以宠贾怨，不可谓德；少族而多敌，不可谓天。		《国语》__春秋战国
63	虽谓之挟，而猾以齿 [牙] ，口弗堪也，其与几何？		《国语》__春秋战国
64	 [牙] 璋，以起军旅，以治兵守。		《周礼》__春秋战国
65	管子死，竖刀、易 [牙] 用，国之人常致不苦，不知致苦。		《吕氏春秋》__春秋战国
66	管仲对曰：“愿君之远易 [牙] 、竖刀、常之巫、卫公子启方。		《吕氏春秋》__春秋战国
67	公曰：“易 [牙] 烹其子犹尚可疑邪？”		《吕氏春秋》__春秋战国
68	易 [牙] 、竖刀、常之巫相与作乱，塞宫门，筑高墙，不通人，矫以公令。		《吕氏春秋》__春秋战国
69	’易 [牙] 、竖刀常之巫相，与作乱塞高墙，不通人，故无所得。		《吕氏春秋》__春秋战国
