语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：狗
2023/1/20 15:15:11

序号	语句	书名	朝代
1	反其侵地柴夫、吠 [狗] ，使海于有蔽，渠弭于有渚，环山于有牢。”		《国语》__春秋战国
2	美金以铸剑戟，试诸 [狗] 马；恶金以铸☆夷斤☆，试诸壤土。”		《国语》__春秋战国
3	故李子曰：“非 [狗] 不得兔，兔化而 [狗] ，则不为兔。”		《吕氏春秋》__春秋战国
4	使问之仲尼曰：“吾穿井而获 [狗] ，何也？”		《国语》__春秋战国
5	犬也而杀非 [狗] 犬也可。		《墨子》__春秋战国
6	知 [狗] 而自谓不知犬过也说在重。		《墨子》__春秋战国
7	 [狗] 犬也而杀 [狗] 非杀犬也可说在重		《墨子》__春秋战国
8	取其牛马 [狗] 豕布帛米粟货财。		《墨子》__春秋战国
9	曰：人主乐美宫室台池，好饰子女 [狗] 马以娱其心，此人主之殃也。		《韩非子》__春秋战国
10	为人臣者尽民力以美宫室台池，重赋敛以饰子女 [狗] 马，以娱其主而乱其心，从其所欲，而树私利其间，此谓“养殃”。		《韩非子》__春秋战国
11	不食雏鳖，狼去肠， [狗] 去肾，狸去正脊，兔去尻，狐去首，豚去脑，鱼去乙， 鳖去丑。		《礼记》__春秋战国
12	牛夜鸣则<广酉>，羊泠毛而毳膻， [狗] 赤股而躁躁，鸟キ色而沙鸣郁，豕望 视而交睫腥，马黑脊而般臂漏，雏尾不盈握，弗食，舒雁翠，鹄胖，舒凫翠， 鸡肝，雁肾，鸨奥，鹿胃。		《礼记》__春秋战国
13	夫虎之所以能服 [狗] 者，爪牙也。		《韩非子》__春秋战国
14	使虎释其爪牙而使 [狗] 用之，则虎反服于 [狗] 矣。		《韩非子》__春秋战国
15	肝：取 [狗] 肝一，之，以其濡炙之，举ㄡ，其不蓼。		《礼记》__春秋战国
16	尝人，人死；食 [狗] ， [狗] 死。		《吕氏春秋》__春秋战国
17	子阳极也好严，有过而折弓者，恐必死，遂应猘 [狗] 而弑子阳，极也。		《吕氏春秋》__春秋战国
18	群 [狗] 相与居，皆静无争。		《吕氏春秋》__春秋战国
19	主上不知，虎将为 [狗] 。		《韩非子》__春秋战国
20	主不蚤止， [狗] 益无已。		《韩非子》__春秋战国
21	5.天地不仁，以万物为刍 [狗] 。		《老子》__春秋战国
22	圣人不仁，以百姓为刍 [狗] 。		《老子》__春秋战国
23	乳彘不觸虎，乳 [狗] 不遠游，不忘其親也。		《荀子》__春秋战国
24	人也，憂忘其身，內忘其親，上忘其君，則是人也，而曾 [狗] 彘之不若也。		《荀子》__春秋战国
25	有 [狗] 彘之勇者，有賈盜之勇者，有小人之勇者， 有士君子之勇者。		《荀子》__春秋战国
26	爭飲食，無廉恥，不知是非，不辟死傷，不畏眾強，■■然惟利飲食之見，是 [狗] 彘之勇也。		《荀子》__春秋战国
27	今人之生也，方知畜雞 [狗] 豬彘，又蓄牛羊，然而食不敢有酒肉；餘刀布，有損寅，然而衣不敢有絲帛；約者有筐篋之藏，然而行不敢有輿馬。		《荀子》__春秋战国
28	人而无义，唯食而已，是鸡 [狗] 也。		《列子》__春秋战国
29	为鸡 [狗] 禽兽矣，而欲人之尊己，不可得也。		《列子》__春秋战国
30	夫是之謂上愚，曾不如相雞 [狗] 之可以為名也。		《荀子》__春秋战国
31	故 [狗] 似玃，玃似母猴，母猴似人，人之与 [狗] 则远矣。		《吕氏春秋》__春秋战国
32	其 [狗] 不知，迎而 吠之。		《列子》__春秋战国
33	向者使汝 [狗] 白而往， 黑而来，岂能无怪哉？”		《列子》__春秋战国
34	荆文王得茹黄之 [狗] ，宛路之矰，以畋於云梦，三月不反。		《吕氏春秋》__春秋战国
35	今王得茹黄之 [狗] ，宛路之矰，畋三月不反；得丹之姬，淫，期年不听朝。		《吕氏春秋》__春秋战国
36	王乃变更，召葆申，杀茹黄之 [狗] ，析宛路之矰，放丹之姬。		《吕氏春秋》__春秋战国
37	田猎驰骋，弋射走 [狗] ，贤者非不为也，为之而智日得焉，不肖主为之而智日惑焉。		《吕氏春秋》__春秋战国
38	惟其所以不得之故，则 [狗] 恶也。		《吕氏春秋》__春秋战国
39	欲得良 [狗] ，则家贫无以。		《吕氏春秋》__春秋战国
40	疾耕则家富，家富则有以求良 [狗] ， [狗] 良则数得兽矣，田猎之获常过人矣。		《吕氏春秋》__春秋战国
41	故盜不竊，賊不刺， [狗] 豕吐菽粟，而農賈皆能以貨財讓。		《荀子》__春秋战国
42	乾为马，坤为牛，震为龙，巽为鸡，坎为豕，离为雉，艮为 [狗] ，兑为羊。		《周易》__周
43	艮为山，为径路，为小石，为门阙，为果蓏，为阍寺，为指，为 [狗] ，为鼠，为黔喙之属。		《周易》__周
44	亨 [狗] 于东方，祖阳气之发于东方也。		《礼记》__春秋战国
45	乾为马，坤为牛，震为龙，巽为鸡，坎为豕，离为雉，艮为 [狗] ，兑为羊。		《周易》__周
46	艮为山，为径路，为小石，为门阙，为果蓏，为阍寺，为指，为 [狗] ，为鼠，为黔喙之属。		《周易》__周
